ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,1.4778,,,,,,,,,,,,,,a89d6ea5-8579-415c-b852-ed9561e3b7dc,17,,"[43.6, 61.3]",69253,0,,,,-1.7118648,,Right Foot,,,"[38.8, 27.5]",,Ground Pass,34.139126,,,,Dmytro Chygrynskiy,18608.0,,,,,,,1,From Kick Off,Carles Puyol i Saforcada,20125.0,Right Back,2,Barcelona,217,['bc794e30-41c2-46d9-9dd6-4eaa7f60a8a4'],7,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:07.464,Pass,,2009/2010
,,,,,,,,,,,,,,1.5745,,,,,,,,,,,,,,0fd28163-3ef4-4c6b-acce-7785775da3b7,20,,"[39.0, 23.9]",69253,0,,,,-0.8512925,,Right Foot,,,"[57.4, 2.9]",,Ground Pass,27.9206,,,,Maxwell Scherrer Cabelino Andrade,26613.0,,,,,,,1,From Kick Off,Dmytro Chygrynskiy,18608.0,Left Center Back,2,Barcelona,217,['9a78d718-498f-4a2e-b639-7cadb5102145'],10,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:10.370,Pass,,2009/2010
,,,,,,,,,,,,,,1.4737,,,,,,,,,,,,,,d9dcc401-d58a-4892-b39e-5748f1877d8d,24,,"[54.9, 4.3]",69253,0,,,,2.438765,,Left Foot,,,"[39.2, 17.6]",,Ground Pass,20.5762,,,,Dmytro Chygrynskiy,18608.0,,,,,,,1,From Kick Off,Maxwell Scherrer Cabelino Andrade,26613.0,Left Back,2,Barcelona,217,"['888e576e-66ca-44fc-8cc8-86e17c1597c7', 'f1c41770-efe3-4ca7-bef0-e75f8c69303d']",13,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:13.335,Pass,True,2009/2010
,,,,,,,,,,,,,,2.1989,,,,,,,,,,,,,,8f6eea49-c540-4b03-bbc3-87102f85cce3,27,,"[43.1, 29.0]",69253,0,,,,1.5504503,,Right Foot,,,"[43.8, 63.4]",,Ground Pass,34.40712,,,,Gerard Piqué Bernabéu,5213.0,,,,,,,1,From Kick Off,Dmytro Chygrynskiy,18608.0,Left Center Back,2,Barcelona,217,['25f9d937-dd19-4550-9841-576b8e21dccc'],17,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:17.138,Pass,,2009/2010
,,,,,,,,,,,,,,1.4368,,,,,,,,,,,,,,3ab8757c-de4b-468a-94d6-ea709fcf8068,30,,"[47.0, 64.4]",69253,0,,,,-1.6837882,,Right Foot,,,"[43.8, 36.2]",,Ground Pass,28.38098,,,,Dmytro Chygrynskiy,18608.0,,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,['e667f317-ac97-4445-a78c-ee5ae9292795'],21,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:21.108,Pass,,2009/2010
,,,,,,,,,,,,,,1.3349,,,,,,,,,,,,,,826b8785-01c7-4dfe-a542-4022c3a67c06,34,,"[39.2, 36.7]",69253,0,,,,1.5433118,,Right Foot,,,"[40.0, 65.8]",,Ground Pass,29.110994,,,,Gerard Piqué Bernabéu,5213.0,,,,,,,1,From Kick Off,Dmytro Chygrynskiy,18608.0,Left Center Back,2,Barcelona,217,"['47c72f88-0c85-49c9-8663-5a6e24b55996', 'df2a6608-cb9e-4f8c-aba6-27d31229fa5e']",23,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:23.898,Pass,True,2009/2010
,,,,,,,,,,,,,,1.5481,,,,,,,,,,,,,,ecc8bd2e-6217-46f2-9adf-2736b1b33e97,38,,"[35.6, 59.6]",69253,0,,,,-1.7823086,,Right Foot,,,"[28.6, 27.0]",,Ground Pass,33.343063,,,,Dmytro Chygrynskiy,18608.0,,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,"['128ff6eb-9c9e-4b22-b01c-f09729049d27', 'fb0b2895-c1d2-4a00-84c7-d2d362474ce2']",26,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:26.430,Pass,True,2009/2010
,,,,,,,,,,,,,,1.6657,,,,,,,,,,,,,,29b49716-b830-478d-b9a3-03fe1744c29f,41,,"[34.9, 27.5]",69253,0,,,,1.5101565,,Right Foot,,,"[36.6, 55.5]",,Ground Pass,28.05156,,,,Gerard Piqué Bernabéu,5213.0,,,,,,,1,From Kick Off,Dmytro Chygrynskiy,18608.0,Left Center Back,2,Barcelona,217,['385b1cc7-2f09-4f55-a1a8-2e51ffeae3a6'],31,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:31.236,Pass,,2009/2010
,,,,,,,,,,,,,,1.3451,,,,,,,,,,,,,,83bb6bed-7827-4074-b21e-5de7c4a53984,44,,"[40.7, 59.1]",69253,0,,,,-0.8314183,,Right Foot,,,"[55.2, 43.2]",,Ground Pass,21.51883,,,,Xavier Hernández Creus,20131.0,,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,['5ca953bb-f764-48b6-a542-b28bc364bb4e'],35,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:35.244,Pass,,2009/2010
,,,,,,,,,,,,,,1.4986,,,,,,,,,,,,,,e79e0df8-7352-4ee2-85fa-93943a7c902b,47,,"[55.2, 43.2]",69253,0,,,,-2.0774703,,Right Foot,,,"[44.1, 23.2]",,Ground Pass,22.873785,,,,Dmytro Chygrynskiy,18608.0,,,,,,,1,From Kick Off,Xavier Hernández Creus,20131.0,Left Center Midfield,2,Barcelona,217,['09adb25f-2a64-444d-bbcb-c162fcd66502'],36,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:36.650,Pass,,2009/2010
,,,,,,,,,,,,,,1.5348,,,,,,,,,,,,,,ef6acbeb-da73-43e7-acd2-494d64a87797,50,,"[50.3, 20.3]",69253,0,,,,-0.88806623,,Right Foot,,,"[65.1, 2.1]",,Ground Pass,23.458048,,,,Maxwell Scherrer Cabelino Andrade,26613.0,,,,,,,1,From Kick Off,Dmytro Chygrynskiy,18608.0,Left Center Back,2,Barcelona,217,['46c6abaf-3c2b-470d-b029-8ec0a09e2c92'],39,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:39.602,Pass,,2009/2010
,,,,,,,,,,,,,,1.256,,,,,,,,,,,,,,19b0d04a-6ab7-49a4-8d35-18adf77f0db6,53,,"[64.8, 3.1]",69253,0,,,,2.5677936,,Left Foot,,,"[56.6, 8.4]",,Low Pass,9.763708,,,,Seydou Kéita,20169.0,,,,,,,1,From Kick Off,Maxwell Scherrer Cabelino Andrade,26613.0,Left Back,2,Barcelona,217,['3a17aecb-d8d4-4081-acce-6db85837cc4b'],41,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:41.348,Pass,,2009/2010
,,,,,,,,,,,,,,1.2601,,,,,,,,,,,,,,15291c03-459a-4d4a-8e8f-f9e104cfe94a,56,,"[55.6, 9.2]",69253,0,,,,1.8059927,,Left Foot,,,"[50.4, 30.9]",,Ground Pass,22.314344,,,,Sergio Busquets i Burgos,5203.0,,,,,,,1,From Kick Off,Seydou Kéita,20169.0,Right Center Midfield,2,Barcelona,217,['c1856dc8-51c8-4a8d-a240-89517c87778d'],43,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:43.824,Pass,,2009/2010
,,,,,,,,,,,,,,1.8603,,,,,,,,,,,,,,8311ee97-c458-4b90-8312-91893fb8d605,59,,"[51.3, 34.0]",69253,0,,,,1.323699,,Right Foot,,,"[59.7, 67.3]",,Ground Pass,34.34312,,,,Carles Puyol i Saforcada,20125.0,,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['ad098895-72ab-4a3e-a06f-dc97e3e8afac'],46,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:46.732,Pass,,2009/2010
,,,,,,,,,,,,,,0.9367,,,,,,,,,,,,,,b207bc89-35c9-48e7-b720-6e99f76a7b0e,62,,"[59.7, 67.3]",69253,0,,,,-2.7519853,,Right Foot,,,"[44.6, 61.1]",,Ground Pass,16.323296,,,,Gerard Piqué Bernabéu,5213.0,,,,,,,1,From Kick Off,Carles Puyol i Saforcada,20125.0,Right Back,2,Barcelona,217,['c905a0f3-b1d3-4f63-b7f8-dd6644ef4bf4'],48,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:48.886,Pass,,2009/2010
,,,,,,,,,,,,,,1.8946,,,,,,,,,,,,,,2c61ee32-032c-4c71-9fe2-152b64589117,65,,"[35.9, 53.1]",69253,0,,,,-1.5644872,,Right Foot,,,"[36.1, 21.4]",,Ground Pass,31.70063,,,,Dmytro Chygrynskiy,18608.0,,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,['1d26b362-c5d4-4cb1-990b-6542fc37eb0a'],53,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:53.329,Pass,,2009/2010
,,,,,,,,,,,,,,1.0448,,,,,,,,,,,,,,fcf382a6-32dc-4bce-b39e-66abd8d97b53,68,,"[51.5, 24.6]",69253,0,,,,1.192369,,Right Foot,,,"[58.1, 41.2]",,Ground Pass,17.86393,,,,Sergio Busquets i Burgos,5203.0,,,,,,,1,From Kick Off,Dmytro Chygrynskiy,18608.0,Left Center Back,2,Barcelona,217,['60f504f7-6e89-44ce-bd4e-7837b2466f10'],58,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:58.469,Pass,,2009/2010
,,,,,,,,,,,,,,1.0841,,,,,,,,,,,,,,1db0dfd7-db7f-47e5-ac9b-73fadcbc5253,71,,"[58.1, 41.2]",69253,0,,,,-1.7865626,,Left Foot,,,"[54.9, 26.6]",,Ground Pass,14.946571,,,,Dmytro Chygrynskiy,18608.0,,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['4b00e743-c0d4-47d5-82b0-c369a739ba8b'],59,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:59.561,Pass,,2009/2010
,,,,,,,,,,,,,,3.3332,,,,,,,,,,,,,,d82aa0ed-28c5-4f63-8186-6fac06b0108a,74,,"[56.1, 28.7]",69253,1,,,,1.0546056,,Right Foot,,,"[85.1, 79.8]",,High Pass,58.755512,,Out,,Lionel Andrés Messi Cuccittini,5503.0,,,True,,,,1,From Kick Off,Dmytro Chygrynskiy,18608.0,Left Center Back,2,Barcelona,217,['c966370b-5371-43a6-ba11-2900ce1c80b8'],2,,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:02.668,Pass,,2009/2010
,,,,,,,,,,,,,,1.902711,,,,,,,,,,,,,,4d344afd-c4c7-4320-870c-9a63efca7b16,76,,"[42.6, 1.0]",69253,1,,,,1.6300489,,,,,"[41.2, 24.6]",,Low Pass,23.641489,,,,Abel Enrique Aguilar Tapia,6192.0,,,,,,Throw-in,1,From Throw In,Javier Paredes Arango,26429.0,Left Back,3,Real Zaragoza,395,['924ac189-1eca-4e7b-bb16-59db8b6e1fc6'],15,,,,,,,,,,,,,,,,,,,Real Zaragoza,395,00:01:15.354,Pass,,2009/2010
,,,,,,,,,,,,,,1.049456,,,,,,,,,,,,,,eec3b086-fe3e-4e4d-b823-834b1f525713,80,,"[38.1, 18.5]",69253,1,,,,-1.6364912,,Right Foot,,,"[37.1, 3.3]",,Ground Pass,15.23286,,,,Javier Paredes Arango,26429.0,,,,,,,1,From Throw In,Abel Enrique Aguilar Tapia,6192.0,Left Defensive Midfield,3,Real Zaragoza,395,"['459eb6ec-2530-4d71-b157-ec345f384b41', '55c68649-d9cc-4630-88c6-7aee799cfa3d']",18,,,,,,,,,,,,,,,,,,,Real Zaragoza,395,00:01:18.414,Pass,True,2009/2010
