bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,1.5893,,,,,,,,,,,,,c638d708-25f6-4cdd-8409-d944e8e30f7c,1296,,"[42.7, 75.4]",266357,31,,,,,-2.0785792,,Left Foot,,,"[35.8, 63.0]",,Ground Pass,,14.19049,,,,Gerard Piqué Bernabéu,5213.0,,,,,,Recovery,1,Regular Play,Sergi Roberto Carnicer,6379.0,Right Back,57,Barcelona,217,"['08168cf3-c47d-4d45-b7f0-45f45f1a3c6f', '1e45d3cc-d425-4940-bb70-f288ed20fc85']",30,,,,,,,,,,,,,,,,,Barcelona,217,00:31:30.939,Pass,,2016/2017
,,,,,,,,,,,,,,,,1.022031,,,,,,,,,,,,,4cd37e82-8825-4060-b0b2-9453ea6fca4b,1299,,"[37.9, 61.2]",266357,31,,,,,-0.13845275,,Right Foot,,,"[50.1, 59.5]",,Ground Pass,,12.317873,,,,André Filipe Tavares Gomes,10802.0,,,,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Right Center Back,57,Barcelona,217,['a87c279a-5a65-4ee3-80db-5c75c69d06f5'],33,,,,,,,,,,,,,,,,,Barcelona,217,00:31:33.332,Pass,,2016/2017
,,,,,,,,,,,,,,,,1.1431,,,,,,,,,,,,,cffdb342-8ed6-4850-b441-50120c1a93f4,1306,,"[49.4, 53.1]",266357,31,,,,,-0.7727406,,Left Foot,,,"[57.4, 45.3]",,Ground Pass,,11.1731825,,,,Sergio Busquets i Burgos,5203.0,,,,,,,1,Regular Play,André Filipe Tavares Gomes,10802.0,Right Center Midfield,57,Barcelona,217,['9ead521a-dd63-4de0-9ec8-4864eff35322'],38,,,,,,,,,,,,,,,,,Barcelona,217,00:31:38.918,Pass,,2016/2017
,,,,,,,,,,,,,,,,1.0483,,,,,,,,,,,,,24ee73f4-e711-4c37-bee9-16c7d93c961d,1310,,"[58.3, 46.4]",266357,31,,,,,1.4417465,,Right Foot,,,"[60.0, 59.5]",,Ground Pass,,13.209845,,,,André Filipe Tavares Gomes,10802.0,,,,,,,1,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,57,Barcelona,217,"['156427bc-9b2c-4359-9a63-80d16be05b98', '185f98ad-32a6-4294-a000-a5af31efda45']",40,,,,,,,,,,,,,,,,,Barcelona,217,00:31:40.321,Pass,True,2016/2017
,,,,,,,,,,,,,,,,1.5809,,,,,,,,,,,,,1d37768d-7db6-4446-8617-859d118d0f0f,1316,,"[71.9, 56.7]",266357,31,,,,,-2.6384919,,Left Foot,,,"[57.0, 48.5]",,Ground Pass,,17.00735,,,,Gerard Piqué Bernabéu,5213.0,,,,,,Free Kick,1,From Free Kick,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,58,Barcelona,217,['fe31a909-5fc4-4acf-84ef-89d064c742d4'],59,,,,,,,,,,,,,,,,,Barcelona,217,00:31:59.750,Pass,,2016/2017
,,,,,,,,,,,,,,,,1.5191,,,,,,,,,,,,,e480c19d-810f-4aa1-ab6c-a61804d694c5,1319,,"[58.0, 45.1]",266357,32,,,,,-1.1979276,,Right Foot,,,"[70.4, 13.4]",,Low Pass,,34.038948,,,,Samuel Yves Umtiti,5492.0,,,,,,,1,From Free Kick,Gerard Piqué Bernabéu,5213.0,Right Center Back,58,Barcelona,217,['b7632d9c-1df7-4d7d-b88e-07ed417aaf97'],2,,,,,,,,,,,,,,,,,Barcelona,217,00:32:02.966,Pass,,2016/2017
,,,,,,,,,,,,,,,,2.5012,,,,,,,,,,,,,2bae50b3-dcdb-4d88-98dd-ef268f8cf859,1322,,"[73.1, 18.1]",266357,32,,,,,2.235072,,Left Foot,,,"[54.7, 41.6]",,Ground Pass,,29.846441,,,,Gerard Piqué Bernabéu,5213.0,,,,,,,1,From Free Kick,Samuel Yves Umtiti,5492.0,Left Center Back,58,Barcelona,217,['b2503d63-0173-476f-a820-dd3e32557a8e'],7,,,,,,,,,,,,,,,,,Barcelona,217,00:32:07.491,Pass,,2016/2017
,,,,,,,,,,,,,,,,2.3499,,,,,,,,,,,,,082cc06a-122c-45ce-a05f-64e8cbd62ae0,1326,,"[52.8, 39.5]",266357,32,,,,,-1.3667784,,Right Foot,,,"[55.8, 25.0]",,Ground Pass,,14.807093,,,,Samuel Yves Umtiti,5492.0,,,,,,,1,From Free Kick,Gerard Piqué Bernabéu,5213.0,Right Center Back,58,Barcelona,217,"['4931480d-ced5-4a67-be6c-cdf98f2ae73e', 'b0ce4c67-5986-4883-adae-5a98673b484e']",10,,,,,,,,,,,,,,,,,Barcelona,217,00:32:10.627,Pass,True,2016/2017
,,,,,,,,,,,,,,,,1.2106,,,,,,,,,,,,,74c8f526-b155-493a-9d09-de3c03859bb1,1329,,"[57.7, 24.7]",266357,32,,,,,1.6092389,,Left Foot,,,"[57.0, 42.9]",,Ground Pass,,18.213457,,,,Sergio Busquets i Burgos,5203.0,,,,,,,1,From Free Kick,Samuel Yves Umtiti,5492.0,Left Center Back,58,Barcelona,217,['df5b18d4-3b96-473c-ad8c-5a54f1b1f750'],13,,,,,,,,,,,,,,,,,Barcelona,217,00:32:13.016,Pass,,2016/2017
,,,,,,,,,,,,,,,,1.0045,,,,,,,,,,,,,1fc22ab2-8c87-468a-a8a2-d310bd308aed,1332,,"[60.5, 42.9]",266357,32,,,,,-0.008888654,,Right Foot,,,"[83.0, 42.7]",,Ground Pass,,22.500889,,,,Luis Alberto Suárez Díaz,5246.0,,,,,,,1,From Free Kick,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,58,Barcelona,217,['88d29318-e8a5-456b-aea5-0894dea033ed'],15,,,,,,,,,,,,,,,,,Barcelona,217,00:32:15.530,Pass,,2016/2017
,,,,,,,,,,,,,,,,1.047772,,,,,,,,,,,,,45bf0df5-95bb-4caf-8118-2c7566590e8b,1335,,"[83.0, 42.7]",266357,32,,,,,1.5997738,,Right Foot,,,"[82.8, 49.6]",,Ground Pass,,6.902898,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,,1,From Free Kick,Luis Alberto Suárez Díaz,5246.0,Center Forward,58,Barcelona,217,['ac955313-a457-40c4-bd4c-a7b7525d84e1'],16,,,,,,,,,,,,,,,,,Barcelona,217,00:32:16.574,Pass,,2016/2017
,,,,,,,,,,,,,,,,0.6473,,,,,,,,,,,,,4145a0f6-31ea-4978-9ab2-4e227be21840,1339,,"[89.9, 44.1]",266357,32,,,,,-0.9986027,,Left Foot,,,"[97.5, 32.3]",,Ground Pass,,14.035668,,,,Arda Turan,11094.0,,,,,,,1,From Free Kick,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,58,Barcelona,217,['9bb63ee5-a740-436b-bbbd-4171a1783cd1'],20,,,,,,,,,,,,,,,,,Barcelona,217,00:32:20.225,Pass,,2016/2017
