bad_behaviour_card,ball_receipt_outcome,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,0.8838,,,,,,,,,,,,9b3df34e-b730-4287-a2cc-1df2d21f84d3,17,,"[55.2, 72.8]",266989,0,,,,-3.0309355,,Left Foot,,,,"[45.3, 71.7]",,Low Pass,,9.960923,,,,Ivan Rakitić,5470.0,,,,,,,1,From Throw In,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,3,Barcelona,217,['6d979209-60f7-4243-8d90-76cd1f12ef84'],25,,,,,,,,,,,,,,,,,Barcelona,217,00:00:25.771,Pass,,2016/2017
,,,,,,,,,,,,,,,,,1.5623,,,,,,,,,,,,0aa001b7-5525-4a75-972f-c4a1166232ed,19,,"[45.3, 71.9]",266989,0,,,,-1.0722791,,Right Foot,,,,"[54.5, 55.0]",,Low Pass,,19.241882,,Incomplete,,Denis Suárez Fernández,6609.0,,,,,,,1,From Throw In,Ivan Rakitić,5470.0,Right Center Midfield,3,Barcelona,217,"['4fa0fa22-b787-4441-b8ea-13ac54785a4d', 'caf1f973-285c-4f9f-b5ff-e29f6f24b988']",26,,,,,,,,,,,,,,,,,Barcelona,217,00:00:26.655,Pass,,2016/2017
,,,,,,,,,,,,,,,,,0.72889,,,,,,,,,,,,caf1f973-285c-4f9f-b5ff-e29f6f24b988,22,,"[65.6, 25.1]",266989,0,,,,0.5633163,,Right Foot,,,,"[75.1, 31.1]",,Ground Pass,,11.236102,,,,Franco Damián Vázquez,6719.0,,,,,,Recovery,1,Regular Play,Steven N''Kemboanza Mike Christopher Nzonzi,5737.0,Center Defensive Midfield,4,Sevilla,213,"['0363b76f-9724-4c66-b4b7-07524d37d5db', '0aa001b7-5525-4a75-972f-c4a1166232ed', 'cdac1e2c-6a0c-473f-a6d9-411d7c0c308a']",28,,,,,,,,,,,,,,,,,Sevilla,213,00:00:28.217,Pass,True,2016/2017
,,,,,,,,,,,,,,,,,0.814649,,,,,,,,,,,,c1b301e8-abaa-4139-b5a5-a3aba9496f87,25,,"[74.8, 32.6]",266989,0,,,,1.3805777,,Left Foot,,,,"[77.9, 48.7]",,Ground Pass,,16.395731,,,,Pablo Sarabia García,6720.0,,,,,,,1,Regular Play,Franco Damián Vázquez,6719.0,Right Center Midfield,4,Sevilla,213,['f4fa2e39-3426-4fc4-b508-8db833f90fc5'],29,,,,,,,,,,,,,,,,,Sevilla,213,00:00:29.210,Pass,,2016/2017
,,,,,,,,,,,,,,,,,1.3311,,,,,,,,,,,,b716ef6c-8f1a-42af-a7a1-83b8c0b8b36d,29,,"[79.2, 45.1]",266989,0,,,,-0.644668,aae79898-8e41-443a-9414-5e120cb34ac2,Left Foot,,,,"[92.9, 34.8]",,Ground Pass,,17.14001,,,,Luciano Vietto,6744.0,True,,,,,,1,Regular Play,Pablo Sarabia García,6720.0,Right Midfield,4,Sevilla,213,['8e64fb14-1f68-4dd3-b468-664ca7389a08'],30,,,,,,,,,,,,,,,,,Sevilla,213,00:00:30.477,Pass,,2016/2017
,,,,,,,,,,,,,,,,,2.4695,,,,,,,,,,,,6b95116e-7556-4d6b-b9d3-9395e0c455bc,38,,"[10.8, 37.7]",266989,0,,,,-0.6343419,,Keeper Arm,,,,"[40.7, 15.7]",,Low Pass,,37.121555,,,,Denis Suárez Fernández,6609.0,,,,,,,1,From Keeper,Marc-André ter Stegen,20055.0,Goalkeeper,5,Barcelona,217,['9f7c0b6c-a183-4dea-ac91-9d9a4835237b'],39,,,,,,,,,,,,,,,,,Barcelona,217,00:00:39.588,Pass,,2016/2017
,,,,,,,,,,,,,,,,,1.7499,,,,,,,,,,,,fd4afd80-11ae-4fa6-a7b4-54897917fb87,52,,"[120.0, 80.0]",266989,1,,,,-1.724741,,Left Foot,,,,"[113.7, 39.4]",,High Pass,True,41.085884,,Incomplete,,Luciano Vietto,6744.0,,,True,Inswinging,,Corner,1,From Corner,Pablo Sarabia García,6720.0,Right Midfield,6,Sevilla,213,"['b15db2af-2261-4100-8882-2172c6f25d38', 'f2bdd7a7-6655-47cc-a252-5c76637f4513']",17,,,,,,,,,,,,,,,,,Sevilla,213,00:01:17.400,Pass,,2016/2017
,,,,,,,,,,,,,,,,,2.3645,,,,,,,,,,,,12a44fdd-7218-4048-b234-039f3455cd95,60,,"[14.6, 30.1]",266989,1,,,,-0.42897943,,Right Foot,,,,"[49.8, 14.0]",,Ground Pass,,38.707233,,,,Neymar da Silva Santos Junior,4320.0,,,,,,,1,Regular Play,Luis Alberto Suárez Díaz,5246.0,Center Forward,7,Barcelona,217,['34c6b2c7-537e-4f4f-b8c7-2ee9ed117673'],23,,,,,,,,,,,,,,,,,Barcelona,217,00:01:23.725,Pass,,2016/2017
,,,,,,,,,,,,,,,,,1.857,,,,,,,,,,,,566aeca5-0a19-489a-b267-f1ea0c7b3258,63,,"[54.4, 36.2]",266989,1,,,,0.88548106,,Right Foot,,,,"[75.9, 62.5]",,Low Pass,,33.969692,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,,1,Regular Play,Neymar da Silva Santos Junior,4320.0,Left Wing,7,Barcelona,217,['795a5976-9e57-4935-9d62-1a80c1dd1fbf'],29,,,,,,,,,,,,,,,,,Barcelona,217,00:01:29.198,Pass,,2016/2017
,,,,,,,,,,,,,,,,,0.8016,,,,,,,,,,,,6662b921-1971-47dd-a18b-4518957c9915,71,,"[95.5, 44.1]",266989,1,,,,-1.433455,,Left Foot,,,,"[97.2, 31.8]",,Ground Pass,,12.4169235,,,,Neymar da Silva Santos Junior,4320.0,,,,,,,1,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,7,Barcelona,217,['d8791e2b-d51d-41f0-ab79-44f324c90fe2'],35,,,,,,,,,,,,,,,,,Barcelona,217,00:01:35.692,Pass,,2016/2017
,,,,,,,,,,,,,,,,,1.0883,,,,,,,,,,,,6c31ef09-8711-4b74-a554-499af34ac042,74,,"[97.9, 31.8]",266989,1,,,,-0.45297185,3aa061d1-dcc1-4bdb-b44e-89d0119e4cac,Right Foot,,,,"[109.2, 26.3]",,Ground Pass,,12.567418,,,,Luis Alberto Suárez Díaz,5246.0,True,,,Through Ball,True,,1,Regular Play,Neymar da Silva Santos Junior,4320.0,Left Wing,7,Barcelona,217,['0c5847c2-a3b1-45e6-b419-f8af3cb6029f'],37,,,,,,,,,,,,,,,,,Barcelona,217,00:01:37.086,Pass,,2016/2017
,,,,,,,,,,,,,,,,,1.1111,,,,,,,,,,,,f03d712b-f3ec-4f9e-9a86-e963bdb393d1,78,,"[120.0, 80.0]",266989,2,,,,-1.7272259,,Right Foot,,,,"[115.3, 50.2]",,High Pass,,30.168362,,Incomplete,True,,,,,,Outswinging,,Corner,1,From Corner,Neymar da Silva Santos Junior,4320.0,Left Wing,8,Barcelona,217,['993eba1b-f51d-45f3-a387-ae478db8e506'],2,,,,,,,,,,,,,,,,,Barcelona,217,00:02:02.969,Pass,,2016/2017
