50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c2889bdc-7f2b-4ae8-8c94-2573d385885d,1,,,,68314,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 25863, 'name': 'Juliano Haus Belletti'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 25873, 'name': 'Oleguer Presas Renom'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 23}, {'player': {'id': 20125, 'name': 'Carles Puyol i Saforcada'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 17797, 'name': 'Giovanni van Bronckhorst'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 5558, 'name': 'Rafael Márquez Álvarez'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 19757, 'name': 'Anderson Luís de Souza'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 24}, {'player': {'id': 25879, 'name': 'Ronaldo de Assis Moreira'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 19298, 'name': ""Samuel Eto''o Fils""}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2004/2005
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c44c1766-261b-48de-a848-33949423c40c,2,,,,68314,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 25870, 'name': 'Juan Jesús Calatayud Sánchez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6614, 'name': 'Alexis Ruano Delgado'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 26}, {'player': {'id': 25862, 'name': 'Carlos Manuel de Oliveira Magalhães'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 25868, 'name': 'Fernando Sanz Durán'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 19}, {'player': {'id': 25866, 'name': 'Raúl Iznata Zabala'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 23}, {'player': {'id': 25883, 'name': 'Juan Jesús Gutiérrez Robles'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 5}, {'player': {'id': 25875, 'name': 'Miguel Ángel Lozano Ayala'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 25884, 'name': 'Antonio Manuel Sánchez Gómez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 15}, {'player': {'id': 25881, 'name': 'Juan Antonio Rodríguez Villamuela'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 22}, {'player': {'id': 25882, 'name': 'Edgar Patricio De Carvalho Pacheco'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 25877, 'name': 'Márcio Amoroso dos Santos'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Málaga,223,00:00:00.000,Starting XI,,2004/2005
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,85fb5724-1461-4871-b3e7-dff83aa9c452,3,,,,68314,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['8d79fe42-4c00-45c4-9cef-89ae07ad0c03'],0,,,,,,,,,,,,,,,,Málaga,223,00:00:00.000,Half Start,,2004/2005
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,8d79fe42-4c00-45c4-9cef-89ae07ad0c03,4,,,,68314,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['85fb5724-1461-4871-b3e7-dff83aa9c452'],0,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2004/2005
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e7c13739-b5da-463b-8105-1d78322e7574,1487,,,,68314,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,107,Barcelona,217,['b37f7c0e-f017-4b47-9bd6-230f316c96cd'],0,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2004/2005
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b37f7c0e-f017-4b47-9bd6-230f316c96cd,1488,,,,68314,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,107,Barcelona,217,['e7c13739-b5da-463b-8105-1d78322e7574'],0,,,,,,,,,,,,,,,,Málaga,223,00:00:00.000,Half Start,,2004/2005
,,,,,,,,,,,,,,,,0.704954,,,,,,,,,,,,,6c222ac8-0537-4dae-8e1c-601fe0b582b0,5,,,"[60.0, 40.0]",68314,0,,,,1.6295521,,Right Foot,,,"[59.9, 41.7]",,Ground Pass,,1.7029387,,,,,Andrés Iniesta Luján,5216.0,,,,,Kick Off,1,From Kick Off,Samuel Eto''o Fils,19298.0,Center Forward,2,Barcelona,217,['79d0ce33-ca5c-4b0e-a62d-778e9a7b00a9'],0,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.934,Pass,,2004/2005
,,,,,,,,,,,,,,,,1.015002,,,,,,,,,,,,,44acb6bc-b633-4946-a960-b53ab64940cb,8,,,"[60.2, 39.7]",68314,0,,,,3.0501056,,Right Foot,,,"[49.3, 40.7]",,Ground Pass,,10.945775,,,,,Ronaldo de Assis Moreira,25879.0,,,,,,1,From Kick Off,Andrés Iniesta Luján,5216.0,Right Wing,2,Barcelona,217,['99323b79-0730-4b36-9586-2b58eff7fdff'],1,,,,,,,,,,,,,,,,Barcelona,217,00:00:01.679,Pass,,2004/2005
,,,,,,,,,,,,,,,,2.403778,,,,,,,,,,,,,8d61fc44-4870-431a-a2bc-675de88a49e3,11,,,"[50.6, 40.6]",68314,0,,,,-1.535195,,Right Foot,,,"[51.9, 4.1]",,Ground Pass,,36.523144,,,,,Giovanni van Bronckhorst,17797.0,,,,,,1,From Kick Off,Ronaldo de Assis Moreira,25879.0,Left Wing,2,Barcelona,217,['95495331-8b20-4c55-9e41-be3e53f33e02'],3,,,,,,,,,,,,,,,,Barcelona,217,00:00:03.290,Pass,,2004/2005
,,,,,,,,,,,,,,,,1.856926,,,,,,,,,,,,,cbe20d5f-28a1-4d26-8834-bf67468e9efe,15,,,"[49.7, 4.8]",68314,0,,,,2.7203088,,Left Foot,,,"[28.5, 14.3]",,Ground Pass,,23.23123,,,,,Oleguer Presas Renom,25873.0,,,,,,1,From Kick Off,Giovanni van Bronckhorst,17797.0,Left Back,2,Barcelona,217,"['947bac92-19d0-4372-89f2-2fc14264e379', 'b1f9b182-9530-4536-b733-7a2c4ba2f794']",6,,,,,,,,,,,,,,,,Barcelona,217,00:00:06.818,Pass,True,2004/2005
