ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,c15b53a8-6442-4001-8f5e-79628c3d659d,1,,,68350,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 25873, 'name': 'Oleguer Presas Renom'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 20125, 'name': 'Carles Puyol i Saforcada'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 5558, 'name': 'Rafael Márquez Álvarez'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 25854, 'name': 'Sylvio Mendes Campos Junior'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 16}, {'player': {'id': 19296, 'name': 'Mark van Bommel'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 17}, {'player': {'id': 19757, 'name': 'Anderson Luís de Souza'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 25925, 'name': 'Gabriel Francisco García de la Torre'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 18}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 24}, {'player': {'id': 15743, 'name': 'Henrik Larsson'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",Barcelona,217,00:00:00.000,Starting XI,,2005/2006
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0213c7b5-03ae-4624-8f00-5812596a145b,2,,,68350,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 26119, 'name': 'Leonardo Neoren Franco'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 25}, {'player': {'id': 6865, 'name': 'Francisco José Molinero Calderón'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 15}, {'player': {'id': 26120, 'name': 'Luis Amaranto Perea Mosquera'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 21}, {'player': {'id': 26117, 'name': 'Pablo Ibáñez Tébar'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 22}, {'player': {'id': 26118, 'name': 'Antonio López Guerrero'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 26121, 'name': 'Ariel Miguel Santiago Ibagaza'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 26123, 'name': 'Peter Luccin'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 26122, 'name': 'Luciano Martín Galletti'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 7}, {'player': {'id': 19888, 'name': 'Martin Petrov'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 17}, {'player': {'id': 26124, 'name': 'Maximiliano Rubén Rodríguez'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 11}, {'player': {'id': 6382, 'name': 'Fernando José Torres Sanz'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Atlético Madrid,212,00:00:00.000,Starting XI,,2005/2006
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,16328116-4c20-4bcc-b770-65c0ea204eea,3,,,68350,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['a066908a-e733-4e81-b284-3eae7d02fca8'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2005/2006
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,a066908a-e733-4e81-b284-3eae7d02fca8,4,,,68350,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['16328116-4c20-4bcc-b770-65c0ea204eea'],0,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:00.000,Half Start,,2005/2006
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,bfe5b177-0804-4c8b-a3f9-618f5a472504,1675,,,68350,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,120,Barcelona,217,['ad7a7936-5680-4632-b42e-3b8f804d6c3f'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2005/2006
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,ad7a7936-5680-4632-b42e-3b8f804d6c3f,1676,,,68350,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,120,Barcelona,217,['bfe5b177-0804-4c8b-a3f9-618f5a472504'],0,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:00.000,Half Start,,2005/2006
,,,,,,,,,,,,,,,1.0077,,,,,,,,,,,6fbb42ee-6c96-4ad2-9127-d3dbd3663c8b,5,,"[61.0, 41.0]",68350,0,,,,,-2.623337,,Right Foot,,,,"[48.9, 34.1]",,Ground Pass,,13.929106,,,,Peter Luccin,26123.0,,,,,,Kick Off,1,From Kick Off,Maximiliano Rubén Rodríguez,26124.0,Right Center Forward,2,Atlético Madrid,212,['e2949325-8650-473a-bebd-aa239dd35c06'],0,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:00.489,Pass,,2005/2006
,,,,,,,,,,,,,,,2.599186,,,,,,,,,,,1178181c-601f-4733-b6eb-c268cb78d114,8,,"[52.6, 41.8]",68350,0,,,,,0.6044919,,Right Foot,,,,"[87.2, 65.7]",,High Pass,,42.05199,,,,Fernando José Torres Sanz,6382.0,,,,,,,1,From Kick Off,Peter Luccin,26123.0,Left Defensive Midfield,2,Atlético Madrid,212,['c60d9387-ccba-4b49-8f3f-ca5125ff292a'],5,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:05.418,Pass,,2005/2006
,,,,,,,,,,,,,,,1.064341,,,,,,,,,,,d51c46f0-ce45-40b6-9ddf-11e9ede625b8,14,,"[91.0, 77.5]",68350,0,,,,,-0.5020902,,Right Foot,,,,"[96.1, 74.7]",,Ground Pass,,5.818075,,,,Fernando José Torres Sanz,6382.0,,,,,,Recovery,1,From Kick Off,Luciano Martín Galletti,26122.0,Right Midfield,2,Atlético Madrid,212,['804d56fa-8bc0-4b51-bb5c-dd1422d6f90b'],10,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:10.398,Pass,,2005/2006
,,,,,,,,,,,,,,,1.213762,,,,,,,,,,,dd8d4ced-c88a-4439-8b63-f93ff9d5423d,18,,"[101.6, 73.5]",68350,0,,,,,-2.2406888,,Right Foot,,,,"[93.6, 63.4]",,Low Pass,,12.884487,,,,Luciano Martín Galletti,26122.0,,,,,,,1,From Kick Off,Fernando José Torres Sanz,6382.0,Left Center Forward,2,Atlético Madrid,212,"['10837de5-4541-4d06-98d1-efd16f40ab76', 'e4d08cca-7b1d-4a74-be20-49f25d804bf6']",11,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:11.674,Pass,True,2005/2006
