50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.8977,,,,,,,,,,,,,f0a26bdd-da0f-4c39-b51b-31d53ae554b1,23,,,"[87.2, 21.5]",69296,0,,,,-3.056691,,Right Foot,,,"[77.8, 20.7]",,Ground Pass,,9.433981,,,,,Andrés Iniesta Luján,5216.0,,,,,,,1,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,3,Barcelona,217,['fb5ebdbc-bfb8-4931-9a74-42a325248f6e'],9,,,,,,,,,,,,,,,,,Barcelona,217,00:00:09.441,Pass,,2010/2011
,,,,,,,,,,,,,,,,2.0782,,,,,,,,,,,,,579addab-dfe4-45cf-9a7e-c4c3b8c0bf01,25,,,"[77.2, 20.8]",69296,0,,,,0.90975314,,Right Foot,,,"[84.9, 30.7]",,Ground Pass,,12.541929,,,Incomplete,,Xavier Hernández Creus,20131.0,,,,,,,1,Regular Play,Andrés Iniesta Luján,5216.0,Left Center Midfield,3,Barcelona,217,"['5db41094-6233-4e14-a85f-a820c2b507fe', 'b6879d3d-d445-406b-b0dd-b0314a51fce5']",10,,,,,,,,,,,,,,,,,Barcelona,217,00:00:10.339,Pass,,2010/2011
,,,,,,,,,,,,,,,,1.344282,,,,,,,,,,,,,5db41094-6233-4e14-a85f-a820c2b507fe,27,,,"[36.1, 50.3]",69296,0,,,,-1.4539837,,Right Foot,,,"[38.4, 30.7]",,Ground Pass,,19.734488,,,,,Nelson Antonio Haedo Valdez,26748.0,,,,,,Recovery,1,Regular Play,Matías Lionel Fritzler,26751.0,Right Defensive Midfield,4,Hércules,1218,"['579addab-dfe4-45cf-9a7e-c4c3b8c0bf01', 'd056d282-bae2-4fa3-9bb7-4a7bc36e285a']",12,,,,,,,,,,,,,,,,,Hércules,1218,00:00:12.417,Pass,,2010/2011
,,,,,,,,,,,,,,,,1.185332,,,,,,,,,,,,,77e889fd-820d-4c86-ae18-82c69d9ddeaf,31,,,"[44.3, 20.1]",69296,0,,,,-1.6131952,,Right Foot,,,"[43.6, 3.6]",,Ground Pass,,16.514841,,,,,Francisco Peña Romero,25900.0,,,,,,,1,Regular Play,Nelson Antonio Haedo Valdez,26748.0,Center Attacking Midfield,4,Hércules,1218,['8c2b00cf-8e08-4e25-beec-f0ef0976942c'],17,,,,,,,,,,,,,,,,,Hércules,1218,00:00:17.023,Pass,,2010/2011
,,,,,,,,,,,,,,,,4.0436,,,,,,,,,,,,,8d28f110-d993-470c-82ed-e207e3fd7ee5,35,,,"[50.3, 4.8]",69296,0,,,,0.23240949,,Left Foot,,,"[101.0, 16.8]",,High Pass,,52.10077,,,Incomplete,,Nelson Antonio Haedo Valdez,26748.0,,,,,,,1,Regular Play,Francisco Peña Romero,25900.0,Left Back,4,Hércules,1218,"['9a9f4f53-4332-46a7-8820-b7f0ed5500fe', '9d43d09f-8611-43d2-a777-406e466692c8', 'fda53736-9245-4a97-87b1-46988b73bfae']",18,,,,,,,,,,,,,,,,,Hércules,1218,00:00:18.806,Pass,True,2010/2011
,,,,,,,,,,,,,,,,1.087925,,,,,,,,,,,,,97892099-6172-4963-a420-ddb39f351c5f,39,,,"[51.0, 75.4]",69296,0,,,,-1.5635501,,Left Foot,,,"[51.1, 61.6]",,Ground Pass,,13.800363,,,,,Xavier Hernández Creus,20131.0,,,,,,Recovery,1,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,5,Barcelona,217,"['432e8e1f-cf4f-4dd9-8d7a-95bde949272d', 'bca3e37f-7265-4bfa-8551-1db2268514e5']",27,,,,,,,,,,,,,,,,,Barcelona,217,00:00:27.740,Pass,True,2010/2011
,,,,,,,,,,,,,,,,1.472017,,,,,,,,,,,,,75f5f123-66f4-49a2-ab2e-488354ee96cf,43,,,"[53.3, 58.5]",69296,0,,,,-1.4532307,,Right Foot,,,"[54.8, 45.8]",,Ground Pass,,12.788276,,,,,Andrés Iniesta Luján,5216.0,,,,,,,1,Regular Play,Xavier Hernández Creus,20131.0,Right Center Midfield,5,Barcelona,217,"['4f1d3ed7-d6e2-4acc-bb25-ab3fa29c9ce1', '53836e85-bdf7-4d89-945f-4f4ebeef9109']",29,,,,,,,,,,,,,,,,,Barcelona,217,00:00:29.382,Pass,True,2010/2011
,,,,,,,,,,,,,,,,2.247158,,,,,,,,,,,,,c26c701e-8e22-4440-84a4-13d4b065d991,46,,,"[65.0, 43.4]",69296,0,,,,-1.3772832,,Right Foot,,,"[71.8, 8.7]",,Ground Pass,,35.360004,,,,,David Villa Sánchez,12737.0,,,,,,,1,Regular Play,Andrés Iniesta Luján,5216.0,Left Center Midfield,5,Barcelona,217,['2ad478c9-c7dc-45bd-82ad-b5b035d0caa4'],31,,,,,,,,,,,,,,,,,Barcelona,217,00:00:31.548,Pass,,2010/2011
,,,,,,,,,,,,,,,,0.429,,,,,,,,,,,,,e94bd23b-efcf-412e-a76d-0eb3d95696ea,50,,,"[90.9, 18.7]",69296,0,,,,1.386112,,Right Foot,,,"[92.6, 27.8]",,Ground Pass,,9.257429,,,Incomplete,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,,1,Regular Play,David Villa Sánchez,12737.0,Left Wing,5,Barcelona,217,"['3a349256-23fc-40d4-8cac-18836a1302e1', '6159d9c5-2bd9-40c9-840b-47b3ecdafe3d']",38,,,,,,,,,,,,,,,,,Barcelona,217,00:00:38.652,Pass,,2010/2011
,,,,,,,,,,,,,,,,0.558128,,,,,,,,,,,,,3a349256-23fc-40d4-8cac-18836a1302e1,52,,,"[28.4, 53.2]",69296,0,,,,1.0691923,,Right Foot,,,"[30.1, 56.3]",,Ground Pass,,3.535534,,,,,Abel Enrique Aguilar Tapia,6192.0,,,,,,Recovery,1,Regular Play,Matías Lionel Fritzler,26751.0,Right Defensive Midfield,5,Barcelona,217,"['b9bed3c4-cebc-4caf-b848-85f09e8e9702', 'e94bd23b-efcf-412e-a76d-0eb3d95696ea']",39,,,,,,,,,,,,,,,,,Hércules,1218,00:00:39.081,Pass,,2010/2011
