bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_success_in_play,goalkeeper_technique,goalkeeper_type,half_start_late_video_start,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,4.202656,,,,,,,,,,,,,,,f21c50b7-af0e-4cc8-a638-20516c8bc034,17,,"[46.1, 20.4]",266240,0,,,,,0.008431504,,Right Foot,,,,"[105.4, 20.9]",High Pass,,59.30211,,,Incomplete,,Pedro Eliezer Rodríguez Ledesma,3958.0,,,,,,,1,From Kick Off,Andrés Iniesta Luján,5216.0,Left Center Midfield,2,Real Sociedad,210,"['760326c2-5236-44e8-9a01-5082b1e3bad3', '959983e9-8819-40f1-8d7a-b8b450ac311d']",11,,,,,,,,,,,,,,,,,Barcelona,217,00:00:11.049,Pass,,2014/2015
,,,,,,,,,,,,,,0.7703,,,,,,,,,,,,,,,fa563b97-fb5f-4ba9-9c98-c3299caff869,23,,"[40.9, 76.4]",266240,0,,,,,-2.9078496,,Right Foot,,,,"[32.5, 74.4]",Ground Pass,,8.634813,,,,,Carlos Martínez Díez,8724.0,,,,,,,1,From Kick Off,Xabier Prieto Argarate,6690.0,Right Wing,2,Real Sociedad,210,['c2ee8f07-7886-4b71-ad04-47ef04420fb8'],19,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:19.768,Pass,,2014/2015
,,,,,,,,,,,,,,3.2074,,,,,,,,,,,,,,,a655d52b-294b-4a3e-bd18-57630e25b17e,26,,"[32.5, 74.4]",266240,0,,,,,-0.35417536,,Right Foot,,,,"[75.5, 58.5]",High Pass,,45.8455,,,Incomplete,,,,,,,,,,1,From Kick Off,Carlos Martínez Díez,8724.0,Right Back,2,Real Sociedad,210,['354bd348-a142-488d-8533-5535e854d229'],20,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:20.578,Pass,,2014/2015
,,,,,,,,,,,,,,3.2132,,,,,,,,,,,,,,,4b96bd6b-c227-4e54-bdfb-88b5fc576d8f,28,,"[88.9, 80.0]",266240,0,,,,,-0.20663013,,,,,,"[118.0, 73.9]",Low Pass,,29.732473,,,,,Carlos Alberto Vela Garrido,5560.0,,,,,,Throw-in,1,From Throw In,Carlos Martínez Díez,8724.0,Right Back,3,Real Sociedad,210,['c4d1f3f6-1c83-4752-96dc-4a836358aa98'],31,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:31.673,Pass,,2014/2015
,,,,,,,,,,,,,,0.994304,,,,,,,,,,,,,,,b588df78-3c94-4289-a4d7-44934826339b,34,,"[120.0, 80.0]",266240,0,,,,,-1.789152,,Left Foot,,,,"[112.5, 46.2]",High Pass,,34.622105,,,Incomplete,,,,,True,,Straight,,Corner,1,From Corner,Sergio Canales Madrazo,6673.0,Center Attacking Midfield,4,Real Sociedad,210,['38bace7f-ef3b-4712-bdd6-1fa1e8e974cf'],57,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:57.742,Pass,,2014/2015
,,,,,,,,,,,,,,1.1547,,,,,,,,,,,,,,,3b91ccde-e7ef-4ee5-b39a-c8dac9d6a886,37,,"[92.0, 63.8]",266240,1,,,,,0.93449795,,Right Foot,,,,"[101.9, 77.2]",Ground Pass,,16.660433,,,,,Sergio Canales Madrazo,6673.0,,,,,,Recovery,1,From Corner,Gonzalo Castro Irizábal,6740.0,Left Wing,4,Real Sociedad,210,"['0a3fba23-af67-4a2b-8535-0237d6e8b157', 'dab17c49-1d31-43b5-b552-4a5b37c47e2d']",1,,,,,,,,,,,,,,,,,Real Sociedad,210,00:01:01.922,Pass,True,2014/2015
,,,,,,,,,,,,,,1.872516,,,,,,,,,,,,,,,9388867b-3d62-4d08-bb6a-97ede042aab9,41,,"[102.3, 76.8]",266240,1,,,,,-0.6932231,,Left Foot,,,,"[115.3, 66.0]",Ground Pass,,16.900888,,,,,Gonzalo Castro Irizábal,6740.0,,,,,,,1,From Corner,Sergio Canales Madrazo,6673.0,Center Attacking Midfield,4,Real Sociedad,210,"['121a7f30-394a-4073-bbe4-ebf02a4a914f', 'cc7881e5-bfa2-414d-861c-09a31bdeb79f']",3,,,,,,,,,,,,,,,,,Real Sociedad,210,00:01:03.671,Pass,True,2014/2015
,,,,,,,,,,,,,,0.188699,,,,,,,,,,,,,,,41a78f85-b343-4303-a298-770c00bee20e,45,,"[116.0, 59.9]",266240,1,,,,,-1.5707964,,Right Foot,,,,"[116.0, 56.0]",Ground Pass,,3.9,,,Incomplete,,Carlos Alberto Vela Garrido,5560.0,,,,,,,1,From Corner,Gonzalo Castro Irizábal,6740.0,Left Wing,4,Real Sociedad,210,"['af353aaa-a6a7-48ed-b87f-0cef0497a5a9', 'f1f55772-fb05-4d71-b0d5-667cd83b1203']",6,,,,,,,,,,,,,,,,,Real Sociedad,210,00:01:06.165,Pass,,2014/2015
,,,,,,,,,,,,,,1.2072,,,,,,,,,,,,,,,de26477d-5d5b-4433-b7c9-509c8481ed27,48,,"[120.0, 80.0]",266240,1,,True,,,-2.2520945,,Right Foot,,,,"[108.0, 65.2]",Ground Pass,,19.053608,,,,,Sergio Canales Madrazo,6673.0,,,,,,Corner,1,From Corner,Gonzalo Castro Irizábal,6740.0,Left Wing,5,Real Sociedad,210,['f0a7af4f-20ec-465e-b192-9302c53a4943'],18,,,,,,,,,,,,,,,,,Real Sociedad,210,00:01:18.198,Pass,,2014/2015
,,,,,,,,,,,,,,0.9203,,,,,,,,,,,,,,,31999b5e-12ef-4b1c-9fa6-cd616d8ec436,50,,"[108.0, 65.2]",266240,1,,,,,-1.3516462,,Left Foot,True,,,"[112.9, 43.2]",High Pass,,22.539078,,,Incomplete,,Carlos Alberto Vela Garrido,5560.0,,,,,,,1,From Corner,Sergio Canales Madrazo,6673.0,Center Attacking Midfield,5,Real Sociedad,210,"['80f4a634-95de-46ab-b824-d0c4d61b7a30', '9d45e73b-cde6-46a2-9b22-1f436e62715d']",20,,,,,,,,,,,,,,,,,Real Sociedad,210,00:01:20.426,Pass,,2014/2015
,,,,,,,,,,,,,,2.425752,,,,,,,,,,,,,,,048a5c19-8de5-40ba-bb67-1742cc488b62,55,,"[60.0, 40.0]",266240,2,,True,,,-1.677769,,Right Foot,,,,"[56.8, 10.2]",Ground Pass,,29.97132,,,,,Jordi Alba Ramos,5211.0,,,,,,Kick Off,1,From Kick Off,Luis Alberto Suárez Díaz,5246.0,Center Forward,6,Barcelona,217,['9162e835-7f86-4360-b73a-9620bb989178'],10,,,,,,,,,,,,,,,,,Barcelona,217,00:02:10.496,Pass,,2014/2015
