bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,da686eac-2161-4c27-b868-63f0e4903685,1,,,16182,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 41221, 'lineup': [{'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 6332, 'name': 'Thomas Vermaelen'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 8206, 'name': 'Arturo Erasmo Vidal Pardo'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 22}, {'player': {'id': 13599, 'name': 'Carles Aleña Castillo'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 5477, 'name': 'Ousmane Dembélé'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 8668, 'name': 'Kevin-Prince Boateng'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",Barcelona,217,00:00:00.000,Starting XI,,2018/2019
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,854c3839-fd64-4840-836f-1f38f7d278f3,2,,,16182,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 3412, 'lineup': [{'player': {'id': 11302, 'name': 'Jordi Masip López'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 22020, 'name': 'Joaquín Fernández Moreno'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 11304, 'name': 'Francisco José Olivas Alba'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 4}, {'player': {'id': 11293, 'name': 'Fernando Calero Villa'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 18164, 'name': 'Antonio Jesús Regal Angulo'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 18}, {'player': {'id': 11298, 'name': 'José Ignacio Martínez García'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 22}, {'player': {'id': 11303, 'name': 'Anuar Mohamed Tuhami'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 11301, 'name': 'Miguel Alfonso Herrero Javaloyas'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 7699, 'name': 'Daniele Verde'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 11}, {'player': {'id': 6760, 'name': 'Enes Ünal'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 17027, 'name': 'Sergio Guardiola Navarro'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 12}]}",Real Valladolid,901,00:00:00.000,Starting XI,,2018/2019
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,7744dd94-3ac2-4ae8-993c-1993c885af87,3,,,16182,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['337cb4bc-8ccc-44bd-88e2-37827cdb0bce'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2018/2019
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,337cb4bc-8ccc-44bd-88e2-37827cdb0bce,4,,,16182,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['7744dd94-3ac2-4ae8-993c-1993c885af87'],0,,,,,,,,,,,,,,,,,Real Valladolid,901,00:00:00.000,Half Start,,2018/2019
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,ba7e8843-e4a8-428e-829a-22b9d5ff3738,2222,,,16182,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,,,,94,Real Valladolid,901,['511ffbd0-f457-42ae-8d7b-1d3fca3dbca7'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2018/2019
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,511ffbd0-f457-42ae-8d7b-1d3fca3dbca7,2223,,,16182,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,,,,94,Real Valladolid,901,['ba7e8843-e4a8-428e-829a-22b9d5ff3738'],0,,,,,,,,,,,,,,,,,Real Valladolid,901,00:00:00.000,Half Start,,2018/2019
,,,,,,,,,,,,,,,,,,1.6266,,,,,,,,,,,,,,,c512275d-9fcd-4f30-aea0-f1cf329d4076,5,,"[61.0, 41.0]",16182,0,,,,-3.050933,,Left Foot,,,,"[50.0, 40.0]",Ground Pass,,11.045361,,,Daniele Verde,7699.0,,,,,,Kick Off,1,From Kick Off,Sergio Guardiola Navarro,17027.0,Left Center Forward,2,Real Valladolid,901,['2c0cdebc-fb0e-4514-a2e1-a4f5732d3ee3'],0,,,,,,,,,,,,,,,,,Real Valladolid,901,00:00:00.444,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,1.094996,,,,,,,,,,,,,,,3f48d3da-0f02-4926-9134-8d07f747341c,8,,"[50.0, 40.0]",16182,0,,,,-1.9614034,,Left Foot,,,,"[43.0, 23.0]",Ground Pass,,18.384777,,,Miguel Alfonso Herrero Javaloyas,11301.0,,,,,,,1,From Kick Off,Daniele Verde,7699.0,Center Attacking Midfield,2,Real Valladolid,901,['4a9b27cc-6177-41a6-a02a-f5b39bd2aaa5'],2,,,,,,,,,,,,,,,,,Real Valladolid,901,00:00:02.670,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,1.009134,,,,,,,,,,,,,,,22db27e8-5623-4b89-80d6-4f62a69cad30,11,,"[42.0, 26.0]",16182,0,,,,1.610775,,Right Foot,,,,"[41.0, 51.0]",Ground Pass,,25.019993,,,Anuar Mohamed Tuhami,11303.0,,,,,,,1,From Kick Off,Miguel Alfonso Herrero Javaloyas,11301.0,Left Defensive Midfield,2,Real Valladolid,901,['29ead0f4-dfd4-471c-9879-aa7b0635bed5'],4,,,,,,,,,,,,,,,,,Real Valladolid,901,00:00:04.685,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,1.506769,,,,,,,,,,,,,,,51d28cdf-25e4-4736-acf9-7a155ed166ed,14,,"[47.0, 62.0]",16182,0,,,,2.4805496,,Right Foot,,,,"[38.0, 69.0]",Ground Pass,,11.401754,,,Joaquín Fernández Moreno,22020.0,,,,,,,1,From Kick Off,Anuar Mohamed Tuhami,11303.0,Right Defensive Midfield,2,Real Valladolid,901,['4193e907-deeb-4ba0-8e1b-3618bfd7b559'],7,,,,,,,,,,,,,,,,,Real Valladolid,901,00:00:07.774,Pass,,2018/2019
