50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,3.0009,,,,,,,,,,,,,,30cf858d-a134-4aaa-afcd-a650bea76828,1953,,"[2.8, 66.4]",266236,46,,,,,1.1970695,,Right Foot,,,True,"[6.8, 76.6]",,Ground Pass,,10.956277,,,,,Javier Alejandro Mascherano,5506.0,,,,,,2,From Free Kick,Sergi Roberto Carnicer,6379.0,Right Back,85,Barcelona,217,['39198134-8e57-4f6c-a259-c87e43bb143b'],45,,,,,,,,,,,,,,,,Barcelona,217,00:01:45.471,Pass,,2015/2016
,,,,,,,,,,,,,,,,,,1.6824,,,,,,,,,,,,,,29e0315c-1334-41b1-b2ca-2c998e0decd7,1962,,"[16.7, 69.6]",266236,46,,,,,0.6300339,,Left Foot,,,,"[26.3, 76.6]",,Ground Pass,,11.881078,,,,,Ivan Rakitić,5470.0,,,,,,2,From Free Kick,Javier Alejandro Mascherano,5506.0,Right Center Back,85,Barcelona,217,"['077453e3-17a8-4da7-baf5-1f493135625b', 'e884b24a-79f3-483b-a4a0-00220aabf04a']",51,,,,,,,,,,,,,,,,Barcelona,217,00:01:51.470,Pass,True,2015/2016
,,,,,,,,,,,,,,,,,,0.732,,,,,,,,,,,,,,79ffc483-67a5-4cc0-bb13-42e3be7e5794,1969,,"[88.3, 3.3]",266236,46,,,,,-0.14601226,,Left Foot,,,,"[95.1, 2.3]",,Ground Pass,,6.873136,,,,,Sabin Merino Zuloaga,6666.0,,,,,,2,From Free Kick,Mikel Balenziaga Oruesagasti,6789.0,Left Back,85,Barcelona,217,"['79671155-89e4-4115-9cd2-197cebd49b60', 'ba07306f-421a-442a-98d8-3a0f250ad577']",55,,,,,,,,,,,,,,,,Athletic Club,215,00:01:55.431,Pass,True,2015/2016
,,,,,,,,,,,,,,,,,,0.0624,,,,,,,,,,,,,,50258133-f9a5-48ae-a479-0293e6521ee0,1976,,"[26.3, 76.8]",266236,46,,,,,0.0,,Right Foot,,,,"[29.9, 76.8]",,Ground Pass,,3.6,,,Incomplete,,,,,,,,,2,From Free Kick,Ivan Rakitić,5470.0,Right Center Midfield,85,Barcelona,217,['da324408-e0aa-4a50-8add-5f2ee28d0da3'],58,,,,,,,,,,,,,,,,Barcelona,217,00:01:58.813,Pass,,2015/2016
,,,,,,,,,,,,,,,,,,3.528153,,,,,,,,,,,,,,373f34c5-b235-4b99-a941-318d77870aa7,1981,,"[16.3, 74.0]",266236,47,,,,,0.111535184,,Right Foot,,,,"[66.3, 79.6]",,High Pass,,50.312622,,,Out,,,,,,,,,2,From Free Kick,Javier Alejandro Mascherano,5506.0,Right Center Back,85,Barcelona,217,['5c97d942-0ac9-413d-a391-28fcb262bc5c'],1,,,,,,,,,,,,,,,,Barcelona,217,00:02:01.939,Pass,True,2015/2016
,,,,,,,,,,,,,,,,,,3.1717,,,,,,,,,,,,,,d7aaeb59-983c-45fc-a475-8f39d373973b,1982,,"[42.7, 0.1]",266236,47,,,,,2.495439,,,,,,"[12.6, 22.8]",,Low Pass,,37.700134,,,,,Gorka Iraizoz Moreno,6576.0,,,,,Throw-in,2,From Throw In,Aymeric Laporte,4353.0,Left Center Back,86,Athletic Club,215,['b4860975-c050-4728-8e21-804ee08dbbaa'],8,,,,,,,,,,,,,,,,Athletic Club,215,00:02:08.791,Pass,,2015/2016
,,,,,,,,,,,,,,,,,,1.936,,,,,,,,,,,,,,581eff00-8938-4b28-8129-ae1c44303b4d,1985,,"[12.6, 23.2]",266236,47,,,,,-1.0662359,,Right Foot,,,,"[23.7, 3.1]",,Ground Pass,,22.961271,,,,,Aymeric Laporte,4353.0,,,,,,2,From Throw In,Gorka Iraizoz Moreno,6576.0,Goalkeeper,86,Athletic Club,215,['1aece9fb-aa53-49fa-97ef-a6fff040d142'],12,,,,,,,,,,,,,,,,Athletic Club,215,00:02:12.182,Pass,,2015/2016
,,,,,,,,,,,,,,,,,,1.9755,,,,,,,,,,,,,,5562f3be-1a00-4dc7-95f7-6621b069c87f,1988,,"[24.3, 3.5]",266236,47,,,,,2.1701975,,Left Foot,,,,"[9.2, 25.6]",,Ground Pass,,26.766024,,,,,Gorka Iraizoz Moreno,6576.0,,,,,,2,From Throw In,Aymeric Laporte,4353.0,Left Center Back,86,Athletic Club,215,['17612d90-06ec-4adf-ad9c-a5867050e279'],14,,,,,,,,,,,,,,,,Athletic Club,215,00:02:14.895,Pass,,2015/2016
,,,,,,,,,,,,,,,,,,2.6547,,,,,,,,,,,,,,62bc7c17-48f1-446d-93a8-59d84c0fabd2,1991,,"[10.7, 34.7]",266236,47,,,,,0.20593601,,Right Foot,,,,"[62.4, 45.5]",,High Pass,,52.816,,,Unknown,,,,,,,,,2,From Throw In,Gorka Iraizoz Moreno,6576.0,Goalkeeper,86,Athletic Club,215,,18,,,,,,,,,,,,,,,,Athletic Club,215,00:02:18.825,Pass,,2015/2016
,,,,,,,,,,,,,,,,,,2.2572,,,,,,,,,,,,,,ec13be76-d9b6-4ce9-a703-9288819f1be7,1994,,"[58.9, 35.0]",266236,47,,True,,,-1.3543252,,Left Foot,,,,"[64.2, 10.9]",,Ground Pass,,24.6759,,,,,Jordi Alba Ramos,5211.0,,,,,Free Kick,2,From Free Kick,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,87,Barcelona,217,['29e9494b-5892-4e39-bb79-a552e6d45524'],27,,,,,,,,,,,,,,,,Barcelona,217,00:02:27.578,Pass,,2015/2016
,,,,,,,,,,,,,,,,,,0.707906,,,,,,,,,,,,,,23454af1-d979-4b09-9ea9-5b1ca544f5e3,1996,,"[64.0, 12.1]",266236,47,,,,,1.7728214,,Left Foot,,,,"[62.3, 20.4]",,Ground Pass,,8.472308,,,,,Andrés Iniesta Luján,5216.0,,,,,,2,From Free Kick,Jordi Alba Ramos,5211.0,Left Back,87,Barcelona,217,['26479d05-3b17-47dc-9af5-4819d1dd5be9'],29,,,,,,,,,,,,,,,,Barcelona,217,00:02:29.841,Pass,,2015/2016
,,,,,,,,,,,,,,,,,,0.9146,,,,,,,,,,,,,,e829499e-9e28-4c22-aca9-98a01baace79,1999,,"[62.5, 20.2]",266236,47,,,,,-1.2490457,,Right Foot,,,,"[65.9, 10.0]",,Ground Pass,,10.751744,,,,,Jordi Alba Ramos,5211.0,,,,,,2,From Free Kick,Andrés Iniesta Luján,5216.0,Left Center Midfield,87,Barcelona,217,['6a8feedc-d9fe-4ed3-b284-83fff56f78db'],30,,,,,,,,,,,,,,,,Barcelona,217,00:02:30.589,Pass,,2015/2016
,,,,,,,,,,,,,,,,,,0.6601,,,,,,,,,,,,,,1c9974ee-2d71-4d12-b609-52b98b3a0f28,2001,,"[65.9, 10.0]",266236,47,,,,,1.8797271,,Left Foot,,,,"[62.9, 19.4]",,Ground Pass,,9.867117,,,,,Andrés Iniesta Luján,5216.0,,,,,,2,From Free Kick,Jordi Alba Ramos,5211.0,Left Back,87,Barcelona,217,['42cb1933-3c15-4b08-a513-cdea91cfeb83'],31,,,,,,,,,,,,,,,,Barcelona,217,00:02:31.503,Pass,,2015/2016
,,,,,,,,,,,,,,,,,,1.9185,,,,,,,,,,,,,,723a1a1d-6b7c-488b-9d64-91df741b4551,2004,,"[57.2, 19.8]",266236,47,,,,,1.8970717,,Right Foot,,,,"[46.0, 52.9]",,Low Pass,,34.943527,,,,,Javier Alejandro Mascherano,5506.0,,,,,,2,From Free Kick,Andrés Iniesta Luján,5216.0,Left Center Midfield,87,Barcelona,217,['b5b5743a-96b9-4e9c-a6f8-c2024f298e0e'],35,,,,,,,,,,,,,,,,Barcelona,217,00:02:35.125,Pass,,2015/2016
