50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,60d84aa9-5b78-49f2-9e97-b9c7836a26a4,1,,,267506,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Granada,1049,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 8697, 'name': 'Andrés Eduardo Fernández Moreno'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6702, 'name': 'David Rodríguez Lombán'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 4498, 'name': 'Jean-Sylvain Claude Babin'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 19454, 'name': 'Ricardo Miguel Moreira da Costa'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 20064, 'name': 'Hugo Miguel Almeida Costa Lopes'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 3292, 'name': 'Abdoulaye Doucouré'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 6599, 'name': 'Rubén Salvador Pérez Del Mármol'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 6680, 'name': 'Rubén Rochina Naixes'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 23}, {'player': {'id': 25707, 'name': 'Francisco Manuel Rico Castro'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 4}, {'player': {'id': 6847, 'name': 'Adalberto Peñaranda Maestre'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 27}, {'player': {'id': 27109, 'name': 'Youssef El-Arabi'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Granada,1049,00:00:00.000,Starting XI,,2015/2016
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,7ec720b6-ea37-4ed8-82bd-b61785b5844a,2,,,267506,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Granada,1049,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 6}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 14}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 4320, 'name': 'Neymar da Silva Santos Junior'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2015/2016
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,72f8c17f-842e-4009-8c3f-fa2276ab70b0,3,,,267506,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Granada,1049,['7aeb2434-0eb8-4c45-9a74-242884f18d80'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2015/2016
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,7aeb2434-0eb8-4c45-9a74-242884f18d80,4,,,267506,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Granada,1049,['72f8c17f-842e-4009-8c3f-fa2276ab70b0'],0,,,,,,,,,,,,,,,,,Granada,1049,00:00:00.000,Half Start,,2015/2016
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,099ff1a4-f9cd-4531-ae38-84e7300e3b1d,1578,,,267506,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,82,Granada,1049,['59fe04fc-a3ab-447d-8a8f-01f938da347b'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2015/2016
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,59fe04fc-a3ab-447d-8a8f-01f938da347b,1579,,,267506,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,82,Granada,1049,['099ff1a4-f9cd-4531-ae38-84e7300e3b1d'],0,,,,,,,,,,,,,,,,,Granada,1049,00:00:00.000,Half Start,,2015/2016
,,,,,,,,,,,,,,,,,0.673472,,,,,,,,,,,,780f32d3-74cd-4c2b-8ffc-c012dbceb555,5,,"[60.0, 40.0]",267506,0,,,,-1.1955255,,Right Foot,,,,"[61.3, 36.7]",,Ground Pass,,3.5468295,,,,Neymar da Silva Santos Junior,4320.0,,,,,Kick Off,1,From Kick Off,Luis Alberto Suárez Díaz,5246.0,Center Forward,2,Barcelona,217,['6e3e4780-9ca0-4cd6-b5d8-c6fc1fa5eaa0'],1,,,,,,,,,,,,,,,,,Barcelona,217,00:00:01.581,Pass,,2015/2016
,,,,,,,,,,,,,,,,,1.313755,,,,,,,,,,,,c25d063f-97f1-4ab8-a22f-d6e7fa862aee,8,,"[57.6, 37.6]",267506,0,,,,3.0973737,,Left Foot,,,,"[46.3, 38.1]",,Ground Pass,,11.311056,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Kick Off,Neymar da Silva Santos Junior,4320.0,Left Wing,2,Barcelona,217,['ed09c0b3-6573-4a9c-b380-b9d22dc7e943'],2,,,,,,,,,,,,,,,,,Barcelona,217,00:00:02.374,Pass,,2015/2016
,,,,,,,,,,,,,,,,,1.116346,,,,,,,,,,,,e999da65-7cc9-4b4b-94ad-0a724a89f9aa,11,,"[46.3, 40.0]",267506,0,,,,1.1664013,,Right Foot,,,,"[56.7, 64.3]",,Ground Pass,,26.431988,,,,Ivan Rakitić,5470.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['ac81ce6e-ca2e-4fee-ae8f-39eaae415023'],4,,,,,,,,,,,,,,,,,Barcelona,217,00:00:04.671,Pass,,2015/2016
,,,,,,,,,,,,,,,,,0.997082,,,,,,,,,,,,400c7391-a233-4c58-b722-fa109b05eb47,14,,"[55.9, 60.6]",267506,0,,,,-1.5889761,,Right Foot,,,,"[55.6, 44.1]",,Ground Pass,,16.502728,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Kick Off,Ivan Rakitić,5470.0,Right Center Midfield,2,Barcelona,217,['b669b5af-8546-41be-9622-c3dc5515d772'],6,,,,,,,,,,,,,,,,,Barcelona,217,00:00:06.987,Pass,,2015/2016
