50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.666459,,,,,,,,,,,,49fdff37-6b4a-4cf0-8335-21601c790dcc,17,,"[45.0, 33.3]",303596,0,,,,,1.784165,,Right Foot,,,"[43.7, 39.3]",Ground Pass,,6.1392183,,,,Carlos Henrique Casimiro,5539.0,,,,,,1,From Kick Off,Toni Kroos,5574.0,Left Center Midfield,2,Real Madrid,220,['2a5d5a0c-99e6-408e-b61e-0f3b36768ceb'],5,,,,,,,,,,,,,,,,Real Madrid,220,00:00:05.512,Pass,,2019/2020
,,,,,,,,,,,,,,,,1.679796,,,,,,,,,,,,99b2aae8-d4b2-4fa4-8e8d-90d75f752f8e,20,,"[43.7, 39.1]",303596,0,,,,,-1.9837062,,Right Foot,,,"[34.5, 18.1]",Ground Pass,,22.92684,,,,Sergio Ramos García,5201.0,,,,,,1,From Kick Off,Carlos Henrique Casimiro,5539.0,Center Defensive Midfield,2,Real Madrid,220,['55647a12-ae03-45be-abe1-a88782ce0d18'],6,,,,,,,,,,,,,,,,Real Madrid,220,00:00:06.675,Pass,,2019/2020
,,,,,,,,,,,,,,,,1.921844,,,,,,,,,,,,cbbda96f-4dcf-4f8e-a659-b1d21e4a7d01,23,,"[34.3, 19.8]",303596,0,,,,,1.5658336,,Right Foot,,,"[34.5, 60.1]",Ground Pass,,40.300495,,,,Raphaël Varane,5485.0,,True,,,,1,From Kick Off,Sergio Ramos García,5201.0,Left Center Back,2,Real Madrid,220,['f3344133-d356-4d14-91ab-273fe5d6f089'],10,,,,,,,,,,,,,,,,Real Madrid,220,00:00:10.344,Pass,,2019/2020
,,,,,,,,,,,,,,,,1.147201,,,,,,,,,,,,a2693e9c-f02a-4caf-bd40-63a38f7d7b06,26,,"[33.8, 65.8]",303596,0,,,,,0.9354251,,Right Foot,,,"[41.1, 75.7]",Ground Pass,,12.300406,,,,Daniel Carvajal Ramos,5721.0,,,,,,1,From Kick Off,Raphaël Varane,5485.0,Right Center Back,2,Real Madrid,220,['29aab008-a331-41eb-be7d-20e07ace32f1'],13,,,,,,,,,,,,,,,,Real Madrid,220,00:00:13.524,Pass,,2019/2020
,,,,,,,,,,,,,,,,1.352439,,,,,,,,,,,,03e1f52e-8d57-4501-a737-fbd2e9ceddb4,29,,"[37.3, 72.0]",303596,0,,,,,-1.1037358,,Right Foot,,,"[43.2, 60.3]",Ground Pass,,13.103435,,,,Carlos Henrique Casimiro,5539.0,,,,,,1,From Kick Off,Daniel Carvajal Ramos,5721.0,Right Back,2,Real Madrid,220,['3cd1ff6d-85a3-4f67-be7a-a62c9cd0a9c6'],15,,,,,,,,,,,,,,,,Real Madrid,220,00:00:15.697,Pass,,2019/2020
,,,,,,,,,,,,,,,,5.730535,,,,,,,,,,,,24fc6405-9381-4db6-bf34-77f4cbe9a24a,33,,"[44.3, 60.3]",303596,0,,,,,0.12167852,,Right Foot,,,"[117.9, 69.3]",High Pass,,74.14823,,Incomplete,,Gareth Frank Bale,6399.0,,,,,,1,From Kick Off,Carlos Henrique Casimiro,5539.0,Center Defensive Midfield,2,Real Madrid,220,"['02b1dae7-f043-459f-9008-969e8f7bfbbc', '0ce247a9-e3f5-4f92-9f6e-4cce2605c5b3', 'a271d742-2e18-40a5-aa86-5fa2c03d7ead']",18,,,,,,,,,,,,,,,,Real Madrid,220,00:00:18.196,Pass,True,2019/2020
,,,,,,,,,,,,,,,,0.736211,,,,,,,,,,,,cbb98e52-f4da-4c85-b2bc-b7376772b418,37,,"[107.2, 80.0]",303596,0,,,,,-2.7023304,,,,,"[98.9, 76.1]",Low Pass,,9.170606,,,,Federico Santiago Valverde Dipetta,6773.0,,,,,Throw-in,1,From Throw In,Daniel Carvajal Ramos,5721.0,Right Back,3,Real Madrid,220,['ed21d52c-9f69-4b07-9cea-e54bd20feb63'],38,,,,,,,,,,,,,,,,Real Madrid,220,00:00:38.757,Pass,,2019/2020
,,,,,,,,,,,,,,,,0.731126,,,,,,,,,,,,3315a9df-7866-4b73-8e88-f3ad0a270004,39,,"[98.9, 76.1]",303596,0,,,,,0.29736516,,Right Foot,,,"[105.1, 78.0]",Low Pass,,6.484597,,,,Daniel Carvajal Ramos,5721.0,,,,,,1,From Throw In,Federico Santiago Valverde Dipetta,6773.0,Right Center Midfield,3,Real Madrid,220,['5e2a57aa-4a2e-412c-bec3-0fb6ef1e0f02'],39,,,,,,,,,,,,,,,,Real Madrid,220,00:00:39.493,Pass,,2019/2020
,,,,,,,,,,,,,,,,0.170074,,,,,,,,,,,,4b77cbf7-f0d4-49a2-9de1-ab471df70d9b,43,,"[111.7, 74.0]",303596,0,,,,,-1.6220335,,Right Foot,,,"[111.5, 70.1]",Low Pass,,3.905125,,Incomplete,,Karim Benzema,19677.0,,,,,,1,From Throw In,Daniel Carvajal Ramos,5721.0,Right Back,3,Real Madrid,220,"['43bb31ce-f39e-41a8-8ae2-970bd2055bb0', '9717abda-2ef6-4a09-916b-2b1ee970ef65']",41,,,,,,,,,,,,,,,,Real Madrid,220,00:00:41.861,Pass,,2019/2020
,,,,,,,,,,,,,,,,1.728983,,,,,,,,,,,,1473356e-3e6a-47f2-879e-524ffbc8aed8,46,,"[113.8, 80.0]",303596,0,,,,,-1.6926388,,,,,"[110.2, 50.6]",High Pass,,29.619589,,Unknown,,Gareth Frank Bale,6399.0,,,,,Throw-in,1,From Throw In,Daniel Carvajal Ramos,5721.0,Right Back,4,Real Madrid,220,['e47f69a4-07e1-429b-af76-b954f784deb9'],55,,,,,,,,,,,,,,,,Real Madrid,220,00:00:55.655,Pass,,2019/2020
,,,,,,,,,,,,,,,,1.999392,,,,,,,,,,,,ef7f7639-f752-4512-88e2-e3bd447a0be6,50,,"[5.4, 37.8]",303596,1,,,,,-0.20210241,,Right Foot,,,"[50.3, 28.6]",High Pass,,45.832848,,,,Antoine Griezmann,5487.0,,,,,Free Kick,1,From Free Kick,Marc-André ter Stegen,20055.0,Goalkeeper,5,Barcelona,217,['009681bc-2451-44e4-950c-1ea518c7f74f'],16,,,,,,,,,,,,,,,,Barcelona,217,00:01:16.450,Pass,,2019/2020
