bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,1.596665,,,,,,,,,,,02a07334-c1d5-4205-8efd-f009f4bb4041,2726,,"[22.5, 26.9]",3773565,65,,,,-2.071237,,Right Foot,,,"[12.0, 7.7]",,Ground Pass,,21.883556,,,Samuel Yves Umtiti,5492.0,,,,,,,2,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,101,Barcelona,217,['c65a82d0-b20d-4f71-9a65-27ef8328aab3'],40,,,,,,,,,,,,,,,,Barcelona,217,00:20:40.906,Pass,,2020/2021
,,,,,,,,,,,,,,,0.25962,,,,,,,,,,,b95ffff1-6796-42b6-8cca-2a000f229561,2730,,"[11.9, 6.1]",3773565,65,,,,-0.29544082,,Left Foot,,,"[14.2, 5.4]",,Ground Pass,,2.4041631,,Incomplete,Jordi Alba Ramos,5211.0,,,,,,,2,Regular Play,Samuel Yves Umtiti,5492.0,Left Center Back,101,Barcelona,217,"['1a8056d0-e5b7-4f7d-8e4d-f2960f477d3d', '3280c174-49a5-4222-9ef1-4b69ff9c0221', 'e216d3bc-6ea3-4721-ae9f-fe3ba019431c']",46,,,,,,,,,,,,,,,,Barcelona,217,00:20:46.428,Pass,True,2020/2021
,,,,,,,,,,,,,,,1.314236,,,,,,,,,,,d121d65e-5ecb-44cf-9b67-0b51abf16d89,2733,,"[21.7, 0.1]",3773565,65,,,,0.14053093,,,,,"[42.2, 3.0]",,Low Pass,,20.704105,,,Martin Braithwaite Christensen,4447.0,,,,,,Throw-in,2,From Throw In,Jordi Alba Ramos,5211.0,Left Back,102,Barcelona,217,['9b1f314c-caf2-4c4f-8ed5-b48ec994eab4'],59,,,,,,,,,,,,,,,,Barcelona,217,00:20:59.160,Pass,,2020/2021
,,,,,,,,,,,,,,,1.141597,,,,,,,,,,,2202c772-ac08-4936-855f-319c8bd892da,2736,,"[42.2, 2.8]",3773565,66,,,,1.524957,,Right Foot,,,"[42.7, 13.7]",,Ground Pass,,10.911462,,,Pedro González López,30486.0,,,,,,,2,From Throw In,Martin Braithwaite Christensen,4447.0,Center Forward,102,Barcelona,217,"['075909aa-fe6b-4557-8a22-1f51705eb188', '375efdc1-9daf-4fd9-88f1-96d714cc0bca']",0,,,,,,,,,,,,,,,,Barcelona,217,00:21:00.474,Pass,True,2020/2021
,,,,,,,,,,,,,,,3.343697,,,,,,,,,,,7d79e72e-ab6e-4ed4-af84-eb4d7279633b,2739,,"[42.6, 17.8]",3773565,66,,,,1.4383677,,Right Foot,,,"[49.7, 71.1]",,Ground Pass,,53.77081,,,Ousmane Dembélé,5477.0,,,True,,,,2,From Throw In,Pedro González López,30486.0,Left Center Midfield,102,Barcelona,217,['9bc1d70a-5784-4366-9233-d839c5cb7229'],3,,,,,,,,,,,,,,,,Barcelona,217,00:21:03.570,Pass,,2020/2021
,,,,,,,,,,,,,,,1.226996,,,,,,,,,,,88e7a08c-bd58-4d5e-96fb-e4f48019773e,2742,,"[59.1, 68.2]",3773565,66,,,,0.6019182,,Left Foot,,,"[70.6, 76.1]",,Ground Pass,,13.952061,,,Sergino Dest,21881.0,,,,,,,2,From Throw In,Ousmane Dembélé,5477.0,Right Wing,102,Barcelona,217,['73bc7400-7abe-4369-8039-a67dd3fc30aa'],8,,,,,,,,,,,,,,,,Barcelona,217,00:21:08.611,Pass,,2020/2021
,,,,,,,,,,,,,,,0.989163,,,,,,,,,,,e4075a0b-bf13-42af-83b9-d02e98afaa47,2745,,"[70.6, 76.1]",3773565,66,,,,-1.990993,,Right Foot,,,"[66.4, 66.7]",,Ground Pass,,10.29563,,,Ousmane Dembélé,5477.0,,,,,,,2,From Throw In,Sergino Dest,21881.0,Right Back,102,Barcelona,217,['b2789d34-2a84-4da5-b8bd-fba2846a609b'],10,,,,,,,,,,,,,,,,Barcelona,217,00:21:10.856,Pass,,2020/2021
,,,,,,,,,,,,,,,0.88344,,,,,,,,,,,19648a1d-b048-45b3-9aae-28280d0c9e4f,2748,,"[66.4, 66.7]",3773565,66,,,,-1.3363806,,Right Foot,,,"[69.6, 53.3]",,Ground Pass,,13.776793,,,Antoine Griezmann,5487.0,,,,,,,2,From Throw In,Ousmane Dembélé,5477.0,Right Wing,102,Barcelona,217,['ddbbf636-a2ea-40e9-9610-3b7de4324404'],12,,,,,,,,,,,,,,,,Barcelona,217,00:21:12.261,Pass,,2020/2021
,,,,,,,,,,,,,,,1.161383,,,,,,,,,,,3296f6dc-ebce-4c1d-9241-625710b6b1d0,2750,,"[69.6, 53.3]",3773565,66,,,,-2.633282,,Left Foot,,,"[62.6, 49.4]",,Ground Pass,,8.013114,,,Sergio Busquets i Burgos,5203.0,,,,,,,2,From Throw In,Antoine Griezmann,5487.0,Left Wing,102,Barcelona,217,['d6a1667c-75f9-436c-8801-d70440ed75a5'],13,,,,,,,,,,,,,,,,Barcelona,217,00:21:13.144,Pass,,2020/2021
,,,,,,,,,,,,,,,2.433128,,,,,,,,,,,71c913c4-c928-4793-836c-152b7ce77cf0,2753,,"[62.6, 49.4]",3773565,66,,,,-0.50730455,2bfc3510-9861-4568-b205-d5f35db5439f,Right Foot,,,"[103.8, 26.5]",,High Pass,,47.136505,,,Jordi Alba Ramos,5211.0,True,,,,,,2,From Throw In,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,102,Barcelona,217,['acd86506-8517-4668-85bc-581e6595d819'],15,,,,,,,,,,,,,,,,Barcelona,217,00:21:15.594,Pass,,2020/2021
,,,,,,,,,,,,,,,3.289704,,,,,,,,,,,64593865-ac4c-4f51-8388-32af29e174e1,2759,,"[6.0, 44.0]",3773565,67,,,,0.18685696,,Left Foot,,,"[70.0, 56.1]",,High Pass,,65.13379,,,Alberto Soro Álvarez,24037.0,,,,,,Goal Kick,2,From Goal Kick,Rui Tiago Dantas da Silva,24140.0,Goalkeeper,103,Granada,1049,['c4a4d8b9-5983-42bf-8485-129bcd03fd2e'],0,,,,,,,,,,,,,,,,Granada,1049,00:22:00.901,Pass,,2020/2021
,,,,,,,,,,,,,,,1.936878,,,,,,,,,,,c5d4ea1f-59c4-4d81-949d-8c1fa468bbc1,2762,,"[69.3, 55.8]",3773565,67,,,True,-0.8637713,,,,,"[78.1, 45.5]",,High Pass,,13.547324,,,Robert Kenedy Nunes do Nascimento,3666.0,,,,,,,2,From Goal Kick,Alberto Soro Álvarez,24037.0,Right Center Midfield,103,Granada,1049,"['0498293c-c25f-48c7-9746-260f349ccf47', '9f6b0393-2df4-4b39-bff6-19df59517f8e']",4,,,,,,,,,,,,,,,,Granada,1049,00:22:04.191,Pass,True,2020/2021
,,,,,,,,,,,,,,,0.987552,,,,,,,,,,,3d74e8da-d170-40f0-92bf-25dc5aea48b0,2767,,"[76.2, 72.2]",3773565,67,,,,2.4980915,,Left Foot,,,"[69.4, 77.3]",,Ground Pass,,8.5,,,Jesús Vallejo Lázaro,6893.0,,,,,,,2,From Goal Kick,Robert Kenedy Nunes do Nascimento,3666.0,Left Wing,103,Granada,1049,['b9d7f6e5-5c21-49a2-beaf-44ba2859f66a'],10,,,,,,,,,,,,,,,,Granada,1049,00:22:10.354,Pass,,2020/2021
,,,,,,,,,,,,,,,0.185141,,,,,,,,,,,0058a192-716f-4251-a502-3a2011212066,2771,,"[69.4, 76.7]",3773565,67,,,,-0.012819811,,Right Foot,,,"[77.2, 76.6]",,Low Pass,,7.800641,,Incomplete,José Antonio Rodríguez Díaz,24126.0,,,,,,,2,From Goal Kick,Jesús Vallejo Lázaro,6893.0,Right Back,103,Granada,1049,"['480c9b6b-cc96-4f8d-afff-5845c3307a52', '88aeb0c4-8cbb-4960-bc22-821216b05304', 'fa721d48-3260-426a-a98c-59884c182c76']",12,,,,,,,,,,,,,,,,Granada,1049,00:22:12.067,Pass,True,2020/2021
