ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,1.7412,,,,,,,,,,,,,,,fd0c0613-6f87-4a9e-a821-2b892fd04268,16,,"[46.3, 36.5]",69282,0,,,,-1.5451609,,Right Foot,,,"[47.0, 9.2]",,Ground Pass,,27.308973,,,,,Eric-Sylvain Bilal Abidal,20177.0,,,,,,,1,From Kick Off,Javier Alejandro Mascherano,5506.0,Center Defensive Midfield,2,Barcelona,217,['1b8bff6a-23f6-45cd-8aca-c5991718d25e'],5,,,,,,,,,,,,,,,,,Barcelona,217,00:00:05.067,Pass,,2010/2011
,,,,,,,,,,,,,,,1.1092,,,,,,,,,,,,,,,3cf407e3-90f2-46e7-b826-6a7aae079334,19,,"[60.2, 9.6]",69282,0,,,,-0.6267429,,Right Foot,,,"[71.8, 1.2]",,Ground Pass,,14.322011,,,,,Pedro Eliezer Rodríguez Ledesma,3958.0,,,,,,,1,From Kick Off,Eric-Sylvain Bilal Abidal,20177.0,Left Back,2,Barcelona,217,['ff998dcd-3c92-4cf4-bc89-6079a284b3af'],9,,,,,,,,,,,,,,,,,Barcelona,217,00:00:09.102,Pass,,2010/2011
,,,,,,,,,,,,,,,1.5419,,,,,,,,,,,,,,,76034ed1-9771-4133-baaa-32860aad8411,21,,"[72.4, 1.4]",69282,0,,,,2.894872,,Right Foot,,,"[58.9, 4.8]",,Ground Pass,,13.921566,,,,,Eric-Sylvain Bilal Abidal,20177.0,,,,,,,1,From Kick Off,Pedro Eliezer Rodríguez Ledesma,3958.0,Left Wing,2,Barcelona,217,['4dad479a-3efc-4aee-8951-c86d549d5eeb'],10,,,,,,,,,,,,,,,,,Barcelona,217,00:00:10.211,Pass,,2010/2011
,,,,,,,,,,,,,,,1.285305,,,,,,,,,,,,,,,e2d806f0-c922-413f-807c-6d7db2693ce6,25,,"[52.9, 10.9]",69282,0,,,,2.438846,,Left Foot,,,"[34.6, 26.4]",,Ground Pass,,23.982077,,,,,Sergio Busquets i Burgos,5203.0,,,,,,,1,From Kick Off,Eric-Sylvain Bilal Abidal,20177.0,Left Back,2,Barcelona,217,['566c06c2-ce01-41b8-b73a-c8afd41e9871'],14,,,,,,,,,,,,,,,,,Barcelona,217,00:00:14.260,Pass,,2010/2011
,,,,,,,,,,,,,,,2.1398,,,,,,,,,,,,,,,5cc75ca0-0b7c-4d97-a19e-05bdc61f7fbb,29,,"[51.2, 32.5]",69282,0,,,,1.7551857,,Right Foot,,,"[46.5, 57.7]",,Ground Pass,,25.634546,,,,,Gerard Piqué Bernabéu,5213.0,,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Left Center Back,2,Barcelona,217,['386a48f6-3976-4284-bd3d-9b213381a6ce'],21,,,,,,,,,,,,,,,,,Barcelona,217,00:00:21.677,Pass,,2010/2011
,,,,,,,,,,,,,,,1.853477,,,,,,,,,,,,,,,310693e9-1df6-4246-ae5f-78e4e8d803c3,33,,"[53.3, 64.5]",69282,0,,,,-1.8642906,,Right Foot,,,"[46.5, 42.0]",,Ground Pass,,23.505106,,,,,Sergio Busquets i Burgos,5203.0,,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,"['4c35235a-dadb-4fcf-8bf9-68cd3c0bbd98', 'd80fd21f-c418-4242-b1c0-843aa72ac6eb']",26,,,,,,,,,,,,,,,,,Barcelona,217,00:00:26.930,Pass,True,2010/2011
,,,,,,,,,,,,,,,1.135348,,,,,,,,,,,,,,,11be662d-ef74-465d-8403-4dddbfd8b908,36,,"[48.0, 42.0]",69282,0,,,,-0.93091404,,Right Foot,,,"[57.9, 28.7]",,Ground Pass,,16.580109,,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Left Center Back,2,Barcelona,217,['8599b625-4be7-4bd3-bfee-99d34159cab1'],29,,,,,,,,,,,,,,,,,Barcelona,217,00:00:29.504,Pass,,2010/2011
,,,,,,,,,,,,,,,0.935614,,,,,,,,,,,,,,,43a00688-6533-44ad-8409-f67da52e33a0,40,,"[57.1, 29.4]",69282,0,,,,-1.8688719,,Left Foot,,,"[52.0, 12.8]",,Ground Pass,,17.36577,,,,,Eric-Sylvain Bilal Abidal,20177.0,,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,2,Barcelona,217,"['32f79647-d31b-4da3-b0da-be966a6a2fca', '73ef2a2e-2fe7-4996-8d7b-4638b5c08da7']",30,,,,,,,,,,,,,,,,,Barcelona,217,00:00:30.759,Pass,True,2010/2011
,,,,,,,,,,,,,,,0.950808,,,,,,,,,,,,,,,f37822b1-6865-4d98-b965-6ab76768b3ae,43,,"[53.1, 13.2]",69282,0,,,,0.9600704,,Left Foot,,,"[59.4, 22.2]",,Ground Pass,,10.9859,,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,,1,From Kick Off,Eric-Sylvain Bilal Abidal,20177.0,Left Back,2,Barcelona,217,['5196ecf5-b303-44f6-a847-4efaac82af5f'],32,,,,,,,,,,,,,,,,,Barcelona,217,00:00:32.720,Pass,,2010/2011
,,,,,,,,,,,,,,,0.660591,,,,,,,,,,,,,,,983dc3cd-642c-4002-9ce1-092017198e2a,46,,"[63.2, 16.5]",69282,0,,,,-1.4677147,,Left Foot,,,"[63.8, 10.7]",,Ground Pass,,5.8309517,,,,,Andrés Iniesta Luján,5216.0,,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,2,Barcelona,217,['92bfab87-3c52-4ea5-a094-40556ffffa34'],35,,,,,,,,,,,,,,,,,Barcelona,217,00:00:35.120,Pass,,2010/2011
