ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_success_in_play,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,1.820226,,,,,,,,,,,,,,b49ccc50-e38b-4831-ae93-3fda72d9a577,17,,"[32.2, 23.3]",9726,0,,,,1.53807,,Right Foot,,,,"[33.3, 56.9]",,Ground Pass,,33.618,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Kick Off,Thomas Vermaelen,6332.0,Left Center Back,2,Barcelona,217,['9845fa7c-9327-4ce8-91db-53d8eed172f0'],7,,,,,,,,,,,,,,,,,Barcelona,217,00:00:07.424,Pass,,2017/2018
,,,,,,,,,,,,,,,,1.352479,,,,,,,,,,,,,,4ca667dd-67eb-4197-bba0-e5cee9df0f09,20,,"[26.4, 60.8]",9726,0,,,,0.8801363,,Right Foot,,,,"[36.4, 72.9]",,Ground Pass,,15.697452,,,,Sergi Roberto Carnicer,6379.0,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,['a8cd582f-f8fd-4d44-b136-2b93e8cf8ef9'],10,,,,,,,,,,,,,,,,,Barcelona,217,00:00:10.800,Pass,,2017/2018
,,,,,,,,,,,,,,,,1.478399,,,,,,,,,,,,,,9b51186e-a443-414e-b205-e606b1019134,24,,"[36.9, 72.9]",9726,0,,,,-2.4179342,,Right Foot,,,,"[22.3, 60.0]",,Ground Pass,,19.482555,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Kick Off,Sergi Roberto Carnicer,6379.0,Right Back,2,Barcelona,217,"['12e97c64-a443-462d-b3c5-1abf65dc2f03', '912762a5-9429-4acc-b7f9-3448a9581d27']",12,,,,,,,,,,,,,,,,,Barcelona,217,00:00:12.826,Pass,True,2017/2018
,,,,,,,,,,,,,,,,2.073402,,,,,,,,,,,,,,881718a6-f04c-447d-97d1-1104fde1de1d,27,,"[24.1, 59.2]",9726,0,,,,-1.1227062,,Right Foot,,,,"[51.5, 2.2]",,High Pass,,63.243656,,,,Jordi Alba Ramos,5211.0,,True,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,['0347d150-31fd-4d27-a2cc-9d2a10b33e13'],20,,,,,,,,,,,,,,,,,Barcelona,217,00:00:20.164,Pass,,2017/2018
,,,,,,,,,,,,,,,,0.928266,,,,,,,,,,,,,,91ad04a5-ef6c-407f-b985-e760628d25fc,30,,"[51.8, 2.2]",9726,0,,,,1.5182133,,Left Foot,,,,"[52.3, 11.7]",,Ground Pass,,9.513149,,,,José Paulo Bezzera Maciel Júnior,5542.0,,,,,,1,From Kick Off,Jordi Alba Ramos,5211.0,Left Back,2,Barcelona,217,['550e0850-4ed5-4768-b8bf-13097bb47d50'],22,,,,,,,,,,,,,,,,,Barcelona,217,00:00:22.327,Pass,,2017/2018
,,,,,,,,,,,,,,,,0.756727,,,,,,,,,,,,,,d9cc52d8-6f37-4a70-9957-025388cdd3ef,33,,"[36.9, 2.2]",9726,0,,,,3.0466409,,Right Foot,,,,"[26.4, 3.2]",,Ground Pass,,10.547511,,,,Thomas Vermaelen,6332.0,,,,,,1,From Kick Off,José Paulo Bezzera Maciel Júnior,5542.0,Left Defensive Midfield,2,Barcelona,217,['13817cb5-aa99-4780-b853-acd417dd4728'],27,,,,,,,,,,,,,,,,,Barcelona,217,00:00:27.885,Pass,,2017/2018
,,,,,,,,,,,,,,,,1.891209,,,,,,,,,,,,,,95660cc0-575d-4de8-abfd-4c6cca8ae3ee,36,,"[24.1, 3.2]",9726,0,,,,2.0085876,,Right Foot,,,,"[10.9, 31.4]",,Ground Pass,,31.136475,,,,Marc-André ter Stegen,20055.0,,,,,,1,From Kick Off,Thomas Vermaelen,6332.0,Left Center Back,2,Barcelona,217,['c3e98c5e-7970-4dd3-a548-e73eab63cf9a'],29,,,,,,,,,,,,,,,,,Barcelona,217,00:00:29.493,Pass,,2017/2018
,,,,,,,,,,,,,,,,2.159428,,,,,,,,,,,,,,92f93c7c-46f1-4869-971c-966f801fd697,39,,"[10.9, 31.4]",9726,0,,,,1.4011151,,Right Foot,,,,"[15.8, 60.0]",,Ground Pass,,29.01672,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Kick Off,Marc-André ter Stegen,20055.0,Goalkeeper,2,Barcelona,217,['f3b0a0f3-d434-430b-bd82-e06facb3ed81'],33,,,,,,,,,,,,,,,,,Barcelona,217,00:00:33.166,Pass,,2017/2018
,,,,,,,,,,,,,,,,1.178539,,,,,,,,,,,,,,2ac97939-614c-48a0-8142-105300e13e97,42,,"[19.9, 61.8]",9726,0,,,,0.80829495,,Right Foot,,,,"[32.7, 75.2]",,Ground Pass,,18.531055,,,,Sergi Roberto Carnicer,6379.0,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,['c07f82e7-bd10-4e7b-874d-7457454e4c2d'],36,,,,,,,,,,,,,,,,,Barcelona,217,00:00:36.339,Pass,,2017/2018
,,,,,,,,,,,,,,,,0.769866,,,,,,,,,,,,,,f14c8093-8724-4825-bce6-a381028f4158,45,,"[44.6, 71.6]",9726,0,,,,0.067693025,,Right Foot,,,,"[56.4, 72.4]",,Ground Pass,,11.827087,,,,Andrés Iniesta Luján,5216.0,,,,,,1,From Kick Off,Sergi Roberto Carnicer,6379.0,Right Back,2,Barcelona,217,['62af9bdb-5cd6-460d-86ce-b4742d8285f0'],39,,,,,,,,,,,,,,,,,Barcelona,217,00:00:39.423,Pass,,2017/2018
,,,,,,,,,,,,,,,,4.623407,,,,,,,,,,,,,,599582ed-8d9f-4ed6-be44-bfa295f973be,51,,"[50.0, 75.2]",9726,0,True,,,-2.4844737,,Right Foot,,,,"[9.3, 43.8]",,Ground Pass,,51.404766,,,,Marc-André ter Stegen,20055.0,,,,,Free Kick,1,From Free Kick,Sergi Roberto Carnicer,6379.0,Right Back,3,Barcelona,217,['79ea1fa8-b47f-44c0-bb63-e5f8972b0528'],56,,,,,,,,,,,,,,,,,Barcelona,217,00:00:56.733,Pass,,2017/2018
,,,,,,,,,,,,,,,,1.445086,,,,,,,,,,,,,,70f393fa-b1e5-4658-b1a4-264830ed3719,53,,"[10.6, 43.8]",9726,1,,,,-1.0669694,,Right Foot,,,,"[23.5, 20.4]",,Ground Pass,,26.720217,,,,Thomas Vermaelen,6332.0,,,,,,1,From Free Kick,Marc-André ter Stegen,20055.0,Goalkeeper,3,Barcelona,217,['3051e06c-e5ad-40c7-9bf9-267426eefeb4'],1,,,,,,,,,,,,,,,,,Barcelona,217,00:01:01.545,Pass,,2017/2018
,,,,,,,,,,,,,,,,1.341065,,,,,,,,,,,,,,aa333945-df7d-4d3f-ac58-f087b62ad4d0,56,,"[42.0, 10.1]",9726,1,,,,-0.6181442,,Left Foot,,,,"[51.0, 3.7]",,Ground Pass,,11.0435505,,,,Jordi Alba Ramos,5211.0,,,,,,1,From Free Kick,Thomas Vermaelen,6332.0,Left Center Back,3,Barcelona,217,['7fef4924-96dd-4131-9869-6c3c5a68351c'],6,,,,,,,,,,,,,,,,,Barcelona,217,00:01:06.483,Pass,,2017/2018
