bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,1.3768,,,,,,,,,,,,,,,,56e6c67f-a470-459d-9caf-0b603e5df1c0,970,,"[63.9, 38.7]",70221,23,,,,,-0.56098217,,Right Foot,,,,"[86.5, 24.5]",,Ground Pass,,26.690823,,,,Francesc Fàbregas i Soler,3478.0,,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,53,Barcelona,217,['09645810-20a3-44d0-926b-79ed5d35d054'],47,,,,,,,,,,,,,,,,,Barcelona,217,00:23:47.531,Pass,,2011/2012
,,,,,,,,,,,,,,,,1.245508,,,,,,,,,,,,,,,,611f54db-e610-4e7d-895e-744ff11e9f3f,974,,"[82.5, 25.3]",70221,23,,,,,-1.0539204,,Right Foot,,,,"[93.3, 6.3]",,Ground Pass,,21.854977,,,,Pedro Eliezer Rodríguez Ledesma,3958.0,,,,,,,1,From Kick Off,Francesc Fàbregas i Soler,3478.0,Center Attacking Midfield,53,Barcelona,217,"['65151952-a5c3-4995-b780-ccb0f39f65b7', '89919164-d30c-4346-ac31-61e7e18f7bfd']",49,,,,,,,,,,,,,,,,,Barcelona,217,00:23:49.667,Pass,True,2011/2012
,,,,,,,,,,,,,,,,1.113536,,,,,,,,,,,,,,,,707cfa9a-16a3-4605-a457-a50fc47ef603,977,,"[92.3, 9.9]",70221,23,,,,,2.5450287,,Right Foot,,,,"[78.9, 19.0]",,Ground Pass,,16.19784,,,,Adriano Correia Claro,22102.0,,,,,,,1,From Kick Off,Pedro Eliezer Rodríguez Ledesma,3958.0,Left Wing Back,53,Barcelona,217,['db235a1a-2214-4fab-82ba-b67cd61e4114'],53,,,,,,,,,,,,,,,,,Barcelona,217,00:23:53.284,Pass,,2011/2012
,,,,,,,,,,,,,,,,1.1287,,,,,,,,,,,,,,,,98997075-de75-4413-9410-e16e5f42080c,980,,"[76.8, 19.2]",70221,23,,,,,1.6863507,,Right Foot,,,,"[75.5, 30.4]",,Ground Pass,,11.275194,,,,Thiago Alcântara do Nascimento,5208.0,,,,,,,1,From Kick Off,Adriano Correia Claro,22102.0,Left Center Back,53,Barcelona,217,['e16ddfea-18a5-4d2c-b74e-b8addcaccc7d'],55,,,,,,,,,,,,,,,,,Barcelona,217,00:23:55.191,Pass,,2011/2012
,,,,,,,,,,,,,,,,1.292551,,,,,,,,,,,,,,,,e77d98b5-3640-4032-a379-e0e7d79bcd02,983,,"[77.2, 31.7]",70221,23,,,,,1.5382874,,Right Foot,,,,"[77.6, 44.0]",,Ground Pass,,12.306502,,,,Sergio Busquets i Burgos,5203.0,,,,,,,1,From Kick Off,Thiago Alcântara do Nascimento,5208.0,Left Center Midfield,53,Barcelona,217,['33d779e6-3ca7-4df0-87d2-b53a9381d40a'],56,,,,,,,,,,,,,,,,,Barcelona,217,00:23:56.652,Pass,,2011/2012
,,,,,,,,,,,,,,,,1.4106,,,,,,,,,,,,,,,,71d000ef-ef0d-4342-962c-8e60aa658586,986,,"[78.3, 45.3]",70221,23,,,,,1.3969591,,Right Foot,,,,"[81.9, 65.8]",,Ground Pass,,20.813698,,,,Xavier Hernández Creus,20131.0,,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,53,Barcelona,217,['098aaf13-797d-46b0-a873-7c646787dcc6'],59,,,,,,,,,,,,,,,,,Barcelona,217,00:23:59.120,Pass,,2011/2012
,,,,,,,,,,,,,,,,1.257352,,,,,,,,,,,,,,,,7a8922dd-fe51-4656-8f69-8794d676cf47,989,,"[81.4, 67.1]",70221,24,,,,,-2.0344439,,Right Foot,,,,"[74.2, 52.7]",,Ground Pass,,16.09969,,,,Carles Puyol i Saforcada,20125.0,,,,,,,1,From Kick Off,Xavier Hernández Creus,20131.0,Right Center Midfield,53,Barcelona,217,['e1a414bd-7326-464b-852f-3ec3d293abf4'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:24:00.828,Pass,,2011/2012
,,,,,,,,,,,,,,,,0.939839,,,,,,,,,,,,,,,,c27d4ad4-37ea-4a3a-866a-2900e29ab219,992,,"[72.3, 51.4]",70221,24,,,,,-0.967047,,Right Foot,,,,"[78.3, 42.7]",,Ground Pass,,10.568349,,,,Sergio Busquets i Burgos,5203.0,,,,,,,1,From Kick Off,Carles Puyol i Saforcada,20125.0,Center Back,53,Barcelona,217,['7acc608d-d333-49b6-9266-ffb70549992a'],2,,,,,,,,,,,,,,,,,Barcelona,217,00:24:02.332,Pass,,2011/2012
,,,,,,,,,,,,,,,,1.3686,,,,,,,,,,,,,,,,ae204be9-2f99-4637-bc16-80a1debe04e3,995,,"[81.2, 44.0]",70221,24,,,,,-1.1839206,,Right Foot,,,,"[88.9, 25.1]",,Ground Pass,,20.40833,,,,Thiago Alcântara do Nascimento,5208.0,,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,53,Barcelona,217,['4ac0f508-4894-49f2-976f-56ecc829ae51'],5,,,,,,,,,,,,,,,,,Barcelona,217,00:24:05.562,Pass,,2011/2012
,,,,,,,,,,,,,,,,0.845166,,,,,,,,,,,,,,,,6d8506a3-4136-4d19-8090-e9e14e06916c,998,,"[90.8, 25.1]",70221,24,,,,,-0.9801759,,Left Foot,,,,"[102.6, 7.5]",,Ground Pass,,21.189621,,,,Pedro Eliezer Rodríguez Ledesma,3958.0,,,,,,,1,From Kick Off,Thiago Alcântara do Nascimento,5208.0,Left Center Midfield,53,Barcelona,217,['eb8930b5-7fa7-4e68-be0a-02ea8a9f4c3c'],8,,,,,,,,,,,,,,,,,Barcelona,217,00:24:08.195,Pass,,2011/2012
,,,,,,,,,,,,,,,,0.799225,,,,,,,,,,,,,,,,be103e18-0a49-40e8-a5e7-d68991cdf43d,1001,,"[102.9, 12.4]",70221,24,,,,,2.9590328,,Right Foot,,,,"[89.9, 14.8]",,Ground Pass,,13.219683,,,,Thiago Alcântara do Nascimento,5208.0,,,,,,,1,From Kick Off,Pedro Eliezer Rodríguez Ledesma,3958.0,Left Wing Back,53,Barcelona,217,['8f85c804-d392-42bd-813b-6274e9fcc197'],11,,,,,,,,,,,,,,,,,Barcelona,217,00:24:11.318,Pass,,2011/2012
,,,,,,,,,,,,,,,,0.93904,,,,,,,,,,,,,,,,62317536-ef95-4082-be96-c6b05e7c603d,1004,,"[90.8, 16.6]",70221,24,,,,,1.6092389,,Right Foot,,,,"[90.3, 29.6]",,Ground Pass,,13.009612,,,,Sergio Busquets i Burgos,5203.0,,,,,,,1,From Kick Off,Thiago Alcântara do Nascimento,5208.0,Left Center Midfield,53,Barcelona,217,['a3b2b697-6de9-483c-bd69-d31abf66bf6d'],13,,,,,,,,,,,,,,,,,Barcelona,217,00:24:13.419,Pass,,2011/2012
