bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,1.05311,,,,,,,,,,,,,eb04f932-d996-431c-bd37-3618e1153595,17,,"[23.3, 64.8]",68334,0,,,,-1.6295521,,Right Foot,,,,"[22.3, 47.8]",,Ground Pass,,17.029387,,,Rafael Márquez Álvarez,5558.0,,,,,,,1,From Kick Off,Oleguer Presas Renom,25873.0,Right Center Back,2,Barcelona,217,['dc32bdfa-cef0-4f75-a849-83f758339d7f'],12,,,,,,,,,,,,,,,,Barcelona,217,00:00:12.129,Pass,,2006/2007
,,,,,,,,,,,,,,,,,1.575937,,,,,,,,,,,,,bf3f867c-c192-4dce-b126-c85a113664e1,20,,"[22.3, 47.8]",68334,0,,,,-1.1292896,,Right Foot,,,,"[38.7, 13.1]",,Ground Pass,,38.380333,,,Andrés Iniesta Luján,5216.0,,,,,,,1,From Kick Off,Rafael Márquez Álvarez,5558.0,Center Back,2,Barcelona,217,['80c51cf8-6706-40b1-b2cd-92465b2a9d34'],14,,,,,,,,,,,,,,,,Barcelona,217,00:00:14.597,Pass,,2006/2007
,,,,,,,,,,,,,,,,,1.258775,,,,,,,,,,,,,2f362ca4-e497-4aa4-8f17-4db71daad0a7,23,,"[50.9, 16.3]",68334,0,,,,-0.65943116,,Right Foot,,,,"[63.8, 6.3]",,Ground Pass,,16.322071,,,Giovanni van Bronckhorst,17797.0,,,,,,,1,From Kick Off,Andrés Iniesta Luján,5216.0,Left Center Midfield,2,Barcelona,217,['41eb3fc6-00e6-46d4-996a-00571e15430d'],19,,,,,,,,,,,,,,,,Barcelona,217,00:00:19.959,Pass,,2006/2007
,,,,,,,,,,,,,,,,,0.894998,,,,,,,,,,,,,bb5c2832-79ba-4e69-86a7-ca7ea2435c36,27,,"[61.7, 2.2]",68334,0,,,,0.40795612,,Left Foot,,,,"[73.5, 7.3]",,Ground Pass,,12.85496,Incomplete,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,,1,From Kick Off,Giovanni van Bronckhorst,17797.0,Left Wing Back,2,Barcelona,217,"['89ca0e3d-9bf5-431d-a582-12ecc8065e61', 'e451291e-78e7-43a2-afdf-e692ceddcefe']",21,,,,,,,,,,,,,,,,Barcelona,217,00:00:21.231,Pass,,2006/2007
,,,,,,,,,,,,,,,,,0.598558,,,,,,,,,,,,,f4f579af-66eb-42e8-b147-43556040b954,32,,"[48.9, 70.3]",68334,0,,,,-0.05807416,,Left Foot,,,,"[57.5, 69.8]",,Ground Pass,,8.614523,,,Jesús Navas González,6821.0,,,,,,,1,From Kick Off,Christian Bjørnshøj Poulsen,20150.0,Right Defensive Midfield,2,Barcelona,217,['2a8ecfc7-a120-482c-9cc4-f1918b8d9350'],23,,,,,,,,,,,,,,,,Sevilla,213,00:00:23.699,Pass,,2006/2007
,,,,,,,,,,,,,,,,,0.295951,,,,,,,,,,,,,fcb37d09-7e58-4764-b122-30cff87c642c,36,,"[55.8, 53.8]",68334,0,,,,3.048116,,Left Foot,,,,"[52.6, 54.1]",,Ground Pass,,3.2140317,Incomplete,,Renato Dirnei Florencio,26015.0,,,,,,,1,From Kick Off,Jesús Navas González,6821.0,Right Midfield,2,Barcelona,217,"['c74a0d48-0f7e-4d12-a52a-1afd114e55f1', 'd7597782-760d-4142-ac0b-305875f2dfa9']",27,,,,,,,,,,,,,,,,Sevilla,213,00:00:27.494,Pass,,2006/2007
,,,,,,,,,,,,,,,,,0.801064,,,,,,,,,,,,,d7597782-760d-4142-ac0b-305875f2dfa9,38,,"[68.4, 26.9]",68334,0,,,,2.3561945,,Right Foot,,,,"[62.9, 32.4]",,Ground Pass,,7.7781744,,,Xavier Hernández Creus,20131.0,,,,,,Recovery,1,From Kick Off,Ronaldo de Assis Moreira,25879.0,Center Forward,2,Barcelona,217,"['6650dc07-1d4a-402d-a3c0-bfca2307e92b', 'fcb37d09-7e58-4764-b122-30cff87c642c']",27,,,,,,,,,,,,,,,,Barcelona,217,00:00:27.790,Pass,,2006/2007
,,,,,,,,,,,,,,,,,0.867227,,,,,,,,,,,,,1fc72f13-1d59-434f-a19a-c21b17817dc4,41,,"[62.9, 32.4]",68334,0,,,,-2.3996453,,Right Foot,,,,"[55.7, 25.8]",,Ground Pass,,9.767292,,,Andrés Iniesta Luján,5216.0,,,,,,,1,From Kick Off,Xavier Hernández Creus,20131.0,Right Center Midfield,2,Barcelona,217,['2fdeb3a1-3871-4f6d-aaac-c8b39d882da3'],29,,,,,,,,,,,,,,,,Barcelona,217,00:00:29.124,Pass,,2006/2007
,,,,,,,,,,,,,,,,,1.214003,,,,,,,,,,,,,04175c0b-7225-4015-8999-ecad835567c6,44,,"[56.1, 31.2]",68334,0,,,,1.2360595,,Right Foot,,,,"[61.7, 47.3]",,Ground Pass,,17.046114,,,Ronaldo de Assis Moreira,25879.0,,,,,,,1,From Kick Off,Andrés Iniesta Luján,5216.0,Left Center Midfield,2,Barcelona,217,['d90a6273-9d2b-4629-b1bd-9dd9d47ef625'],30,,,,,,,,,,,,,,,,Barcelona,217,00:00:30.680,Pass,,2006/2007
,,,,,,,,,,,,,,,,,1.571374,,,,,,,,,,,,,2640eda1-8f3c-4d70-bb28-5dc4dd5a92fc,48,,"[56.1, 50.5]",68334,0,,,,0.13800602,,Right Foot,,,,"[92.1, 55.5]",,High Pass,,36.345562,Incomplete,,Ludovic Giuly,25878.0,,,,,,,1,From Kick Off,Ronaldo de Assis Moreira,25879.0,Center Forward,2,Barcelona,217,"['12b904df-15ad-4cf3-908e-fa40a4a67174', '2e1ae613-c8a1-4dd9-856d-e22279f801f5']",33,,,,,,,,,,,,,,,,Barcelona,217,00:00:33.494,Pass,,2006/2007
