bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,1.607104,,,,,,,,,,,,,96e8263f-267b-4651-8ee7-8a76ac92328a,17,,"[44.4, 52.5]",70256,0,,,,-1.6772885,,Right Foot,,,,"[41.3, 23.5]",,Ground Pass,,29.165218,,,,Alexandre Dimitri Song-Billong,27053.0,,,,,,1,From Kick Off,Thiago Alcântara do Nascimento,5208.0,Right Center Midfield,2,Barcelona,217,['d663531c-47e8-4a72-9599-e0e0d0da24aa'],9,,,,,,,,,,,,,,,,Barcelona,217,00:00:09.965,Pass,,2012/2013
,,,,,,,,,,,,,,,,,,1.147587,,,,,,,,,,,,,1b883315-1aa6-4cc0-8fd9-30f6dd3e906b,20,,"[45.3, 23.0]",70256,0,,,,-1.5128901,,Right Foot,,,,"[46.5, 2.3]",,Ground Pass,,20.734753,,,,Martín Montoya Torralbo,6593.0,,,,,,1,From Kick Off,Alexandre Dimitri Song-Billong,27053.0,Center Defensive Midfield,2,Barcelona,217,['6b9c950a-b027-4641-bffc-617af9b190a3'],12,,,,,,,,,,,,,,,,Barcelona,217,00:00:12.924,Pass,,2012/2013
,,,,,,,,,,,,,,,,,,2.768185,,,,,,,,,,,,,e705147f-266f-42fb-9f1b-e13b2367bc0a,24,,"[43.7, 6.0]",70256,0,,,,1.8117241,,Right Foot,,,,"[33.7, 46.7]",,Ground Pass,,41.9105,,,,Marc Bartra Aregall,7068.0,,True,,,,1,From Kick Off,Martín Montoya Torralbo,6593.0,Left Back,2,Barcelona,217,['a2f462ea-2e10-48bb-8ca3-4c48ad66d4cc'],15,,,,,,,,,,,,,,,,Barcelona,217,00:00:15.822,Pass,,2012/2013
,,,,,,,,,,,,,,,,,,2.2937,,,,,,,,,,,,,f9d0b7d3-ecf0-4989-8314-e383b175761c,27,,"[33.7, 48.6]",70256,0,,,,0.29618794,,Right Foot,,,,"[55.0, 55.1]",,Ground Pass,,22.26971,,Incomplete,,Thiago Alcântara do Nascimento,5208.0,,,,,,1,From Kick Off,Marc Bartra Aregall,7068.0,Right Center Back,2,Barcelona,217,"['1bd8ac2f-0f6f-47e9-b515-e54f0be1401d', 'f5be3339-976c-4fbb-9f15-b75b1ffccc27']",19,,,,,,,,,,,,,,,,Barcelona,217,00:00:19.396,Pass,,2012/2013
,,,,,,,,,,,,,,,,,,0.5946,,,,,,,,,,,,,f5be3339-976c-4fbb-9f15-b75b1ffccc27,29,,"[66.0, 25.9]",70256,0,,,,1.140629,,Left Foot,,,,"[69.9, 34.4]",,Ground Pass,,9.352005,,,,Fabián Ariel Orellana Valenzuela,7105.0,,,,,Recovery,1,From Kick Off,Danijel Pranjić,20088.0,Left Midfield,2,Barcelona,217,"['ab77f61f-1569-4aa6-8b2f-1fe2184042be', 'f9d0b7d3-ecf0-4989-8314-e383b175761c']",21,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:21.690,Pass,,2012/2013
,,,,,,,,,,,,,,,,,,2.527094,,,,,,,,,,,,,b0ae48a9-e3d7-4c35-a1cf-1c45012e5982,47,,"[3.9, 62.2]",70256,0,True,,,0.51142,,Right Foot,,,,"[13.7, 67.7]",,Ground Pass,,11.237883,,,,Daniel Alves da Silva,4324.0,,,,,Free Kick,1,From Free Kick,Marc Bartra Aregall,7068.0,Right Center Back,3,Barcelona,217,['cad8fed2-9f98-474e-beae-13c42a80f4e1'],47,,,,,,,,,,,,,,,,Barcelona,217,00:00:47.816,Pass,,2012/2013
,,,,,,,,,,,,,,,,,,0.228398,,,,,,,,,,,,,9c6fe505-43ac-4302-93cf-ed2a8ec5044c,52,,"[18.7, 75.7]",70256,0,,,,0.18432441,,Right Foot,,,,"[24.6, 76.8]",,Ground Pass,,6.0016665,,Incomplete,,Alexis Alejandro Sánchez Sánchez,3385.0,,,,,,1,From Free Kick,Daniel Alves da Silva,4324.0,Right Back,3,Barcelona,217,"['21e94bab-aef1-4745-b910-0c5ce5a535b2', '5adceeb3-b978-45e1-8261-7e7e7d844cc8', 'f91369fa-a55e-4ec9-abb8-2f1eb5f7b625']",52,,,,,,,,,,,,,,,,Barcelona,217,00:00:52.627,Pass,True,2012/2013
,,,,,,,,,,,,,,,,,,0.86559,,,,,,,,,,,,,d7390927-a00e-459f-a7c9-0e9a7bb6e015,55,,"[34.0, 80.0]",70256,0,,,,-1.5707964,,,,,,"[34.0, 74.8]",,Low Pass,,5.2,,,,Thiago Alcântara do Nascimento,5208.0,,,,,Throw-in,1,From Throw In,Daniel Alves da Silva,4324.0,Right Back,4,Barcelona,217,['684ab3bf-5bd3-4b29-8273-0d082ab18fb3'],57,,,,,,,,,,,,,,,,Barcelona,217,00:00:57.157,Pass,,2012/2013
,,,,,,,,,,,,,,,,,,0.830654,,,,,,,,,,,,,13afe536-054e-48ce-b044-635806831b88,57,,"[34.0, 74.8]",70256,0,,,,2.2142975,,Right Foot,,,,"[32.5, 76.8]",,Low Pass,,2.5,,,,Daniel Alves da Silva,4324.0,,,,,,1,From Throw In,Thiago Alcântara do Nascimento,5208.0,Right Center Midfield,4,Barcelona,217,['78c6f809-f582-48c8-9f69-32b60cd498ad'],58,,,,,,,,,,,,,,,,Barcelona,217,00:00:58.023,Pass,,2012/2013
,,,,,,,,,,,,,,,,,,1.0277,,,,,,,,,,,,,7cc028de-3ec1-415c-a078-0d9fbfa2279a,60,,"[32.0, 77.1]",70256,1,,,,-0.015383402,,Right Foot,,,,"[38.5, 77.0]",,Ground Pass,,6.500769,,,,Thiago Alcântara do Nascimento,5208.0,,,,,,1,From Throw In,Daniel Alves da Silva,4324.0,Right Back,4,Barcelona,217,['66631c28-74b3-4a00-804e-55d2e25b43a9'],0,,,,,,,,,,,,,,,,Barcelona,217,00:01:00.488,Pass,,2012/2013
