ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,1.3738,,,,,,,,,,,,,61dc84f0-31b9-4c16-a85f-d11451aba81b,17,,"[57.8, 8.6]",266074,0,,,,2.7744188,,Left Foot,,,,"[44.8, 13.6]",,Ground Pass,,13.928389,,,,,Jordi Alba Ramos,5211.0,,,,,,,1,From Kick Off,Pedro Eliezer Rodríguez Ledesma,3958.0,Left Wing,2,Barcelona,217,['e0e9e243-bce3-44b7-8656-c98e6ebd4f31'],6,,,,,,,,,,,,,,,,,Barcelona,217,00:00:06.821,Pass,,2013/2014
,,,,,,,,,,,,,,,,1.2127,,,,,,,,,,,,,2da79456-c151-4cea-800d-7707b545bfbe,20,,"[44.4, 15.5]",266074,0,,,,2.3773181,,Left Foot,,,,"[29.9, 29.4]",,Ground Pass,,20.086313,,,,,Javier Alejandro Mascherano,5506.0,,,,,,,1,From Kick Off,Jordi Alba Ramos,5211.0,Left Back,2,Barcelona,217,['657f093d-62eb-4c50-ad7b-d28df193b901'],8,,,,,,,,,,,,,,,,,Barcelona,217,00:00:08.343,Pass,,2013/2014
,,,,,,,,,,,,,,,,2.2628,,,,,,,,,,,,,08398d35-4a7e-4300-b06a-05fa4d3c5596,23,,"[43.0, 40.6]",266074,0,,,,1.3379546,,Right Foot,,,,"[51.3, 75.6]",,Ground Pass,,35.970684,,,,,Daniel Alves da Silva,4324.0,,,,,,,1,From Kick Off,Javier Alejandro Mascherano,5506.0,Left Center Back,2,Barcelona,217,['b03aacf3-559a-4105-b9ba-053544b31e20'],13,,,,,,,,,,,,,,,,,Barcelona,217,00:00:13.595,Pass,,2013/2014
,,,,,,,,,,,,,,,,0.8682,,,,,,,,,,,,,7529c2ea-7443-45f1-823a-08aba504f4b1,26,,"[54.5, 75.2]",266074,0,,,,-0.26356387,,Right Foot,,,,"[67.1, 71.8]",,Ground Pass,,13.050671,,,,,Alexis Alejandro Sánchez Sánchez,3385.0,,,,,,,1,From Kick Off,Daniel Alves da Silva,4324.0,Right Back,2,Barcelona,217,['e2bf09b1-8a9d-4b59-affb-b10bd8862e44'],16,,,,,,,,,,,,,,,,,Barcelona,217,00:00:16.794,Pass,,2013/2014
,,,,,,,,,,,,,,,,1.2176,,,,,,,,,,,,,2cea1352-d4e1-4fbd-ac81-d29472366ebd,28,,"[67.1, 71.8]",266074,0,,,,3.0212097,,Right Foot,,,,"[54.7, 73.3]",,Ground Pass,,12.4903965,,,,,Daniel Alves da Silva,4324.0,,,,,,,1,From Kick Off,Alexis Alejandro Sánchez Sánchez,3385.0,Right Wing,2,Barcelona,217,['709a95dc-40e0-4da8-a099-330554af925d'],17,,,,,,,,,,,,,,,,,Barcelona,217,00:00:17.662,Pass,,2013/2014
,,,,,,,,,,,,,,,,1.5352,,,,,,,,,,,,,3f7a3fed-3b41-4961-89a4-ba9ea071f63d,31,,"[52.4, 72.7]",266074,0,,,,-2.4590747,,Right Foot,,,,"[33.7, 57.5]",,Ground Pass,,24.098341,,,,,Marc Bartra Aregall,7068.0,,,,,,,1,From Kick Off,Daniel Alves da Silva,4324.0,Right Back,2,Barcelona,217,['cef242fb-ac14-4b46-b1c7-a6c52f4f2f9b'],19,,,,,,,,,,,,,,,,,Barcelona,217,00:00:19.678,Pass,,2013/2014
,,,,,,,,,,,,,,,,1.6002,,,,,,,,,,,,,d8c28688-467a-446b-9d53-e2834406e099,34,,"[36.2, 52.7]",266074,0,,,,-1.506599,,Right Foot,,,,"[38.0, 24.7]",,Ground Pass,,28.057798,,,,,Javier Alejandro Mascherano,5506.0,,,,,,,1,From Kick Off,Marc Bartra Aregall,7068.0,Right Center Back,2,Barcelona,217,['429c0791-9463-4590-b251-c1a87d75f525'],22,,,,,,,,,,,,,,,,,Barcelona,217,00:00:22.830,Pass,,2013/2014
,,,,,,,,,,,,,,,,1.6246,,,,,,,,,,,,,5c40a541-89ca-42ee-8295-22a47583b00e,37,,"[38.0, 24.7]",266074,0,,,,-0.6706965,,Right Foot,,,,"[50.1, 15.1]",,Ground Pass,,15.445711,,,,,Jordi Alba Ramos,5211.0,,,,,,,1,From Kick Off,Javier Alejandro Mascherano,5506.0,Left Center Back,2,Barcelona,217,['c8fbd358-15f6-429b-bb5f-5822ce15d066'],25,,,,,,,,,,,,,,,,,Barcelona,217,00:00:25.187,Pass,,2013/2014
,,,,,,,,,,,,,,,,1.0958,,,,,,,,,,,,,26a55e80-ad5d-4276-a4f7-902d4b289cfc,40,,"[56.2, 11.8]",266074,0,,,,0.7853982,,Left Foot,,,,"[66.1, 21.7]",,Ground Pass,,14.000714,,,,,Andrés Iniesta Luján,5216.0,,,,,,,1,From Kick Off,Jordi Alba Ramos,5211.0,Left Back,2,Barcelona,217,['6aa59a6a-b576-4b3f-895a-8ec79504296e'],27,,,,,,,,,,,,,,,,,Barcelona,217,00:00:27.994,Pass,,2013/2014
,,,,,,,,,,,,,,,,0.92382,,,,,,,,,,,,,82ef0fd4-5dd7-429a-b1f9-deafac7f565b,44,,"[66.3, 21.7]",266074,0,,,,-1.6761738,,Left Foot,,,,"[65.2, 11.3]",,Ground Pass,,10.458012,,,,,Jordi Alba Ramos,5211.0,,,,,,,1,From Kick Off,Andrés Iniesta Luján,5216.0,Left Center Midfield,2,Barcelona,217,['797e3292-4242-4d4c-841e-c08acd0f986f'],29,,,,,,,,,,,,,,,,,Barcelona,217,00:00:29.225,Pass,,2013/2014
,,,,,,,,,,,,,,,,1.047277,,,,,,,,,,,,,f9c723eb-0818-425a-8458-5727d4fe613e,47,,"[65.0, 11.1]",266074,0,,,,2.4329665,,Left Foot,,,,"[58.7, 16.5]",,Ground Pass,,8.29759,,,,,Andrés Iniesta Luján,5216.0,,,,,,,1,From Kick Off,Jordi Alba Ramos,5211.0,Left Back,2,Barcelona,217,['fe2714d5-6123-4845-914b-fa0714fb286b'],30,,,,,,,,,,,,,,,,,Barcelona,217,00:00:30.180,Pass,,2013/2014
,,,,,,,,,,,,,,,,0.7551,,,,,,,,,,,,,2d254cd2-730c-4bcc-bee3-04bd9cf384ca,50,,"[58.7, 16.5]",266074,0,,,,1.4767351,,Right Foot,,,,"[59.7, 27.1]",,Ground Pass,,10.647065,,,,,Sergio Busquets i Burgos,5203.0,,,,,,,1,From Kick Off,Andrés Iniesta Luján,5216.0,Left Center Midfield,2,Barcelona,217,['7630a746-8c48-45ad-b2c5-e34e57a02c47'],32,,,,,,,,,,,,,,,,,Barcelona,217,00:00:32.401,Pass,,2013/2014
,,,,,,,,,,,,,,,,0.979545,,,,,,,,,,,,,ef1c5b65-4c53-4369-b3a9-e2e637d7ee61,52,,"[58.9, 26.0]",266074,0,,,,-3.0072713,,Right Foot,,,,"[47.8, 24.5]",,Ground Pass,,11.200892,,,,,Javier Alejandro Mascherano,5506.0,,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['00c8bc91-3712-4423-97a6-6dc9e0cceecb'],33,,,,,,,,,,,,,,,,,Barcelona,217,00:00:33.157,Pass,,2013/2014
,,,,,,,,,,,,,,,,1.154,,,,,,,,,,,,,dd1a0df0-fb4f-4d70-9bcb-6badc623581c,55,,"[49.0, 26.2]",266074,0,,,,1.2477587,,Right Foot,,,,"[56.8, 49.5]",,Ground Pass,,24.570917,,,,,Xavier Hernández Creus,20131.0,,,,,,,1,From Kick Off,Javier Alejandro Mascherano,5506.0,Left Center Back,2,Barcelona,217,['c7f4e189-a9e6-496b-a53c-ae3b4aa6eb16'],35,,,,,,,,,,,,,,,,,Barcelona,217,00:00:35.426,Pass,,2013/2014
,,,,,,,,,,,,,,,,1.27342,,,,,,,,,,,,,062f368b-a744-4ac0-b040-83969d389449,58,,"[60.0, 55.6]",266074,0,,,,0.8555531,,Right Foot,,,,"[77.2, 75.4]",,Ground Pass,,26.227467,,,,,Alexis Alejandro Sánchez Sánchez,3385.0,,,,,,,1,From Kick Off,Xavier Hernández Creus,20131.0,Right Center Midfield,2,Barcelona,217,['517e0d2a-dd7e-4b9f-a577-c54b49ce79c9'],37,,,,,,,,,,,,,,,,,Barcelona,217,00:00:37.868,Pass,,2013/2014
,,,,,,,,,,,,,,,,1.125225,,,,,,,,,,,,,949bb41c-4b7c-49d5-8958-3999741c079f,60,,"[77.2, 75.4]",266074,0,,,,-3.0924518,,Right Foot,,,,"[65.0, 74.8]",,Ground Pass,,12.2147455,,,,,Daniel Alves da Silva,4324.0,,,,,,,1,From Kick Off,Alexis Alejandro Sánchez Sánchez,3385.0,Right Wing,2,Barcelona,217,['adf27f2b-16f7-4ddb-9fe3-bb9695cbc5e4'],39,,,,,,,,,,,,,,,,,Barcelona,217,00:00:39.142,Pass,,2013/2014
,,,,,,,,,,,,,,,,0.875006,,,,,,,,,,,,,196b600d-27d2-4f57-93eb-07009708cdd3,63,,"[65.2, 74.8]",266074,0,,,,-1.3898698,,Right Foot,,,,"[66.7, 66.6]",,Ground Pass,,8.336066,,,,,Xavier Hernández Creus,20131.0,,,,,,,1,From Kick Off,Daniel Alves da Silva,4324.0,Right Back,2,Barcelona,217,['a3e6751d-2841-4f3f-a4c3-fa569c0c2fc8'],42,,,,,,,,,,,,,,,,,Barcelona,217,00:00:42.163,Pass,,2013/2014
,,,,,,,,,,,,,,,,1.2129,,,,,,,,,,,,,c26141fa-b3af-4b50-bf46-f7eaa0f12cb8,65,,"[66.7, 66.4]",266074,0,,,,1.7570192,,Right Foot,,,,"[65.4, 73.3]",,Ground Pass,,7.0213957,,,,,Daniel Alves da Silva,4324.0,,,,,,,1,From Kick Off,Xavier Hernández Creus,20131.0,Right Center Midfield,2,Barcelona,217,['e56fee2f-2425-4820-be9d-0f6651600315'],43,,,,,,,,,,,,,,,,,Barcelona,217,00:00:43.038,Pass,,2013/2014
,,,,,,,,,,,,,,,,1.8942,,,,,,,,,,,,,c8f385ef-e140-481b-b33a-24cff48f8b9a,69,,"[64.4, 74.3]",266074,0,,,,-2.3994477,,Right Foot,,,,"[41.5, 53.3]",,Ground Pass,,31.071047,,,,,Marc Bartra Aregall,7068.0,,,,,,,1,From Kick Off,Daniel Alves da Silva,4324.0,Right Back,2,Barcelona,217,['b41989b5-c6bc-4db8-a101-8520d7a34ce1'],44,,,,,,,,,,,,,,,,,Barcelona,217,00:00:44.481,Pass,,2013/2014
