bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,24e0e0a0-9fcf-4413-94af-4c0181bb6799,1,,,69256,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 5558, 'name': 'Rafael Márquez Álvarez'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 20125, 'name': 'Carles Puyol i Saforcada'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 26613, 'name': 'Maxwell Scherrer Cabelino Andrade'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 3958, 'name': 'Pedro Eliezer Rodríguez Ledesma'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 3672, 'name': 'Zlatan Ibrahimović'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2009/2010
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,7b947645-9e33-4808-946e-dad3f21339a9,2,,,69256,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 25144, 'name': 'Diego Alves Carreira'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6922, 'name': 'Míchel Macedo Rocha Machado'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 16}, {'player': {'id': 26434, 'name': 'Santiago Wilmer Acasiete Ariadela'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 18}, {'player': {'id': 26494, 'name': 'Hernán Darío Pellerano'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 26238, 'name': 'Domingo Cisma González'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 6}, {'player': {'id': 26653, 'name': 'José Manuel Flores Moreno'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 26651, 'name': 'Hernán Darío Bernardello'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 25}, {'player': {'id': 26440, 'name': 'Juan Manuel Ortiz Palazón'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 26437, 'name': 'Albert Crusat Domene'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 8}, {'player': {'id': 26650, 'name': 'Guilherme Oliveira Santos'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 3}, {'player': {'id': 26495, 'name': 'Kalu Uche'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 5}]}",Almería,403,00:00:00.000,Starting XI,,2009/2010
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,9c77c1fc-4d07-49a2-bbeb-39c93090b84e,3,,,69256,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['8ecb0e9e-ec42-4777-9a91-37291cc34982'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2009/2010
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,8ecb0e9e-ec42-4777-9a91-37291cc34982,4,,,69256,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['9c77c1fc-4d07-49a2-bbeb-39c93090b84e'],0,,,,,,,,,,,,,,,,,Almería,403,00:00:00.000,Half Start,,2009/2010
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,f7aaf4a4-973e-49cd-ba2d-a6689e47abdb,2027,,,69256,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,96,Barcelona,217,['631080e1-782d-4824-aa68-6102c0828f3d'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2009/2010
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,631080e1-782d-4824-aa68-6102c0828f3d,2028,,,69256,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,96,Barcelona,217,['f7aaf4a4-973e-49cd-ba2d-a6689e47abdb'],0,,,,,,,,,,,,,,,,,Almería,403,00:00:00.000,Half Start,,2009/2010
,,,,,,,,,,,,,,,0.5053,,,,,,,,,,,,,,15c7f1a4-7513-4334-9558-ab97ff07cb05,5,,"[61.0, 41.0]",69256,0,,True,,,1.5195591,,Right Foot,,,,"[61.2, 44.9]",,Ground Pass,,3.905125,,,,Albert Crusat Domene,26437.0,,,,,,Kick Off,1,From Kick Off,Kalu Uche,26495.0,Center Forward,2,Almería,403,['638f8869-50b6-4918-99c6-fdd0e82366e1'],0,,,,,,,,,,,,,,,,,Almería,403,00:00:00.708,Pass,,2009/2010
,,,,,,,,,,,,,,,1.131974,,,,,,,,,,,,,,b37bd519-08cd-423c-9809-f5579aeae7da,7,,"[61.0, 45.1]",69256,0,,True,,,-3.016129,,Left Foot,,,,"[49.9, 43.7]",,Ground Pass,,11.18794,,,,José Manuel Flores Moreno,26653.0,,,,,,,1,From Kick Off,Albert Crusat Domene,26437.0,Center Attacking Midfield,2,Almería,403,['a141c584-06cf-4857-9153-8e6f23245402'],1,,,,,,,,,,,,,,,,,Almería,403,00:00:01.244,Pass,,2009/2010
,,,,,,,,,,,,,,,1.502124,,,,,,,,,,,,,,033dc840-a9e0-48aa-8d49-80f484a9bf8c,9,,"[49.9, 43.7]",69256,0,,,,,2.6751902,,Right Foot,,,,"[35.4, 51.0]",,Ground Pass,,16.233915,,,,Santiago Wilmer Acasiete Ariadela,26434.0,,,,,,,1,From Kick Off,José Manuel Flores Moreno,26653.0,Right Defensive Midfield,2,Almería,403,['8c2009b9-0ef6-4161-a9f1-529c5ca3464a'],2,,,,,,,,,,,,,,,,,Almería,403,00:00:02.377,Pass,,2009/2010
,,,,,,,,,,,,,,,1.7214,,,,,,,,,,,,,,ef997621-cebf-4743-b9dc-5dbe01f962ce,13,,"[36.4, 51.0]",69256,0,,,,,0.8450675,,Right Foot,,,,"[54.5, 71.4]",,High Pass,,27.272146,,,,Míchel Macedo Rocha Machado,6922.0,,,,,,,1,From Kick Off,Santiago Wilmer Acasiete Ariadela,26434.0,Right Center Back,2,Almería,403,"['65dbd1d7-1e7a-49db-9c5d-27ed3916498d', 'd609c38d-f1b7-48ad-845c-e45f75916559']",4,,,,,,,,,,,,,,,,,Almería,403,00:00:04.629,Pass,True,2009/2010
