bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,half_end_early_video_end,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,2.7923,,,,,,,,,,,,,,,b5498720-2853-46a3-b02f-2dfa3eb2795b,18,,"[8.9, 46.6]",69211,0,,,,,-0.24455619,,Right Foot,,,"[64.6, 32.7]",High Pass,,57.408188,,,Thierry Henry,15516.0,,,,,,1,From Kick Off,Víctor Valdés Arribas,20176.0,Goalkeeper,2,Barcelona,217,['862cfe5e-399c-4c07-88eb-c3d878dda056'],7,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:07.204,Pass,,2008/2009
,,,,,,,,,,,,,,,,,0.7419,,,,,,,,,,,,,,,cbc0ca7f-b1b8-424f-9572-e2aa4e5c78ba,21,,"[66.3, 32.9]",69211,0,,,,,-2.1268232,,Head,,,"[57.6, 18.9]",High Pass,,16.48302,,,Eiður Smári Guðjohnsen,11270.0,,,,,,1,From Kick Off,Thierry Henry,15516.0,Center Forward,2,Barcelona,217,['ff10cd5d-15ad-46c7-beaf-a2752e118ed2'],9,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:09.996,Pass,,2008/2009
,,,,,,,,,,,,,,,,,1.42067,,,,,,,,,,,,,,,adc106d6-a6e6-4710-975e-31e6d33b5a84,24,,"[57.8, 18.6]",69211,0,,,,,-0.39479113,,Right Foot,,,"[73.4, 12.1]",Low Pass,,16.9,,,Andrés Iniesta Luján,5216.0,,,,,,1,From Kick Off,Eiður Smári Guðjohnsen,11270.0,Left Center Midfield,2,Barcelona,217,['7018b556-44de-4ac9-8a5a-4e927a5fd4fb'],10,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:10.818,Pass,,2008/2009
,,,,,,,,,,,,,,,,,1.398304,,,,,,,,,,,,,,,09c2bfdd-cac8-4aee-9e7d-1f1e0099d383,26,,"[73.6, 12.1]",69211,0,,,,,-2.943092,,Right Foot,,,"[56.2, 8.6]",Low Pass,,17.748522,,,Eric-Sylvain Bilal Abidal,20177.0,,,,,,1,From Kick Off,Andrés Iniesta Luján,5216.0,Left Wing,2,Barcelona,217,['2f82bd19-e5c8-4986-898e-621bd99c73c3'],12,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:12.239,Pass,,2008/2009
,,,,,,,,,,,,,,,,,0.7803,,,,,,,,,,,,,,,4e970ef8-a969-42ae-990e-890dbf9dccbe,29,,"[54.7, 4.8]",69211,0,,,,,0.15716304,,Left Foot,,,"[73.0, 7.7]",High Pass,,18.528357,Incomplete,,Andrés Iniesta Luján,5216.0,,,,,,1,From Kick Off,Eric-Sylvain Bilal Abidal,20177.0,Left Back,2,Barcelona,217,"['3edabea8-40de-4d4f-b942-cb60c1395801', 'abbc1d0d-c198-4f3d-83af-bf1e74660902']",14,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:14.774,Pass,,2008/2009
,,,,,,,,,,,,,,,,,0.640487,,,,,,,,,,,,,,,3edabea8-40de-4d4f-b942-cb60c1395801,31,,"[48.0, 73.3]",69211,0,,,,,0.15264933,,Other,,,"[55.8, 74.5]",Low Pass,,7.891768,,,Román Fernando Martínez,26242.0,,,,,Recovery,1,From Counter,Sergio Sánchez Ortega,6904.0,Right Back,3,Espanyol,214,"['0d1f05e9-9bdb-4273-b138-97d95cd503c3', '4e970ef8-a969-42ae-990e-890dbf9dccbe']",15,,,,,,,,,,,,,,,,,,Espanyol,214,00:00:15.555,Pass,,2008/2009
,,,,,,,,,,,,,,,,,0.865849,,,,,,,,,,,,,,,ea745969-a5fb-4da0-843e-455919048713,35,,"[58.5, 73.7]",69211,0,,,,,-0.11527613,,Right Foot,,,"[68.0, 72.6]",Ground Pass,,9.563472,,,Luis García Fernández,23916.0,,,,,,1,From Counter,Román Fernando Martínez,26242.0,Right Center Midfield,3,Espanyol,214,['abb169c0-29b7-4641-a931-6da5856954ce'],16,,,,,,,,,,,,,,,,,,Espanyol,214,00:00:16.955,Pass,,2008/2009
,,,,,,,,,,,,,,,,,0.62153,,,,,,,,,,,,,,,89b6c9ae-10ad-45c1-ab7a-a81f98e2eb9e,41,,"[70.9, 80.0]",69211,0,,,,,-1.0721436,,,,,"[76.4, 69.9]",Low Pass,,11.500435,,,Román Fernando Martínez,26242.0,,,,,Throw-in,1,From Throw In,Luis García Fernández,23916.0,Right Wing,4,Espanyol,214,['76753cca-e2a0-45a6-b37e-ce8984d7936c'],22,,,,,,,,,,,,,,,,,,Espanyol,214,00:00:22.051,Pass,,2008/2009
,,,,,,,,,,,,,,,,,0.959694,,,,,,,,,,,,,,,741ec77a-e233-48ea-8d17-0b05d5af2654,44,,"[76.2, 61.3]",69211,0,,,,,-1.1284221,,Right Foot,,,"[78.9, 55.6]",Low Pass,,6.307139,Incomplete,,Ferrán Corominas Telechea,26102.0,,,,,,1,From Throw In,Román Fernando Martínez,26242.0,Right Center Midfield,4,Espanyol,214,"['35aaced1-e1e7-475a-82b9-402f9a905cb3', 'b9bfc0cf-6359-493a-8148-04dd01bae923']",24,,,,,,,,,,,,,,,,,,Espanyol,214,00:00:24.681,Pass,,2008/2009
,,,,,,,,,,,,,,,,,1.433621,,,,,,,,,,,,,,,43972551-9a37-4e73-8d9b-dc00fa82968b,47,,"[41.0, 27.1]",69211,0,,,,,-1.6495802,,Right Foot,,,"[39.8, 11.9]",Ground Pass,,15.247294,,,Eric-Sylvain Bilal Abidal,20177.0,,,,,Recovery,1,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,5,Barcelona,217,['da26f72b-7abd-4719-b7ad-70c9c8a79ac1'],27,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:27.421,Pass,,2008/2009
