ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,2.766155,,,,,,,,,,,,,cfe63887-2f8a-42a6-a5ec-8ef7e9de4939,18,,"[18.9, 12.3]",266280,0,,,,-0.12463534,,Left Foot,,,,"[62.8, 6.8]",,High Pass,,44.24319,,Pass Offside,,Carlos Joaquín Correa,6822.0,,,,,,,1,From Kick Off,Nicolás Martín Pareja,7909.0,Left Center Back,2,Sevilla,213,['81f50a69-255f-4587-865a-a0b47501e964'],9,,,,,,,,,,,,,,,,,Sevilla,213,00:00:09.699,Pass,,2016/2017
,,,,,,,,,,,,,,,1.9382,,,,,,,,,,,,,505a2223-08fc-4398-b51e-940fc995d7ab,20,,"[53.9, 72.9]",266280,0,,,,-2.0967724,,Right Foot,,,,"[38.4, 46.2]",,Ground Pass,,30.872965,,,,Gerard Piqué Bernabéu,5213.0,,,,,,Free Kick,1,From Free Kick,Javier Alejandro Mascherano,5506.0,Right Center Back,3,Barcelona,217,['57adb474-b9e9-4d7f-a0ec-e26baa4dcd8b'],21,,,,,,,,,,,,,,,,,Barcelona,217,00:00:21.904,Pass,,2016/2017
,,,,,,,,,,,,,,,2.0902,,,,,,,,,,,,,94b0c183-ccb5-4dee-85be-c014dec93b3c,23,,"[47.2, 34.9]",266280,0,,,,-1.2374307,,Right Foot,,,,"[57.0, 6.6]",,Ground Pass,,29.94879,,,,Samuel Yves Umtiti,5492.0,,,,,,,1,From Free Kick,Gerard Piqué Bernabéu,5213.0,Center Back,3,Barcelona,217,['1bbf7de3-d26b-42b1-8e89-a40ede3f65a1'],26,,,,,,,,,,,,,,,,,Barcelona,217,00:00:26.616,Pass,,2016/2017
,,,,,,,,,,,,,,,0.846374,,,,,,,,,,,,,62600dc4-4ff8-4e9a-8f2b-a5036e0d981c,26,,"[57.6, 6.0]",266280,0,,,,-0.43178588,,Left Foot,,,,"[67.8, 1.3]",,Ground Pass,,11.230762,,,,Neymar da Silva Santos Junior,4320.0,,,,,,,1,From Free Kick,Samuel Yves Umtiti,5492.0,Left Center Back,3,Barcelona,217,['9f5bdd9c-64cc-45c3-bc15-bf077c6ed04d'],29,,,,,,,,,,,,,,,,,Barcelona,217,00:00:29.252,Pass,,2016/2017
,,,,,,,,,,,,,,,0.995978,,,,,,,,,,,,,e032cc28-d4e7-4e93-828c-c3b3d8dc42d5,29,,"[67.8, 1.3]",266280,0,,,,2.7934694,,Right Foot,,,,"[55.4, 5.8]",,Ground Pass,,13.191285,,,,Samuel Yves Umtiti,5492.0,,,,,,,1,From Free Kick,Neymar da Silva Santos Junior,4320.0,Left Wing Back,3,Barcelona,217,['554d27f2-d1cc-4023-b9d4-542fa501e25f'],30,,,,,,,,,,,,,,,,,Barcelona,217,00:00:30.263,Pass,,2016/2017
,,,,,,,,,,,,,,,1.6699,,,,,,,,,,,,,51abad94-b2bb-4a89-833a-cfeac2b57a81,32,,"[49.2, 9.0]",266280,0,,,,2.2192276,,Left Foot,,,,"[34.5, 28.4]",,Ground Pass,,24.340296,,,,Gerard Piqué Bernabéu,5213.0,,,,,,,1,From Free Kick,Samuel Yves Umtiti,5492.0,Left Center Back,3,Barcelona,217,['fc4710bf-44b6-46cb-9a68-c5bb12163e4b'],33,,,,,,,,,,,,,,,,,Barcelona,217,00:00:33.493,Pass,,2016/2017
,,,,,,,,,,,,,,,1.9383,,,,,,,,,,,,,852f1473-4e47-460a-a373-b752352594ce,35,,"[35.8, 29.2]",266280,0,,,,-0.93168116,,Right Foot,,,,"[49.4, 10.9]",,Ground Pass,,22.800219,,,,Samuel Yves Umtiti,5492.0,,,,,,,1,From Free Kick,Gerard Piqué Bernabéu,5213.0,Center Back,3,Barcelona,217,['e1633889-2147-4d34-b189-92b35e4ecd39'],36,,,,,,,,,,,,,,,,,Barcelona,217,00:00:36.211,Pass,,2016/2017
,,,,,,,,,,,,,,,0.532131,,,,,,,,,,,,,6cced41a-f28c-4267-9fe4-c779a8d91b10,38,,"[66.9, 4.3]",266280,0,,,,-1.8588518,,Left Foot,,,,"[66.1, 1.6]",,Ground Pass,,2.8160255,,,,Neymar da Silva Santos Junior,4320.0,,,,,,,1,From Free Kick,Samuel Yves Umtiti,5492.0,Left Center Back,3,Barcelona,217,['2701c0a8-9906-4585-8216-47945d7bd24f'],42,,,,,,,,,,,,,,,,,Barcelona,217,00:00:42.470,Pass,,2016/2017
,,,,,,,,,,,,,,,2.969441,,,,,,,,,,,,,906ac68d-a583-45d2-9767-27a17f93bb55,42,,"[55.6, 20.5]",266280,0,,,,1.6554266,,Right Foot,,,,"[52.3, 59.4]",,High Pass,,39.039722,,,,Javier Alejandro Mascherano,5506.0,,,,,,,1,From Free Kick,Neymar da Silva Santos Junior,4320.0,Left Wing Back,3,Barcelona,217,['87a07197-d915-420c-a5af-b3eed089f34b'],46,,,,,,,,,,,,,,,,,Barcelona,217,00:00:46.198,Pass,,2016/2017
,,,,,,,,,,,,,,,0.177441,,,,,,,,,,,,,f7e785f2-45e2-43db-96c0-fe521ce0c5a3,45,,"[61.1, 62.1]",266280,0,,,,0.39060703,,Right Foot,,,,"[64.5, 63.5]",,Ground Pass,,3.6769552,,Incomplete,,Ivan Rakitić,5470.0,,,,,,,1,From Free Kick,Javier Alejandro Mascherano,5506.0,Right Center Back,3,Barcelona,217,"['c4061c5f-940d-49b3-9e0a-817e4bbbedf9', 'e685df48-2141-40ff-8477-66d293a85aae']",51,,,,,,,,,,,,,,,,,Barcelona,217,00:00:51.963,Pass,,2016/2017
