50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,1.4689,,,,,,,,,,,,,288bf2c6-528d-40fb-9969-31452639e56d,20,,,"[36.8, 35.0]",69225,0,,,,1.4718835,,Right Foot,,,"[38.1, 48.1]",,Ground Pass,,13.164346,,,Fabio Cannavaro,15775.0,,,,,,,1,From Kick Off,Christoph Metzelder,20014.0,Left Center Back,2,Real Madrid,220,"['8e71ca6f-6fde-4d6c-8520-5276a19171fb', 'da296071-73c8-4af4-a606-6ac8edf1a501']",5,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:05.382,Pass,True,2008/2009
,,,,,,,,,,,,,,,,,2.1926,,,,,,,,,,,,,9cfb2453-b89b-41df-bd2c-d4083b23cb55,25,,,"[37.7, 50.8]",69225,0,,,,0.07471098,,Right Foot,,,"[71.1, 53.3]",,High Pass,,33.49343,,,Gonzalo Gerardo Higuaín,5497.0,,,,,,,1,From Kick Off,Fabio Cannavaro,15775.0,Right Center Back,2,Real Madrid,220,"['4187c666-edfe-4e75-b337-164b0391e97f', '473f4b6d-ecbf-4bd9-8b25-1362e13ebd65']",7,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:07.990,Pass,True,2008/2009
,,,,,,,,,,,,,,,,,0.7839,,,,,,,,,,,,,d7daddc0-b9a5-408c-bd96-082a0a0f1dd7,27,,,"[71.1, 53.3]",69225,0,,,,2.5730681,,Head,,,"[63.9, 57.9]",,Low Pass,,8.5440035,,,Wesley Sneijder,4409.0,,,,,,,1,From Kick Off,Gonzalo Gerardo Higuaín,5497.0,Right Center Forward,2,Real Madrid,220,['7a6d20bb-8ebb-4089-b584-8d72711188fc'],10,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:10.183,Pass,,2008/2009
,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,050a74b8-c2f1-4401-8fae-8d9ebf6e1eec,32,,,"[53.5, 22.6]",69225,0,,,,-2.2655346,,Right Foot,,,"[45.5, 13.0]",,Ground Pass,,12.4964,,,Eric-Sylvain Bilal Abidal,20177.0,,,,,,Recovery,1,Regular Play,Eiður Smári Guðjohnsen,11270.0,Left Center Midfield,3,Barcelona,217,['68653cdf-889c-4f2a-a16d-bdf30781e87f'],12,,,,,,,,,,,,,,,,,Barcelona,217,00:00:12.495,Pass,,2008/2009
,,,,,,,,,,,,,,,,,1.0673,,,,,,,,,,,,,fa768248-1b1a-4618-bc06-55432a7a12dd,36,,,"[51.0, 2.2]",69225,0,,,,0.59322906,,Left Foot,,,"[64.2, 11.1]",,Ground Pass,,15.920113,,,Thierry Henry,15516.0,,,,,,,1,Regular Play,Eric-Sylvain Bilal Abidal,20177.0,Left Back,3,Barcelona,217,"['1657b7b2-fb22-4fa3-ae18-71c107a0d20b', '9c24fc65-464b-4d4c-9756-c4384c6ea35d']",14,,,,,,,,,,,,,,,,,Barcelona,217,00:00:14.906,Pass,True,2008/2009
,,,,,,,,,,,,,,,,,2.238,,,,,,,,,,,,,f4c59f8d-4a53-43e4-9146-f7b2d24c5773,42,,,"[63.8, 10.0]",69225,0,True,,,1.5864813,,Left Foot,,,"[63.4, 35.5]",,Ground Pass,,25.503138,,,Gnégnéri Yaya Touré,3087.0,,,,,,Free Kick,1,From Free Kick,Eric-Sylvain Bilal Abidal,20177.0,Left Back,4,Barcelona,217,['17a00360-cf1b-478f-b6d6-b3a6960f3600'],22,,,,,,,,,,,,,,,,,Barcelona,217,00:00:22.768,Pass,,2008/2009
,,,,,,,,,,,,,,,,,1.8937,,,,,,,,,,,,,ce0c8608-27cc-47b6-92d6-f006f2cf6896,45,,,"[63.4, 33.8]",69225,0,,,,-2.6866152,,Right Foot,,,"[49.5, 27.0]",,Ground Pass,,15.474172,,,Carles Puyol i Saforcada,20125.0,,,,,,,1,From Free Kick,Gnégnéri Yaya Touré,3087.0,Center Defensive Midfield,4,Barcelona,217,"['47bf4e82-74d3-41c1-b77c-efb2a594deb4', 'f3bb368a-b1ca-43cf-b339-fd0cbd3c91fb']",31,,,,,,,,,,,,,,,,,Barcelona,217,00:00:31.555,Pass,True,2008/2009
,,,,,,,,,,,,,,,,,1.341,,,,,,,,,,,,,549fc5f2-75fa-475b-a907-bea671731c1f,48,,,"[64.0, 24.5]",69225,0,,,,-0.8960554,,Right Foot,,,"[81.6, 2.5]",,Ground Pass,,28.173746,,,Thierry Henry,15516.0,,,,,,,1,From Free Kick,Carles Puyol i Saforcada,20125.0,Left Center Back,4,Barcelona,217,['8011d20c-4464-4f8c-aaa9-48bcc588bd50'],36,,,,,,,,,,,,,,,,,Barcelona,217,00:00:36.638,Pass,,2008/2009
,,,,,,,,,,,,,,,,,1.5719,,,,,,,,,,,,,6a25c718-98c1-41d4-b9e9-6cee38ece0d2,50,,,"[81.6, 2.5]",69225,0,,,,1.04131,,Right Foot,,,"[91.9, 20.1]",,Ground Pass,,20.3924,Incomplete,,Eiður Smári Guðjohnsen,11270.0,,,,,,,1,From Free Kick,Thierry Henry,15516.0,Left Wing,4,Barcelona,217,"['a530f75e-16b9-4574-824b-0cafb96e07cc', 'd364413c-1d00-4d6a-882a-3e822e234098']",37,,,,,,,,,,,,,,,,,Barcelona,217,00:00:37.979,Pass,,2008/2009
,,,,,,,,,,,,,,,,,1.2085,,,,,,,,,,,,,d364413c-1d00-4d6a-882a-3e822e234098,52,,,"[29.1, 60.9]",69225,0,,,,0.53581125,,Right Foot,,,"[41.9, 68.5]",,Ground Pass,,14.886235,,,Wesley Sneijder,4409.0,,,,,,Recovery,1,Regular Play,Fabio Cannavaro,15775.0,Right Center Back,5,Real Madrid,220,"['6a25c718-98c1-41d4-b9e9-6cee38ece0d2', 'cb7fa7c2-cceb-4974-af76-ca369fc248ba']",39,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:39.551,Pass,,2008/2009
,,,,,,,,,,,,,,,,,1.6707,,,,,,,,,,,,,ad8c2991-99cd-48d9-a22b-d7f2107b8ed8,56,,,"[41.7, 66.8]",69225,0,,,,-0.77993375,,Right Foot,,,"[50.9, 57.7]",,Ground Pass,,12.940248,,,José Maria Gutiérrez Hernández,25924.0,,,,,,,1,Regular Play,Wesley Sneijder,4409.0,Right Midfield,5,Real Madrid,220,['73f7f421-758f-49a7-b79a-f78d972f91b7'],40,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:40.839,Pass,,2008/2009
,,,,,,,,,,,,,,,,,0.1133,,,,,,,,,,,,,ec4f5438-286a-4421-a08b-b47209e770b8,60,,,"[50.7, 56.5]",69225,0,,,,-0.7086263,,Right Foot,,,"[54.9, 52.9]",,Ground Pass,,5.531727,Incomplete,,Gonzalo Gerardo Higuaín,5497.0,,,,,,,1,Regular Play,José Maria Gutiérrez Hernández,25924.0,Left Center Midfield,5,Real Madrid,220,"['9090ea91-0188-4cf6-80b5-53d7aa29a391', 'c0cc349c-4e6a-4e2f-9b04-5ec1acfd5f32']",42,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:42.522,Pass,,2008/2009
,,,,,,,,,,,,,,,,,1.1452,,,,,,,,,,,,,4dd73184-7844-47ed-ba23-0fb9a49e37d5,72,,,"[48.2, 74.1]",69225,0,,,,-0.66501534,,Right Foot,,,"[62.1, 63.2]",,Ground Pass,,17.664087,,,Gonzalo Gerardo Higuaín,5497.0,,,,,,,1,Regular Play,Wesley Sneijder,4409.0,Right Midfield,5,Real Madrid,220,"['02e3f855-0cd9-40fc-8345-698b5e416753', 'f85c479a-d4cd-4101-8b42-3efb3c537674']",47,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:47.457,Pass,True,2008/2009
,,,,,,,,,,,,,,,,,1.0773,,,,,,,,,,,,,cf6384b6-f86f-4a01-8318-6056a09750ec,75,,,"[62.1, 63.2]",69225,0,,,,1.4164776,,Right Foot,,,"[64.2, 76.7]",,Ground Pass,,13.662357,,,Wesley Sneijder,4409.0,,,,,,,1,Regular Play,Gonzalo Gerardo Higuaín,5497.0,Right Center Forward,5,Real Madrid,220,['a24bffa4-bfee-49e7-aca9-826a77896c9a'],48,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:48.683,Pass,,2008/2009
,,,,,,,,,,,,,,,,,0.4599,,,,,,,,,,,,,71a5d620-eee2-40c2-99b4-7194a766e063,77,,,"[64.2, 76.7]",69225,0,,,,-0.57469964,,Right Foot,,,"[74.7, 69.9]",,Ground Pass,,12.509596,Incomplete,,Raúl González Blanco,15607.0,,,,,,,1,Regular Play,Wesley Sneijder,4409.0,Right Midfield,5,Real Madrid,220,"['56a04c6b-460d-4375-9f7c-ad6f3b922a1d', 'f20bae16-4df3-417c-b5b3-ce2dc6baeb45']",49,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:49.760,Pass,,2008/2009
,,,,,,,,,,,,,,,,,4.4777,,,,,,,,,,,,,2a6337dd-df0b-485e-a6f5-267e0dd113c6,81,,,"[61.7, 2.0]",69225,0,,,,0.040271256,,Head,,,"[89.0, 3.1]",,Low Pass,,27.322153,Incomplete,,Samuel Eto''o Fils,19298.0,,,,,,Recovery,1,Regular Play,Thierry Henry,15516.0,Left Wing,5,Real Madrid,220,"['7b4eed61-5251-4551-b2e4-8a7600b19f5b', 'e949287b-3322-40b2-8bdc-e119de291cbb']",53,,,,,,,,,,,,,,,,,Barcelona,217,00:00:53.923,Pass,,2008/2009
,,,,,,,,,,,,,,,,,2.685,,,,,,,,,,,,,e949287b-3322-40b2-8bdc-e119de291cbb,83,,,"[32.0, 77.9]",69225,0,,,,-2.024759,,Right Foot,,,"[15.8, 44.7]",,Ground Pass,,36.941574,,,Iker Casillas Fernández,11179.0,,,,,,Recovery,1,Regular Play,Miguel Ángel Salgado Fernández,15601.0,Right Back,5,Real Madrid,220,"['0e87a1b1-e5b0-4343-952f-e02e1a176cb9', '2a6337dd-df0b-485e-a6f5-267e0dd113c6']",58,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:58.400,Pass,,2008/2009
,,,,,,,,,,,,,,,,,2.865,,,,,,,,,,,,,4ebb7c02-df54-4abb-b4ca-73a78941f235,86,,,"[16.0, 32.9]",69225,1,,,,-0.031137474,,Left Foot,,,"[77.0, 31.0]",,High Pass,,61.029583,Incomplete,,Raúl González Blanco,15607.0,,,,,,,1,Regular Play,Iker Casillas Fernández,11179.0,Goalkeeper,5,Real Madrid,220,"['3b19049c-2865-4aea-9a5b-382e970d844d', 'e039138a-fc2c-42c2-b1e9-bb0487f55bf0']",4,,,,,,,,,,,,,,,,,Real Madrid,220,00:01:04.121,Pass,,2008/2009
,,,,,,,,,,,,,,,,,1.5716,,,,,,,,,,,,,e039138a-fc2c-42c2-b1e9-bb0487f55bf0,89,,,"[44.0, 50.0]",69225,1,,,True,0.15602484,,,,,"[70.7, 54.2]",,High Pass,,27.028318,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,Recovery,1,Regular Play,Rafael Márquez Álvarez,5558.0,Right Center Back,6,Barcelona,217,"['2c0430cc-5a54-4e8d-942d-37dfd0fc3592', '4ebb7c02-df54-4abb-b4ca-73a78941f235', 'dfc7b4a1-f538-4ac3-bf0f-15308d611b85']",6,,,,,,,,,,,,,,,,,Barcelona,217,00:01:06.986,Pass,True,2008/2009
,,,,,,,,,,,,,,,,,2.2949,,,,,,,,,,,,,eee8c607-50da-48a4-99f3-844cbd341059,96,,,"[67.6, 42.8]",69225,1,True,,,-0.39479113,,Right Foot,,,"[104.8, 27.3]",,High Pass,,40.3,,,Eiður Smári Guðjohnsen,11270.0,,,,,,Free Kick,1,From Free Kick,Gnégnéri Yaya Touré,3087.0,Center Defensive Midfield,7,Barcelona,217,['e8dc2c5e-49e7-49af-8714-41092120a2aa'],50,,,,,,,,,,,,,,,,,Barcelona,217,00:01:50.804,Pass,,2008/2009
