bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,1.623834,,,,,,,,,,,,4e7663a5-0ba6-4453-8cf8-b31ddf36bf3b,17,,"[57.8, 78.8]",70300,0,,,,0.082570456,,Left Foot,,,"[72.3, 80.0]",,High Pass,,14.54957,,,,Sami Khedira,5566.0,,,,,,,1,From Kick Off,Ángel Fabián Di María Hernández,2995.0,Right Wing,2,Real Madrid,220,['49216b14-aaf5-4357-bcca-cb5674c920f9'],7,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:07.663,Pass,,2012/2013
,,,,,,,,,,,,,,,,0.829628,,,,,,,,,,,,d2ffd1aa-1188-4431-bb33-3c1d39661fef,21,,"[93.6, 78.3]",70300,0,,,,-2.003204,,Left Foot,,,"[90.6, 71.8]",,Ground Pass,,7.1589108,,,,Ángel Fabián Di María Hernández,2995.0,,,,,,,1,From Kick Off,Sami Khedira,5566.0,Right Center Midfield,2,Real Madrid,220,['d7127796-2d7b-44db-9a1f-662c2db3e296'],13,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:13.364,Pass,,2012/2013
,,,,,,,,,,,,,,,,2.943831,,,,,,,,,,,,63f8cf5b-c5ad-4dc9-bcee-068c8079c1c9,24,,"[90.2, 71.0]",70300,0,,,,-1.3152653,,Left Foot,True,,"[102.4, 24.3]",,High Pass,,48.267277,,,,Cristiano Ronaldo dos Santos Aveiro,5207.0,,,True,,,,1,From Kick Off,Ángel Fabián Di María Hernández,2995.0,Right Wing,2,Real Madrid,220,['64f8fba3-8bcd-4527-b084-2e9c1ef3b5bb'],15,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:15.893,Pass,,2012/2013
,,,,,,,,,,,,,,,,3.275809,,,,,,,,,,,,8675524f-f131-42f4-a48d-88b0b30f3c6b,27,,"[101.6, 24.3]",70300,0,,,True,-0.09915025,,,,,"[120.7, 22.4]",,Low Pass,,19.19427,,Out,,,,,,,,,,1,From Kick Off,Cristiano Ronaldo dos Santos Aveiro,5207.0,Left Wing,2,Real Madrid,220,['69d06e1c-69df-46b6-b3d7-6568a14fb5fa'],18,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:18.837,Pass,True,2012/2013
,,,,,,,,,,,,,,,,3.3504,,,,,,,,,,,,08875d2f-6d64-4127-9f78-341d4c74296d,28,,"[6.0, 44.0]",70300,0,,,,-0.3979809,,Right Foot,,,"[63.8, 19.7]",,High Pass,,62.700317,,Incomplete,,,,,,,,,Goal Kick,1,From Goal Kick,Víctor Valdés Arribas,20176.0,Goalkeeper,3,Barcelona,217,['a018d7eb-e516-4a49-bcfc-93c3256d3cb2'],45,,,,,,,,,,,,,,,,,Barcelona,217,00:00:45.095,Pass,,2012/2013
,,,,,,,,,,,,,,,,1.189477,,,,,,,,,,,,a018d7eb-e516-4a49-bcfc-93c3256d3cb2,29,,"[57.2, 61.3]",70300,0,,,,-0.35802495,,Head,,,"[71.9, 55.8]",,High Pass,,15.695222,,,,Mesut Özil,3496.0,,,,,,Recovery,1,From Goal Kick,Sami Khedira,5566.0,Right Center Midfield,3,Barcelona,217,"['08875d2f-6d64-4127-9f78-341d4c74296d', '7dbb1f9e-d37e-4556-8446-4100ffe9d514']",48,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:48.446,Pass,,2012/2013
,,,,,,,,,,,,,,,,0.5354,,,,,,,,,,,,2986cb95-d5f7-4722-a3ac-aa555ebfd269,36,,"[56.6, 28.2]",70300,0,,,,0.638635,,Right Foot,,,"[63.2, 33.1]",,Ground Pass,,8.220098,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,,1,From Goal Kick,Francesc Fàbregas i Soler,3478.0,Right Center Midfield,3,Barcelona,217,"['04ab9665-a753-48ac-9d4e-1ef0c49cd821', 'f47158a4-b264-4401-b125-2723f52ec04b']",51,,,,,,,,,,,,,,,,,Barcelona,217,00:00:51.044,Pass,True,2012/2013
,,,,,,,,,,,,,,,,0.1994,,,,,,,,,,,,afd8c9d5-c70d-476c-b35b-855b8a8ad17f,39,,"[64.9, 34.6]",70300,0,,,,-1.6553401,,Left Foot,,,"[64.4, 28.7]",,Ground Pass,,5.9211483,,,,Andrés Iniesta Luján,5216.0,,,,,,,1,From Goal Kick,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,3,Barcelona,217,['d6b2badc-14a6-43c8-9eed-287113e9093d'],51,,,,,,,,,,,,,,,,,Barcelona,217,00:00:51.749,Pass,,2012/2013
,,,,,,,,,,,,,,,,1.1553,,,,,,,,,,,,dad77543-2841-4868-982c-4d8ac493930c,41,,"[64.4, 28.7]",70300,0,,,,2.0874915,,Right Foot,,,"[61.9, 33.1]",,Ground Pass,,5.060632,,Incomplete,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,,1,From Goal Kick,Andrés Iniesta Luján,5216.0,Left Wing,3,Barcelona,217,"['c3258c16-0916-4cdc-a7ee-b348001be6f1', 'ee32e760-1c7f-4b2d-aae8-788901188234']",51,,,,,,,,,,,,,,,,,Barcelona,217,00:00:51.948,Pass,,2012/2013
,,,,,,,,,,,,,,,,1.4668,,,,,,,,,,,,ee32e760-1c7f-4b2d-aae8-788901188234,43,,"[59.1, 47.9]",70300,0,,,,0.9790202,,Right Foot,,,"[63.2, 54.0]",,Ground Pass,,7.34983,,Incomplete,,Mesut Özil,3496.0,,,,,,Recovery,1,From Goal Kick,Xabier Alonso Olano,20133.0,Left Center Midfield,3,Barcelona,217,"['bc89604d-2721-49a8-a848-e1ef26f42abb', 'd2565379-5f97-43b9-8811-b9a3c01713ac', 'dad77543-2841-4868-982c-4d8ac493930c']",53,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:53.103,Pass,,2012/2013
,,,,,,,,,,,,,,,,0.6421,,,,,,,,,,,,bc89604d-2721-49a8-a848-e1ef26f42abb,45,,"[57.8, 27.0]",70300,0,,,,-0.68767124,,Left Foot,,,"[63.4, 22.4]",,Ground Pass,,7.2470684,,,,Francesc Fàbregas i Soler,3478.0,,,,,,Recovery,1,From Goal Kick,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,3,Barcelona,217,"['ee32e760-1c7f-4b2d-aae8-788901188234', 'f30c712a-361a-4054-b54f-4f976eecd0ca']",54,,,,,,,,,,,,,,,,,Barcelona,217,00:00:54.570,Pass,,2012/2013
