ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,1.2123,,,,,,,,,,,,,,dcc1505f-ff7e-4f2f-9680-5bbfae3d9040,16,,"[52.2, 1.0]",69340,0,,,,,0.13111165,,,,,,"[70.4, 3.4]",,Low Pass,,18.35756,,,Andrés Iniesta Luján,5216.0,,,,,Throw-in,1,From Throw In,Adriano Correia Claro,22102.0,Left Back,3,Barcelona,217,['74d69cad-07ab-45cf-81ec-c5d7a15fea94'],17,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:17.009,Pass,,2011/2012
,,,,,,,,,,,,,,1.781548,,,,,,,,,,,,,,e08d3767-292c-4228-a3b8-2809b386713d,18,,"[68.9, 4.5]",69340,0,,,,,0.8139618,,Left Foot,,,,"[80.8, 17.1]",,Low Pass,,17.331186,Incomplete,,,,,,,,,1,From Throw In,Andrés Iniesta Luján,5216.0,Left Center Midfield,3,Barcelona,217,['43c0ef0e-af0c-4d28-b898-7a3b3440d83e'],18,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:18.221,Pass,,2011/2012
,,,,,,,,,,,,,,2.84,,,,,,,,,,,,,,fa2c1fe4-94db-47b7-99b4-18b3c153880b,21,,"[34.1, 55.8]",69340,0,,,,,-2.7976851,,Right Foot,,,,"[12.6, 48.1]",,Ground Pass,,22.83725,,,Idriss Carlos Kameni,26103.0,,,,,,1,From Throw In,Sergio Sánchez Ortega,6904.0,Right Center Back,3,Barcelona,217,['ce333992-750e-4528-bfac-352fa2ef2035'],22,,,,,,,,,,,,,,,,,,Málaga,223,00:00:22.003,Pass,,2011/2012
,,,,,,,,,,,,,,3.725235,,,,,,,,,,,,,,7865b8ad-38de-4936-982c-c06523b231a0,24,,"[13.1, 48.1]",69340,0,,,,,-0.09966865,,Right Foot,,,,"[67.1, 42.7]",,High Pass,,54.26933,Pass Offside,,José Salomón Rondón Giménez,4041.0,,,,,,1,From Throw In,Idriss Carlos Kameni,26103.0,Goalkeeper,3,Barcelona,217,['d924a819-81fe-4bd8-8fca-ed2bb4bc1fcf'],24,,,,,,,,,,,,,,,,,,Málaga,223,00:00:24.883,Pass,,2011/2012
,,,,,,,,,,,,,,2.0657,,,,,,,,,,,,,,1357343e-e304-4523-9dff-fc519cc62c39,26,,"[52.7, 38.4]",69340,0,,True,,,-1.5856762,,Right Foot,,,,"[52.2, 4.8]",,Ground Pass,,33.60372,,,Adriano Correia Claro,22102.0,,,,,Free Kick,1,From Free Kick,Seydou Kéita,20169.0,Center Defensive Midfield,4,Barcelona,217,['8bf3bc34-afdf-453d-bea3-8144b2700abe'],36,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:36.453,Pass,,2011/2012
,,,,,,,,,,,,,,1.048961,,,,,,,,,,,,,,6dacf61e-be45-4cc0-9cc4-eed54fbf0412,28,,"[50.5, 7.7]",69340,0,,,,,2.4301336,,Left Foot,,,,"[33.1, 22.7]",,Ground Pass,,22.973028,,,Javier Alejandro Mascherano,5506.0,,,,,,1,From Free Kick,Adriano Correia Claro,22102.0,Left Back,4,Barcelona,217,['96fba80c-7398-40a0-a0d2-c704a4f5361d'],38,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:38.646,Pass,,2011/2012
,,,,,,,,,,,,,,1.4854,,,,,,,,,,,,,,762af65e-5b6e-4a9f-beda-23d54061e9f7,31,,"[33.7, 24.8]",69340,0,,,,,1.8596299,,Right Foot,,,,"[28.5, 42.3]",,Ground Pass,,18.256231,,,Carles Puyol i Saforcada,20125.0,,,,,,1,From Free Kick,Javier Alejandro Mascherano,5506.0,Left Center Back,4,Barcelona,217,['416c7aab-1c7e-4bf0-86f1-afe2bff2f471'],40,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:40.625,Pass,,2011/2012
,,,,,,,,,,,,,,0.9834,,,,,,,,,,,,,,4920ee17-342a-4dc7-87ac-1707d9a0ea00,34,,"[28.2, 46.0]",69340,0,,,,,0.94938,,Right Foot,,,,"[45.6, 70.3]",,Ground Pass,,29.88729,,,Daniel Alves da Silva,4324.0,,,,,,1,From Free Kick,Carles Puyol i Saforcada,20125.0,Right Center Back,4,Barcelona,217,['72cc33a3-44f6-4471-a4c5-ae5c42984e9a'],44,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:44.066,Pass,,2011/2012
,,,,,,,,,,,,,,1.0036,,,,,,,,,,,,,,e6c3a888-ca20-49ae-8cad-9b252ccf03f0,37,,"[45.6, 71.0]",69340,0,,,,,-0.8769291,,Right Foot,,,,"[55.0, 59.7]",,Ground Pass,,14.698639,,,Francesc Fàbregas i Soler,3478.0,,,,,,1,From Free Kick,Daniel Alves da Silva,4324.0,Right Back,4,Barcelona,217,['d66aee9e-97c4-441d-872a-89f90bc5cd0e'],45,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:45.911,Pass,,2011/2012
,,,,,,,,,,,,,,1.2671,,,,,,,,,,,,,,dfddf236-122d-404d-84aa-082e3b87fb2e,39,,"[54.4, 59.4]",69340,0,,,,,2.5206866,,Right Foot,,,,"[40.0, 69.7]",,Ground Pass,,17.70452,,,Daniel Alves da Silva,4324.0,,,,,,1,From Free Kick,Francesc Fàbregas i Soler,3478.0,Right Center Midfield,4,Barcelona,217,['e50f3327-366d-4fcb-ab15-e5af81ce0f6e'],46,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:46.914,Pass,,2011/2012
