bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,0.9943,,,,,,,,,,,,,,6e63b78c-9fb2-4ae9-bd29-67e542c05479,68,,"[44.0, 54.4]",266731,1,,,,-2.4426835,,Right Foot,,,,"[34.6, 46.5]",,Ground Pass,,12.278844,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Throw In,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,6,Barcelona,217,"['b5b0f9fc-5a12-4088-be99-0f7131e3b8cc', 'beddb51f-3b2a-4e32-b071-19404e0250ca', 'f6d43210-7110-44ed-8105-d6a264295124']",4,,,,,,,,,,,,,,,,,Barcelona,217,00:01:04.332,Pass,True,2016/2017
,,,,,,,,,,,,,,,0.7727,,,,,,,,,,,,,,931fd4ef-6655-4fe1-8d85-1e8ea340957d,70,,"[34.6, 46.5]",266731,1,,,,-1.1498058,,Right Foot,,,,"[40.6, 33.1]",,High Pass,,14.681962,,Incomplete,,Jordi Alba Ramos,5211.0,,,,,,1,From Throw In,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,6,Barcelona,217,"['89ca0ca3-2d40-45e9-a130-aba366e3816c', 'dd6e0a6b-f54e-4e2b-b367-7f7dfbff4bae']",5,,,,,,,,,,,,,,,,,Barcelona,217,00:01:05.326,Pass,,2016/2017
,,,,,,,,,,,,,,,1.1283,,,,,,,,,,,,,,32648983-b3a4-4d43-8bab-fbd9430a4300,74,,"[87.5, 59.1]",266731,1,,,,1.803891,,Right Foot,,,,"[84.2, 73.0]",,Ground Pass,,14.286357,,,,Ander Capa Rodríguez,6699.0,,,,,,1,Regular Play,Pedro León Sánchez Gil,6907.0,Right Wing,7,Eibar,322,['425a982f-e040-4567-9a6a-21eb804fe394'],9,,,,,,,,,,,,,,,,,Eibar,322,00:01:09.526,Pass,,2016/2017
,,,,,,,,,,,,,,,0.8249,,,,,,,,,,,,,,f4f860a6-b8c5-4bd6-b4e9-07fff3afcac1,77,,"[106.4, 73.6]",266731,1,,,,-1.498404,,Right Foot,True,,,"[108.3, 47.4]",,High Pass,,26.268803,,,,Sergio Enrich Ametller,6700.0,,,,,,1,Regular Play,Ander Capa Rodríguez,6699.0,Right Back,7,Eibar,322,['530113c6-f2fd-49ab-b631-4e2400ab5ad0'],12,,,,,,,,,,,,,,,,,Eibar,322,00:01:12.813,Pass,,2016/2017
,,,,,,,,,,,,,,,0.9637,,,,,,,,,,,,,,398d1a72-dcd9-4129-852f-793f85672b1c,79,,"[108.3, 47.4]",266731,1,,,,-1.5772897,,Head,,,,"[108.2, 32.0]",,High Pass,,15.400325,,,,Takashi Inui,5687.0,,,,,,1,Regular Play,Sergio Enrich Ametller,6700.0,Center Forward,7,Eibar,322,['39a48d15-78c7-4bea-891c-f98fe0a4b6ca'],13,,,,,,,,,,,,,,,,,Eibar,322,00:01:13.696,Pass,,2016/2017
,,,,,,,,,,,,,,,1.217282,,,,,,,,,,,,,,31801106-c8a2-4425-bcac-17d9735e8d22,84,,"[19.8, 63.6]",266731,1,,,,-1.1026645,,Right Foot,,,,"[24.3, 54.7]",,Ground Pass,,9.972963,,,,Ivan Rakitić,5470.0,,,,,Recovery,1,Regular Play,Sergi Roberto Carnicer,6379.0,Right Back,7,Eibar,322,"['4c6316e3-501f-4234-900f-2fcf86635309', '998ab237-77c2-4d93-8088-04e18654dff6']",18,,,,,,,,,,,,,,,,,Barcelona,217,00:01:18.100,Pass,True,2016/2017
,,,,,,,,,,,,,,,4.003449,,,,,,,,,,,,,,6ff2cca3-f7cb-4bda-8b6a-cbccb5850c4a,88,,"[24.7, 56.4]",266731,1,,,,0.73346984,,Right Foot,,,,"[50.0, 79.2]",,Low Pass,,34.057747,,Out,,Sergi Roberto Carnicer,6379.0,,,,,,1,Regular Play,Ivan Rakitić,5470.0,Right Center Midfield,7,Eibar,322,"['021b8586-f6b3-4b61-90cf-6c7c0f89ef8f', 'deb09933-76c4-45d3-94d2-77ac751abf81']",19,,,,,,,,,,,,,,,,,Barcelona,217,00:01:19.743,Pass,True,2016/2017
,,,,,,,,,,,,,,,1.3114,,,,,,,,,,,,,,4d7b1983-fc2d-4ae1-8949-d77dfeeb1bbb,90,,"[64.1, 0.1]",266731,1,,,,1.7872113,,,,,,"[61.0, 14.2]",,Low Pass,,14.436759,,,,Gonzalo Escalante,6712.0,,,,,Throw-in,1,From Throw In,Antonio Manuel Luna Rodríguez,6675.0,Left Back,8,Eibar,322,['078d193b-b072-4f5b-88d3-396b59e2b65a'],28,,,,,,,,,,,,,,,,,Eibar,322,00:01:28.369,Pass,,2016/2017
,,,,,,,,,,,,,,,1.0426,,,,,,,,,,,,,,42030890-5e4c-4c94-9cd0-1222a1959bdc,93,,"[61.4, 13.7]",266731,1,,,,0.42040536,,Right Foot,,,,"[69.9, 17.5]",,Ground Pass,,9.310746,,,,Daniel García Carrillo,6775.0,,,,,,1,From Throw In,Gonzalo Escalante,6712.0,Right Defensive Midfield,8,Eibar,322,['1f8add1e-a6c4-4298-88e8-912574292f53'],29,,,,,,,,,,,,,,,,,Eibar,322,00:01:29.890,Pass,,2016/2017
,,,,,,,,,,,,,,,1.9278,,,,,,,,,,,,,,996ba966-bea7-4363-8afc-b31f17f125fa,96,,"[56.6, 17.5]",266731,1,,,,-1.9693187,,Right Foot,,,,"[51.8, 6.1]",,Ground Pass,,12.369317,,,,Antonio Manuel Luna Rodríguez,6675.0,,,,,,1,From Throw In,Daniel García Carrillo,6775.0,Left Defensive Midfield,8,Eibar,322,['a58aa50d-665d-44c6-9190-feda9809dfe4'],31,,,,,,,,,,,,,,,,,Eibar,322,00:01:31.890,Pass,,2016/2017
