ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,"[73.1, 29.9]",,,,,,,,,,,,1.595772,,,,,,,,,,,,,,d9aed3d8-fbf0-4340-a18f-7a8edee20e02,1394,,"[71.8, 29.7]",70281,32,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Xavier Hernández Creus,20131.0,Right Center Midfield,76,Barcelona,217,"['2d1b882d-847a-41fe-9fa7-1064a629dcbb', '9acfbd81-92c6-4e25-a476-7559b1a6578f']",44,,,,,,,,,,,,,,,,,,,Barcelona,217,00:32:44.126,Carry,,2012/2013
,,,,"[47.2, 13.2]",,,,,,,,,,,,0.605214,,,,,,,,,,,,,,8c88be12-6484-478c-9c6e-4b7edc3e69a4,1403,,"[48.0, 12.1]",70281,33,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Andrés Iniesta Luján,5216.0,Left Center Midfield,77,Barcelona,217,"['8f27b9d1-5b92-4a60-94d7-650059dc35de', 'c0af974d-65fb-484a-9ca9-763235605cfe']",13,,,,,,,,,,,,,,,,,,,Barcelona,217,00:33:13.007,Carry,,2012/2013
,,,,"[55.0, 5.1]",,,,,,,,,,,,0.696737,,,,,,,,,,,,,,60adc372-3d33-4271-b1d7-f6b3429a82a2,1406,,"[55.2, 6.2]",70281,33,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Jordi Alba Ramos,5211.0,Left Back,77,Barcelona,217,"['788ac95f-ba47-4162-a4d3-ec10ff9b2aa4', '7d9b832a-b461-40ac-b31f-48be720dac1c', '85089f8d-fa3e-4de6-9954-43fb86d98910']",14,,,,,,,,,,,,,,,,,,,Barcelona,217,00:33:14.525,Carry,True,2012/2013
,,,,"[52.4, 4.0]",,,,,,,,,,,,1.991079,,,,,,,,,,,,,,239ad876-ffc8-41f2-a87e-0086c761dddb,1410,,"[62.0, 2.5]",70281,33,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Cristian Tello Herrera,6658.0,Left Wing,77,Barcelona,217,"['25c889d4-08f8-4021-8e64-d91374321cf3', 'f0d9175e-7879-4ae8-abab-6b716e2cc805']",15,,,,,,,,,,,,,,,,,,,Barcelona,217,00:33:15.939,Carry,,2012/2013
,,,,"[31.9, 52.6]",,,,,,,,,,,,2.177441,,,,,,,,,,,,,,43cbc137-57d3-4744-bfe0-b85ddd09de14,1413,,"[45.9, 49.3]",70281,33,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Gerard Piqué Bernabéu,5213.0,Right Center Back,77,Barcelona,217,"['01f160a1-c832-400c-8a44-b025a8b748c9', 'f7009aca-cda4-49ac-b369-953f1bfe7f8b']",20,,,,,,,,,,,,,,,,,,,Barcelona,217,00:33:20.456,Carry,,2012/2013
,,,,"[48.7, 63.9]",,,,,,,,,,,,1.154236,,,,,,,,,,,,,,d59a6fcc-2839-4d13-a7b6-09b0ae2d7ad3,1416,,"[46.7, 60.0]",70281,33,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Daniel Alves da Silva,4324.0,Right Back,77,Barcelona,217,"['9f665db5-9411-4db2-8630-1853f0fceab5', 'ae1dc60d-8bbe-4bce-9b4d-5e1abff329f7']",23,,,,,,,,,,,,,,,,,,,Barcelona,217,00:33:23.617,Carry,,2012/2013
,,,,"[54.1, 47.1]",,,,,,,,,,,,1.690202,,,,,,,,,,,,,,ea7b359c-2d6a-4ccc-a980-8b593fb524b8,1419,,"[51.7, 50.4]",70281,33,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Xavier Hernández Creus,20131.0,Right Center Midfield,77,Barcelona,217,"['4c19f247-ab07-44d1-a375-46c5455d9836', '7a51b83e-0ada-466f-bfb0-c6662119f8bc', 'ab5dfc9e-1cb9-4d56-a414-5f6d478b5e1e']",26,,,,,,,,,,,,,,,,,,,Barcelona,217,00:33:26.621,Carry,True,2012/2013
,,,,"[113.1, 13.4]",,,,,,,,,,,,2.48422,,,,,,,,,,,,,,e19cbf87-ddfc-4649-876b-dfca535b7bf4,1423,,"[106.8, 3.2]",70281,33,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Cristian Tello Herrera,6658.0,Left Wing,77,Barcelona,217,"['4e4712a9-bd52-4a79-8714-4a8292b537b1', '9c58a8f0-01f5-4ab8-a5d8-650b3001457f']",32,,,,,,,,,,,,,,,,,,,Barcelona,217,00:33:32.460,Carry,,2012/2013
,,,,"[88.3, 73.9]",,,,,,,,,,,,0.197259,,,,,,,,,,,,,,e559918a-7811-42cd-a28b-466a3442b3d0,1436,,"[89.0, 74.1]",70281,34,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Xavier Hernández Creus,20131.0,Right Center Midfield,79,Barcelona,217,"['225bb286-8fcf-4d10-b26c-4e440a59935f', '9fdb31b7-d2dc-4d9b-b216-3870801ff589', 'b93cf1ae-d326-44cb-ac4e-de2dc02b82cc']",33,,,,,,,,,,,,,,,,,,,Barcelona,217,00:34:33.801,Carry,True,2012/2013
,,,,"[77.4, 75.4]",,,,,,,,,,,,0.871023,,,,,,,,,,,,,,b3413603-290b-4e65-b047-698c4dc204b1,1441,,"[77.6, 75.9]",70281,34,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Daniel Alves da Silva,4324.0,Right Back,79,Barcelona,217,"['a42fd6e1-4fde-4d0c-b1d4-2d151a44823a', 'c7465b69-b8d2-4474-ad7e-db297a649832', 'e5328b5c-96eb-464e-a88f-117479d6a04b']",34,,,,,,,,,,,,,,,,,,,Barcelona,217,00:34:34.856,Carry,True,2012/2013
,,,,"[72.6, 43.4]",,,,,,,,,,,,0.134168,,,,,,,,,,,,,,83f539db-5805-433c-bc08-969f4f015a0e,1449,,"[72.8, 44.1]",70281,34,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Alexandre Dimitri Song-Billong,27053.0,Center Defensive Midfield,80,Barcelona,217,"['257dea22-a375-4ad2-b845-643726ee8a7d', '3729b238-928e-479f-bb26-4e6ba0a07a48']",49,,,,,,,,,,,,,,,,,,,Barcelona,217,00:34:49.371,Carry,,2012/2013
