50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,"[84.3, 22.8]",,,,,,,,,,,,1.317004,,,,,,,,,,,,,,,41649ce6-0cd9-4d0a-8927-f2da4a5847be,454,,"[84.7, 21.5]",68354,8,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Anderson Luís de Souza,19757.0,Left Center Midfield,18,Barcelona,217,"['3024c121-e9a3-43ba-9a59-1d97f6e86e64', 'b9b31333-9789-4ecc-a3ba-ceef7f8a9606']",19,,,,,,,,,,,,,,,,,Barcelona,217,00:08:19.627,Carry,,2005/2006
,,,,"[90.6, 43.4]",,,,,,,,,,,,0.186984,,,,,,,,,,,,,,,e8c738e8-c85c-44a4-a553-7a2b1e1c63bc,457,,"[90.6, 43.4]",68354,8,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Ronaldo de Assis Moreira,25879.0,Left Wing,18,Barcelona,217,"['2dea0b66-d96e-496d-addc-eb6d8379c449', '638090e6-ae44-4bd4-bb3c-98fb078c7608']",22,,,,,,,,,,,,,,,,,Barcelona,217,00:08:22.172,Carry,,2005/2006
,,,,"[84.3, 36.0]",,,,,,,,,,,,0.525589,,,,,,,,,,,,,,,4cfbf0f3-2ca8-454d-ab23-c2406332c5df,461,,"[84.5, 36.6]",68354,8,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Anderson Luís de Souza,19757.0,Left Center Midfield,18,Barcelona,217,"['6b1c9824-110d-4d01-8b29-719a786cb0b9', 'c6b97486-7061-4ddd-9e1f-fa855ba29e90', 'fc26e420-8bf3-4274-969f-0efb882f6ce8']",22,,,,,,,,,,,,,,,,,Barcelona,217,00:08:22.900,Carry,True,2005/2006
,,,,"[95.1, 50.1]",,,,,,,,,,,,0.879121,,,,,,,,,,,,,,,63884627-b304-4690-b70b-654bc6d5e654,464,,"[94.9, 46.5]",68354,8,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Ronaldo de Assis Moreira,25879.0,Left Wing,18,Barcelona,217,"['1b30e357-c0d2-4468-88f6-1a1923ba7b86', '71edff03-c79d-42b4-84df-5e3396206f70', '8ffc3a90-3450-448e-9542-f2a09c6961c2']",24,,,,,,,,,,,,,,,,,Barcelona,217,00:08:24.014,Carry,True,2005/2006
,,,,"[81.9, 46.8]",,,,,,,,,,,,1.884069,,,,,,,,,,,,,,,6fa95655-08ff-479c-8695-d291d2f724d5,472,,"[82.8, 52.9]",68354,8,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Juliano Haus Belletti,25863.0,Right Back,18,Barcelona,217,"['511ee2c6-63af-4aab-a92d-1d00a303b528', '84e1aa66-1f89-4755-92e8-0fa4f9d3e31e']",31,,,,,,,,,,,,,,,,,Barcelona,217,00:08:31.738,Carry,,2005/2006
,,,,"[82.4, 29.4]",,,,,,,,,,,,1.108056,,,,,,,,,,,,,,,463fa93f-354d-4c5b-9170-d4f138677bf4,475,,"[82.1, 29.4]",68354,8,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Xavier Hernández Creus,20131.0,Right Center Midfield,18,Barcelona,217,"['1c4346a5-02de-4d74-b343-4408367879e3', '455633e3-c0d0-473f-bc3f-48675020e385', 'e09fdc25-e6b5-4189-bb01-956b364d4043']",34,,,,,,,,,,,,,,,,,Barcelona,217,00:08:34.826,Carry,True,2005/2006
,,,,"[69.9, 11.6]",,,,,,,,,,,,0.664608,,,,,,,,,,,,,,,780f34a6-1f95-4cb7-8bb8-742acc386aab,479,,"[70.9, 10.1]",68354,8,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Sylvio Mendes Campos Junior,25854.0,Left Back,18,Barcelona,217,"['199b2974-ce64-4f93-a687-6cd9e0014bec', 'd1162ff2-8ffc-4bf3-9e18-4ff16380abd1']",37,,,,,,,,,,,,,,,,,Barcelona,217,00:08:37.227,Carry,,2005/2006
,,,,"[64.4, 25.1]",,,,,,,,,,,,1.677664,,,,,,,,,,,,,,,2a856e2b-0ab3-49f2-817e-58f361ceb8d4,482,,"[65.6, 25.4]",68354,8,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Xavier Hernández Creus,20131.0,Right Center Midfield,18,Barcelona,217,"['84903745-0a7e-46df-8c21-8f4aa7caeb8b', '90d7325e-aac2-4137-9c0f-6b5877eee929', 'f0f56f81-2883-4a31-886a-8a09e18ee3e4']",39,,,,,,,,,,,,,,,,,Barcelona,217,00:08:39.234,Carry,True,2005/2006
,,,,"[51.4, 25.8]",,,,,,,,,,,,1.419295,,,,,,,,,,,,,,,673a50e3-f90e-4d8f-994a-b753174b2f23,486,,"[53.1, 26.2]",68354,8,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Rafael Márquez Álvarez,5558.0,Left Center Back,18,Barcelona,217,"['09b2c796-bd85-4622-91ad-9fdb11a35195', '8c0eef9c-9600-4245-b32c-79f1b1f6ef67']",42,,,,,,,,,,,,,,,,,Barcelona,217,00:08:42.084,Carry,,2005/2006
,,,,"[12.4, 35.3]",,,,,,,,,,,,1.123776,,,,,,,,,,,,,,,d19b5bda-9bac-4f35-936b-690370150127,491,,"[9.9, 33.2]",68354,9,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Víctor Valdés Arribas,20176.0,Goalkeeper,20,Barcelona,217,"['9f9108e4-a983-4c0a-ac3b-cc26811f2822', 'f4bebfb2-1eb0-4852-9116-a88b4900f88d']",22,,,,,,,,,,,,,,,,,Barcelona,217,00:09:22.464,Carry,,2005/2006
