ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,20c95a29-976b-4de3-a448-41607a28b564,1672,,"[103.3, 37.1]",69300,36,,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Gerard Piqué Bernabéu,5213.0,Right Center Back,66,Barcelona,217,,56,,,,,,,,,,,,,,,,,Barcelona,217,00:36:56.611,Miscontrol,,2010/2011
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2fc51e03-9208-4e11-988f-fd7d6e4d37a7,1821,,"[75.0, 7.0]",69300,41,True,,True,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Florent Sinama-Pongolle,26083.0,Left Center Forward,76,Real Zaragoza,395,['250ebb80-fe41-48cc-9c92-2725bbef1cb7'],39,,,,,,,,,,,,,,,,,Real Zaragoza,395,00:41:39.140,Miscontrol,True,2010/2011
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,279a6bff-97bd-4e1c-b0a3-90bad4d902bb,1879,,"[114.5, 79.0]",69300,44,,,True,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Ander Herrera Agüera,3606.0,Center Attacking Midfield,79,Real Zaragoza,395,,15,,,,,,,,,,,,,,,,,Real Zaragoza,395,00:44:15.698,Miscontrol,,2010/2011
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,4ac4517a-1b21-427f-8c6c-c7adb726aadc,2101,,"[63.3, 4.2]",69300,47,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Guirane N''Daw,26760.0,Left Center Midfield,87,Real Zaragoza,395,,36,,,,,,,,,,,,,,,,,Real Zaragoza,395,00:02:36.942,Miscontrol,,2010/2011
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,de12e0f7-4893-4dc0-98ea-c90fefb92aff,2281,,"[26.0, 46.0]",69300,52,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Ádám Pintér,10815.0,Right Center Midfield,94,Barcelona,217,,10,,,,,,,,,,,,,,,,,Real Zaragoza,395,00:07:10.864,Miscontrol,,2010/2011
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,247e5df1-4b73-4213-9339-7a05cb7dd8fa,2827,,"[75.0, 9.6]",69300,66,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Maxwell Scherrer Cabelino Andrade,26613.0,Left Back,126,Barcelona,217,,46,,,,,,,,,,,,,,,,,Barcelona,217,00:21:46.698,Miscontrol,,2010/2011
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a91e904f-4c13-4975-b5fd-9504c4ae742b,3188,,"[56.1, 72.4]",69300,73,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Ikechukwu Uche,23930.0,Right Center Forward,138,Real Zaragoza,395,,44,,,,,,,,,,,,,,,,,Real Zaragoza,395,00:28:44.738,Miscontrol,,2010/2011
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,fe084a1a-d8a5-4dbd-9bd0-286fce021d1d,3295,,"[90.9, 49.7]",69300,75,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,David Villa Sánchez,12737.0,Center Forward,141,Barcelona,217,,53,,,,,,,,,,,,,,,,,Barcelona,217,00:30:53.777,Miscontrol,,2010/2011
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d1d70397-6101-4da0-bba9-7e4df35d1704,3869,,"[87.7, 29.6]",69300,86,,,,,,,,,,,,,,,,,,,,,,,,,2,From Counter,Florent Sinama-Pongolle,26083.0,Left Center Forward,163,Real Zaragoza,395,,42,,,,,,,,,,,,,,,,,Real Zaragoza,395,00:41:42.961,Miscontrol,,2010/2011
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,694473ce-0c41-4207-a479-714188b689d1,4117,,"[102.9, 59.3]",69300,90,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Daniel Alves da Silva,4324.0,Right Back,168,Barcelona,217,,55,,,,,,,,,,,,,,,,,Barcelona,217,00:45:55.505,Miscontrol,,2010/2011
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d52a262f-1674-4ccd-8c94-e5a0318f8369,4128,,"[55.6, 74.5]",69300,91,,,True,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Carlos Andrés Diogo Enseñat,26022.0,Right Wing Back,170,Real Zaragoza,395,['c0e0288c-5a23-48fa-8da9-28b15907197c'],24,,,,,,,,,,,,,,,,,Real Zaragoza,395,00:46:24.852,Miscontrol,True,2010/2011
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,3dd9fd76-e187-4827-9bc2-1feb703ad779,4151,,"[94.2, 2.6]",69300,91,,,True,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Ikechukwu Uche,23930.0,Right Center Forward,172,Real Zaragoza,395,['6d4de758-c42e-4fed-88f7-d24f9d1a1ad2'],56,,,,,,,,,,,,,,,,,Real Zaragoza,395,00:46:56.084,Miscontrol,True,2010/2011
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,4c980a90-791c-42fd-ba02-f879e671f52c,59,,"[34.2, 3.4]",69300,1,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Bojan Krkíc Pérez,4913.0,Center Forward,6,Real Zaragoza,395,"['00fc6d49-341e-4899-89a4-8418091ee190', '3a8f5b61-7bf7-4aaf-b828-650d88fa4c75', '4afe7cf9-e4d8-4d21-a7ec-23dd6345c9fe']",7,,,,,,,,,,,,,,,,,Barcelona,217,00:01:07.912,Dribbled Past,,2010/2011
