bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,2.037688,,,,,,,,,,,,,bfa5f684-c255-43e3-ae1e-1f08093ec996,19,,"[54.8, 1.0]",68315,0,,,,,2.9627995,,,,,"[38.2, 4.0]",,Low Pass,,16.868906,,,,Oleguer Presas Renom,25873.0,,,,,Throw-in,1,From Throw In,Giovanni van Bronckhorst,17797.0,Left Back,3,Barcelona,217,['93eb4576-aa49-45a2-954d-ce1cfdc5eb4d'],22,,,,,,,,,,,,,,,,,Barcelona,217,00:00:22.040,Pass,,2004/2005
,,,,,,,,,,,,,,,,,1.120453,,,,,,,,,,,,,7b0e5c62-015b-44cd-a5fd-897230b7c0d4,22,,"[36.1, 13.5]",68315,0,,,,,1.0656296,,Right Foot,,,"[50.7, 39.9]",,Ground Pass,,30.168196,,,,Xavier Hernández Creus,20131.0,,,,,,1,From Throw In,Oleguer Presas Renom,25873.0,Left Center Back,3,Barcelona,217,['26bed767-075a-48c2-87c7-6a4aa7bc4979'],25,,,,,,,,,,,,,,,,,Barcelona,217,00:00:25.864,Pass,,2004/2005
,,,,,,,,,,,,,,,,,1.355943,,,,,,,,,,,,,06cd3464-fa47-4589-88a9-8ea553f0a1f1,25,,"[55.8, 47.8]",68315,0,,,,,-1.4724306,,Right Foot,,,"[57.3, 32.6]",,Ground Pass,,15.273834,,,,Anderson Luís de Souza,19757.0,,,,,,1,From Throw In,Xavier Hernández Creus,20131.0,Center Defensive Midfield,3,Barcelona,217,['a4a50d38-9fae-4887-b829-191944be8cab'],30,,,,,,,,,,,,,,,,,Barcelona,217,00:00:30.059,Pass,,2004/2005
,,,,,,,,,,,,,,,,,1.348847,,,,,,,,,,,,,8c1081df-ecd0-48d8-9e21-e07a8019f12f,29,,"[54.0, 37.2]",68315,0,,,,,2.037639,,Right Foot,,,"[47.7, 49.7]",,Ground Pass,,13.997857,,,,Carles Puyol i Saforcada,20125.0,,,,,,1,From Throw In,Anderson Luís de Souza,19757.0,Right Center Midfield,3,Barcelona,217,"['b3b44a4f-271d-4859-9529-e5e39ae81033', 'b928bb0a-3d0a-44b9-ae83-a33eec775537']",32,,,,,,,,,,,,,,,,,Barcelona,217,00:00:32.831,Pass,True,2004/2005
,,,,,,,,,,,,,,,,,3.003058,,,,,,,,,,,,,fc5a8c60-0cb1-456a-a773-c304ffe7a81a,32,,"[54.8, 52.8]",68315,0,,,,,-1.192925,,Right Foot,,,"[75.6, 0.4]",,High Pass,,56.3773,,Out,,Giovanni van Bronckhorst,17797.0,,True,,,,1,From Throw In,Carles Puyol i Saforcada,20125.0,Right Center Back,3,Barcelona,217,['5de0e77d-e349-451e-93c5-ddc66f980273'],37,,,,,,,,,,,,,,,,,Barcelona,217,00:00:37.543,Pass,,2004/2005
,,,,,,,,,,,,,,,,,1.309492,,,,,,,,,,,,,0ee951ba-1d6f-4653-b81b-edd58eeee8dc,34,,"[47.5, 80.0]",68315,0,,True,,,-0.25574252,,,,,"[69.3, 74.3]",,Low Pass,,22.532866,,Incomplete,,,,,,,,Throw-in,1,From Throw In,Iñaki Descarga Retegi,25894.0,Left Back,4,Levante UD,221,['8a4d970d-51ea-4950-a062-a45857420b4f'],52,,,,,,,,,,,,,,,,,Levante UD,221,00:00:52.962,Pass,,2004/2005
,,,,,,,,,,,,,,,,,1.133206,,,,,,,,,,,,,8a4d970d-51ea-4950-a062-a45857420b4f,35,,"[51.7, 6.7]",68315,0,,,,,1.3370532,,Left Foot,,,"[55.2, 21.4]",,Low Pass,,15.110923,,,,Xavier Hernández Creus,20131.0,,,,,Interception,1,Regular Play,Giovanni van Bronckhorst,17797.0,Left Back,5,Barcelona,217,"['0ee951ba-1d6f-4653-b81b-edd58eeee8dc', 'bdd9d311-2934-4c49-98bc-3047462672b0']",54,,,,,,,,,,,,,,,,,Barcelona,217,00:00:54.271,Pass,,2004/2005
,,,,,,,,,,,,,,,,,1.429328,,,,,,,,,,,,,8423ab5c-8e80-447c-ad4d-e8a81ae59546,39,,"[55.0, 25.2]",68315,0,,,,,2.1783693,,Right Foot,,,"[46.1, 38.0]",,Ground Pass,,15.590061,,,,Carles Puyol i Saforcada,20125.0,,,,,,1,Regular Play,Xavier Hernández Creus,20131.0,Center Defensive Midfield,5,Barcelona,217,"['2e1b9f22-b09b-4568-920b-6d7062fa0842', '78ac5558-89de-41ea-b4b6-fc3fc02cd3f3']",57,,,,,,,,,,,,,,,,,Barcelona,217,00:00:57.561,Pass,True,2004/2005
,,,,,,,,,,,,,,,,,1.075534,,,,,,,,,,,,,06f8a305-ff5d-4239-b4b2-3a5561145896,42,,"[52.9, 47.4]",68315,1,,,,,-1.5707964,,Right Foot,,,"[52.9, 34.5]",,Ground Pass,,12.9,,,,Xavier Hernández Creus,20131.0,,,,,,1,Regular Play,Carles Puyol i Saforcada,20125.0,Right Center Back,5,Barcelona,217,['6cd95f9b-b620-4995-8a08-3d861d8392f8'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:01:00.608,Pass,,2004/2005
,,,,,,,,,,,,,,,,,1.5827,,,,,,,,,,,,,3b5868cf-e2dd-4ea0-8117-69f1ccf5228b,45,,"[64.7, 31.4]",68315,1,,,,,-0.4985172,,Right Foot,,,"[81.6, 22.2]",,Ground Pass,,19.241882,,Incomplete,,Andrés Iniesta Luján,5216.0,,,,,,1,Regular Play,Xavier Hernández Creus,20131.0,Center Defensive Midfield,5,Barcelona,217,"['a5582c64-3c52-4d7a-a48f-e3359e76b378', 'f2b7cbe6-2706-4848-b6d0-cb64dc782e0b']",7,,,,,,,,,,,,,,,,,Barcelona,217,00:01:07.733,Pass,,2004/2005
