ball_receipt_outcome,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,ba2f6bd1-d176-4f35-8d0a-3a477a6ff4ce,1,,,,9673,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6374, 'name': 'Nélson Cabral Semedo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 5492, 'name': 'Samuel Yves Umtiti'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 6402, 'name': 'Francisco Alcácer García'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 17}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 8}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2017/2018
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,04216a0e-7dbe-4666-b120-464271ad83b3,2,,,,9673,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6722, 'name': 'David Soria Solís'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6716, 'name': 'Sébastien Corchia'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 5534, 'name': 'Simon Thorup Kjær'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 6826, 'name': 'Clément Lenglet'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 6718, 'name': 'Sergio Escudero Palomo'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5737, 'name': ""Steven N''Kemboanza Mike Christopher Nzonzi""}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 6715, 'name': 'Guido Hernán Pizarro'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 6821, 'name': 'Jesús Navas González'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 16}, {'player': {'id': 5504, 'name': 'Éver Maximiliano David Banega'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 6720, 'name': 'Pablo Sarabia García'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 6334, 'name': 'Luis Fernando Muriel Fruto'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 20}]}",Sevilla,213,00:00:00.000,Starting XI,,2017/2018
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,a90bb6c2-3032-48cd-a2c5-62c085acfe3b,3,,,,9673,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['8ecc1a26-2495-43af-a03f-9eb120fbd2ec'],0,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2017/2018
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,8ecc1a26-2495-43af-a03f-9eb120fbd2ec,4,,,,9673,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['a90bb6c2-3032-48cd-a2c5-62c085acfe3b'],0,,,,,,,,,,,,,,,,Sevilla,213,00:00:00.000,Half Start,,2017/2018
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,c8ac70b1-9db2-4a09-8145-d1faa183885c,2067,,,,9673,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,105,Sevilla,213,['555218bc-8df6-421b-921d-3387dac04011'],0,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2017/2018
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,555218bc-8df6-421b-921d-3387dac04011,2068,,,,9673,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,105,Sevilla,213,['c8ac70b1-9db2-4a09-8145-d1faa183885c'],0,,,,,,,,,,,,,,,,Sevilla,213,00:00:00.000,Half Start,,2017/2018
,,,,,,,,,,,,,,,1.220242,,,,,,,,,,,,64db5bfe-f443-4311-bb93-edca18c20dcb,5,,,"[60.0, 40.0]",9673,0,,,,,3.122727,,Right Foot,,,"[49.4, 40.2]",,Ground Pass,,10.601887,,,,Ivan Rakitić,5470.0,,,,,Kick Off,1,From Kick Off,Luis Alberto Suárez Díaz,5246.0,Left Center Forward,2,Barcelona,217,['0d8ac38d-d844-41e0-a033-4227402a5e9c'],0,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.975,Pass,,2017/2018
,,,,,,,,,,,,,,,0.843656,,,,,,,,,,,,9b877bfc-4dfb-4b57-95cb-00f700683d05,8,,,"[50.4, 43.9]",9673,0,,,,,-0.293367,,Right Foot,,,"[60.0, 41.0]",,Ground Pass,,10.02846,,,,Luis Alberto Suárez Díaz,5246.0,,,,,,1,From Kick Off,Ivan Rakitić,5470.0,Left Defensive Midfield,2,Barcelona,217,['23cd7507-197a-415e-81d6-55f0213e2104'],3,,,,,,,,,,,,,,,,Barcelona,217,00:00:03.289,Pass,,2017/2018
,,,,,,,,,,,,,,,1.62867,,,,,,,,,,,,898275d6-3813-4d5d-8c51-437a6c73676d,11,,,"[61.7, 40.7]",9673,0,,,,,-2.4936442,,Left Foot,,,"[36.6, 21.7]",,Ground Pass,,31.48031,,,,Samuel Yves Umtiti,5492.0,,,,,,1,From Kick Off,Luis Alberto Suárez Díaz,5246.0,Left Center Forward,2,Barcelona,217,['3e1aa228-91ab-4d69-8b7b-3d58f9b694e9'],4,,,,,,,,,,,,,,,,Barcelona,217,00:00:04.172,Pass,,2017/2018
,,,,,,,,,,,,,,,0.912296,,,,,,,,,,,,e547a524-dc25-4bb6-bcee-49572a17be73,14,,,"[41.7, 20.5]",9673,0,,,,,0.548759,,Left Foot,,,"[61.0, 32.3]",,Ground Pass,,22.62145,,,,Andrés Iniesta Luján,5216.0,,,,,,1,From Kick Off,Samuel Yves Umtiti,5492.0,Left Center Back,2,Barcelona,217,['369c345e-3e9a-4df2-8eec-be6e6ea4a547'],8,,,,,,,,,,,,,,,,Barcelona,217,00:00:08.394,Pass,,2017/2018
