50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,2.356335,,,,,,,,,,,,,164f5c7a-1557-4c37-bbef-c7870948b6ce,17,,"[26.2, 55.0]",266420,0,,,,,-2.4137225,,Right Foot,,,"[6.0, 37.0]",,Ground Pass,,27.056238,,,,Esteban Andrés Suárez,25971.0,,,,,,1,From Kick Off,Ángel Trujillo Canorea,25824.0,Left Center Back,2,Almería,403,['4ea9466f-fd53-4383-b6c5-3eabd2a7adc3'],8,,,,,,,,,,,,,,,,,Almería,403,00:00:08.742,Pass,,2013/2014
,,,,,,,,,,,,,,,,3.936417,,,,,,,,,,,,,d7ed31f1-b02a-4e2d-997e-7b57deb66110,20,,"[8.2, 40.7]",266420,0,,,,,-0.122254156,,Left Foot,,,"[66.8, 33.5]",,High Pass,,59.040665,,,,Fernando Soriano Marco,26435.0,,,,,,1,From Kick Off,Esteban Andrés Suárez,25971.0,Goalkeeper,2,Almería,403,['c06e162e-9924-49f6-b4a4-e6aab122a6ff'],13,,,,,,,,,,,,,,,,,Almería,403,00:00:13.808,Pass,,2013/2014
,,,,,,,,,,,,,,,,1.383661,,,,,,,,,,,,,cea9b6d4-cb47-4ffb-aa6f-f07b576c3ada,24,,"[64.3, 31.5]",266420,0,,,,,1.3293326,,Right Foot,,,"[67.6, 44.9]",,Low Pass,,13.800363,,,,José Antonio García Rabasco,24149.0,,,,,,1,From Kick Off,Fernando Soriano Marco,26435.0,Center Attacking Midfield,2,Almería,403,"['b7ee98fd-5e91-474d-bda0-9d89a8d8c7b0', 'f30305cb-8b1b-4273-a476-b7b69732dae5']",18,,,,,,,,,,,,,,,,,Almería,403,00:00:18.874,Pass,True,2013/2014
,,,,,,,,,,,,,,,,1.294717,,,,,,,,,,,,,3aef02b0-8cb9-494f-a2a2-a1a056503380,27,,"[97.9, 62.9]",266420,0,,,,,0.94305325,,Right Foot,,,"[106.1, 74.2]",,Ground Pass,,13.961734,,,,Jesús Joaquín Fernández Sáez de la Torre,7022.0,,,,,,1,From Kick Off,José Antonio García Rabasco,24149.0,Right Center Midfield,2,Almería,403,['899e3e2f-2e66-48a2-9f7f-26acbfd37204'],25,,,,,,,,,,,,,,,,,Almería,403,00:00:25.514,Pass,,2013/2014
,,,,,,,,,,,,,,,,1.1836,,,,,,,,,,,,,3a9c6ff1-6d7f-4d8b-a21d-fefd0e6add31,31,,"[105.3, 68.6]",266420,0,,,,,-1.2138844,,Left Foot,True,,"[116.3, 39.1]",,High Pass,,31.484123,,,Incomplete,Fernando Soriano Marco,26435.0,,,,,,1,From Kick Off,Jesús Joaquín Fernández Sáez de la Torre,7022.0,Right Wing,2,Almería,403,"['82628a56-a98d-4575-abcd-c35c56b69fcb', 'a220019b-a4fb-4cc9-8ba7-f322cc7981f5', 'a7a4724e-caf4-484d-9dd2-eeed80faabca']",28,,,,,,,,,,,,,,,,,Almería,403,00:00:28.439,Pass,True,2013/2014
,,,,,,,,,,,,,,,,2.329105,,,,,,,,,,,,,78a146c8-ae2e-49e4-8b58-631f2d5dd437,39,,"[53.1, 46.7]",266420,0,,True,,,1.094237,,Right Foot,,,"[67.4, 74.4]",,Ground Pass,,31.173386,,,,Daniel Alves da Silva,4324.0,,,,,Free Kick,1,From Free Kick,Francesc Fàbregas i Soler,3478.0,Left Center Midfield,4,Barcelona,217,['9c92d023-f085-40de-b792-3130350d653d'],53,,,,,,,,,,,,,,,,,Barcelona,217,00:00:53.441,Pass,,2013/2014
,,,,,,,,,,,,,,,,2.047722,,,,,,,,,,,,,00c503f5-7cb5-4476-90cb-84ee3778a1a3,41,,"[66.9, 74.1]",266420,0,,,,,-2.6571147,,Right Foot,,,"[46.0, 63.1]",,Low Pass,,23.618002,,,,Marc Bartra Aregall,7068.0,,,,,,1,From Free Kick,Daniel Alves da Silva,4324.0,Right Back,4,Barcelona,217,['3a768222-eaaa-4a50-9e41-ea6abbc3dcf5'],55,,,,,,,,,,,,,,,,,Barcelona,217,00:00:55.912,Pass,,2013/2014
,,,,,,,,,,,,,,,,1.762085,,,,,,,,,,,,,c040a4d6-9f84-4dbe-a05f-de6e3e06b9bc,44,,"[44.4, 59.9]",266420,0,,,,,-1.7331185,,Right Foot,,,"[39.7, 31.2]",,Ground Pass,,29.082296,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Free Kick,Marc Bartra Aregall,7068.0,Right Center Back,4,Barcelona,217,['36014293-3649-44f3-b874-2a4c2cd2836f'],58,,,,,,,,,,,,,,,,,Barcelona,217,00:00:58.646,Pass,,2013/2014
,,,,,,,,,,,,,,,,2.307607,,,,,,,,,,,,,86ecea37-4ac4-446d-a6e1-411420a4e639,48,,"[44.8, 31.6]",266420,1,,,,,1.5808462,,Right Foot,,,"[44.4, 71.4]",,Ground Pass,,39.80201,,,,Marc Bartra Aregall,7068.0,,,,,,1,From Free Kick,Gerard Piqué Bernabéu,5213.0,Left Center Back,4,Barcelona,217,"['25023e14-16ce-4a44-8a91-14a6e739f699', 'c9cac384-e934-465d-9857-3bfd943cf4e4']",4,,,,,,,,,,,,,,,,,Barcelona,217,00:01:04.974,Pass,True,2013/2014
,,,,,,,,,,,,,,,,1.3725,,,,,,,,,,,,,f14642a8-07c9-4d3b-8df2-60b0fa26dab8,51,,"[47.9, 67.7]",266420,1,,,,,-2.4403327,,Right Foot,,,"[38.9, 60.1]",,Ground Pass,,11.779643,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Free Kick,Marc Bartra Aregall,7068.0,Right Center Back,4,Barcelona,217,['d03bb397-f436-4039-a298-ae6c95423a5e'],10,,,,,,,,,,,,,,,,,Barcelona,217,00:01:10.113,Pass,,2013/2014
