50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,player_off_permanent,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ac926dec-ffa1-44ea-a734-dfc0a565a6df,1,,,,69299,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 20125, 'name': 'Carles Puyol i Saforcada'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 20177, 'name': 'Eric-Sylvain Bilal Abidal'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 22}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 3958, 'name': 'Pedro Eliezer Rodríguez Ledesma'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 12737, 'name': 'David Villa Sánchez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Barcelona,217,00:00:00.000,Starting XI,,2010/2011
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c9bda184-571e-4482-bf23-990874e40b0d,2,,,,69299,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 11179, 'name': 'Iker Casillas Fernández'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5201, 'name': 'Sergio Ramos García'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 4}, {'player': {'id': 20016, 'name': 'Kléper Laveran Lima Ferreira'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 10805, 'name': 'Ricardo Alberto Silveira de Carvalho'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 5552, 'name': 'Marcelo Vieira da Silva Júnior'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 5566, 'name': 'Sami Khedira'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 20133, 'name': 'Xabier Alonso Olano'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 5207, 'name': 'Cristiano Ronaldo dos Santos Aveiro'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 3496, 'name': 'Mesut Özil'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 23}, {'player': {'id': 2995, 'name': 'Ángel Fabián Di María Hernández'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 22}, {'player': {'id': 19677, 'name': 'Karim Benzema'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Real Madrid,220,00:00:00.000,Starting XI,,2010/2011
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b3dae79e-facf-499b-a1cb-2b6c5c59c81c,3,,,,69299,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,,1,Barcelona,217,['7493688e-145f-4458-bd76-549bc7f21bec'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2010/2011
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,7493688e-145f-4458-bd76-549bc7f21bec,4,,,,69299,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,,1,Barcelona,217,['b3dae79e-facf-499b-a1cb-2b6c5c59c81c'],0,,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:00.000,Half Start,,2010/2011
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a702f58e-dc5b-495b-979e-b87fb08124cd,1927,,,,69299,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,,84,Barcelona,217,['d551fa81-20eb-4580-9798-e5fbbdbcef04'],0,,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:00.000,Half Start,,2010/2011
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d551fa81-20eb-4580-9798-e5fbbdbcef04,1928,,,,69299,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,,84,Barcelona,217,['a702f58e-dc5b-495b-979e-b87fb08124cd'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2010/2011
,,,,,,,,,,,,,,,,,,0.6789,,,,,,,,,,,,,78b837e8-5477-46cf-a401-d4cae5895637,5,,,"[61.0, 41.0]",69299,0,,,,,1.3734008,,Right Foot,,,,"[61.4, 43.0]",,Ground Pass,,2.0396078,,,,Mesut Özil,3496.0,,,,,Kick Off,1,From Kick Off,Karim Benzema,19677.0,,Center Forward,2,Real Madrid,220,['53114940-7912-4eac-82e7-9bbd74af28f1'],0,,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:00.724,Pass,,2010/2011
,,,,,,,,,,,,,,,,,,1.18036,,,,,,,,,,,,,344578cd-7529-4ee5-bbd1-5cd0d1f11afc,7,,,"[60.8, 42.6]",69299,0,,,,,-2.7136443,,Right Foot,,,,"[49.4, 37.4]",,Ground Pass,,12.529964,,,,Xabier Alonso Olano,20133.0,,,,,,1,From Kick Off,Mesut Özil,3496.0,,Center Attacking Midfield,2,Real Madrid,220,['49b67faa-c4ba-4009-8809-49beda8f857d'],1,,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:01.403,Pass,,2010/2011
,,,,,,,,,,,,,,,,,,1.469731,,,,,,,,,,,,,ada84c00-3cde-44d3-b5ff-f378d0691e87,10,,,"[48.8, 40.9]",69299,0,,,,,1.6003081,,Right Foot,,,,"[48.0, 68.0]",,Ground Pass,,27.111805,,,,Sergio Ramos García,5201.0,,,,,,1,From Kick Off,Xabier Alonso Olano,20133.0,,Left Defensive Midfield,2,Real Madrid,220,['f82957dc-aa71-421c-8fda-49f13ccadebb'],3,,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:03.460,Pass,,2010/2011
,,,,,,,,,,,,,,,,,,3.3821,,,,,,,,,,,,,2696df69-a137-4868-b1fe-26a6fef210be,19,,,"[54.1, 79.4]",69299,0,,,,,-0.31614694,,Right Foot,,,,"[113.1, 60.1]",,High Pass,,62.076485,,Incomplete,,Karim Benzema,19677.0,,,,,Free Kick,1,From Free Kick,Sergio Ramos García,5201.0,,Right Back,3,Real Madrid,220,"['42d6b71f-c188-41a7-971c-4f7bdb686c5d', 'cf768ff8-ed73-4d7a-9c84-43c4a7fa4d91']",30,,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:30.276,Pass,,2010/2011
