ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,1.798846,,,,,,,,,,,,,,,cbb806f1-852e-4f52-a965-11d78e85454b,19,,"[32.1, 4.4]",69141,0,,,,,-0.23186466,,Left Foot,,,,"[46.5, 1.0]",,Ground Pass,,14.795945,Out,,Juan Manuel Mata García,3294.0,,,,,,,1,From Kick Off,Marco Antonio Simoes Caneira,26223.0,Left Back,2,Valencia,207,"['193d9c8e-70f3-4366-ab75-2b071c6ac8db', '9df68e99-0e8a-4870-9382-3ac7f3fa9825']",11,,,,,,,,,,,,,,,,,,Valencia,207,00:00:11.022,Pass,True,2007/2008
,,,,,,,,,,,,,,,,,1.144863,,,,,,,,,,,,,,,3652565e-45e0-4067-b0c9-63b78e282d08,21,,"[70.7, 80.0]",69141,0,,,,,-1.5707964,,,,,,"[70.7, 67.3]",,Low Pass,,12.7,,,Xavier Hernández Creus,20131.0,,,,,,Throw-in,1,From Throw In,Gianluca Zambrotta,15774.0,Right Back,3,Barcelona,217,['ae5ed526-6b71-4062-aa79-9aad4de58d18'],14,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:14.293,Pass,,2007/2008
,,,,,,,,,,,,,,,,,1.473076,,,,,,,,,,,,,,,29e5bd0a-2523-4f9a-b86e-80020046d655,24,,"[68.1, 66.8]",69141,0,,,,,-2.1209621,,Right Foot,,,,"[58.9, 51.8]",,Ground Pass,,17.59659,,,Rafael Márquez Álvarez,5558.0,,,,,,,1,From Throw In,Xavier Hernández Creus,20131.0,Left Center Midfield,3,Barcelona,217,['512794d2-a126-4738-a09c-2f80e58f3008'],17,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:17.121,Pass,,2007/2008
,,,,,,,,,,,,,,,,,1.826849,,,,,,,,,,,,,,,ad446e90-0901-423a-9b95-0811adccf348,28,,"[58.6, 49.3]",69141,0,,,,,-2.5105133,,Left Foot,,,,"[43.0, 37.9]",,Ground Pass,,19.321491,,,Carles Puyol i Saforcada,20125.0,,,,,,,1,From Throw In,Rafael Márquez Álvarez,5558.0,Center Defensive Midfield,3,Barcelona,217,['59fa8181-128e-4b0b-ab91-019374ebb4ce'],19,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:19.321,Pass,,2007/2008
,,,,,,,,,,,,,,,,,1.725623,,,,,,,,,,,,,,,b3b0d377-fc28-4d5b-a716-3359de1901e0,31,,"[42.5, 30.6]",69141,0,,,,,1.7530819,,Right Foot,,,,"[38.5, 52.3]",,Ground Pass,,22.065584,,,Lilian Thuram,15071.0,,,,,,,1,From Throw In,Carles Puyol i Saforcada,20125.0,Left Center Back,3,Barcelona,217,['07aebe27-60de-4afe-adf5-2cc79183c911'],22,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:22.391,Pass,,2007/2008
,,,,,,,,,,,,,,,,,1.081815,,,,,,,,,,,,,,,46397bc5-3f84-45d0-998b-5ff6ce2c460e,34,,"[38.9, 56.7]",69141,0,,,,,0.36005932,,Right Foot,,,,"[55.9, 63.1]",,Ground Pass,,18.1648,,,Xavier Hernández Creus,20131.0,,,,,,,1,From Throw In,Lilian Thuram,15071.0,Right Center Back,3,Barcelona,217,['25241963-5fc2-45c1-9d35-214104f2f9fc'],24,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:24.859,Pass,,2007/2008
,,,,,,,,,,,,,,,,,1.130689,,,,,,,,,,,,,,,b4695969-ad00-4f1a-8961-38ce7fb5ae18,38,,"[49.7, 59.5]",69141,0,,,,,2.560408,,Right Foot,,,,"[39.5, 66.2]",,Ground Pass,,12.203688,,,Lilian Thuram,15071.0,,,,,,,1,From Throw In,Xavier Hernández Creus,20131.0,Left Center Midfield,3,Barcelona,217,"['5c5b39b5-160e-42e5-ac0a-470a2444de1b', 'c696fec0-5ed5-4fa5-8edb-3a94e4ba1748']",27,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:27.369,Pass,True,2007/2008
,,,,,,,,,,,,,,,,,1.050401,,,,,,,,,,,,,,,6ef16952-bb1f-4cec-bd18-fb06f03a4a1b,41,,"[40.2, 69.2]",69141,0,,,,,-0.19739556,,Right Foot,,,,"[67.7, 63.7]",,Ground Pass,,28.044607,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,,1,From Throw In,Lilian Thuram,15071.0,Right Center Back,3,Barcelona,217,['644c2c7f-83a4-402a-85a7-dd793a61396a'],29,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:29.885,Pass,,2007/2008
,,,,,,,,,,,,,,,,,1.8617,,,,,,,,,,,,,,,feab0a33-d891-47da-8af8-d0ab8410a44a,44,,"[67.1, 64.4]",69141,0,,,,,2.6375868,,Left Foot,,,,"[50.6, 73.5]",,Ground Pass,,18.843037,,,Lilian Thuram,15071.0,,,,,,,1,From Throw In,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,3,Barcelona,217,"['69f34169-9ef3-4262-8f57-37dd6f939d38', '6ea879fc-445d-487a-90be-ee6d9189cd12']",30,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:30.936,Pass,True,2007/2008
,,,,,,,,,,,,,,,,,1.343592,,,,,,,,,,,,,,,c14bd3d3-26ed-4947-82de-9a5ef3534775,48,,"[56.3, 74.9]",69141,0,,,,,-0.8659924,,Right Foot,,,,"[80.2, 46.8]",,Ground Pass,,36.889294,Incomplete,,Samuel Eto''o Fils,19298.0,,,,,,,1,From Throw In,Lilian Thuram,15071.0,Right Center Back,3,Barcelona,217,"['2049c9dc-64d1-4354-b1d0-fa5a1d21b600', '8b807209-9aaf-4560-8709-0205f9afc756', 'ebf226b7-9207-49f2-810e-a88e4f3f6c0c']",33,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:33.784,Pass,True,2007/2008
,,,,,,,,,,,,,,,,,1.806726,,,,,,,,,,,,,,,2049c9dc-64d1-4354-b1d0-fa5a1d21b600,50,,"[40.8, 34.2]",69141,0,,,,,-0.83644867,,Right Foot,,,,"[60.3, 12.6]",,High Pass,,29.1,,,David Villa Sánchez,12737.0,,,,,,Recovery,1,From Throw In,Raúl Albiol i Tortajada,7030.0,Right Center Back,3,Barcelona,217,"['68c34a06-ff1a-47b1-98c7-7a989c7ca8bf', 'c14bd3d3-26ed-4947-82de-9a5ef3534775']",35,,,,,,,,,,,,,,,,,,Valencia,207,00:00:35.127,Pass,,2007/2008
,,,,,,,,,,,,,,,,,1.372635,,,,,,,,,,,,,,,47b79f0e-aadd-47df-a638-259df6d3df07,53,,"[59.6, 11.4]",69141,0,,,,,-1.8427347,,Other,,,,"[56.7, 1.0]",,Low Pass,,10.796759,Out,,Juan Manuel Mata García,3294.0,,,,,,,1,From Throw In,David Villa Sánchez,12737.0,Center Forward,3,Barcelona,217,['ee7acac6-6f39-4c34-b946-464a1eec3084'],37,,,,,,,,,,,,,,,,,,Valencia,207,00:00:37.014,Pass,,2007/2008
