bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,half_start_late_video_start,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.844547,,,,,,,,,,,,,7f32e3d1-d033-4d80-96c2-557aebaea5fc,3343,,,"[26.7, 38.7]",69165,93,,True,,,-0.21506156,,Right Foot,,,,"[97.2, 23.3]",,High Pass,,72.162384,,,Incomplete,,Luis García Fernández,23916.0,,,,,,Free Kick,2,From Free Kick,Daniel Jarque Gonzalez,26110.0,Left Center Back,223,Espanyol,214,"['1dd2a1fb-44c2-4e8d-85de-adab9e3c2eda', '2c009f1c-7781-49f6-92eb-b02e5b1a0567']",19,,,,,,,,,,,,,,,,Espanyol,214,00:48:19.017,Pass,,2006/2007
,,,,,,,,,,,,,,,,1.0339,,,,,,,,,,,,,0ed56c52-6c08-4cae-91b2-283dc0e5dc66,3348,,,"[66.9, 80.0]",69165,93,,,,,-1.0172628,,,,,,"[72.4, 71.1]",,High Pass,,10.462314,,,,,Xavier Hernández Creus,20131.0,,,,,,Throw-in,2,From Throw In,Oleguer Presas Renom,25873.0,Right Back,224,Barcelona,217,['7eb68714-3cb9-473f-b506-3a745d82eda5'],34,,,,,,,,,,,,,,,,Barcelona,217,00:48:34.112,Pass,,2006/2007
,,,,,,,,,,,,,,,,1.049,,,,,,,,,,,,,6c015d9a-c1fc-4fbb-957b-62a4d2a2fd20,3351,,,"[72.7, 70.5]",69165,93,,,,,2.0856812,,Right Foot,,,,"[68.4, 78.1]",,Ground Pass,,8.732124,,,,,Oleguer Presas Renom,25873.0,,,,,,,2,From Throw In,Xavier Hernández Creus,20131.0,Right Center Midfield,224,Barcelona,217,['7b33ddee-9724-409c-9832-8e4ad6128148'],35,,,,,,,,,,,,,,,,Barcelona,217,00:48:35.645,Pass,,2006/2007
,,,,,,,,,,,,,,,,1.7465,,,,,,,,,,,,,f0a99084-eb80-4424-beee-9cf38d9929cc,3354,,,"[68.4, 78.1]",69165,93,,,,,-1.1152037,,Right Foot,,,,"[85.5, 43.2]",,High Pass,,38.86412,,,,,Anderson Luís de Souza,19757.0,,,,,,,2,From Throw In,Oleguer Presas Renom,25873.0,Right Back,224,Barcelona,217,['15f0663f-258a-474f-a62d-d00eca944865'],37,,,,,,,,,,,,,,,,Barcelona,217,00:48:37.548,Pass,,2006/2007
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28ccbac5-3843-4a6a-88c4-5b92940c83ef,6,,,"[61.2, 44.2]",69165,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Anderson Luís de Souza,19757.0,Left Center Midfield,2,Barcelona,217,['7481a909-2d7d-49de-89b8-3a8d949d34a9'],0,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.729,Ball Receipt*,,2006/2007
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d0d7d49c-dc82-42ff-bb7e-4893efed44d7,8,,,"[48.7, 42.2]",69165,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Xavier Hernández Creus,20131.0,Center Defensive Midfield,2,Barcelona,217,['c75b5dff-ea42-4d9b-a93f-ab125273d500'],2,,,,,,,,,,,,,,,,Barcelona,217,00:00:02.403,Ball Receipt*,,2006/2007
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f429bb26-f0a8-460e-95a7-bf5e12e1b14f,12,,,"[47.7, 15.8]",69165,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Giovanni van Bronckhorst,17797.0,Left Back,2,Barcelona,217,"['93c54889-c09a-4cdc-9b8b-0754b536742c', '99232248-974a-43a7-b3f5-3cb01bd34e78']",5,,,,,,,,,,,,,,,,Barcelona,217,00:00:05.469,Ball Receipt*,True,2006/2007
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0ca872d4-6ab3-47fa-aad0-76717c1c90f9,15,,,"[40.1, 20.5]",69165,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Carles Puyol i Saforcada,20125.0,Left Center Back,2,Barcelona,217,['85c6067b-c080-4a6b-ae11-53c5c92b082c'],8,,,,,,,,,,,,,,,,Barcelona,217,00:00:08.091,Ball Receipt*,,2006/2007
,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,c841babb-ede9-4eb5-b147-ca3001d6060a,18,,,"[73.8, 15.0]",69165,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Eiður Smári Guðjohnsen,11270.0,Center Forward,2,Barcelona,217,['140893bd-33e6-41ac-a6ae-060e86e1b4e7'],10,,,,,,,,,,,,,,,,Barcelona,217,00:00:10.380,Ball Receipt*,,2006/2007
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e848ae39-e87c-4700-8b95-36130d273512,20,,,"[65.2, 57.2]",69165,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Luis García Fernández,23916.0,Center Attacking Midfield,2,Barcelona,217,['6dd1b02b-96d9-40c3-a359-86276b72bdbc'],11,,,,,,,,,,,,,,,,Espanyol,214,00:00:11.527,Ball Receipt*,,2006/2007
