ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,1.7408,,,,,,,,,,,,,f84b09d6-58e0-4a53-bd31-9cc18d578940,3222,,"[24.1, 55.8]",266424,73,,,,,0.73434764,,Head,,,,"[31.3, 62.3]",,High Pass,,9.7,,,,,Daniel Alves da Silva,4324.0,,,,,Recovery,2,Regular Play,Sergi Roberto Carnicer,6379.0,Right Center Midfield,164,Barcelona,217,"['6db6c144-194f-4703-9b3f-5b88dd3fcb22', '94c74a8b-99f4-4cb3-a82f-46c76728a9ba']",11,,,,,,,,,,,,,,,,,Barcelona,217,00:28:11.811,Pass,,2015/2016
,,,,,,,,,,,,,,,,0.995192,,,,,,,,,,,,,8a821b6a-2735-4b5f-b9ca-64b4cf30fab1,3224,,"[30.5, 62.3]",266424,73,,,,,2.2142975,,Left Foot,,,,"[23.0, 72.3]",,Ground Pass,,12.5,,,,,Sergi Roberto Carnicer,6379.0,,,,,,2,Regular Play,Daniel Alves da Silva,4324.0,Right Back,164,Barcelona,217,['9000e445-0f48-4e68-ad9f-ca18b11bf4a6'],13,,,,,,,,,,,,,,,,,Barcelona,217,00:28:13.551,Pass,,2015/2016
,,,,,,,,,,,,,,,,0.814945,,,,,,,,,,,,,e92bda7c-109d-44bb-96b9-8bbfca0b84a2,3226,,"[22.8, 72.3]",266424,73,,,,,-0.104876935,,Right Foot,,,,"[34.2, 71.1]",,Ground Pass,,11.462984,,,,,Daniel Alves da Silva,4324.0,,,,,,2,Regular Play,Sergi Roberto Carnicer,6379.0,Right Center Midfield,164,Barcelona,217,['a088c4bf-7efd-4a1e-8113-4a9debc1ae27'],14,,,,,,,,,,,,,,,,,Barcelona,217,00:28:14.547,Pass,,2015/2016
,,,,,,,,,,,,,,,,1.031138,,,,,,,,,,,,,ac35804f-61bb-41d9-a89d-d2132729393d,3230,,"[36.4, 76.7]",266424,73,,,,,-1.175388,,Right Foot,,,,"[41.2, 65.2]",,Ground Pass,,12.461541,,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,2,Regular Play,Daniel Alves da Silva,4324.0,Right Back,164,Barcelona,217,"['24813867-c371-4404-beca-b2228e723f30', 'dc352489-9d9d-49b2-bc86-1cf5993d5762']",15,,,,,,,,,,,,,,,,,Barcelona,217,00:28:15.591,Pass,True,2015/2016
,,,,,,,,,,,,,,,,1.355526,,,,,,,,,,,,,8e006041-71c0-4de8-a88b-58be1207f6a9,3233,,"[46.3, 62.1]",266424,73,,,,,-1.9526596,,Left Foot,,,,"[41.2, 49.4]",,Ground Pass,,13.685759,,,,,Sergio Busquets i Burgos,5203.0,,,,,,2,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,164,Barcelona,217,['125319de-c77e-46bf-8824-a013d11da7a1'],19,,,,,,,,,,,,,,,,,Barcelona,217,00:28:19.144,Pass,,2015/2016
,,,,,,,,,,,,,,,,1.3538,,,,,,,,,,,,,6ae50641-2387-48b2-a199-43fcb845a318,3236,,"[41.5, 50.3]",266424,73,,,,,0.053282853,,Right Foot,,,,"[49.0, 50.7]",,Ground Pass,,7.510659,,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,2,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,164,Barcelona,217,['c83ac9d7-6e4e-4b18-a9ab-2bbeccc44679'],21,,,,,,,,,,,,,,,,,Barcelona,217,00:28:21.269,Pass,,2015/2016
,,,,,,,,,,,,,,,,1.1072,,,,,,,,,,,,,c93dcedf-ae91-42b6-b241-30752c97de26,3238,,"[50.0, 51.5]",266424,73,,,,,1.82812,,Right Foot,,,,"[49.5, 53.4]",,Ground Pass,,1.9646883,,,,,Sergio Busquets i Burgos,5203.0,,,,,,2,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,164,Barcelona,217,['1b3effae-e4c7-44b5-b0c3-4d59354b2455'],22,,,,,,,,,,,,,,,,,Barcelona,217,00:28:22.622,Pass,,2015/2016
,,,,,,,,,,,,,,,,1.096365,,,,,,,,,,,,,8768334d-03ea-4de1-a481-5f2056ced457,3242,,"[49.6, 52.3]",266424,73,,,,,0.8739236,,Left Foot,,,,"[57.3, 61.5]",,Ground Pass,,11.997083,,,,,Sergi Roberto Carnicer,6379.0,,,,,,2,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,164,Barcelona,217,['84919f31-5120-4fe9-8ce1-5db7c292e555'],24,,,,,,,,,,,,,,,,,Barcelona,217,00:28:24.061,Pass,,2015/2016
,,,,,,,,,,,,,,,,0.9134,,,,,,,,,,,,,0b3eb902-a26e-442f-a037-ab334cb4cb01,3245,,"[58.4, 61.3]",266424,73,,,,,-0.9145455,,Right Foot,,,,"[65.1, 52.6]",,Ground Pass,,10.980892,,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,2,Regular Play,Sergi Roberto Carnicer,6379.0,Right Center Midfield,164,Barcelona,217,['03adb6c9-9c8d-4d4b-ac61-0aa07c483764'],26,,,,,,,,,,,,,,,,,Barcelona,217,00:28:26.042,Pass,,2015/2016
,,,,,,,,,,,,,,,,1.387338,,,,,,,,,,,,,5e349839-57f3-497b-8d4d-904213fda8e2,3248,,"[63.2, 55.6]",266424,73,,,,,1.4831834,,Left Foot,,,,"[64.5, 70.4]",,Ground Pass,,14.856985,,,,,Daniel Alves da Silva,4324.0,,,,,,2,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,164,Barcelona,217,['8eb68128-932a-48e9-81db-1be8148628af'],28,,,,,,,,,,,,,,,,,Barcelona,217,00:28:28.724,Pass,,2015/2016
