ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e7f82d4a-ca99-4aee-a4e8-4c87cf16fc8d,1,,,69327,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,"{'formation': 3421, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 14}, {'player': {'id': 20177, 'name': 'Eric-Sylvain Bilal Abidal'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 22}, {'player': {'id': 20125, 'name': 'Carles Puyol i Saforcada'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 26776, 'name': 'Juan Isaac Cuenca López'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 23}, {'player': {'id': 3385, 'name': 'Alexis Alejandro Sánchez Sánchez'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 9}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 8}, {'player': {'id': 3478, 'name': 'Francesc Fàbregas i Soler'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 4}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Barcelona,217,00:00:00.000,Starting XI,,2011/2012
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f573513d-ecbd-4b53-8faa-bfa79b058cd6,2,,,69327,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 23815, 'name': 'Casto Espinosa Barriga'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 26455, 'name': 'José Isidoro Gómez Torres'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 26081, 'name': 'Pedro Mario Álvarez Abrante'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 11543, 'name': 'José Antonio Dorado Ramírez'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 25892, 'name': 'Ignacio Pérez Santamaría'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 23}, {'player': {'id': 25978, 'name': 'Iriney Santos Da Silva'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 18407, 'name': 'José Alberto Cañas Ruiz Herrera'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 24072, 'name': 'Salvador Sevilla López'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 6832, 'name': 'Rubén Castro Martín'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 24}, {'player': {'id': 7063, 'name': 'Jefferson Antonio Montero Vite'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 20}, {'player': {'id': 6630, 'name': 'Jorge Molina Vidal'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",Real Betis,218,00:00:00.000,Starting XI,,2011/2012
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,038e4944-6d12-4f58-8f39-505343283406,3,,,69327,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['74843ab2-01f4-4ba8-9348-1fa07a459282'],0,,,,,,,,,,,,,,,,,,Real Betis,218,00:00:00.000,Half Start,,2011/2012
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,74843ab2-01f4-4ba8-9348-1fa07a459282,4,,,69327,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['038e4944-6d12-4f58-8f39-505343283406'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2011/2012
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f2fb4b0b-22c1-48f6-9222-938ab76da851,2173,,,69327,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,97,Real Betis,218,['a338ca6c-72d2-4145-b9c6-2b83aa53285e'],0,,,,,,,,,,,,,,,,,,Real Betis,218,00:00:00.000,Half Start,,2011/2012
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a338ca6c-72d2-4145-b9c6-2b83aa53285e,2174,,,69327,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,97,Real Betis,218,['f2fb4b0b-22c1-48f6-9222-938ab76da851'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2011/2012
,,,,,,,,,,,,,,,0.938,,,,,,,,,,,,,050df7f1-aa01-49c7-a03b-42461f672819,5,,"[61.0, 41.0]",69327,0,,,,3.0648208,,Right Foot,,,"[46.7, 42.1]",,Ground Pass,,14.342245,,,Sergio Busquets i Burgos,5203.0,,,,,,Kick Off,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,2,Barcelona,217,['bebe37d3-0d6d-4e44-a235-c9f96e971f9c'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.423,Pass,,2011/2012
,,,,,,,,,,,,,,,1.8196,,,,,,,,,,,,,5a380547-8873-43a3-9cf6-2df5d7f47688,8,,"[44.4, 44.2]",69327,0,,,,1.7003484,,Right Foot,,,"[40.7, 72.6]",,Ground Pass,,28.640007,,,Carles Puyol i Saforcada,20125.0,,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Right Defensive Midfield,2,Barcelona,217,['328787a4-f716-44da-b408-fc907352fe45'],2,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:02.514,Pass,,2011/2012
,,,,,,,,,,,,,,,1.7117,,,,,,,,,,,,,db456c00-3b17-4dc7-a64e-69f296f973c9,11,,"[44.3, 72.8]",69327,0,,,,-2.1096158,,Right Foot,,,"[33.3, 54.4]",,Ground Pass,,21.437351,,,Javier Alejandro Mascherano,5506.0,,,,,,,1,From Kick Off,Carles Puyol i Saforcada,20125.0,Left Center Back,2,Barcelona,217,['b9f58124-a7e7-43b9-abe7-2b4c505c271a'],5,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:05.454,Pass,,2011/2012
,,,,,,,,,,,,,,,1.664,,,,,,,,,,,,,0eb44161-fbc6-4245-be22-9d2f4a43c190,14,,"[33.3, 52.9]",69327,0,,,,-1.4402303,,Right Foot,,,"[37.2, 23.2]",,Ground Pass,,29.954966,,,Eric-Sylvain Bilal Abidal,20177.0,,,,,,,1,From Kick Off,Javier Alejandro Mascherano,5506.0,Right Center Back,2,Barcelona,217,['850f02d5-a405-4672-b3ab-ddf076959b8a'],7,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:07.782,Pass,,2011/2012
,,,,,,,,,,,,,,,2.5738,,,,,,,,,,,,,52925aa2-c559-45a9-8cfd-485b8572e7e7,17,,"[42.9, 25.8]",69327,0,,,,1.4926056,,Left Foot,,,"[46.7, 74.3]",,High Pass,,48.64864,,,Carles Puyol i Saforcada,20125.0,,,True,,,,1,From Kick Off,Eric-Sylvain Bilal Abidal,20177.0,Center Back,2,Barcelona,217,['7fdcdfd2-e211-4592-88cf-90f3b18f6953'],11,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:11.703,Pass,,2011/2012
,,,,,,,,,,,,,,,2.0859,,,,,,,,,,,,,58c35a26-d7bd-4397-bffe-b2388e222ea9,21,,"[46.1, 76.0]",69327,0,,,,0.21866895,,Left Foot,,,"[63.2, 79.8]",,High Pass,,17.517134,,,Juan Isaac Cuenca López,26776.0,,,,,,,1,From Kick Off,Carles Puyol i Saforcada,20125.0,Left Center Back,2,Barcelona,217,['b5911374-0493-45aa-b89f-aca4f75c7f7b'],16,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:16.014,Pass,,2011/2012
,,,,,,,,,,,,,,,0.8754,,,,,,,,,,,,,73e57596-6235-4da4-a9d5-2afc2d3d0ee0,25,,"[57.5, 79.0]",69327,0,,,,-2.4980915,,Right Foot,,,"[39.9, 65.8]",,Low Pass,,22.0,Incomplete,,Javier Alejandro Mascherano,5506.0,,,,,,,1,From Kick Off,Juan Isaac Cuenca López,26776.0,Right Wing Back,2,Barcelona,217,"['e5fb02c5-1bba-431c-8f3c-8425dba12363', 'f05db953-bbcd-4198-ac06-5c227f607fc7', 'fd84247a-2108-4d17-96f9-ec9f4b8f31c3']",18,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:18.996,Pass,True,2011/2012
,,,,,,,,,,,,,,,0.5554,,,,,,,,,,,,,f05db953-bbcd-4198-ac06-5c227f607fc7,27,,"[81.1, 15.2]",69327,0,,,,2.9996955,,Right Foot,,,"[76.9, 15.8]",,Ground Pass,,4.2426405,Incomplete,,Salvador Sevilla López,24072.0,,,,,,Recovery,1,From Kick Off,Jorge Molina Vidal,6630.0,Center Forward,2,Barcelona,217,"['73e57596-6235-4da4-a9d5-2afc2d3d0ee0', '75f21e27-4ebc-4c62-a225-956ea37741f2', 'e0f97215-7fc9-4419-964f-6333ea59d666']",19,,,,,,,,,,,,,,,,,,Real Betis,218,00:00:19.872,Pass,,2011/2012
,,,,,,,,,,,,,,,0.602791,,,,,,,,,,,,,b86c0ae0-f472-49e0-b26b-de49e6371dba,30,,"[69.2, 1.0]",69327,0,,,,1.82812,,,,,"[67.7, 6.7]",,Low Pass,,5.894065,,,José Alberto Cañas Ruiz Herrera,18407.0,,,,,,Throw-in,1,From Throw In,Ignacio Pérez Santamaría,25892.0,Left Back,3,Real Betis,218,['fb218711-0730-4dca-b049-92972dc005a0'],29,,,,,,,,,,,,,,,,,,Real Betis,218,00:00:29.807,Pass,,2011/2012
,,,,,,,,,,,,,,,1.697113,,,,,,,,,,,,,4c9a0d75-a715-463e-9232-e2b9eb279fbf,36,,"[62.2, 1.0]",69327,0,,,,1.871571,,,,,"[55.5, 22.6]",,Low Pass,,22.615261,,,Iriney Santos Da Silva,25978.0,,,,,,Throw-in,1,From Throw In,Ignacio Pérez Santamaría,25892.0,Left Back,4,Real Betis,218,['88bbdc2e-48b6-4476-8ff9-ef4cd9042b7d'],37,,,,,,,,,,,,,,,,,,Real Betis,218,00:00:37.627,Pass,,2011/2012
,,,,,,,,,,,,,,,1.498668,,,,,,,,,,,,,ac44220e-930e-48d6-8d03-fe5ff726e2d5,40,,"[55.5, 22.6]",69327,0,,,,-2.6458275,,Right Foot,,,"[35.9, 12.0]",,Low Pass,,22.282728,,,José Antonio Dorado Ramírez,11543.0,,,,,,,1,From Throw In,Iriney Santos Da Silva,25978.0,Center Defensive Midfield,4,Real Betis,218,"['d26d7da9-ceeb-4bc0-93b2-54d90dabbfef', 'f6d561df-070c-4908-8f40-f1486d00d950']",39,,,,,,,,,,,,,,,,,,Real Betis,218,00:00:39.364,Pass,True,2011/2012
,,,,,,,,,,,,,,,1.143684,,,,,,,,,,,,,382da18a-27d1-4f98-bd6a-55928dfa44d8,44,,"[37.2, 14.1]",69327,0,,,,0.8355843,,Right Foot,,,"[47.6, 25.6]",,Ground Pass,,15.50516,,,Iriney Santos Da Silva,25978.0,,,,,,,1,From Throw In,José Antonio Dorado Ramírez,11543.0,Left Center Back,4,Real Betis,218,['24c54e22-2a22-4f7d-bc96-3985131630d6'],42,,,,,,,,,,,,,,,,,,Real Betis,218,00:00:42.363,Pass,,2011/2012
