50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,0.81589,,,,,,,,,,,,98324bff-4d72-4650-90b7-5a95dc1e3318,20,,"[26.0, 80.0]",68331,0,,,,,-1.0048287,,,,"[31.4, 71.5]",,High Pass,,10.070253,,,,José Edmílson Gomes de Moraes,25910.0,,,,,,Throw-in,1,From Throw In,Gianluca Zambrotta,15774.0,Right Back,3,Barcelona,217,['17d23ad0-553b-44dd-831c-2cdd7ce86ecf'],26,,,,,,,,,,,,,,,,Barcelona,217,00:00:26.532,Pass,,2006/2007
,,,,,,,,,,,,,,,0.800916,,,,,,,,,,,,6b811c40-caab-40fa-94c2-2861e17a5c06,24,,"[31.9, 70.7]",68331,0,,,,,2.342862,,Right Foot,,"[24.5, 78.3]",,Ground Pass,,10.607545,,,,Gianluca Zambrotta,15774.0,,,,,,,1,From Throw In,José Edmílson Gomes de Moraes,25910.0,Center Defensive Midfield,3,Barcelona,217,"['2d694296-5966-4528-acd4-6b37fb985bd9', '743f3d79-66d7-4dfb-a442-5cf5f3e3b1d9']",27,,,,,,,,,,,,,,,,Barcelona,217,00:00:27.388,Pass,True,2006/2007
,,,,,,,,,,,,,,,1.23201,,,,,,,,,,,,e305a9e6-242f-4593-8315-86b7ab0bb335,29,,"[20.2, 80.0]",68331,0,,,,,-2.0647378,,,,"[15.3, 70.9]",,Low Pass,,10.335376,,,,Rafael Márquez Álvarez,5558.0,,,,,,Throw-in,1,From Throw In,Gianluca Zambrotta,15774.0,Right Back,4,Barcelona,217,['db4c0352-0998-4a96-859d-d5896f62c47b'],38,,,,,,,,,,,,,,,,Barcelona,217,00:00:38.688,Pass,,2006/2007
,,,,,,,,,,,,,,,1.344951,,,,,,,,,,,,1b45fe38-b2b1-4143-9df0-cfb461f190ac,32,,"[15.3, 69.0]",68331,0,,,,,0.8773368,,Right Foot,,"[21.7, 76.7]",,Ground Pass,,10.012492,,,,Gianluca Zambrotta,15774.0,,,,,,,1,From Throw In,Rafael Márquez Álvarez,5558.0,Right Center Back,4,Barcelona,217,['55c50385-2a29-4f0e-82fe-d37ab12b86ef'],40,,,,,,,,,,,,,,,,Barcelona,217,00:00:40.718,Pass,,2006/2007
,,,,,,,,,,,,,,,1.279444,,,,,,,,,,,,e695ef7e-31e5-400e-aaa8-a6c50967c289,36,,"[31.3, 76.7]",68331,0,,,,,-2.528924,,Left Foot,,"[17.5, 67.0]",,Ground Pass,,16.868017,,,,Rafael Márquez Álvarez,5558.0,,,,,,,1,From Throw In,Gianluca Zambrotta,15774.0,Right Back,4,Barcelona,217,['fa82af4c-410e-4551-8588-5821710ae1f8'],44,,,,,,,,,,,,,,,,Barcelona,217,00:00:44.811,Pass,,2006/2007
,,,,,,,,,,,,,,,1.95729,,,,,,,,,,,,4f7041f8-6c08-4212-96cd-286bcfc750ba,39,,"[20.4, 61.8]",68331,0,,,,,-1.4717624,,Right Foot,,"[23.5, 30.6]",,Ground Pass,,31.353628,,,,Carles Puyol i Saforcada,20125.0,,,,,,,1,From Throw In,Rafael Márquez Álvarez,5558.0,Right Center Back,4,Barcelona,217,['aa9c532c-28ed-4752-af42-5c49965d1e9d'],47,,,,,,,,,,,,,,,,Barcelona,217,00:00:47.517,Pass,,2006/2007
,,,,,,,,,,,,,,,1.521064,,,,,,,,,,,,22750e90-1ad5-4aef-8a38-7e3c3320e45b,42,,"[33.9, 26.3]",68331,0,,,,,1.6122472,,Right Foot,,"[33.0, 48.0]",,Ground Pass,,21.718655,,,,Rafael Márquez Álvarez,5558.0,,,,,,,1,From Throw In,Carles Puyol i Saforcada,20125.0,Left Center Back,4,Barcelona,217,['193f3578-7d2a-42ae-a708-4a3767578880'],52,,,,,,,,,,,,,,,,Barcelona,217,00:00:52.914,Pass,,2006/2007
,,,,,,,,,,,,,,,1.724788,,,,,,,,,,,,7aa44fe3-9fb3-4cda-97a9-1633fc4370e8,45,,"[45.0, 50.2]",68331,0,,,,,-1.81467,,Right Foot,,"[39.7, 28.9]",,Ground Pass,,21.949488,,,,Carles Puyol i Saforcada,20125.0,,,,,,,1,From Throw In,Rafael Márquez Álvarez,5558.0,Right Center Back,4,Barcelona,217,['0f30edfe-8873-498b-b906-1063aa3370cb'],56,,,,,,,,,,,,,,,,Barcelona,217,00:00:56.923,Pass,,2006/2007
,,,,,,,,,,,,,,,1.237221,,,,,,,,,,,,58ca9f24-b258-43e7-bcda-068dff0da350,48,,"[46.3, 27.0]",68331,1,,,,,-0.22615243,,Right Foot,,"[57.6, 24.4]",,Ground Pass,,11.595258,,,,Anderson Luís de Souza,19757.0,,,,,,,1,From Throw In,Carles Puyol i Saforcada,20125.0,Left Center Back,4,Barcelona,217,['2cdb25ea-90df-4eb9-a87e-ad207f72db67'],0,,,,,,,,,,,,,,,,Barcelona,217,00:01:00.041,Pass,,2006/2007
,,,,,,,,,,,,,,,1.186157,,,,,,,,,,,,fd0851f3-8789-43d9-9d6c-2d898b3cbbce,51,,"[56.9, 24.4]",68331,1,,,,,3.1066418,,Left Foot,,"[42.6, 24.9]",,Ground Pass,,14.308739,,,,Carles Puyol i Saforcada,20125.0,,,,,,,1,From Throw In,Anderson Luís de Souza,19757.0,Left Center Midfield,4,Barcelona,217,['34899f9c-f06b-42f1-a707-71f62dca8263'],1,,,,,,,,,,,,,,,,Barcelona,217,00:01:01.319,Pass,,2006/2007
,,,,,,,,,,,,,,,1.363218,,,,,,,,,,,,660a5d5f-abcb-4b8b-9d7f-a39ac56acdd1,54,,"[41.9, 27.3]",68331,1,,,,,1.9466023,,Right Foot,,"[36.1, 42.0]",,Ground Pass,,15.802848,,,,Rafael Márquez Álvarez,5558.0,,,,,,,1,From Throw In,Carles Puyol i Saforcada,20125.0,Left Center Back,4,Barcelona,217,['997cccce-90d4-417e-87ff-b69e5c6e4b34'],3,,,,,,,,,,,,,,,,Barcelona,217,00:01:03.417,Pass,,2006/2007
,,,,,,,,,,,,,,,2.004038,,,,,,,,,,,,c0d4d2db-3153-40d1-bddd-607743a06337,57,,"[39.0, 50.9]",68331,1,,,,,0.12335964,,Right Foot,,"[76.1, 55.5]",,High Pass,,37.384087,,,,Eiður Smári Guðjohnsen,11270.0,,,,,,,1,From Throw In,Rafael Márquez Álvarez,5558.0,Right Center Back,4,Barcelona,217,['3c349268-5e45-4653-9201-6ac72cb711f1'],6,,,,,,,,,,,,,,,,Barcelona,217,00:01:06.232,Pass,,2006/2007
,,,,,,,,,,,,,,,1.931451,,,,,,,,,,,,661cb1f7-2b75-4ac1-9a30-923c3525c8cf,59,,"[76.1, 55.5]",68331,1,,,,,1.8063413,,Head,,"[71.3, 75.5]",,High Pass,,20.567936,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,,1,From Throw In,Eiður Smári Guðjohnsen,11270.0,Center Forward,4,Barcelona,217,['bcf2ab77-700d-4eb0-a1f8-7b2cd58dca84'],8,,,,,,,,,,,,,,,,Barcelona,217,00:01:08.276,Pass,,2006/2007
,,,,,,,,,,,,,,,1.840546,,,,,,,,,,,,d63f7c7a-bf19-4246-b54d-f52a952da902,62,,"[71.3, 74.5]",68331,1,,,,,-3.0865302,,Left Foot,,"[58.6, 73.8]",,Ground Pass,,12.719276,,,,Gianluca Zambrotta,15774.0,,,,,,,1,From Throw In,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,4,Barcelona,217,['dae6a2a8-be8b-4b00-831b-6a956ee86f97'],10,,,,,,,,,,,,,,,,Barcelona,217,00:01:10.806,Pass,,2006/2007
,,,,,,,,,,,,,,,3.506689,,,,,,,,,,,,e33a3320-6e1e-4802-aa3d-d214c1f133ba,66,,"[56.2, 74.1]",68331,1,,,,,-0.7529695,,Right Foot,,"[92.8, 39.8]",,High Pass,,50.160244,,Incomplete,,Anderson Luís de Souza,19757.0,,,,,,,1,From Throw In,Gianluca Zambrotta,15774.0,Right Back,4,Barcelona,217,"['61c75822-be65-4a40-8a73-7dcfd813ee31', 'feb92531-1602-4f16-948f-08cfd8676d25']",12,,,,,,,,,,,,,,,,Barcelona,217,00:01:12.686,Pass,,2006/2007
,,,,,,,,,,,,,,,2.026211,,,,,,,,,,,,61c75822-be65-4a40-8a73-7dcfd813ee31,69,,"[28.2, 41.2]",68331,1,,,,True,-0.13682096,,,,"[42.0, 39.3]",,High Pass,,13.930183,,,,Albert Celades López,25909.0,,,,,,Recovery,1,Regular Play,Sergio Fernández González,25969.0,Right Center Back,5,Real Zaragoza,395,"['9b6838f7-1529-4c04-84cd-6dd8ccef3eaf', 'c651ad69-d95f-45d2-8876-edd392f606c6', 'e33a3320-6e1e-4802-aa3d-d214c1f133ba']",16,,,,,,,,,,,,,,,,Real Zaragoza,395,00:01:16.193,Pass,True,2006/2007
,,,,,,,,,,,,,,,1.874766,,,,,,,,,,,,95628c7f-60c1-4845-95b0-5bc9bbe742d5,77,,"[43.4, 34.5]",68331,1,,,,,-1.8008825,,Right Foot,,"[40.8, 23.4]",,High Pass,,11.400438,,,,Juan Francisco García García,26023.0,,,,,,,1,Regular Play,Albert Celades López,25909.0,Left Center Midfield,5,Real Zaragoza,395,"['0110d850-5f3b-4e5b-a98c-cb7531a1eeed', 'df9ea52b-3b3c-4052-9e3d-87d3ecdbf44f']",20,,,,,,,,,,,,,,,,Real Zaragoza,395,00:01:20.521,Pass,True,2006/2007
