bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.662328,,,,,,,,,,,,,,,,,009523a8-5409-467b-81df-27e972bed524,3393,,"[74.7, 25.5]",69329,75,,,,-0.82619184,,Right Foot,,,,"[79.4, 20.4]",Ground Pass,,6.935416,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,,2,Regular Play,Andrés Iniesta Luján,5216.0,Center Defensive Midfield,156,Barcelona,217,['be941315-7b3e-4d42-ac43-d5aa559d2670'],11,,,,,,,,,,,,,,,,,,Barcelona,217,00:30:11.487,Pass,,2011/2012
,,,,,,,,,,,,,,,,1.291954,,,,,,,,,,,,,,,,,b8ef355e-2469-4f4f-8ec0-e8de556bc3b2,3396,,"[85.3, 19.5]",69329,75,,,,-0.59366506,,Left Foot,,,,"[105.6, 5.8]",Ground Pass,,24.490406,,,,Adriano Correia Claro,22102.0,,,,,,,2,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,156,Barcelona,217,['0535d028-c616-4e3b-b7f9-04f6c51c1df5'],14,,,,,,,,,,,,,,,,,,Barcelona,217,00:30:14.357,Pass,,2011/2012
,,,,,,,,,,,,,,,,1.261389,,,,,,,,,,,,,,,,,799ca3ec-65cd-4a15-ad80-5a43ac6eef13,3399,,"[112.7, 14.2]",69329,75,,,,2.7863617,,Left Foot,,,,"[100.3, 18.8]",Ground Pass,,13.225733,,Incomplete,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,,2,Regular Play,Adriano Correia Claro,22102.0,Left Back,156,Barcelona,217,"['22d9c0aa-4ed8-44db-b71d-90defc525701', '587fc941-cd6a-41df-ad57-a3e87c773ffe']",17,,,,,,,,,,,,,,,,,,Barcelona,217,00:30:17.353,Pass,,2011/2012
,,,,,,,,,,,,,,,,1.427439,,,,,,,,,,,,,,,,,64552aa1-8e95-4c5a-81b7-f660cd2f4736,3403,,"[21.2, 61.3]",69329,75,,,,0.15146261,,Right Foot,,,,"[40.2, 64.2]",High Pass,,19.220041,,,,Frédéric Oumar Kanouté,25960.0,,,,,,,2,Regular Play,Jorge Andújar Moreno,6672.0,Center Attacking Midfield,157,Sevilla,213,['7ed4722a-dc8b-4018-b14f-e049b99cfdc9'],19,,,,,,,,,,,,,,,,,,Sevilla,213,00:30:19.680,Pass,,2011/2012
,,,,,,,,,,,,,,,,2.167843,,,,,,,,,,,,,,,,,5679e42a-b167-408b-9e81-20dfbb065e27,3407,,"[36.4, 75.2]",69329,75,,,,-0.012011434,,Right Foot,,,,"[69.7, 74.8]",Ground Pass,,33.302402,,,,Jesús Navas González,6821.0,,,,,,,2,Regular Play,Frédéric Oumar Kanouté,25960.0,Center Forward,157,Sevilla,213,['091edf65-e09c-4e48-926f-a69d5ddd8009'],23,,,,,,,,,,,,,,,,,,Sevilla,213,00:30:23.361,Pass,,2011/2012
,,,,,,,,,,,,,,,,1.658837,,,,,,,,,,,,,,,,,9e509ae0-f3a8-4b6b-9199-741abffb7e46,3410,,"[81.0, 71.1]",69329,75,,,,-1.4653864,,Right Foot,,,,"[84.1, 41.8]",Low Pass,,29.463537,,,,Ivan Rakitić,5470.0,,,,,,,2,Regular Play,Jesús Navas González,6821.0,Right Wing,157,Sevilla,213,['08a785d5-004d-48e6-8f44-8bb5fc5c10ce'],27,,,,,,,,,,,,,,,,,,Sevilla,213,00:30:27.254,Pass,,2011/2012
,,,,,,,,,,,,,,,,1.811945,,,,,,,,,,,,,,,,,bebf78d2-8d9b-4337-82d2-52aa58271dd9,3414,,"[35.9, 41.4]",69329,75,,,,2.9631822,,Left Foot,,,,"[11.5, 45.8]",Ground Pass,,24.793547,,,,Víctor Valdés Arribas,20176.0,,,,,,Recovery,2,Regular Play,Francesc Fàbregas i Soler,3478.0,Right Center Midfield,158,Barcelona,217,['998ab176-bb1b-42df-a7a9-9dd90eafaef6'],29,,,,,,,,,,,,,,,,,,Barcelona,217,00:30:29.636,Pass,,2011/2012
,,,,,,,,,,,,,,,,0.587939,,,,,,,,,,,,,,,,,dd3ef333-067d-4320-bafa-f40a0f19568c,3417,,"[13.3, 45.3]",69329,75,,,,0.119644396,,Right Foot,,,,"[31.6, 47.5]",Ground Pass,,18.431767,,,,Xavier Hernández Creus,20131.0,,,,,,,2,Regular Play,Víctor Valdés Arribas,20176.0,Goalkeeper,158,Barcelona,217,['ad4b17c2-634e-4b00-84f8-fe80a9b2fcd0'],33,,,,,,,,,,,,,,,,,,Barcelona,217,00:30:33.941,Pass,,2011/2012
,,,,,,,,,,,,,,,,0.3531,,,,,,,,,,,,,,,,,6a0ada88-75e5-41a2-8173-d16426a8c77a,3420,,"[53.8, 38.3]",69329,75,,,,-0.70449406,,Right Foot,,,,"[57.8, 34.9]",High Pass,,5.249762,,Incomplete,,,,,,,,,,2,Regular Play,Xavier Hernández Creus,20131.0,Left Center Midfield,158,Barcelona,217,['e3ccd508-44a8-4f65-8075-392a042d7e77'],41,,,,,,,,,,,,,,,,,,Barcelona,217,00:30:41.417,Pass,,2011/2012
,,,,,,,,,,,,,,,,1.91288,,,,,,,,,,,,,,,,,b7dc3d09-f6df-4a77-8b9b-dc68f679f39e,3422,,"[64.1, 33.8]",69329,75,,,,0.87433493,,Head,,,,"[78.4, 50.9]",High Pass,,22.291254,,Incomplete,,,,,,,,,Recovery,2,Regular Play,Emiliano Daniel Armenteros,26611.0,Left Wing,158,Barcelona,217,['2662cf1c-7950-4e51-9050-ac7fbc5142c6'],44,,,,,,,,,,,,,,,,,,Sevilla,213,00:30:44.092,Pass,,2011/2012
