50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,,1.110818,,,,,,,,,,,,,35c8070d-806f-4770-96ff-2772d8135519,16,,"[32.3, 54.7]",9717,0,,,,-1.4511179,,Right Foot,,,"[36.1, 23.1]",,Ground Pass,,31.827662,,,,,Thomas Vermaelen,6332.0,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,['fd724106-454b-482d-a988-b23cc86a7b14'],7,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:07.452,Pass,,2017/2018
,,,,,,,,,,,,,,,,,,,1.491518,,,,,,,,,,,,,f33ddc30-d870-45ba-a784-756bb00a776d,19,,"[35.4, 20.5]",9717,0,,,,-1.0691923,,Left Foot,,,"[43.9, 5.0]",,Ground Pass,,17.67767,,,,,Jordi Alba Ramos,5211.0,,,,,,1,From Kick Off,Thomas Vermaelen,6332.0,Left Center Back,2,Barcelona,217,['9f77842c-9a5c-4bd1-b738-86f964a84b4f'],9,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:09.788,Pass,,2017/2018
,,,,,,,,,,,,,,,,,,,0.946749,,,,,,,,,,,,,f1e58e93-c740-4b8c-a850-270edd7fbced,22,,"[45.9, 4.2]",9717,0,,,,1.1881891,,Left Foot,,,"[49.2, 12.4]",,Ground Pass,,8.839118,,,,,José Paulo Bezzera Maciel Júnior,5542.0,,,,,,1,From Kick Off,Jordi Alba Ramos,5211.0,Left Back,2,Barcelona,217,['ce0c94d8-7037-46e0-852e-d02b6a6f1323'],12,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:12.443,Pass,,2017/2018
,,,,,,,,,,,,,,,,,,,1.408835,,,,,,,,,,,,,acf68ce5-3afc-4eb0-9f0c-2da109def803,24,,"[49.2, 12.4]",9717,0,,,,-2.333976,,Right Foot,,,"[42.6, 5.5]",,Ground Pass,,9.548298,,,,,Jordi Alba Ramos,5211.0,,,,,,1,From Kick Off,José Paulo Bezzera Maciel Júnior,5542.0,Left Defensive Midfield,2,Barcelona,217,['9e72eff7-5878-4c85-ad20-5116e097d65c'],13,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:13.390,Pass,,2017/2018
,,,,,,,,,,,,,,,,,,,1.064558,,,,,,,,,,,,,a4089ccd-acd0-40fe-ad0d-900cadc62214,27,,"[43.1, 6.9]",9717,0,,,,2.9159913,,Left Foot,,,"[30.9, 9.7]",,Ground Pass,,12.517188,,,,,Thomas Vermaelen,6332.0,,,,,,1,From Kick Off,Jordi Alba Ramos,5211.0,Left Back,2,Barcelona,217,['fd1c9c1a-7085-42e2-9fa7-d63ef7d66a22'],17,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:17.347,Pass,,2017/2018
,,,,,,,,,,,,,,,,,,,0.599778,,,,,,,,,,,,,742c07f2-9c38-4bf8-825c-64f2f16bb254,30,,"[32.3, 11.7]",9717,0,,,,0.5676664,,Left Foot,,,"[39.2, 16.1]",,Ground Pass,,8.18352,,,,,José Paulo Bezzera Maciel Júnior,5542.0,,,,,,1,From Kick Off,Thomas Vermaelen,6332.0,Left Center Back,2,Barcelona,217,['a084dd9e-3a5d-44c6-a802-f1750b4f2518'],19,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:19.431,Pass,,2017/2018
,,,,,,,,,,,,,,,,,,,0.686477,,,,,,,,,,,,,2761917d-a52d-43e2-8c01-f6498506dc57,33,,"[39.2, 16.1]",9717,0,,,,-2.5739262,,Right Foot,,,"[32.3, 11.7]",,Ground Pass,,8.18352,,,,,Thomas Vermaelen,6332.0,,,,,,1,From Kick Off,José Paulo Bezzera Maciel Júnior,5542.0,Left Defensive Midfield,2,Barcelona,217,['e26a30b1-37d7-4b96-9581-5c082c69f100'],21,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:21.063,Pass,,2017/2018
,,,,,,,,,,,,,,,,,,,0.832148,,,,,,,,,,,,,d5120eaf-f566-44e5-a662-30fee5cd33a7,36,,"[32.3, 11.7]",9717,0,,,,-0.9664908,,Left Foot,,,"[38.1, 3.3]",,Ground Pass,,10.20784,,,,,Jordi Alba Ramos,5211.0,,,,,,1,From Kick Off,Thomas Vermaelen,6332.0,Left Center Back,2,Barcelona,217,['746a32d6-08b3-482d-a190-83e1bc6f8182'],22,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:22.452,Pass,,2017/2018
,,,,,,,,,,,,,,,,,,,1.082715,,,,,,,,,,,,,121c8f5a-c1ae-4f80-8172-e71be5dd9b82,38,,"[38.1, 3.3]",9717,0,,,,2.715742,,Left Foot,,,"[28.4, 7.7]",,Ground Pass,,10.651291,,,,,Thomas Vermaelen,6332.0,,,,,,1,From Kick Off,Jordi Alba Ramos,5211.0,Left Back,2,Barcelona,217,['1efd08c7-6053-4d56-aa0f-587b89f3e9f0'],23,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:23.284,Pass,,2017/2018
,,,,,,,,,,,,,,,,,,,1.948626,,,,,,,,,,,,,20e7c665-632a-4c0f-b5de-0a89c40a30bd,41,,"[24.2, 11.1]",9717,0,,,,2.402483,,Left Foot,,,"[5.0, 28.6]",,Ground Pass,,25.978645,,,,,Marc-André ter Stegen,20055.0,,,,,,1,From Kick Off,Thomas Vermaelen,6332.0,Left Center Back,2,Barcelona,217,['6a1699c2-d413-463d-81a9-17ca472634f1'],25,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:25.453,Pass,,2017/2018
