bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,fe6b8312-d654-4a81-905a-dd8b3d60fef3,3033,,"[29.1, 52.7]",69249,75,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Xavier Hernández Creus,20131.0,Right Center Midfield,160,Real Madrid,220,"['d580dc2f-ff4d-4ec6-9ea9-cf88e893d150', 'f0cee54c-2202-4001-9f47-60a161807254']",47,,,,,,,,,,,,,,,,Barcelona,217,00:30:47.342,Dribbled Past,,2008/2009
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,98fcae1c-8b4b-4a17-b743-be8fad18ea15,3094,,"[75.8, 31.5]",69249,76,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Fernando Rubén Gago,26036.0,Right Defensive Midfield,163,Barcelona,217,"['48865348-f396-4502-8926-09b3aa99f7a2', '7d47048c-7654-4a92-b3d3-500ea6a674f4']",58,,,,,,,,,,,,,,,,Real Madrid,220,00:31:58.333,Dribbled Past,,2008/2009
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,00b40bde-396d-445c-9ff9-da48d9f2fd5e,3182,,"[34.5, 79.5]",69249,79,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Francisco Javier García Fernández,6836.0,Right Midfield,169,Barcelona,217,"['24853d67-cac1-404b-9d65-af0cb3dadb37', '4a232734-c391-4a94-be9a-d17b6a4c599c', '7a413a8f-3f1c-48c2-a8f9-595066433756']",1,,,,,,,,,,,,,,,,Real Madrid,220,00:34:01.453,Dribbled Past,,2008/2009
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b65a0f30-fac4-4371-bcb1-91ed9808a134,3461,,"[25.1, 4.3]",69249,86,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Iván Gabriel Heinze,26176.0,Left Back,183,Barcelona,217,"['018ad4b2-5371-4760-a397-d8447d0b26b8', '53338a90-dc67-4ed6-8b6c-a90414493064', 'b1f8242a-8659-466f-9694-aa234b43c342']",41,,,,,,,,,,,,,,,,Real Madrid,220,00:41:41.132,Dribbled Past,,2008/2009
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,61a8ff4b-fa29-48a5-8aa6-081cfadb4cd1,3590,,"[63.7, 72.3]",69249,89,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Raúl González Blanco,15607.0,Right Center Forward,191,Barcelona,217,"['74d85266-d8ab-49d2-aa88-898f5f494d54', 'c48507b1-ce47-4cae-a496-4f69e5471a0a', 'df658aa4-3d4e-4cc8-8d0d-dc4b5f763b50']",4,,,,,,,,,,,,,,,,Real Madrid,220,00:44:04.371,Dribbled Past,,2008/2009
,,,,,,,,,,,,Complete,,,,0.0,,,,,,,,,,,,,7b3d1a44-ffaf-41a5-abc8-6f1537016c49,37,,"[60.7, 40.4]",69249,0,,,,,,,,,,,,,,,,,,,,,,,,1,From Keeper,Lassana Diarra,3181.0,Right Defensive Midfield,6,Real Madrid,220,['35b6e3d3-98f9-47e4-be5d-9dab7b899dba'],40,,,,,,,,,,,,,,,,Real Madrid,220,00:00:40.144,Dribble,True,2008/2009
,,,,,,,,,,,,Complete,,,,0.0,,,,,,,,,,,,,242bca6a-8611-4d1f-8ee1-669fad7bff53,49,,"[96.8, 69.9]",69249,0,,,,,,,,,,,,,,,,,,,,,,,,1,From Keeper,Arjen Robben,8218.0,Right Midfield,6,Real Madrid,220,['894bc92b-ee9a-436c-a163-fc66eb0133d2'],50,,,,,,,,,,,,,,,,Real Madrid,220,00:00:50.325,Dribble,True,2008/2009
,,,,,,,,,,,,Incomplete,,,,0.0,,,,,,,,,,,,,c9ef4791-24ab-4fc5-88fd-d700fbe35d68,68,,"[49.7, 14.1]",69249,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Andrés Iniesta Luján,5216.0,Right Center Midfield,7,Barcelona,217,['f87e5c6f-3bcc-4fe5-b72c-d697096301c4'],59,,,,,,,,,,,,,,,,Barcelona,217,00:00:59.241,Dribble,True,2008/2009
,,,,,,,,,,,,Complete,,,,0.0,,,,,,,,,,,,,6f1fe39a-3a04-4550-8528-293615e212e3,106,,"[56.1, 42.1]",69249,1,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Lassana Diarra,3181.0,Right Defensive Midfield,11,Real Madrid,220,"['86a4a5a7-3633-485c-b1e1-49baa692242f', 'ad699c05-d0a8-4f7e-ae33-7fb34624b998']",48,,,,,,,,,,,,,,,,Real Madrid,220,00:01:48.612,Dribble,True,2008/2009
,,,,,,,,,,,,Complete,,,,0.0,,,,,,,,,,,,,614f8846-c868-4390-a0b1-badd701f248d,109,,"[56.1, 33.6]",69249,1,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Lassana Diarra,3181.0,Right Defensive Midfield,11,Real Madrid,220,['796e2e2b-d470-4bb4-a082-ccb7e37fce5f'],50,,,,,,,,,,,,,,,,Real Madrid,220,00:01:50.013,Dribble,True,2008/2009
