bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,0.672269,,,,,,,,,,,,,,1fa412e9-d9a5-45b7-8b17-3a8f8780c53a,1341,,"[65.2, 24.8]",3773403,34,,,,-0.066568166,,Right Foot,,,"[72.7, 24.3]",,Ground Pass,,7.5166483,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,,1,Regular Play,Pedro González López,30486.0,Center Attacking Midfield,68,Barcelona,217,['e42ca744-04b5-4b1f-9dd1-aed0e2bca217'],19,,,,,,,,,,,,,,,,,Barcelona,217,00:34:19.236,Pass,,2020/2021
,,,,,,,,,,,,,,,0.832323,,,,,,,,,,,,,,a1df7c63-6d97-41b6-a636-4359185619ad,1344,,"[72.7, 24.3]",3773403,34,,,,-2.150799,,Left Foot,,,"[68.9, 18.5]",,Ground Pass,,6.9339743,,,,Pedro González López,30486.0,,,,,,,1,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,68,Barcelona,217,['85100fc6-1271-4e86-9e19-b3717811bfd3'],20,,,,,,,,,,,,,,,,,Barcelona,217,00:34:20.295,Pass,,2020/2021
,,,,,,,,,,,,,,,1.264895,,,,,,,,,,,,,,9dd0a0c2-3e07-44b4-94f3-acf67921db46,1347,,"[65.1, 21.9]",3773403,34,,,,2.1558535,,Right Foot,,,"[54.7, 37.6]",,Ground Pass,,18.832153,,,,Frenkie de Jong,8118.0,,,,,,,1,Regular Play,Pedro González López,30486.0,Center Attacking Midfield,68,Barcelona,217,['23b574e6-3214-4925-8910-3afc225d77a0'],24,,,,,,,,,,,,,,,,,Barcelona,217,00:34:24.274,Pass,,2020/2021
,,,,,,,,,,,,,,,2.3376,,,,,,,,,,,,,,a4bc0c87-95b9-4cc4-aad3-5b3fe9ac6a99,1350,,"[55.0, 45.2]",3773403,34,,,,1.2214519,,Right Foot,,,"[65.2, 73.2]",,Ground Pass,,29.8,,,,Óscar Mingueza García,43728.0,,,,,,,1,Regular Play,Frenkie de Jong,8118.0,Left Defensive Midfield,68,Barcelona,217,['7b839455-a03a-4953-92a1-0a907a67469e'],27,,,,,,,,,,,,,,,,,Barcelona,217,00:34:27.334,Pass,,2020/2021
,,,,,,,,,,,,,,,1.521468,,,,,,,,,,,,,,2f453765-3e5d-4903-bd0a-dcdd536c2dba,1353,,"[66.8, 73.4]",3773403,34,,,,-0.1742158,,Right Foot,,,"[91.8, 69.0]",,High Pass,,25.384247,,Incomplete,,Antoine Griezmann,5487.0,,,,,,,1,Regular Play,Óscar Mingueza García,43728.0,Right Back,68,Barcelona,217,"['124d4800-d180-49f2-a0ad-2644df0b0e1e', '534be3e7-e26f-4f41-8382-232ef0909cb4']",30,,,,,,,,,,,,,,,,,Barcelona,217,00:34:30.779,Pass,,2020/2021
,,,,,,,,,,True,,,,,1.266329,,,,,,,,,,,,,,124d4800-d180-49f2-a0ad-2644df0b0e1e,1355,,"[28.3, 11.1]",3773403,34,,,,0.5675376,,Head,,,"[36.3, 16.2]",,Low Pass,,9.48736,,,,Daniel García Carrillo,6775.0,,,,,,Interception,1,Regular Play,Yuri Berchiche Izeta,3023.0,Left Back,69,Athletic Club,215,"['2f453765-3e5d-4903-bd0a-dcdd536c2dba', 'fe28f116-74f7-4ad1-baa9-911b24969892']",32,,,,,,,,,,,,,,,,,Athletic Club,215,00:34:32.301,Pass,,2020/2021
,,,,,,,,,,,,,,,1.547168,,,,,,,,,,,,,,66a638ac-7db8-48da-a871-81301b54f253,1358,,"[36.3, 16.2]",3773403,34,,,,0.20232163,,Right Foot,,,"[51.9, 19.4]",,High Pass,,15.924824,,,,Raúl García Escudero,6391.0,,,,,,,1,Regular Play,Daniel García Carrillo,6775.0,Right Defensive Midfield,69,Athletic Club,215,['0587042d-111c-452f-b2ea-0570ff906e1d'],33,,,,,,,,,,,,,,,,,Athletic Club,215,00:34:33.689,Pass,,2020/2021
,,,,,,,,,,,,,,,1.477976,,,,,,,,,,,,,,a33dcc9a-0dee-47cc-8b10-dbf3b250561a,1361,,"[51.9, 19.4]",3773403,34,,,True,2.2083452,,,,,"[45.9, 27.5]",,High Pass,,10.080178,,,,Daniel García Carrillo,6775.0,,,,,,,1,Regular Play,Raúl García Escudero,6391.0,Right Center Forward,69,Athletic Club,215,"['570bcc38-de24-4468-aa78-4cae7d81d24e', 'ba9c0ab0-a9ec-4e6e-81c1-6c02928b61f2']",35,,,,,,,,,,,,,,,,,Athletic Club,215,00:34:35.277,Pass,True,2020/2021
,,,,,,,,,,,,,,,1.197735,,,,,,,,,,,,,,24df88de-bcd3-4743-87b8-f4448741ed18,1363,,"[45.9, 27.5]",3773403,34,,,,0.8312376,,Head,,,"[56.3, 38.9]",,High Pass,,15.431137,,Incomplete,,Iñaki Williams Arthuer,6393.0,,,,,,,1,Regular Play,Daniel García Carrillo,6775.0,Right Defensive Midfield,69,Athletic Club,215,"['b420e78d-5648-432d-babd-d3e122a373a3', 'f2e0c103-f5c3-4ac4-885b-1d3c2efa92fe']",36,,,,,,,,,,,,,,,,,Athletic Club,215,00:34:36.802,Pass,,2020/2021
,,,,,,,,,,,,,,,0.545037,,,,,,,,,,,,,,f2e0c103-f5c3-4ac4-885b-1d3c2efa92fe,1365,,"[63.8, 41.2]",3773403,34,,,,0.551655,,Left Foot,,,"[69.0, 44.4]",,High Pass,,6.105735,,Incomplete,,,,,,,,,Recovery,1,Regular Play,Samuel Yves Umtiti,5492.0,Left Center Back,69,Athletic Club,215,"['24df88de-bcd3-4743-87b8-f4448741ed18', '71c5c4ca-6859-47fe-a745-30422ff6c47f']",38,,,,,,,,,,,,,,,,,Barcelona,217,00:34:38.000,Pass,,2020/2021
