50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,8675e624-1d11-481d-8bbc-4e3212fc0b0a,1,,,69244,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Villarreal,222,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 6768, 'name': 'Diego López Rodríguez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 25984, 'name': 'Ángel Domingo López Ruano'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 18}, {'player': {'id': 25931, 'name': 'Gonzalo Javier Rodríguez'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 5249, 'name': 'Diego Roberto Godín Leal'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 20134, 'name': 'Joan Capdevila Méndez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 5}, {'player': {'id': 22819, 'name': 'Bruno Soriano Llido'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 26121, 'name': 'Ariel Miguel Santiago Ibagaza'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 11}, {'player': {'id': 25921, 'name': 'Rubén Gracia Calmache'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 10}, {'player': {'id': 11386, 'name': 'Santiago Cazorla González'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 8}, {'player': {'id': 7141, 'name': 'Giuseppe Rossi'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 22}, {'player': {'id': 26698, 'name': 'Nilmar Honorato da Silva'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 12}]}",Villarreal,222,00:00:00.000,Starting XI,,2009/2010
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,bad17d09-1705-44b1-bd51-51e16e346027,2,,,69244,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Villarreal,222,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 20125, 'name': 'Carles Puyol i Saforcada'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 26613, 'name': 'Maxwell Scherrer Cabelino Andrade'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 28}, {'player': {'id': 20169, 'name': 'Seydou Kéita'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 3958, 'name': 'Pedro Eliezer Rodríguez Ledesma'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 4913, 'name': 'Bojan Krkíc Pérez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Barcelona,217,00:00:00.000,Starting XI,,2009/2010
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,67a0df1e-bdfb-4b83-b7a4-a7cc774fb18f,3,,,69244,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Villarreal,222,['6b6e25c6-3a6e-4f92-b600-61f053122f76'],0,,,,,,,,,,,,,,,,,,Villarreal,222,00:00:00.000,Half Start,,2009/2010
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,6b6e25c6-3a6e-4f92-b600-61f053122f76,4,,,69244,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Villarreal,222,['67a0df1e-bdfb-4b83-b7a4-a7cc774fb18f'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2009/2010
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,7218af45-4b18-4f99-8c44-de72bb0ac948,2107,,,69244,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,103,Barcelona,217,['9990aae1-3a29-416e-b3e8-58c2e591515f'],0,,,,,,,,,,,,,,,,,,Villarreal,222,00:00:00.000,Half Start,,2009/2010
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,9990aae1-3a29-416e-b3e8-58c2e591515f,2108,,,69244,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,103,Barcelona,217,['7218af45-4b18-4f99-8c44-de72bb0ac948'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2009/2010
,,,,,,,,,,,,,,,,,0.894084,,,,,,,,,,,,0cb7b295-d263-4555-b55c-752e1b6657bf,5,,"[60.0, 40.0]",69244,0,,True,,,1.6262949,,Right Foot,,,"[59.8, 43.6]",,Ground Pass,,3.6055512,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,Kick Off,1,From Kick Off,Bojan Krkíc Pérez,4913.0,Center Forward,2,Barcelona,217,['aa0f8333-c038-440c-907c-e5faa3b7f1d4'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.927,Pass,,2009/2010
,,,,,,,,,,,,,,,,,1.1591,,,,,,,,,,,,cc05600e-c695-4a79-bdda-19a9c026f1f5,7,,"[60.6, 43.2]",69244,0,,,,,-2.6974866,,Right Foot,,,"[48.2, 37.3]",,Ground Pass,,13.7320795,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,2,Barcelona,217,['82703ef6-bd5f-46b5-89b9-66838f033ad2'],1,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:01.911,Pass,,2009/2010
,,,,,,,,,,,,,,,,,1.3756,,,,,,,,,,,,e66c036d-442c-4ef8-ad00-dc46360ebdf8,10,,"[48.2, 37.3]",69244,0,,,,,1.5247762,,Right Foot,,,"[48.9, 52.5]",,Ground Pass,,15.21611,,,Xavier Hernández Creus,20131.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['52567ae5-7003-4e26-a5e5-79b2ec99badc'],3,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:03.532,Pass,,2009/2010
,,,,,,,,,,,,,,,,,1.6346,,,,,,,,,,,,ec08e284-8aa0-4abc-b388-215580dada12,13,,"[51.4, 54.8]",69244,0,,,,,0.8990009,,Right Foot,,,"[64.6, 71.4]",,Ground Pass,,21.208488,,,Pedro Eliezer Rodríguez Ledesma,3958.0,,,,,,1,From Kick Off,Xavier Hernández Creus,20131.0,Left Center Midfield,2,Barcelona,217,['ba6e7155-5e3b-4c35-a655-31eb9f4a8133'],6,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:06.002,Pass,,2009/2010
