bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,2.151141,,,,,,,,,,,,c91ba677-2b0b-4630-9ea5-061a35a9b753,18,,"[50.6, 51.7]",69312,0,,,,,-2.301807,,Right Foot,,,"[34.1, 33.3]",,Ground Pass,,24.714571,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,"['9c696bec-d586-4481-8709-ecd0c0177eeb', 'ebae43f1-001a-4441-9dd8-f0161acc1cf2']",11,,,,,,,,,,,,,,,Barcelona,217,00:00:11.822,Pass,True,2011/2012
,,,,,,,,,,,,,,,,2.506291,,,,,,,,,,,,0db3889f-a846-4597-9a14-d7d2521f66f1,21,,"[45.6, 40.1]",69312,0,,,,,0.95081484,,Right Foot,,,"[70.8, 75.4]",,High Pass,,43.371994,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Left Center Back,2,Barcelona,217,['44d77399-3c69-4513-931f-ff8c23cf2a37'],20,,,,,,,,,,,,,,,Barcelona,217,00:00:20.091,Pass,,2011/2012
,,,,,,,,,,,,,,,,1.207253,,,,,,,,,,,,d9dc8952-c125-49c8-a69f-87656a128728,24,,"[70.8, 75.4]",69312,0,,,,,-1.8067744,,Left Foot,,,"[64.5, 49.2]",,Ground Pass,,26.9468,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,2,Barcelona,217,['1fd56c8a-3422-40ab-8782-de2620943386'],25,,,,,,,,,,,,,,,Barcelona,217,00:00:25.504,Pass,,2011/2012
,,,,,,,,,,,,,,,,1.105555,,,,,,,,,,,,985308ac-1e13-48b7-9c0c-a4f3d669d49f,28,,"[77.7, 58.0]",69312,0,,,,,1.5707964,,Right Foot,,,"[77.7, 71.6]",,Ground Pass,,13.6,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['675e846d-b933-4f71-8485-aa8a1af709a0'],29,,,,,,,,,,,,,,,Barcelona,217,00:00:29.514,Pass,,2011/2012
,,,,,,,,,,,,,,,,1.361997,,,,,,,,,,,,00ddc9ae-5867-4bc5-bbc7-d2672b480541,32,,"[79.6, 71.1]",69312,0,,,,,0.31674224,,Left Foot,,,"[97.6, 77.0]",,Ground Pass,,18.94228,,,,Daniel Alves da Silva,4324.0,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,2,Barcelona,217,"['2926c9c8-95e7-4641-8a32-40c73b0dfa6f', 'fb8fa67f-9024-41a8-b3c5-81498de33a69']",31,,,,,,,,,,,,,,,Barcelona,217,00:00:31.649,Pass,True,2011/2012
,,,,,,,,,,,,,,,,3.6191,,,,,,,,,,,,bcaffe08-a911-4a2d-93fd-179adac37398,35,,"[97.6, 77.0]",69312,0,,,,,-0.9367736,,Right Foot,,,"[115.1, 53.2]",,Ground Pass,,29.541327,,Incomplete,,,,,,,,,1,From Kick Off,Daniel Alves da Silva,4324.0,Right Back,2,Barcelona,217,['c76f9b0f-0557-42b3-a806-14ce69532d75'],35,,,,,,,,,,,,,,,Barcelona,217,00:00:35.326,Pass,,2011/2012
,,,,,,,,,,,,,,,,2.0747,,,,,,,,,,,,76075ca4-3a37-4f42-991b-726b786bb3aa,38,,"[7.8, 25.5]",69312,0,,,,,-1.1718357,,Keeper Arm,,,"[12.1, 15.3]",,Ground Pass,,11.069327,,,,Héctor Alfredo Moreno Herrera,5573.0,,,,,,1,Regular Play,Cristian Darío Álvarez,24040.0,Goalkeeper,3,Espanyol,214,['e2b11077-ff7f-4ca8-84b8-48239b118979'],40,,,,,,,,,,,,,,,Espanyol,214,00:00:40.784,Pass,,2011/2012
,,,,,,,,,,,,,,,,1.746,,,,,,,,,,,,5a6476d1-4401-4bf0-9958-42c092f5e2ea,40,,"[12.1, 15.7]",69312,0,,True,,,1.8302014,,Left Foot,,,"[5.2, 41.7]",,Ground Pass,,26.9,,,,Cristian Darío Álvarez,24040.0,,,,,,1,Regular Play,Héctor Alfredo Moreno Herrera,5573.0,Left Center Back,3,Espanyol,214,['cbf4111f-b7ad-4236-ad44-b1427593b095'],44,,,,,,,,,,,,,,,Espanyol,214,00:00:44.026,Pass,,2011/2012
,,,,,,,,,,,,,,,,2.2615,,,,,,,,,,,,5bbffc99-92ae-46a1-a01a-5781b030872e,43,,"[5.3, 41.0]",69312,0,,,,,-0.8223045,,Right Foot,,,"[36.6, 7.3]",,High Pass,,45.99326,,,,Dídac Vilá Rosselló,6886.0,,,,,,1,Regular Play,Cristian Darío Álvarez,24040.0,Goalkeeper,3,Espanyol,214,"['9e328c13-cff7-47f0-917b-b6dfe893301a', 'f664371e-8e1a-492f-89d9-fbb2dc36e250']",46,,,,,,,,,,,,,,,Espanyol,214,00:00:46.353,Pass,True,2011/2012
,,,,,,,,,,,,,,,,4.2401,,,,,,,,,,,,ed67eef7-83a4-4132-a712-2158b26d070a,47,,"[36.9, 4.8]",69312,0,,,,,0.2375659,,Left Foot,,,"[100.5, 20.2]",,Low Pass,,65.43791,,Incomplete,,Thievy Guivane Bifouma Koulossa,26775.0,,,,,,1,Regular Play,Dídac Vilá Rosselló,6886.0,Left Back,3,Espanyol,214,"['7d872c0d-7d58-45f5-a7a7-77386e68ecf1', 'a18db879-43e5-44eb-a661-8bc12e1c0179']",50,,,,,,,,,,,,,,,Espanyol,214,00:00:50.753,Pass,,2011/2012
,,,,,,,,,,,,,,,,1.957266,,,,,,,,,,,,a18db879-43e5-44eb-a661-8bc12e1c0179,49,,"[20.5, 60.8]",69312,0,,,,,-2.3157182,,Right Foot,,,"[5.1, 44.1]",,Ground Pass,,22.716734,,,,Víctor Valdés Arribas,20176.0,,,,,Recovery,1,Regular Play,Carles Puyol i Saforcada,20125.0,Right Center Back,4,Barcelona,217,"['5d36eb6a-51c1-4a4e-bfae-82286d4933cc', 'ed67eef7-83a4-4132-a712-2158b26d070a']",54,,,,,,,,,,,,,,,Barcelona,217,00:00:54.993,Pass,,2011/2012
,,,,,,,,,,,,,,,,1.881067,,,,,,,,,,,,9e809416-bcff-40e6-bfe1-b673cc167457,53,,"[4.8, 40.7]",69312,0,,,,,-1.5666811,,Right Foot,,,"[4.9, 16.4]",,Ground Pass,,24.300205,,,,Eric-Sylvain Bilal Abidal,20177.0,,,,,,1,Regular Play,Víctor Valdés Arribas,20176.0,Goalkeeper,4,Barcelona,217,"['affe28d1-4314-4b0f-be0d-69f195897da4', 'f49bd5c1-dc29-416f-a0c2-9efcd011cfc8']",58,,,,,,,,,,,,,,,Barcelona,217,00:00:58.397,Pass,True,2011/2012
,,,,,,,,,,,,,,,,1.915845,,,,,,,,,,,,aa66dea4-5a53-4dcb-a976-366f59251999,57,,"[4.5, 12.0]",69312,1,,,,,-0.071307465,,Left Foot,,,"[32.5, 10.0]",,Ground Pass,,28.071337,,,,Andrés Iniesta Luján,5216.0,,,,,,1,Regular Play,Eric-Sylvain Bilal Abidal,20177.0,Left Back,4,Barcelona,217,['21fae4be-68a7-4a8c-9d71-410e71c04fdd'],0,,,,,,,,,,,,,,,Barcelona,217,00:01:00.847,Pass,,2011/2012
,,,,,,,,,,,,,,,,1.655616,,,,,,,,,,,,488963f6-e5d2-4946-816a-02ae2f033f28,60,,"[32.7, 8.6]",69312,1,,,,,-0.20265867,,Right Foot,,,"[47.3, 5.6]",,Ground Pass,,14.905033,,,,Alexis Alejandro Sánchez Sánchez,3385.0,,,,,,1,Regular Play,Andrés Iniesta Luján,5216.0,Right Center Midfield,4,Barcelona,217,['8b4d7f4a-33d0-4e5a-b816-9bd6c547ff60'],2,,,,,,,,,,,,,,,Barcelona,217,00:01:02.982,Pass,,2011/2012
