ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,1.917459,,,,,,,,,,,,,,cbca36ad-06b3-41bf-abf4-65d6b8a57d88,18,,"[64.9, 42.4]",68313,0,,,,,1.2244029,,Right Foot,,,,"[77.1, 76.2]",,Ground Pass,,35.934383,,,,José Izquierdo Martínez,25871.0,,,,,,1,From Kick Off,Francisco Puñal Martínez,25874.0,Right Defensive Midfield,2,Osasuna,422,['5750a0d6-be70-4202-aa91-f4e77dd76fbc'],12,,,,,,,,,,,,,,,,,Osasuna,422,00:00:12.465,Pass,,2004/2005
,,,,,,,,,,,,,,,0.994969,,,,,,,,,,,,,,be84bdf3-99c1-4ae4-a2ea-e80480bd8af3,21,,"[79.8, 75.5]",68313,0,,,,,-1.7204623,,Right Foot,,,,"[77.9, 62.9]",,Ground Pass,,12.742449,,,,David López Moreno,25869.0,,,,,,1,From Kick Off,José Izquierdo Martínez,25871.0,Right Back,2,Osasuna,422,['394b2cb2-5a0d-4fc9-9276-3fc9dbeab847'],15,,,,,,,,,,,,,,,,,Osasuna,422,00:00:15.179,Pass,,2004/2005
,,,,,,,,,,,,,,,1.093602,,,,,,,,,,,,,,b5b5cfac-3960-4985-9aed-6a7bd5e957f8,24,,"[82.9, 71.1]",68313,0,,,,,2.604006,,Right Foot,,,,"[77.7, 74.2]",,Ground Pass,,6.0539246,,,,José Izquierdo Martínez,25871.0,,,,,,1,From Kick Off,David López Moreno,25869.0,Right Wing,2,Osasuna,422,['f7f9e92e-fbae-42a8-ba1f-7bdf875ae2d5'],17,,,,,,,,,,,,,,,,,Osasuna,422,00:00:17.121,Pass,,2004/2005
,,,,,,,,,,,,,,,1.0719,,,,,,,,,,,,,,b4e0e8ba-811f-42c8-afcb-cb3be5f1c1fa,27,,"[79.4, 67.0]",68313,0,,,,,-0.6417009,,Right Foot,,,,"[97.2, 53.7]",,Ground Pass,,22.220036,,,,Pierre Achille Webó Kouamo,25876.0,,,,,,1,From Kick Off,José Izquierdo Martínez,25871.0,Right Back,2,Osasuna,422,['d8965ccc-0e06-40a9-902e-6e08720f4e00'],19,,,,,,,,,,,,,,,,,Osasuna,422,00:00:19.850,Pass,,2004/2005
,,,,,,,,,,,,,,,1.271587,,,,,,,,,,,,,,9aa2366b-79e1-48cc-9f2c-614b23741dac,33,,"[24.3, 29.7]",68313,0,,,,,0.3606919,,Right Foot,,,,"[35.7, 34.0]",,Ground Pass,,12.184006,,,,Anderson Luís de Souza,19757.0,,,,,,1,Regular Play,Carles Puyol i Saforcada,20125.0,Left Center Back,3,Barcelona,217,['a5e219ee-a314-4d02-9642-144fe9c95334'],22,,,,,,,,,,,,,,,,,Barcelona,217,00:00:22.461,Pass,,2004/2005
,,,,,,,,,,,,,,,1.1616,,,,,,,,,,,,,,9854818f-8542-41c3-84fd-3d727bec642e,36,,"[36.1, 34.5]",68313,0,,,,,-1.7936965,,Right Foot,,,,"[34.4, 27.0]",,Ground Pass,,7.6902537,,,,Rafael Márquez Álvarez,5558.0,,,,,,1,Regular Play,Anderson Luís de Souza,19757.0,Left Center Midfield,3,Barcelona,217,['71c4849f-abad-4206-96bf-b3e0e4643d98'],23,,,,,,,,,,,,,,,,,Barcelona,217,00:00:23.770,Pass,,2004/2005
,,,,,,,,,,,,,,,1.447455,,,,,,,,,,,,,,92f6244e-fc8a-4a37-ad56-b902c91d4da8,39,,"[35.9, 19.5]",68313,0,,,,,-1.5966526,,Right Foot,,,,"[35.6, 7.9]",,Ground Pass,,11.603879,,,,Giovanni van Bronckhorst,17797.0,,,,,,1,Regular Play,Rafael Márquez Álvarez,5558.0,Center Defensive Midfield,3,Barcelona,217,['d53dcbcf-c749-4d34-a83c-52ebe080301e'],25,,,,,,,,,,,,,,,,,Barcelona,217,00:00:25.736,Pass,,2004/2005
,,,,,,,,,,,,,,,1.503578,,,,,,,,,,,,,,28d3d3b1-2cb0-4d2d-ac98-686db3423d84,42,,"[35.7, 5.0]",68313,0,,,,,1.0103539,,Left Foot,,,,"[57.1, 39.1]",,High Pass,,40.25879,,,,Anderson Luís de Souza,19757.0,,,,,,1,Regular Play,Giovanni van Bronckhorst,17797.0,Left Back,3,Barcelona,217,['e7087dcf-6cb9-4c75-87b0-bbfd5eff3b54'],27,,,,,,,,,,,,,,,,,Barcelona,217,00:00:27.901,Pass,,2004/2005
,,,,,,,,,,,,,,,1.9384,,,,,,,,,,,,,,c6753e47-b59b-44cd-9585-a3d74d214534,49,,"[41.2, 38.3]",68313,0,,,,,1.7752175,,Right Foot,,,,"[36.1, 62.9]",,Ground Pass,,25.123096,,,,César Cruchaga Lasa,25867.0,,,,,,1,Regular Play,Francisco Puñal Martínez,25874.0,Right Defensive Midfield,4,Osasuna,422,['44df3af4-6073-42cd-ab08-44a4fde53590'],33,,,,,,,,,,,,,,,,,Osasuna,422,00:00:33.361,Pass,,2004/2005
,,,,,,,,,,,,,,,1.732506,,,,,,,,,,,,,,36f65cd2-80d3-41b9-b278-937f874bc65f,52,,"[39.1, 53.3]",68313,0,,,,,-2.5977602,,Right Foot,,,,"[26.2, 45.5]",,Ground Pass,,15.074814,,,,José Romero Urtasun,25865.0,,,,,,1,Regular Play,César Cruchaga Lasa,25867.0,Right Center Back,4,Osasuna,422,['17d50204-693e-4e91-b52d-de3f8fd7162d'],36,,,,,,,,,,,,,,,,,Osasuna,422,00:00:36.634,Pass,,2004/2005
