ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,2.232959,,,,,,,,,,,,,e78ed3ca-8e07-4440-8501-bf500cf07843,17,,,"[29.2, 19.5]",3773597,0,,,,2.3196254,,Left Foot,,,,"[13.4, 36.5]",,Ground Pass,,23.208618,,,,Marc-André ter Stegen,20055.0,,,,,,1,From Kick Off,Clément Lenglet,6826.0,Left Center Back,2,Barcelona,217,['ce2f903f-5565-42b0-817e-716727dd525d'],9,,,,,,,,,,,,,,,,Barcelona,217,00:00:09.674,Pass,,2020/2021
,,,,,,,,,,,,,,1.748292,,,,,,,,,,,,,f691fa69-f141-4aae-bd93-6c221f5b14a0,21,,,"[12.2, 42.3]",3773597,0,,,,1.8056451,,Right Foot,,,,"[8.3, 58.6]",,Ground Pass,,16.76007,,,,Óscar Mingueza García,43728.0,,,,,,1,From Kick Off,Marc-André ter Stegen,20055.0,Goalkeeper,2,Barcelona,217,"['4b4c48e8-9ca9-430a-8497-19985f860319', 'ed359b50-ea56-4677-b1ec-efb82bfbf12b']",13,,,,,,,,,,,,,,,,Barcelona,217,00:00:13.699,Pass,True,2020/2021
,,,,,,,,,,,,,,2.606736,,,,,,,,,,,,,083ef1c2-67f4-4b7b-a088-4d9445c6b303,25,,,"[6.2, 57.6]",3773597,0,,,,0.4647612,,Right Foot,,,,"[42.1, 75.6]",,High Pass,,40.159805,,,Incomplete,Antoine Griezmann,5487.0,,,,,,1,From Kick Off,Óscar Mingueza García,43728.0,Right Center Back,2,Barcelona,217,"['772c1b02-e3c6-45e4-964e-2ab4e77bec52', 'a5fa3ab2-b80a-4cdf-97fe-538c04463b29', 'b7f0e0b6-ef09-4e7c-b3c2-0f4426b01be6']",16,,,,,,,,,,,,,,,,Barcelona,217,00:00:16.521,Pass,True,2020/2021
,,,,,,,,,,,,,,1.844316,,,,,,,,,,,,,5aff62e2-c832-4b0a-af2a-9b5d292f135d,29,,,"[40.5, 80.0]",3773597,0,,,,-2.808973,,,,,,"[13.0, 70.5]",,Low Pass,,29.094673,,,,Frenkie de Jong,8118.0,,,,,Throw-in,1,From Throw In,Óscar Mingueza García,43728.0,Right Center Back,3,Barcelona,217,['cfdccf2d-72fb-45dd-9e50-2c2cc6394540'],29,,,,,,,,,,,,,,,,Barcelona,217,00:00:29.499,Pass,,2020/2021
,,,,,,,,,,,,,,2.087652,,,,,,,,,,,,,7504a64f-c6eb-4a45-96f5-6d78982ab139,33,,,"[13.4, 68.9]",3773597,0,,,,-1.9282871,,Right Foot,,,,"[3.8, 43.2]",,Ground Pass,,27.434467,,,,Marc-André ter Stegen,20055.0,,,,,,1,From Throw In,Frenkie de Jong,8118.0,Center Back,3,Barcelona,217,"['7171d55a-4343-4216-8ded-af4a9d3e435c', '98f304f0-3dbf-432a-b67c-d1223ce3123d']",31,,,,,,,,,,,,,,,,Barcelona,217,00:00:31.973,Pass,True,2020/2021
,,,,,,,,,,,,,,1.50349,,,,,,,,,,,,,013750cb-c6ff-4d1a-9b42-98d0c68e51d1,37,,,"[3.6, 39.6]",3773597,0,,,,0.8391924,,Left Foot,,,,"[15.9, 53.3]",,Ground Pass,,18.41141,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Throw In,Marc-André ter Stegen,20055.0,Goalkeeper,3,Barcelona,217,"['82eb2be2-7fd1-495d-bffb-cd6c72b0cbb4', 'd3f29a24-e5ac-4fe4-83f1-1f7949bf5ee1']",35,,,,,,,,,,,,,,,,Barcelona,217,00:00:35.382,Pass,True,2020/2021
,,,,,,,,,,,,,,0.829024,,,,,,,,,,,,,60db84e7-96bf-4e5a-be9e-c153d8756373,40,,,"[15.9, 53.3]",3773597,0,,,,2.3698924,,Right Foot,,,,"[12.2, 56.9]",,Ground Pass,,5.162364,,,,Frenkie de Jong,8118.0,,,,,,1,From Throw In,Sergio Busquets i Burgos,5203.0,Right Defensive Midfield,3,Barcelona,217,['02d0cdfc-8236-41d7-b014-bb96f8ddefa2'],37,,,,,,,,,,,,,,,,Barcelona,217,00:00:37.101,Pass,,2020/2021
,,,,,,,,,,,,,,1.791611,,,,,,,,,,,,,9abbe160-08a8-43c4-bf11-b335f53e2bc1,43,,,"[10.8, 56.9]",3773597,0,,,,-1.8707435,,Right Foot,,,,"[4.8, 37.5]",,Ground Pass,,20.306648,,,,Marc-André ter Stegen,20055.0,,,,,,1,From Throw In,Frenkie de Jong,8118.0,Center Back,3,Barcelona,217,['b602ae0e-3bcc-471b-961e-93ed616380be'],40,,,,,,,,,,,,,,,,Barcelona,217,00:00:40.744,Pass,,2020/2021
,,,,,,,,,,,,,,5.927234,,,,,,,,,,,,,a341d69c-1e89-4d2a-9d0a-a7fa788986f1,46,,,"[8.0, 39.6]",3773597,0,,,,-0.15798347,,Right Foot,,,,"[100.9, 24.8]",,High Pass,,94.07152,,,Incomplete,Ousmane Dembélé,5477.0,,,,,,1,From Throw In,Marc-André ter Stegen,20055.0,Goalkeeper,3,Barcelona,217,"['67e7b052-de80-4447-b872-aea41788084c', 'a9da0017-8544-4cf2-8db0-208b13c1dfa4']",44,,,,,,,,,,,,,,,,Barcelona,217,00:00:44.060,Pass,,2020/2021
,,,,,,,,,,,,,,1.060668,,,,,,,,,,,,,9840252d-4d13-433d-adf8-1d348904225e,55,,,"[69.5, 48.3]",3773597,0,,,,-0.75837773,,Left Foot,,,,"[80.9, 37.5]",,Ground Pass,,15.703503,,,,Antoine Griezmann,5487.0,,,,,,1,From Throw In,Lionel Andrés Messi Cuccittini,5503.0,Right Attacking Midfield,3,Barcelona,217,['fc843687-a7d4-4a19-8a5f-63de5f9d4fcb'],54,,,,,,,,,,,,,,,,Barcelona,217,00:00:54.232,Pass,,2020/2021
