50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,e138aa1e-4830-4587-aef5-430d858072e3,1,,,266967,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Eibar,322,,0,,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 27517, 'name': 'Jaime Jiménez Merlo'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 25}, {'player': {'id': 26736, 'name': 'Borja Ekiza Imaz'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 6693, 'name': 'Raúl Rodríguez Navas'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 22}, {'player': {'id': 24508, 'name': 'Manuel Castellano Castro'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 16}, {'player': {'id': 6386, 'name': 'Eneko Bóveda Altube'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 2}, {'player': {'id': 6886, 'name': 'Dídac Vilá Rosselló'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 17}, {'player': {'id': 11294, 'name': 'Borja Fernández Fernández'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 12}, {'player': {'id': 27343, 'name': 'Jon Errasti Zabalete'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 24190, 'name': 'Javier Lara Grande'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 23}, {'player': {'id': 24070, 'name': 'Saúl Berjón Pérez'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 21}, {'player': {'id': 24507, 'name': 'Manuel del Moral Fernández'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 20}]}",Eibar,322,00:00:00.000,Starting XI,,2014/2015
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,bef590a0-446d-46fc-b01d-fe6a3639ad83,2,,,266967,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Eibar,322,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 4691, 'name': 'Claudio Andrés Bravo Muñoz'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6593, 'name': 'Martín Montoya Torralbo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 7068, 'name': 'Marc Bartra Aregall'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 22102, 'name': 'Adriano Correia Claro'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 6998, 'name': 'Rafael Alcântara do Nascimento'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 12}, {'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 4320, 'name': 'Neymar da Silva Santos Junior'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2014/2015
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,8195f58b-c7dc-4f31-9394-e8bc2ca126bf,3,,,266967,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Eibar,322,['a8803f27-ca69-4911-860d-7f8a6bb881a9'],0,,,,,,,,,,,,,,,,,Eibar,322,00:00:00.000,Half Start,,2014/2015
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,a8803f27-ca69-4911-860d-7f8a6bb881a9,4,,,266967,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Eibar,322,['8195f58b-c7dc-4f31-9394-e8bc2ca126bf'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2014/2015
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,876bba27-e3e8-44d5-bc3c-3e8031f7c2c0,1969,,,266967,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,70,Barcelona,217,['89f013c1-d72b-4ff4-a52b-3eeb5cdb0880'],0,,,,,,,,,,,,,,,,,Eibar,322,00:00:00.000,Half Start,,2014/2015
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,89f013c1-d72b-4ff4-a52b-3eeb5cdb0880,1970,,,266967,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,70,Barcelona,217,['876bba27-e3e8-44d5-bc3c-3e8031f7c2c0'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2014/2015
,,,,,,,,,,,,,,,,,,0.6654,,,,,,,,,,,,,,,d3a3a4ab-364e-43ce-a396-cc3ac3533af3,5,,"[61.0, 40.1]",266967,0,,,,,-1.7577755,,Right Foot,,,"[60.3, 36.4]",,Ground Pass,,3.765634,,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,Kick Off,1,From Kick Off,Luis Alberto Suárez Díaz,5246.0,Center Forward,2,Barcelona,217,['55d0c60f-14fc-4cfc-bced-b04e2c53809b'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.574,Pass,,2014/2015
,,,,,,,,,,,,,,,,,,1.4834,,,,,,,,,,,,,,,df5b83d4-969e-40f4-b873-8d89c0a48285,8,,"[60.1, 37.0]",266967,0,,,,,3.106723,,Left Foot,,,"[42.9, 37.6]",,Ground Pass,,17.210463,,,,,Sergi Roberto Carnicer,6379.0,,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,2,Barcelona,217,['bf49db6b-3590-41ea-877d-b38deb1c1ee6'],1,,,,,,,,,,,,,,,,,Barcelona,217,00:00:01.349,Pass,,2014/2015
,,,,,,,,,,,,,,,,,,1.8656,,,,,,,,,,,,,,,b8c56213-7887-4b22-b14f-878f308a0157,11,,"[42.9, 37.6]",266967,0,,,,,-1.5399181,,Right Foot,,,"[43.7, 11.7]",,Ground Pass,,25.912352,,,,,Adriano Correia Claro,22102.0,,,,,,,1,From Kick Off,Sergi Roberto Carnicer,6379.0,Center Defensive Midfield,2,Barcelona,217,['353ea2b3-dc93-41dc-9bb6-8247ab2e0bde'],3,,,,,,,,,,,,,,,,,Barcelona,217,00:00:03.294,Pass,,2014/2015
,,,,,,,,,,,,,,,,,,1.3431,,,,,,,,,,,,,,,ba68d5e2-f9d3-4048-969c-d7fe29029153,14,,"[43.7, 11.7]",266967,0,,,,,2.4123852,,Left Foot,,,"[26.8, 26.8]",,Ground Pass,,22.663185,,,,,Marc Bartra Aregall,7068.0,,,,,,,1,From Kick Off,Adriano Correia Claro,22102.0,Left Back,2,Barcelona,217,['ce049465-1f82-4316-aecb-ed443ded3434'],6,,,,,,,,,,,,,,,,,Barcelona,217,00:00:06.797,Pass,,2014/2015
