50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,0.833884,,,,,,,,,,,,,fc5433c5-24c9-40d1-8b8b-d2039cb011d2,3597,,"[109.8, 70.0]",69233,89,,,,,-1.5297235,,Right Foot,True,,"[110.7, 48.1]",,High Pass,,21.918486,Incomplete,,Manuel Jesús Arana Rodríguez,26665.0,,,,,,2,From Free Kick,Luis Manuel Villa López,26664.0,Center Forward,191,Barcelona,217,"['149bca2a-1527-4f04-a3b8-27b4339d8a8a', 'e3ddb6e5-1bc5-4f10-8d1b-9385fdd69c38']",51,,,,,,,,,,,,,,,,,,Racing Santander,1217,00:44:51.519,Pass,,2009/2010
,,,,,,,,,,,,,,,,,1.262006,,,,,,,,,,,,,1abd3f45-6cab-47d1-9537-0b82d62d4fe8,3601,,"[36.2, 16.5]",69233,89,,,,,-2.8073945,,Right Foot,,,"[29.0, 14.0]",,Low Pass,,7.62168,,,Andrés Iniesta Luján,5216.0,,,,,Recovery,2,From Free Kick,Bojan Krkíc Pérez,4913.0,Center Forward,191,Barcelona,217,['2241149d-9f4f-4efa-aa61-a5668bf0eccb'],57,,,,,,,,,,,,,,,,,,Barcelona,217,00:44:57.246,Pass,,2009/2010
,,,,,,,,,,,,,,,,,0.958015,,,,,,,,,,,,,ea1c6a1c-90d0-4139-aebc-855953943097,3604,,"[39.9, 7.5]",69233,90,,,,,1.5589626,,Right Foot,,,"[40.1, 24.4]",,Ground Pass,,16.901184,,,Sergio Busquets i Burgos,5203.0,,,,,,2,From Free Kick,Andrés Iniesta Luján,5216.0,Right Center Midfield,191,Barcelona,217,['a0d8ddc3-e111-421d-b301-625a11f79a8e'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:45:00.950,Pass,,2009/2010
,,,,,,,,,,,,,,,,,0.478546,,,,,,,,,,,,,90281423-ad89-4304-b112-d6d7555d935f,3608,,"[40.1, 24.4]",69233,90,,,,,-1.3873163,,Right Foot,,,"[41.9, 14.7]",,Ground Pass,,9.865597,,,Andrés Iniesta Luján,5216.0,,,,,,2,From Free Kick,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,191,Barcelona,217,"['183f1628-4a6f-4fe2-a8dd-8038a331c1c5', 'd54e985e-8164-4109-b5c6-f22f8ba7ecce']",2,,,,,,,,,,,,,,,,,,Barcelona,217,00:45:02.339,Pass,True,2009/2010
,,,,,,,,,,,,,,,,,0.734989,,,,,,,,,,,,,10c06f77-0e0d-4f93-8ee3-c598e562baef,3611,,"[41.9, 14.7]",69233,90,,,,,2.2841544,,Left Foot,,,"[32.9, 25.1]",,Ground Pass,,13.753545,,,Gerard Piqué Bernabéu,5213.0,,,,,,2,From Free Kick,Andrés Iniesta Luján,5216.0,Right Center Midfield,191,Barcelona,217,"['d54e985e-8164-4109-b5c6-f22f8ba7ecce', 'e186abd7-116a-43cb-af91-da5b92438569']",2,,,,,,,,,,,,,,,,,,Barcelona,217,00:45:02.979,Pass,True,2009/2010
,,,,,,,,,,,,,,,,,2.995391,,,,,,,,,,,,,c979f66c-1cda-4840-8712-f1b8cbf6484a,3614,,"[44.5, 29.5]",69233,90,,,,,-0.21718965,,Right Foot,,,"[80.3, 21.6]",,High Pass,,36.66129,Incomplete,,Bojan Krkíc Pérez,4913.0,,,,,,2,From Free Kick,Gerard Piqué Bernabéu,5213.0,Left Center Back,191,Barcelona,217,"['06421df6-ff43-4ed5-befb-b33737ff49ea', 'a164ed76-5f75-4f24-838b-8a469fa73b15']",8,,,,,,,,,,,,,,,,,,Barcelona,217,00:45:08.877,Pass,,2009/2010
,,,,,,,,,,,,,,,,,2.274258,,,,,,,,,,,,,d2765079-899a-4c34-bdde-801fd99acbff,3618,,"[35.0, 22.1]",69233,90,,True,,,1.5248517,,Left Foot,,,"[36.6, 56.9]",,Ground Pass,,34.83676,,,Rafael Márquez Álvarez,5558.0,,,,,,2,From Free Kick,Maxwell Scherrer Cabelino Andrade,26613.0,Left Back,191,Barcelona,217,['8742a442-1e4f-43de-a8d9-64649fd3b165'],24,,,,,,,,,,,,,,,,,,Barcelona,217,00:45:24.922,Pass,,2009/2010
,,,,,,,,,,,,,,,,,2.183352,,,,,,,,,,,,,58872bcb-d142-4af8-8f87-752994085aa2,3620,,"[36.6, 56.9]",69233,90,,,,,-1.5610247,,Right Foot,,,"[36.9, 26.2]",,Ground Pass,,30.701466,,,Gerard Piqué Bernabéu,5213.0,,,,,,2,From Free Kick,Rafael Márquez Álvarez,5558.0,Right Center Back,191,Barcelona,217,['9ac70ace-7f5d-4394-b2ae-af45bf52f504'],28,,,,,,,,,,,,,,,,,,Barcelona,217,00:45:28.582,Pass,,2009/2010
,,,,,,,,,,,,,,,,,1.178801,,,,,,,,,,,,,a2be917b-4526-4f4d-9622-fb0285b3999c,3623,,"[42.2, 24.6]",69233,90,,,,,1.0023991,,Left Foot,,,"[52.1, 40.1]",,Ground Pass,,18.391846,,,Sergio Busquets i Burgos,5203.0,,,,,,2,From Free Kick,Gerard Piqué Bernabéu,5213.0,Left Center Back,191,Barcelona,217,['a1405fae-d10b-4495-8cd2-7ea3363f6212'],33,,,,,,,,,,,,,,,,,,Barcelona,217,00:45:33.372,Pass,,2009/2010
,,,,,,,,,,,,,,,,,2.187318,,,,,,,,,,,,,327dfc8e-bad0-4989-93d9-cfb3f416c145,3626,,"[52.1, 40.1]",69233,90,,,,,2.0982296,,Right Foot,,,"[40.8, 59.5]",,Ground Pass,,22.451057,,,Rafael Márquez Álvarez,5558.0,,,,,,2,From Free Kick,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,191,Barcelona,217,['38470b70-034a-47a5-89d2-a62c3cf9d34d'],34,,,,,,,,,,,,,,,,,,Barcelona,217,00:45:34.817,Pass,,2009/2010
