bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_success_in_play,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,0.902242,,,,,,,,,,,,,,65e8cac9-f9b6-4d03-a0b3-76d9d36745f9,16,,"[47.3, 36.9]",303470,0,,,,,-1.6690702,,Right Foot,,,,"[46.6, 29.8]",,Ground Pass,,7.1344237,,,,,Toni Kroos,5574.0,,,,,,1,From Kick Off,Carlos Henrique Casimiro,5539.0,Center Defensive Midfield,2,Real Madrid,220,['d6074e6b-f6e5-4a8f-a17c-21fcb7c03507'],5,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:05.144,Pass,,2019/2020
,,,,,,,,,,,,,,,,,0.550156,,,,,,,,,,,,,,0f8b1e07-b00e-40be-9a3f-f94988e3ae85,18,,"[46.6, 29.8]",303470,0,,,,,1.5004898,,Right Foot,,,,"[47.1, 36.9]",,Ground Pass,,7.1175838,,,,,Carlos Henrique Casimiro,5539.0,,,,,,1,From Kick Off,Toni Kroos,5574.0,Left Center Midfield,2,Real Madrid,220,['ac4e1afb-cc95-459c-be78-82136a0f9e33'],6,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:06.046,Pass,,2019/2020
,,,,,,,,,,,,,,,,,1.41522,,,,,,,,,,,,,,8da831d4-3f24-49b8-99e8-d13e7f361723,20,,"[47.1, 36.9]",303470,0,,,,,-2.2170985,,Right Foot,,,,"[34.2, 19.8]",,Ground Pass,,21.420084,,,,,Sergio Ramos García,5201.0,,,,,,1,From Kick Off,Carlos Henrique Casimiro,5539.0,Center Defensive Midfield,2,Real Madrid,220,['74cf0d66-2d3c-4f20-bf8f-c67a4b4489d5'],6,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:06.597,Pass,,2019/2020
,,,,,,,,,,,,,,,,,1.296904,,,,,,,,,,,,,,72ea7096-3d2e-4034-ab3a-6f2f104d8b5e,23,,"[35.6, 19.7]",303470,0,,,,,-1.0132552,,Right Foot,,,,"[46.2, 2.7]",,Ground Pass,,20.033972,,,,,Marcelo Vieira da Silva Júnior,5552.0,,,,,,1,From Kick Off,Sergio Ramos García,5201.0,Left Center Back,2,Real Madrid,220,['f15c5205-e1d7-452e-bf8f-4e7bcb2d331b'],8,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:08.932,Pass,,2019/2020
,,,,,,,,,,,,,,,,,1.152825,,,,,,,,,,,,,,471e4d58-2434-4006-9e99-42031eb5932c,27,,"[46.6, 2.9]",303470,0,,,,,2.3767045,,Right Foot,,,,"[26.7, 22.0]",,Low Pass,,27.582966,,,,,Sergio Ramos García,5201.0,,,,,,1,From Kick Off,Marcelo Vieira da Silva Júnior,5552.0,Left Back,2,Real Madrid,220,"['631204e1-4998-4a1a-86c6-7c94ac7b7376', 'eb027af8-df11-44d3-a199-5cafdb0fbea0']",10,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:10.822,Pass,True,2019/2020
,,,,,,,,,,,,,,,,,1.815734,,,,,,,,,,,,,,8ba3f4f5-fb9a-449a-a874-45d9bfe9af41,30,,"[27.2, 22.8]",303470,0,,,,,1.634954,,Right Foot,,,,"[24.9, 58.6]",,Low Pass,,35.873806,,,,,Raphaël Varane,5485.0,,,,,,1,From Kick Off,Sergio Ramos García,5201.0,Left Center Back,2,Real Madrid,220,['93c56764-b8b6-4602-87d6-ad3bacd266a2'],13,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:13.546,Pass,,2019/2020
,,,,,,,,,,,,,,,,,0.948782,,,,,,,,,,,,,,7890c713-2c98-4b19-b394-104f63b48d45,33,,"[26.4, 69.9]",303470,0,,,,,0.5346889,,Left Foot,,,,"[36.7, 76.0]",,Ground Pass,,11.970798,,,,,Daniel Carvajal Ramos,5721.0,,,,,,1,From Kick Off,Raphaël Varane,5485.0,Right Center Back,2,Real Madrid,220,['f7891b13-f79c-4661-acb8-e12c99fa407b'],17,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:17.061,Pass,,2019/2020
,,,,,,,,,,,,,,,,,1.133795,,,,,,,,,,,,,,bfc6853d-563e-4d6d-817e-0829a933deff,36,,"[35.6, 75.8]",303470,0,,,,,-1.4482607,,Right Foot,,,,"[38.1, 55.5]",,Ground Pass,,20.453362,,,,,Carlos Henrique Casimiro,5539.0,,,,,,1,From Kick Off,Daniel Carvajal Ramos,5721.0,Right Back,2,Real Madrid,220,"['808d8f14-cb20-4050-81d1-adcff43585ce', 'b5e1abe3-1139-40c8-bfa7-10d269a7dc3d']",18,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:18.009,Pass,True,2019/2020
,,,,,,,,,,,,,,,,,2.558752,,,,,,,,,,,,,,4681c33e-7caa-4452-8107-0284675eb743,39,,"[38.1, 55.3]",303470,0,,,,,-0.44344833,,Right Foot,,,,"[54.1, 47.7]",,Low Pass,,17.713272,,,,,Toni Kroos,5574.0,,,,,,1,From Kick Off,Carlos Henrique Casimiro,5539.0,Center Defensive Midfield,2,Real Madrid,220,"['92353c47-c818-4cd1-8090-36aa9290ef29', 'be2a8633-a3c3-41b0-a0c2-8da7f5c47966']",19,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:19.143,Pass,True,2019/2020
,,,,,,,,,,,,,,,,,0.872968,,,,,,,,,,,,,,8650c2e9-4379-4497-a0f4-7d838b3272d8,41,,"[54.1, 47.7]",303470,0,,,,,3.0527184,,Left Foot,,,,"[44.0, 48.6]",,Ground Pass,,10.140019,,,,,Carlos Henrique Casimiro,5539.0,,,,,,1,From Kick Off,Toni Kroos,5574.0,Left Center Midfield,2,Real Madrid,220,['f43cb10a-6a37-4b49-aa3d-15e28f8b0b20'],21,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:21.702,Pass,,2019/2020
