50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,1.6278,,,,,,,,,,,,,,b1c0258f-450f-4be3-a6fc-49048741cfe3,21,,,"[43.0, 20.9]",70224,0,,,,,-2.799977,,Head,,,"[34.0, 17.7]",,Low Pass,,9.551963,,,,Adriano Correia Claro,22102.0,,,,,,Recovery,1,Regular Play,Seydou Kéita,20169.0,Right Center Midfield,3,Barcelona,217,['13580736-30a6-4ff3-9cf2-e84f38fe6314'],15,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:15.450,Pass,,2011/2012
,,,,,,,,,,,,,,,0.8839,,,,,,,,,,,,,,82e5e88b-f54a-46ad-8053-37e0216613eb,24,,,"[28.7, 20.2]",70224,0,,,,,2.650429,,Left Foot,,,"[15.8, 27.1]",,Ground Pass,,14.629422,,,,Javier Alejandro Mascherano,5506.0,,,,,,,1,Regular Play,Adriano Correia Claro,22102.0,Left Back,3,Barcelona,217,['6e991572-e585-42a9-b528-1361e2a71948'],18,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:18.602,Pass,,2011/2012
,,,,,,,,,,,,,,,1.2486,,,,,,,,,,,,,,c46c2ba8-9ff8-4b9f-827b-ed1694071ce9,27,,,"[16.2, 25.1]",70224,0,,,,,2.161004,,Right Foot,,,"[2.2, 46.0]",,Ground Pass,,25.155716,,,,José Manuel Pinto Colorado,26005.0,,,,,,,1,Regular Play,Javier Alejandro Mascherano,5506.0,Left Center Back,3,Barcelona,217,['78e3dcac-5b43-448e-b74f-9e3cf2af984b'],20,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:20.658,Pass,,2011/2012
,,,,,,,,,,,,,,,2.7274,,,,,,,,,,,,,,1e41b707-66ec-4a76-ba5f-3d63b7dab373,30,,,"[8.4, 41.0]",70224,0,,,,,-0.51230603,,Right Foot,,,"[65.3, 9.0]",,High Pass,,65.281006,,Incomplete,,,,,,,,,,1,Regular Play,José Manuel Pinto Colorado,26005.0,Goalkeeper,3,Barcelona,217,['ba054b64-072c-4b96-b98f-1dcaa321b43f'],34,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:34.431,Pass,,2011/2012
,,,,,,,,,,,,,,,1.54953,,,,,,,,,,,,,,ba054b64-072c-4b96-b98f-1dcaa321b43f,31,,,"[54.8, 71.1]",70224,0,,,,,-1.1686823,,Head,,,"[58.5, 62.4]",,High Pass,,9.4541,,,,Jose María Movilla Cubero,25920.0,,,,,,Recovery,1,Regular Play,Roberto Antonio Correa Silva,23974.0,Right Back,4,Rayo Vallecano,360,"['1e41b707-66ec-4a76-ba5f-3d63b7dab373', '47345344-a93b-4fcf-9e81-a11403e26509']",37,,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:37.159,Pass,,2011/2012
,,,,,,,,,,,,,,,2.312997,,,,,,,,,,,,,,cfca7747-8e0d-4116-b151-79aa6ca5f074,35,,,"[52.1, 63.6]",70224,0,,,,,-2.7403002,,Right Foot,,,"[11.8, 46.5]",,Low Pass,,43.777847,,,,David Cobeño Iglesias,26438.0,,,,,,,1,Regular Play,Jose María Movilla Cubero,25920.0,Left Defensive Midfield,4,Rayo Vallecano,360,"['94e1d548-abb7-4b4f-b1d1-0c6f718b9efe', '9afeefb0-e50f-41ac-8115-c851dc7fd936']",40,,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:40.307,Pass,True,2011/2012
,,,,,,,,,,,,,,,3.5475,,,,,,,,,,,,,,89368531-51c9-4c9e-aee2-48b7d4a6cab4,38,,,"[11.8, 50.9]",70224,0,,,,,0.5554937,,Right Foot,,,"[55.3, 77.9]",,High Pass,,51.198143,,,,Roberto Antonio Correa Silva,23974.0,,,,,,,1,Regular Play,David Cobeño Iglesias,26438.0,Goalkeeper,4,Rayo Vallecano,360,['49e63191-c0c2-4971-b3cd-1f90a0ef4fab'],43,,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:43.514,Pass,,2011/2012
,,,,,,,,,,,,,,,1.1868,,,,,,,,,,,,,,4ddfa4cc-a485-4568-8c0c-e6ae9551c1d5,42,,,"[54.4, 76.9]",70224,0,,,,,-0.560232,,Left Foot,,,"[65.4, 70.0]",,High Pass,,12.984991,,Incomplete,,Miguel Pérez Cuesta,26804.0,,,,,,,1,Regular Play,Roberto Antonio Correa Silva,23974.0,Right Back,4,Rayo Vallecano,360,"['1b5bdbfb-e27d-4b6d-8ab2-2b86aaf26d1d', '8d987f15-d585-47f7-b46c-f1ae6f175f5b']",47,,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:47.181,Pass,,2011/2012
,,,,,,,,,,,,,,,0.9819,,,,,,,,,,,,,,1b5bdbfb-e27d-4b6d-8ab2-2b86aaf26d1d,44,,,"[54.7, 10.1]",70224,0,,,,,0.46834242,,Head,,,"[63.2, 14.4]",,High Pass,,9.525755,,Incomplete,,Seydou Kéita,20169.0,,,,,,Recovery,1,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,4,Rayo Vallecano,360,"['02c88ebb-dbfe-4ab6-b262-462cb133c1bc', '4ddfa4cc-a485-4568-8c0c-e6ae9551c1d5', 'f1106b5d-9d25-4a9f-93e4-decb0c0d625f']",48,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:48.368,Pass,,2011/2012
,,,,,,,,,,,,,,,1.0815,,,,,,,,,,,,,,f1106b5d-9d25-4a9f-93e4-decb0c0d625f,46,,,"[56.9, 65.7]",70224,0,,,,,-0.22923194,,Right Foot,,,"[65.9, 63.6]",,High Pass,,9.241753,,Incomplete,,Raúl Tamudo Montero,26109.0,,,,,,Recovery,1,Regular Play,Jose María Movilla Cubero,25920.0,Left Defensive Midfield,4,Rayo Vallecano,360,"['1b5bdbfb-e27d-4b6d-8ab2-2b86aaf26d1d', 'ca13b078-7574-46c0-a63b-ad90205f4d34', 'fc52098d-8af4-47ba-9277-061af9cf5344']",49,,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:49.349,Pass,,2011/2012
