bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,1.941,,,,,,,,,,,,,a298d53d-897a-4ae4-b07d-2a09eb85bc51,17,,"[42.0, 39.0]",9592,0,,,,,-1.4352686,,Right Foot,,,,"[45.0, 17.0]",,Ground Pass,,22.203604,,,,Samuel Yves Umtiti,5492.0,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,['27901958-7cfd-4d6d-877a-2c506a88f8b4'],18,,,,,,,,,,,,,,,,Barcelona,217,00:00:18.071,Pass,,2017/2018
,,,,,,,,,,,,,,,,,0.977,,,,,,,,,,,,,b69396f2-a3ad-4092-9a5b-9b066cd3a2ff,20,,"[43.0, 13.0]",9592,0,,,,,-0.6202495,,Left Foot,,,,"[50.0, 8.0]",,Ground Pass,,8.602325,,,,Jordi Alba Ramos,5211.0,,,,,,1,From Kick Off,Samuel Yves Umtiti,5492.0,Left Center Back,2,Barcelona,217,['af298dbc-8efe-4c14-b012-a43f2a8d99b3'],20,,,,,,,,,,,,,,,,Barcelona,217,00:00:20.775,Pass,,2017/2018
,,,,,,,,,,,,,,,,,1.042,,,,,,,,,,,,,a33a8d33-c8c2-4707-a6a4-822951b61c97,22,,"[50.0, 6.0]",9592,0,,,,,2.4227626,,Left Foot,,,,"[42.0, 13.0]",,Ground Pass,,10.630146,,,,Samuel Yves Umtiti,5492.0,,,,,,1,From Kick Off,Jordi Alba Ramos,5211.0,Left Back,2,Barcelona,217,['b45cef6a-2007-4f28-84a4-02aaa398f5e1'],21,,,,,,,,,,,,,,,,Barcelona,217,00:00:21.752,Pass,,2017/2018
,,,,,,,,,,,,,,,,,2.2,,,,,,,,,,,,,3491d098-6cf4-49b5-8c0f-6e757bf8c1dc,25,,"[40.0, 16.0]",9592,0,,,,,1.6517004,,Left Foot,,,,"[37.0, 53.0]",,Ground Pass,,37.12142,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Kick Off,Samuel Yves Umtiti,5492.0,Left Center Back,2,Barcelona,217,['a434cb52-aba3-4730-9982-05a56eb839a2'],24,,,,,,,,,,,,,,,,Barcelona,217,00:00:24.033,Pass,,2017/2018
,,,,,,,,,,,,,,,,,1.325,,,,,,,,,,,,,86f1e5bd-1a51-4f03-8661-e68d89b68a5a,28,,"[42.0, 61.0]",9592,0,,,,,0.7853982,,Right Foot,,,,"[56.0, 75.0]",,Ground Pass,,19.79899,,,,Nélson Cabral Semedo,6374.0,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,['de059d95-2e1f-4117-b545-6f8160039691'],27,,,,,,,,,,,,,,,,Barcelona,217,00:00:27.830,Pass,,2017/2018
,,,,,,,,,,,,,,,,,2.12,,,,,,,,,,,,,cedb1735-1c9c-4d5e-bc0b-4db0f339b54e,32,,"[65.0, 75.0]",9592,0,,,,,-2.6571147,,Right Foot,,,,"[46.0, 65.0]",,Ground Pass,,21.470911,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Kick Off,Nélson Cabral Semedo,6374.0,Right Back,2,Barcelona,217,"['92f2a969-4d3e-466e-b14c-436ee337ad1b', 'dc906ba9-c3a8-4431-bcf8-9a8eb1bf995b']",33,,,,,,,,,,,,,,,,Barcelona,217,00:00:33.433,Pass,True,2017/2018
,,,,,,,,,,,,,,,,,2.101,,,,,,,,,,,,,fe43add0-784f-42ad-a9e4-84402498730e,35,,"[48.0, 52.0]",9592,0,,,,,-1.6124389,,Right Foot,,,,"[47.0, 28.0]",,Ground Pass,,24.020824,,,,Samuel Yves Umtiti,5492.0,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,['6b6734ea-20b1-4996-897a-6001e8ce9845'],36,,,,,,,,,,,,,,,,Barcelona,217,00:00:36.707,Pass,,2017/2018
,,,,,,,,,,,,,,,,,0.568,,,,,,,,,,,,,0a51bdda-f7fa-4d8b-931c-0ad1d5737155,39,,"[60.0, 16.0]",9592,0,,,,,1.7126933,,Left Foot,,,,"[59.0, 23.0]",,Ground Pass,,7.071068,,,,Andrés Iniesta Luján,5216.0,,,,,,1,From Kick Off,Samuel Yves Umtiti,5492.0,Left Center Back,2,Barcelona,217,"['771ce91b-6fb4-4659-a434-396697b7a94c', 'a0bd6d50-b3fb-4fc2-928d-9018627208ca']",41,,,,,,,,,,,,,,,,Barcelona,217,00:00:41.739,Pass,True,2017/2018
,,,,,,,,,,,,,,,,,1.394,,,,,,,,,,,,,5ebcd4c7-e809-43ea-b2b2-ffb548c9ad0a,42,,"[57.0, 27.0]",9592,0,,,,,1.8925469,,Right Foot,,,,"[50.0, 48.0]",,Ground Pass,,22.135944,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Kick Off,Andrés Iniesta Luján,5216.0,Left Midfield,2,Barcelona,217,['f46443b3-74d7-4279-96a3-67ff74ae7f2c'],43,,,,,,,,,,,,,,,,Barcelona,217,00:00:43.574,Pass,,2017/2018
,,,,,,,,,,,,,,,,,1.724,,,,,,,,,,,,,dee791d6-954d-4808-8cd7-27ba68e10f13,45,,"[50.0, 50.0]",9592,0,,,,,0.76579285,,Right Foot,,,,"[76.0, 75.0]",,Ground Pass,,36.069378,,,,Gerard Deulofeu Lázaro,3726.0,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,['765d6356-1c37-4ff5-aa28-27661001da76'],46,,,,,,,,,,,,,,,,Barcelona,217,00:00:46.647,Pass,,2017/2018
