bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,ddf1cc84-7318-4857-9197-1525a86e2430,1,,,303615,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6374, 'name': 'Nélson Cabral Semedo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 6826, 'name': 'Clément Lenglet'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 5487, 'name': 'Antoine Griezmann'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 17}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2019/2020
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,4c047c2b-f379-437b-aed5-fb29d684befe,2,,,303615,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 6768, 'name': 'Diego López Rodríguez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 11293, 'name': 'Fernando Calero Villa'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 24}, {'player': {'id': 6573, 'name': 'Bernardo José Espinosa Zúñiga'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 20}, {'player': {'id': 6635, 'name': 'Leandro Daniel Cabrera Sasía'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 18}, {'player': {'id': 32670, 'name': 'Víctor Gómez Perea'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 34}, {'player': {'id': 6886, 'name': 'Dídac Vilá Rosselló'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 17}, {'player': {'id': 6754, 'name': 'David López Silva'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 31885, 'name': 'Pol Lozano Vizuete'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 26}, {'player': {'id': 6866, 'name': 'Marc Roca Junqué'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 11539, 'name': 'Adrián Embarba Blázquez'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 23}, {'player': {'id': 16209, 'name': 'Raúl de Tomás Gómez'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 11}]}",Espanyol,214,00:00:00.000,Starting XI,,2019/2020
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,8d75be49-029f-4053-846a-c59c87a5f288,3,,,303615,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['4ea38b67-127d-4ef7-99cb-7edcfea4f209'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2019/2020
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,4ea38b67-127d-4ef7-99cb-7edcfea4f209,4,,,303615,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['8d75be49-029f-4053-846a-c59c87a5f288'],0,,,,,,,,,,,,,,,,,,Espanyol,214,00:00:00.000,Half Start,,2019/2020
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,7ec2172d-84d6-4ab9-8bbd-01d26a794882,2058,,,303615,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,75,Barcelona,217,['ef912ae4-163e-4985-9fde-d8d16765cf26'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2019/2020
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,ef912ae4-163e-4985-9fde-d8d16765cf26,2059,,,303615,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,75,Barcelona,217,['7ec2172d-84d6-4ab9-8bbd-01d26a794882'],0,,,,,,,,,,,,,,,,,,Espanyol,214,00:00:00.000,Half Start,,2019/2020
,,,,,,,,,,,,,,1.175786,,,,,,,,,,,,,,b8e3fd61-e4cf-4b49-b381-7880c8ce0692,5,,"[61.0, 40.1]",303615,0,,,,,3.0216887,,Right Foot,,,,"[44.4, 42.1]",Ground Pass,,16.720047,,,,David López Silva,6754.0,,,,,,Kick Off,1,From Kick Off,Raúl de Tomás Gómez,16209.0,Left Center Forward,2,Espanyol,214,['2f2489aa-f4fe-425f-b79f-87ea3e815007'],0,,,,,,,,,,,,,,,,,,Espanyol,214,00:00:00.238,Pass,,2019/2020
,,,,,,,,,,,,,,1.060183,,,,,,,,,,,,,,80b17ce0-b8f5-4ac2-855b-46e0a721d42d,8,,"[42.8, 46.0]",303615,0,,,,,1.0901532,,Right Foot,,,,"[50.1, 60.0]",Ground Pass,,15.78892,,,,Pol Lozano Vizuete,31885.0,,,,,,,1,From Kick Off,David López Silva,6754.0,Center Defensive Midfield,2,Espanyol,214,['fa0fce4d-fbe9-441e-98d4-42d661aa77dd'],2,,,,,,,,,,,,,,,,,,Espanyol,214,00:00:02.402,Pass,,2019/2020
,,,,,,,,,,,,,,1.213399,,,,,,,,,,,,,,81771c4a-94b5-4f5d-8a82-31a36d42f732,11,,"[50.1, 60.0]",303615,0,,,,,1.2144632,,Right Foot,,,,"[56.8, 78.0]",Ground Pass,,19.206509,,,,Víctor Gómez Perea,32670.0,,,,,,,1,From Kick Off,Pol Lozano Vizuete,31885.0,Right Center Midfield,2,Espanyol,214,['850ffedf-d66e-4d0d-98c2-d8f17016d25c'],4,,,,,,,,,,,,,,,,,,Espanyol,214,00:00:04.449,Pass,,2019/2020
,,,,,,,,,,,,,,0.317591,,,,,,,,,,,,,,fa728c30-9498-431e-a68c-c6bc03ac6a4d,14,,"[67.6, 79.0]",303615,0,,,,,-0.8320932,,Right Foot,,,,"[72.7, 73.4]",Ground Pass,,7.574299,,Incomplete,,Pol Lozano Vizuete,31885.0,,,,,,,1,From Kick Off,Víctor Gómez Perea,32670.0,Right Wing Back,2,Espanyol,214,"['68db2c10-47ef-4315-bce3-929ea8c972af', '8d387a77-c730-4ce5-91fa-9f830808ec55']",10,,,,,,,,,,,,,,,,,,Espanyol,214,00:00:10.377,Pass,,2019/2020
