ball_receipt_outcome,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,2.1263,,,,,,,,,,,,,9aa99e80-695c-4b13-80f4-9e6cd2dba8d8,15,,"[28.5, 24.0]",266310,0,,,,0.38998976,,Head,,,,"[44.8, 30.7]",,High Pass,,17.62328,,Incomplete,,,,,,,,Recovery,1,From Kick Off,Javier Alejandro Mascherano,5506.0,Left Center Back,2,RC Deportivo La Coruña,219,"['2bcabc57-aacf-435c-93bc-a05b37e4d13c', '7b32dc46-4221-448f-a09d-ffd9597d43a8']",11,,,,,,,,,,,,,,,,,Barcelona,217,00:00:11.248,Pass,,2015/2016
,,,,,,,,,,,,,,,,2.6172,,,,,,,,,,,,,2bcabc57-aacf-435c-93bc-a05b37e4d13c,16,,"[75.3, 49.4]",266310,0,,,,0.01041629,,Head,,,,"[94.5, 49.6]",,High Pass,,19.201042,,Incomplete,,Lucas Pérez Martínez,6732.0,,,,,Recovery,1,From Kick Off,Pedro Mosquera Parada,6733.0,Center Defensive Midfield,2,RC Deportivo La Coruña,219,"['0be461cb-b907-4aed-b788-37af86e747c1', '2fbfe725-1b03-4da8-8251-6d9e4ce4acf4', '9aa99e80-695c-4b13-80f4-9e6cd2dba8d8']",13,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:13.374,Pass,,2015/2016
,,,,,,,,,,,,,,,,1.6414,,,,,,,,,,,,,2fbfe725-1b03-4da8-8251-6d9e4ce4acf4,19,,"[25.6, 30.5]",266310,0,,,True,-0.8243395,,,,,,"[36.7, 18.5]",,High Pass,,16.34656,,Incomplete,,,,,,,,Recovery,1,From Kick Off,Marc Bartra Aregall,7068.0,Right Center Back,2,RC Deportivo La Coruña,219,"['04b25450-5824-4f8f-9362-0e4e13a11282', '2bcabc57-aacf-435c-93bc-a05b37e4d13c', '7e3633cd-58bd-488e-a02d-6bbd80ccf6b4']",15,,,,,,,,,,,,,,,,,Barcelona,217,00:00:15.991,Pass,True,2015/2016
,,,,,,,,,,,,,,,,1.0844,,,,,,,,,,,,,04b25450-5824-4f8f-9362-0e4e13a11282,20,,"[83.4, 61.6]",266310,0,,,,-0.1448125,,Head,,,,"[97.8, 59.5]",,Low Pass,,14.55232,,Incomplete,,Lucas Pérez Martínez,6732.0,,,,,Recovery,1,From Kick Off,Alejandro Bergantiños García,23806.0,Right Center Midfield,2,RC Deportivo La Coruña,219,"['2fbfe725-1b03-4da8-8251-6d9e4ce4acf4', 'd8591a26-6342-4f81-8e92-8c959d8a1c00', 'f00c7de4-66ff-480c-90d7-3a85d60816da']",17,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:17.633,Pass,,2015/2016
,,,,,,,,,,,,,,,,2.555332,,,,,,,,,,,,,34902670-63ae-498a-a6ec-23989a002070,23,,"[55.0, 77.8]",266310,0,,,,0.033320997,,Head,,,,"[79.0, 78.6]",,Low Pass,,24.01333,,,,Alejandro Bergantiños García,23806.0,,,,,Recovery,1,From Kick Off,Sidnei Rechel da Silva Júnior,6777.0,Right Center Back,2,RC Deportivo La Coruña,219,['d31e9a35-852f-4779-abb2-e7ca63ceb81e'],22,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:22.759,Pass,,2015/2016
,,,,,,,,,,,,,,,,0.502579,,,,,,,,,,,,,4b9decdc-4838-4d9d-b633-4972a7baa509,27,,"[79.9, 77.8]",266310,0,,,,-1.8266048,,Right Foot,,,,"[78.2, 71.3]",,Low Pass,,6.718631,,,,Lucas Pérez Martínez,6732.0,,,,,,1,From Kick Off,Alejandro Bergantiños García,23806.0,Right Center Midfield,2,RC Deportivo La Coruña,219,"['70c6e0a5-0049-4edb-a48c-2c44463ed26d', '9adebacb-5612-42ed-8eaa-1ae4d9961ec9']",25,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:25.557,Pass,True,2015/2016
,,,,,,,,,,,,,,,,0.441982,,,,,,,,,,,,,ad47b245-9891-414a-9c2f-64f840449ae3,31,,"[75.4, 77.4]",266310,0,,,,-0.7039461,,Right Foot,,,,"[80.7, 72.9]",,Ground Pass,,6.9526973,,Incomplete,,Alejandro Bergantiños García,23806.0,,,,,,1,From Kick Off,Lucas Pérez Martínez,6732.0,Left Center Forward,2,RC Deportivo La Coruña,219,"['378ac2f6-4c4c-4f37-8b1a-5784e3ebe758', 'bb81187a-1a53-4121-9bed-b3595786e2b0', 'ec345fe2-c6be-4332-a0dd-0dc438469653']",28,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:28.143,Pass,True,2015/2016
,,,,,,,,,,,,,,,,1.4173,,,,,,,,,,,,,d30588eb-6c8f-45d2-9361-70d2dec34cbc,37,,"[40.5, 8.5]",266310,0,,,,-1.2298174,,Right Foot,,,,"[42.7, 2.3]",,Ground Pass,,6.5787535,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,Regular Play,Andrés Iniesta Luján,5216.0,Left Center Midfield,3,Barcelona,217,"['4acadf50-92b5-41eb-82b0-c52a8787cf60', '8543fb18-ded7-4120-85dc-0f13c17ef691']",30,,,,,,,,,,,,,,,,,Barcelona,217,00:00:30.680,Pass,True,2015/2016
,,,,,,,,,,,,,,,,0.5865,,,,,,,,,,,,,0f5995c9-fa0a-4daa-915f-070b68ef31c2,41,,"[42.5, 3.7]",266310,0,,,,-0.31561565,,Right Foot,,,,"[47.4, 2.1]",,Ground Pass,,5.1546097,,,,Neymar da Silva Santos Junior,4320.0,,,,,,1,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,3,Barcelona,217,"['29e10466-eccd-4d1e-9841-a8d4e1be8852', '62018a6d-e1c0-46e7-95a5-5482604a444c']",32,,,,,,,,,,,,,,,,,Barcelona,217,00:00:32.104,Pass,True,2015/2016
,,,,,,,,,,,,,,,,2.367328,,,,,,,,,,,,,b78a8fb1-e254-49d2-9ab0-afc5971dc8d9,45,,"[68.2, 80.0]",266310,0,,,,-3.0118902,,,,,,"[45.2, 77.0]",,Low Pass,,23.194826,,,,Sidnei Rechel da Silva Júnior,6777.0,,,,,Throw-in,1,From Throw In,Laureano Sanabria Ruiz,23800.0,Right Back,4,RC Deportivo La Coruña,219,['0ed14c7a-f989-44ce-a62c-7aa076501714'],43,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:43.621,Pass,,2015/2016
