bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,cf41e3aa-0a13-444a-a266-ee3718c86cb1,1,,,266603,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Valladolid,901,,0,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 23843, 'name': 'Diego Mariño Villar'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 5588, 'name': 'Antonio Rukavina'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 27312, 'name': 'Jesús Rueda Ambrosio'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 10477, 'name': 'Stefan Mitrović'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 27313, 'name': 'Carlos González Peña'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 17}, {'player': {'id': 26695, 'name': 'Marc Valiente Hernández'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 26190, 'name': 'Álvaro Rubio Robles'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 27249, 'name': 'Fausto Rossi'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 5}, {'player': {'id': 7216, 'name': 'Zakarya Bergdich'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 21}, {'player': {'id': 26690, 'name': 'Alberto Mateus Contreiras Gonçalves'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 23}, {'player': {'id': 11542, 'name': 'Javier Guerra Rodríguez'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Real Valladolid,901,00:00:00.000,Starting XI,,2013/2014
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,39589383-2a89-43b6-be76-0c2d30f930ea,2,,,266603,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Valladolid,901,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 14}, {'player': {'id': 22102, 'name': 'Adriano Correia Claro'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 3478, 'name': 'Francesc Fàbregas i Soler'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 3958, 'name': 'Pedro Eliezer Rodríguez Ledesma'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 4320, 'name': 'Neymar da Silva Santos Junior'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Barcelona,217,00:00:00.000,Starting XI,,2013/2014
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b05b3335-76c1-4028-b1ac-e5c91191ac9a,3,,,266603,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Valladolid,901,['7289e935-9783-4d4d-b874-09fea7efbbcb'],0,,,,,,,,,,,,,,,,Real Valladolid,901,00:00:00.000,Half Start,,2013/2014
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,7289e935-9783-4d4d-b874-09fea7efbbcb,4,,,266603,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Valladolid,901,['b05b3335-76c1-4028-b1ac-e5c91191ac9a'],0,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2013/2014
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f3f2cd88-72a8-492e-88e5-93762c94144c,1921,,,266603,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,103,Real Valladolid,901,['9569bff9-d9b4-4098-9681-192f74a0adc9'],0,,,,,,,,,,,,,,,,Real Valladolid,901,00:00:00.000,Half Start,,2013/2014
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,9569bff9-d9b4-4098-9681-192f74a0adc9,1922,,,266603,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,103,Real Valladolid,901,['f3f2cd88-72a8-492e-88e5-93762c94144c'],0,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2013/2014
,,,,,,,,,,,,,,,,0.583034,,,,,,,,,,,,,ed4000af-d886-489b-a68b-90e54650c181,5,,"[60.0, 40.0]",266603,0,,,,,1.4994888,,Right Foot,,,"[60.2, 42.8]",Ground Pass,,2.8071337,,,,Javier Guerra Rodríguez,11542.0,,,,,,Kick Off,1,From Kick Off,Alberto Mateus Contreiras Gonçalves,26690.0,Right Center Forward,2,Real Valladolid,901,['465aa3fa-fd54-4753-85c5-590beff4d2d1'],0,,,,,,,,,,,,,,,,Real Valladolid,901,00:00:00.565,Pass,,2013/2014
,,,,,,,,,,,,,,,,1.5735,,,,,,,,,,,,,843dd728-16e2-449f-9991-c28654017a86,8,,"[60.0, 43.0]",266603,0,,,,,-2.9220488,,Right Foot,,,"[35.8, 37.6]",Ground Pass,,24.79516,,,,Fausto Rossi,27249.0,,,,,,,1,From Kick Off,Javier Guerra Rodríguez,11542.0,Left Center Forward,2,Real Valladolid,901,['e3123278-2bd8-44b1-8b6f-ceae9773c11a'],1,,,,,,,,,,,,,,,,Real Valladolid,901,00:00:01.228,Pass,,2013/2014
,,,,,,,,,,,,,,,,2.955,,,,,,,,,,,,,3074350f-5467-4dc6-8ac4-8225cd9aa554,12,,"[36.5, 40.3]",266603,0,,,,,0.4122047,,Right Foot,,,"[87.5, 62.6]",High Pass,,55.662285,,,,Alberto Mateus Contreiras Gonçalves,26690.0,,,,,,,1,From Kick Off,Fausto Rossi,27249.0,Right Midfield,2,Real Valladolid,901,['1165e15d-65c3-45dc-887d-f8e6823997f6'],4,,,,,,,,,,,,,,,,Real Valladolid,901,00:00:04.233,Pass,,2013/2014
,,,,,,,,,,,,,,,,1.2048,,,,,,,,,,,,,50a3aca9-01fe-4ab5-9868-b1f1d231124b,15,,"[88.4, 62.6]",266603,0,,,,True,-0.56286824,,,,,"[96.8, 57.3]",High Pass,,9.932271,,,,Javier Guerra Rodríguez,11542.0,,,,,,,1,From Kick Off,Alberto Mateus Contreiras Gonçalves,26690.0,Right Center Forward,2,Real Valladolid,901,"['12561fd8-6c60-4f3e-b0d9-e3a7a574e01d', 'da4d78ff-8965-48d5-8949-5c9565115cb7']",7,,,,,,,,,,,,,,,,Real Valladolid,901,00:00:07.228,Pass,True,2013/2014
,,,,,,,,,,,,,,,,3.706,,,,,,,,,,,,,70787b59-3a51-4eae-b7fe-659ca939488a,17,,"[96.8, 56.9]",266603,0,,,,,-1.2241492,,Head,,,"[105.0, 34.2]",High Pass,,24.135658,,Incomplete,,,,,,,,,,1,From Kick Off,Javier Guerra Rodríguez,11542.0,Left Center Forward,2,Real Valladolid,901,['253f0e1c-8aae-4238-a39b-9b8917a2663f'],8,,,,,,,,,,,,,,,,Real Valladolid,901,00:00:08.435,Pass,,2013/2014
