bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f16615a3-c65b-4761-b0cf-f51ce4ea6677,1,,,16190,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sevilla,213,,0,,,,,,,,,,,,,,,,"{'formation': 42211, 'lineup': [{'player': {'id': 11541, 'name': 'Tomáš Vaclík'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5742, 'name': 'Gabriel Iván Mercado'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 25}, {'player': {'id': 5534, 'name': 'Simon Thorup Kjær'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 6804, 'name': 'Sergi Gómez Solà'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 8068, 'name': 'Maximilian Wöber'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 14}, {'player': {'id': 5504, 'name': 'Éver Maximiliano David Banega'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 7040, 'name': 'Marko Rog'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 6821, 'name': 'Jesús Navas González'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 16}, {'player': {'id': 13360, 'name': 'Quincy Anton Promes'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 21}, {'player': {'id': 6720, 'name': 'Pablo Sarabia García'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 17}, {'player': {'id': 6723, 'name': 'Wissam Ben Yedder'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Sevilla,213,00:00:00.000,Starting XI,,2018/2019
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,8ee1ec19-067a-47cf-bb30-a83e2de1c5d5,2,,,16190,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sevilla,213,,0,,,,,,,,,,,,,,,,"{'formation': 41221, 'lineup': [{'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6374, 'name': 'Nélson Cabral Semedo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 5492, 'name': 'Samuel Yves Umtiti'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 8206, 'name': 'Arturo Erasmo Vidal Pardo'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 22}, {'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 3501, 'name': 'Philippe Coutinho Correia'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2018/2019
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,bade8914-3fec-41ae-8074-ffd96ddcd3c9,3,,,16190,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sevilla,213,['15b69ba2-7e43-4a78-a201-3a3597f8b715'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2018/2019
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,15b69ba2-7e43-4a78-a201-3a3597f8b715,4,,,16190,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sevilla,213,['bade8914-3fec-41ae-8074-ffd96ddcd3c9'],0,,,,,,,,,,,,,,,,,Sevilla,213,00:00:00.000,Half Start,,2018/2019
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,36545940-0600-4a88-9dd1-11e95dd0e1f9,1936,,,16190,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,90,Sevilla,213,['61e0a19f-63b3-4bc3-913e-32fd10747adf'],0,,,,,,,,,,,,,,,,,Sevilla,213,00:00:00.000,Half Start,,2018/2019
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,61e0a19f-63b3-4bc3-913e-32fd10747adf,1937,,,16190,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,90,Sevilla,213,['36545940-0600-4a88-9dd1-11e95dd0e1f9'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2018/2019
,,,,,,,,,,,,,,,,1.7548,,,,,,,,,,,,,c64df107-29ed-4f2c-91fb-9aa3794d3610,5,,"[60.0, 40.0]",16190,0,,,,-2.8501358,,Right Foot,,,,"[50.0, 37.0]",,Ground Pass,,10.440307,,,Sergio Busquets i Burgos,5203.0,,,,,Kick Off,1,From Kick Off,Luis Alberto Suárez Díaz,5246.0,Center Forward,2,Barcelona,217,['069a7aae-c943-4f9c-8a7e-31cb6d6d2ac2'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.629,Pass,,2018/2019
,,,,,,,,,,,,,,,,1.0831,,,,,,,,,,,,,a856090a-90d8-496d-8eab-3c0c63b860ac,8,,"[50.0, 36.0]",16190,0,,,,-1.8925469,,Right Foot,,,,"[47.0, 27.0]",,Ground Pass,,9.486833,,,Ivan Rakitić,5470.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['b4038f88-c6d2-4609-87c4-6324a24fc975'],3,,,,,,,,,,,,,,,,,Barcelona,217,00:00:03.159,Pass,,2018/2019
,,,,,,,,,,,,,,,,1.410367,,,,,,,,,,,,,63b10c9e-41d1-4bfa-8794-0a6063919ff6,11,,"[47.0, 27.0]",16190,0,,,,-1.8568478,,Right Foot,,,,"[42.0, 10.0]",,Ground Pass,,17.720045,,,Jordi Alba Ramos,5211.0,,,,,,1,From Kick Off,Ivan Rakitić,5470.0,Left Center Midfield,2,Barcelona,217,['52dfad5f-3724-4f56-a12f-e5f92ae0823e'],5,,,,,,,,,,,,,,,,,Barcelona,217,00:00:05.253,Pass,,2018/2019
,,,,,,,,,,,,,,,,1.22988,,,,,,,,,,,,,1635f677-78b1-4876-835e-2749ac1741dc,14,,"[42.0, 10.0]",16190,0,,,,2.3932147,,Left Foot,,,,"[28.0, 23.0]",,Ground Pass,,19.104973,,,Samuel Yves Umtiti,5492.0,,,,,,1,From Kick Off,Jordi Alba Ramos,5211.0,Left Back,2,Barcelona,217,['99b9847a-c68e-453c-8e53-6912782d1337'],7,,,,,,,,,,,,,,,,,Barcelona,217,00:00:07.393,Pass,,2018/2019
