bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,1.074202,,,,,,,,,,,,,6546322b-9917-494e-8ed8-b560fc20264a,2132,,"[8.7, 51.5]",3773387,50,,,,-2.2169151,,Left Foot,,,,"[4.1, 45.4]",,Ground Pass,,7.640026,,,,Marc-André ter Stegen,20055.0,,,,,Recovery,2,From Throw In,Sergi Roberto Carnicer,6379.0,Right Center Back,82,Barcelona,217,"['1309ada8-7323-43e3-802d-ee1c0f315f69', '65f94363-879f-4c08-8527-8a3057c676ee', '8c00fe5a-b1c7-4538-91a5-52f4b0c51267']",7,,,,,,,,,,,,,,,,,,Barcelona,217,00:05:07.306,Pass,True,2020/2021
,,,,,,,,,,,,,,,,,5.904579,,,,,,,,,,,,,42c923f1-1803-4638-97e5-6c57790b5df0,2134,,"[4.1, 45.4]",3773387,50,,,,0.5874632,,Right Foot,,,,"[46.9, 73.9]",,High Pass,,51.420715,,Incomplete,,Ousmane Dembélé,5477.0,,,,,,2,From Throw In,Marc-André ter Stegen,20055.0,Goalkeeper,82,Barcelona,217,"['e2746d53-e289-4290-bcd6-0895ac087fba', 'fd892944-8b3a-4d30-a6d5-43aed6b5208e']",8,,,,,,,,,,,,,,,,,,Barcelona,217,00:05:08.380,Pass,,2020/2021
,,,,,,,,,,,,,,,,,1.047645,,,,,,,,,,,,,c8515b84-8220-46cd-b05a-b20d6923b787,2138,,"[68.8, 5.0]",3773387,50,,,,0.0,,Left Foot,,,,"[85.7, 5.0]",,Ground Pass,,16.9,,,,Enis Bardhi,6782.0,,,,,,2,Regular Play,Antonio García Aranda,6784.0,Left Back,83,Levante UD,221,['e1fb44c0-09d2-4640-a609-3446454c6f0a'],18,,,,,,,,,,,,,,,,,,Levante UD,221,00:05:18.877,Pass,,2020/2021
,,,,,,,,,,,,,,,,,1.433205,,,,,,,,,,,,,cdc10727-09b6-46a1-b7f2-4979d156d32b,2141,,"[91.8, 13.2]",3773387,50,,,,1.1156955,d13ff178-a298-44aa-8548-da7013e6259b,Right Foot,True,,,"[107.9, 46.1]",,High Pass,,36.62813,,,,Roger Martí Salvador,6684.0,True,,,,,2,Regular Play,Enis Bardhi,6782.0,Left Midfield,83,Levante UD,221,['b275ecc5-33ba-40d3-a7af-56239e67cbf9'],23,,,,,,,,,,,,,,,,,,Levante UD,221,00:05:23.497,Pass,,2020/2021
,,,,,,,,,,,,,,,,,2.428527,,,,,,,,,,,,,8e5436c7-788b-414e-95d9-d8c0e42a1059,2146,,"[9.9, 44.5]",3773387,50,,,,-0.61623514,,Right Foot,,,,"[54.8, 12.7]",,High Pass,,55.02045,,Incomplete,,Antoine Griezmann,5487.0,,,,,,2,From Keeper,Marc-André ter Stegen,20055.0,Goalkeeper,85,Barcelona,217,"['0be89211-5280-4350-b2e2-fa6d2875d8c1', '99fd1b9e-5377-4b81-979a-95fd4b2fd91a']",42,,,,,,,,,,,,,,,,,,Barcelona,217,00:05:42.402,Pass,,2020/2021
,,,,,,,,,,,,,,,,,0.839314,,,,,,,,,,,,,789edace-4a8f-4bbc-962c-5e06208febce,2149,,"[42.3, 14.7]",3773387,50,,,,0.4524749,,Right Foot,,,,"[49.5, 18.2]",,Ground Pass,,8.005623,,,,Pedro González López,30486.0,,,,,Recovery,2,From Keeper,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,86,Barcelona,217,['2a770fc7-2d4b-4d80-955d-ea41e67641b9'],46,,,,,,,,,,,,,,,,,,Barcelona,217,00:05:46.281,Pass,,2020/2021
,,,,,,,,,,,,,,,,,0.317403,,,,,,,,,,,,,8e8ef3e3-3f3c-4e0b-8128-055ec3149ce4,2152,,"[49.5, 18.2]",3773387,50,,,,0.11272761,,Left Foot,,,,"[54.8, 18.8]",,Ground Pass,,5.333854,,Incomplete,,Antoine Griezmann,5487.0,,,,,,2,From Keeper,Pedro González López,30486.0,Left Center Midfield,86,Barcelona,217,"['2d1138d6-ad28-441f-b7ac-2a2708e11711', '3090614c-4168-4bb1-8fcf-9ebc0ceae4eb']",47,,,,,,,,,,,,,,,,,,Barcelona,217,00:05:47.476,Pass,,2020/2021
,,,,,,,,,,,,,,,,,0.867199,,,,,,,,,,,,,dd005b68-3758-464d-aee3-a203972ac8ef,2155,,"[61.5, 59.5]",3773387,50,,,,2.7311268,,Right Foot,,,,"[50.7, 64.2]",,Ground Pass,,11.77837,,,,Rúben Miguel Nunes Vezo,6592.0,,,,,Recovery,2,Regular Play,Jorge Miramón Santagertrudis,11676.0,Right Back,87,Levante UD,221,['aac03185-5b1f-4374-95c3-8e933eae3e5d'],49,,,,,,,,,,,,,,,,,,Levante UD,221,00:05:49.443,Pass,,2020/2021
,,,,,,,,,,,,,,,,,1.078425,,,,,,,,,,,,,a9aeb852-38f0-4604-ae3c-edc3ac7af0cf,2157,,"[50.7, 64.2]",3773387,50,,,,0.82537687,,Right Foot,,,,"[61.5, 75.9]",,Ground Pass,,15.922626,,,,Jorge De Frutos Sebastián,32673.0,,,,,,2,Regular Play,Rúben Miguel Nunes Vezo,6592.0,Right Center Back,87,Levante UD,221,['c4ba8cad-0efb-4216-9cdf-36740745ae28'],50,,,,,,,,,,,,,,,,,,Levante UD,221,00:05:50.310,Pass,,2020/2021
,,,,,,,,,,,,,,,,,1.625867,,,,,,,,,,,,,dabc5055-7a76-4e18-bcf5-574646eb45ed,2161,,"[63.6, 76.1]",3773387,50,,,,-0.5748083,,Right Foot,,,,"[88.3, 60.1]",,High Pass,,29.429407,,Incomplete,,José Luis Morales Nogales,6668.0,,,,,,2,Regular Play,Jorge De Frutos Sebastián,32673.0,Right Midfield,87,Levante UD,221,"['33a29959-47ab-4bdf-8203-14a7aa1f7e88', '44bad4fb-5f6b-45e5-9c0c-1104757fa44a', '58d7c2a7-a0aa-4d22-bfb6-c522389b97d4']",53,,,,,,,,,,,,,,,,,,Levante UD,221,00:05:53.996,Pass,True,2020/2021
