50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,c22f200f-4cdb-41fb-b21e-7b887a6801d2,1,,,68342,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 25873, 'name': 'Oleguer Presas Renom'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 5558, 'name': 'Rafael Márquez Álvarez'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 20125, 'name': 'Carles Puyol i Saforcada'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 17797, 'name': 'Giovanni van Bronckhorst'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 25910, 'name': 'José Edmílson Gomes de Moraes'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 19296, 'name': 'Mark van Bommel'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 17}, {'player': {'id': 19757, 'name': 'Anderson Luís de Souza'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 25879, 'name': 'Ronaldo de Assis Moreira'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 19298, 'name': ""Samuel Eto''o Fils""}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2005/2006
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,a0c64141-1f28-4baf-8f55-1fde560b5044,2,,,68342,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,"{'formation': 3421, 'lineup': [{'player': {'id': 26084, 'name': 'Iñaki Lafuente Sancha'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 26088, 'name': 'Jesús María Lacruz Gómez'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 12}, {'player': {'id': 26028, 'name': 'Fernando Amorebieta Mardaras'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 30}, {'player': {'id': 26085, 'name': 'Luis Prieto Zalbidegoitia'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 14}, {'player': {'id': 26030, 'name': 'Ander Murillo García'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 19}, {'player': {'id': 26032, 'name': 'Unai Expósito Medina'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 2}, {'player': {'id': 26087, 'name': 'Carlos Gurpegi Nausia'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 18}, {'player': {'id': 26086, 'name': 'Pablo Orbaiz Lesaka'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 15606, 'name': 'Joseba Andoni Etxeberria Lizardi'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 17}, {'player': {'id': 26035, 'name': 'Francisco Javier Yeste Navarro'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 3486, 'name': 'Fernando Llorente Torres'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Athletic Club,215,00:00:00.000,Starting XI,,2005/2006
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,2e43ed3b-1a50-4361-a85e-76d6b12f1581,3,,,68342,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['c73da51a-05ae-4361-bef0-bca1ddda5f0c'],0,,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:00.000,Half Start,,2005/2006
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,c73da51a-05ae-4361-bef0-bca1ddda5f0c,4,,,68342,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['2e43ed3b-1a50-4361-a85e-76d6b12f1581'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2005/2006
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,a4952a12-7383-4b5e-87dd-4f4bcea6c1c5,1492,,,68342,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,97,Athletic Club,215,['9daf4851-ec41-4a05-920c-667f4832187a'],0,,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:00.000,Half Start,,2005/2006
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,9daf4851-ec41-4a05-920c-667f4832187a,1493,,,68342,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,97,Athletic Club,215,['a4952a12-7383-4b5e-87dd-4f4bcea6c1c5'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2005/2006
,,,,,,,,,,,,,,,,,,2.390407,,,,,,,,,,,,,,0d801a8d-76be-4134-9cd4-4478603f3880,5,,"[61.0, 40.1]",68342,0,,,,,2.8408008,,Right Foot,,,,"[36.5, 47.7]",,Ground Pass,,25.651705,,,,Jesús María Lacruz Gómez,26088.0,,,,Kick Off,1,From Kick Off,Fernando Llorente Torres,3486.0,Center Forward,2,Athletic Club,215,['8937a740-4143-4ec8-a60b-e065588784b9'],0,,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:00.985,Pass,,2005/2006
,,,,,,,,,,,,,,,,,,2.4592,,,,,,,,,,,,,,dac91965-d7bb-4dc7-a552-1b7d83a22c19,8,,"[33.5, 50.9]",68342,0,,,,,-0.44803822,,Right Foot,,,,"[77.4, 29.8]",,High Pass,,48.707493,,,,Fernando Llorente Torres,3486.0,,,,,1,From Kick Off,Jesús María Lacruz Gómez,26088.0,Right Center Back,2,Athletic Club,215,['1ce52342-6fed-42e9-8296-b4600d8bc528'],5,,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:05.376,Pass,,2005/2006
,,,,,,,,,,,,,,,,,,1.118953,,,,,,,,,,,,,,a17088c3-857a-4a6d-9233-c8d2738c48a1,10,,"[77.4, 29.8]",68342,0,,,,,1.6350353,,Head,,,,"[76.3, 46.9]",,High Pass,,17.135344,,,,Carlos Gurpegi Nausia,26087.0,,,,,1,From Kick Off,Fernando Llorente Torres,3486.0,Center Forward,2,Athletic Club,215,['b721fc16-bba7-4122-a48d-249f5a512ab3'],7,,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:07.875,Pass,,2005/2006
,,,,,,,,,,,,,,,,,,0.725313,,,,,,,,,,,,,,b22b655d-42ce-4449-9438-1a291a1b98b1,18,,"[77.2, 40.3]",68342,0,,,,,-0.79074574,,Right Foot,,,,"[86.5, 30.9]",,Ground Pass,,13.223085,,Unknown,,,,,,,,1,From Kick Off,Carlos Gurpegi Nausia,26087.0,Right Center Midfield,2,Athletic Club,215,,10,,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:10.486,Pass,,2005/2006
