50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,877315d0-c923-4962-bdbf-0f69187816e4,1,,,69240,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 26613, 'name': 'Maxwell Scherrer Cabelino Andrade'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 19}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 25919, 'name': 'Gabriel Alejandro Milito'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 18}, {'player': {'id': 20177, 'name': 'Eric-Sylvain Bilal Abidal'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 22}, {'player': {'id': 3087, 'name': 'Gnégnéri Yaya Touré'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 20169, 'name': 'Seydou Kéita'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 8}, {'player': {'id': 3672, 'name': 'Zlatan Ibrahimović'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2009/2010
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,bcfa005d-1a18-413e-b20e-1053ca13ea86,2,,,69240,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 26686, 'name': 'Jordi Codina Rodríguez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6878, 'name': 'Miguel Torres Gómez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 24}, {'player': {'id': 24614, 'name': 'Rafael López Gómez'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 26496, 'name': 'Daniel Alberto Díaz'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 26436, 'name': 'José Manuel Jiménez Ortiz'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 6595, 'name': 'Daniel Parejo Muñoz'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 17}, {'player': {'id': 26684, 'name': 'Derek Owusu Boateng'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 18}, {'player': {'id': 26657, 'name': 'Pedro Ríos Maestre'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 16}, {'player': {'id': 26425, 'name': 'Juan Ángel Albín Leites'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 26685, 'name': 'Nicolás Ladislao Fedor Flores'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 19}, {'player': {'id': 26009, 'name': 'Roberto Soldado Rillo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Getafe,216,00:00:00.000,Starting XI,,2009/2010
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,f528b988-48d7-4234-9deb-80e7e2287a1b,3,,,69240,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['00447a45-72bd-47a3-b0c9-7847b5a8897b'],0,,,,,,,,,,,,,,,,,Getafe,216,00:00:00.000,Half Start,,2009/2010
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,00447a45-72bd-47a3-b0c9-7847b5a8897b,4,,,69240,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['f528b988-48d7-4234-9deb-80e7e2287a1b'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2009/2010
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0061ee0d-03b2-46b8-8d2c-aa5faf6c9db8,1905,,,69240,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,107,Getafe,216,['137c561a-6ff7-4765-899c-022c609a2b73'],0,,,,,,,,,,,,,,,,,Getafe,216,00:00:00.000,Half Start,,2009/2010
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,137c561a-6ff7-4765-899c-022c609a2b73,1906,,,69240,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,107,Getafe,216,['0061ee0d-03b2-46b8-8d2c-aa5faf6c9db8'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2009/2010
,,,,,,,,,,,,,,,,,,0.0552,,,,,,,,,,,,,,,3d4193be-ca95-40da-964e-776795684bb4,5,,"[61.0, 41.0]",69240,0,,True,,,-1.5707964,,Right Foot,,,"[61.0, 39.0]",,Ground Pass,,2.0,,,,,Nicolás Ladislao Fedor Flores,26685.0,,,,,Kick Off,1,From Kick Off,Roberto Soldado Rillo,26009.0,Center Forward,2,Getafe,216,['d6cca3b8-2e68-475c-91df-d867d72ee1cc'],0,,,,,,,,,,,,,,,,,Getafe,216,00:00:00.360,Pass,,2009/2010
,,,,,,,,,,,,,,,,,,1.310313,,,,,,,,,,,,,,,57ef5cfe-97ea-4926-8b5a-3665bdc77b98,7,,"[60.2, 39.4]",69240,0,,,,,-2.8921795,,Right Foot,,,"[49.6, 36.7]",,Ground Pass,,10.938464,,,,,Juan Ángel Albín Leites,26425.0,,,,,,1,From Kick Off,Nicolás Ladislao Fedor Flores,26685.0,Left Wing,2,Getafe,216,['d0f1862e-09ad-4805-9536-2df3676dd372'],0,,,,,,,,,,,,,,,,,Getafe,216,00:00:00.455,Pass,,2009/2010
,,,,,,,,,,,,,,,,,,1.186913,,,,,,,,,,,,,,,fcf872ee-3fb1-4e34-9924-0361cb1525cd,10,,"[49.6, 36.7]",69240,0,,,,,-1.7816086,,Right Foot,,,"[44.4, 12.4]",,Ground Pass,,24.850151,,,,,José Manuel Jiménez Ortiz,26436.0,,,,,,1,From Kick Off,Juan Ángel Albín Leites,26425.0,Center Attacking Midfield,2,Getafe,216,['1f510b51-5e41-409e-80b8-36a59c233da7'],2,,,,,,,,,,,,,,,,,Getafe,216,00:00:02.490,Pass,,2009/2010
,,,,,,,,,,,,,,,,,,1.656715,,,,,,,,,,,,,,,84f69cac-46bd-4f12-b092-7492bb01d819,13,,"[44.4, 12.4]",69240,0,,,,,2.586458,,Left Foot,,,"[23.6, 25.3]",,Ground Pass,,24.475498,,,,,Daniel Alberto Díaz,26496.0,,,,,,1,From Kick Off,José Manuel Jiménez Ortiz,26436.0,Left Back,2,Getafe,216,['e194eb3d-cc24-4e5a-875c-16bef4dee142'],3,,,,,,,,,,,,,,,,,Getafe,216,00:00:03.757,Pass,,2009/2010
,,,,,,,,,,,,,,,,,,1.435755,,,,,,,,,,,,,,,e30ef18a-5528-4ef5-9c44-8e4b88317c41,17,,"[22.6, 26.6]",69240,0,,,,,2.5114565,,Right Foot,,,"[9.3, 36.3]",,Ground Pass,,16.46147,,,,,Jordi Codina Rodríguez,26686.0,,,,,,1,From Kick Off,Daniel Alberto Díaz,26496.0,Left Center Back,2,Getafe,216,"['e17fdc90-9078-4ac3-9385-645f7d5e1a5d', 'f6480437-8e93-4f03-ae08-9bb34ef80bf1']",6,,,,,,,,,,,,,,,,,Getafe,216,00:00:06.552,Pass,True,2009/2010
,,,,,,,,,,,,,,,,,,1.930399,,,,,,,,,,,,,,,a25dade1-c375-4b60-85c1-51f55baee1e2,21,,"[9.1, 34.7]",69240,0,,,,,-0.85039526,,Right Foot,,,"[17.0, 25.7]",,Ground Pass,,11.975391,,,,,Daniel Alberto Díaz,26496.0,,,,,,1,From Kick Off,Jordi Codina Rodríguez,26686.0,Goalkeeper,2,Getafe,216,"['625e02bd-5355-4fd3-935e-bb1a9ee7eeee', '6960588b-f4d1-4cbc-964d-3daa981ff4e2']",8,,,,,,,,,,,,,,,,,Getafe,216,00:00:08.327,Pass,True,2009/2010
,,,,,,,,,,,,,,,,,,3.375634,,,,,,,,,,,,,,,cadb2660-c3f4-4355-b873-f4eb31b0f6eb,24,,"[17.0, 25.7]",69240,0,,,,,0.6851437,,Right Foot,,,"[63.5, 63.7]",,High Pass,,60.05206,,,Incomplete,,Pedro Ríos Maestre,26657.0,,,,,,1,From Kick Off,Daniel Alberto Díaz,26496.0,Left Center Back,2,Getafe,216,"['6eb9bdb4-30ff-4d18-86ed-7cc93b064a5d', 'be0c86a6-e4a4-4641-a750-52d0dc7535d5']",10,,,,,,,,,,,,,,,,,Getafe,216,00:00:10.275,Pass,,2009/2010
,,,,,,,,,,,,,,,,,,1.750863,,,,,,,,,,,,,,,be0c86a6-e4a4-4641-a750-52d0dc7535d5,26,,"[57.5, 17.3]",69240,0,,,,,1.3790632,,Head,,,"[60.8, 34.3]",,High Pass,,17.317333,,,,,Gnégnéri Yaya Touré,3087.0,,,,,Recovery,1,From Kick Off,Eric-Sylvain Bilal Abidal,20177.0,Left Back,2,Getafe,216,"['0167eb83-f995-4986-bb04-1768156c7123', 'cadb2660-c3f4-4355-b873-f4eb31b0f6eb']",13,,,,,,,,,,,,,,,,,Barcelona,217,00:00:13.650,Pass,,2009/2010
,,,,,,,,,,,,,,,,,,1.7347,,,,,,,,,,,,,,,d85a8fb5-dfd5-4d60-99f3-fa6eb6378870,28,,"[60.6, 34.1]",69240,0,,,,,-0.7272627,,Head,,,"[70.6, 25.2]",,High Pass,,13.386934,,,Incomplete,,Andrés Iniesta Luján,5216.0,,,,,,1,From Kick Off,Gnégnéri Yaya Touré,3087.0,Center Defensive Midfield,2,Getafe,216,"['121d0a9b-4ef3-4596-91fa-967699543bae', '5d732c31-dae3-446c-879e-de51b3c41605']",15,,,,,,,,,,,,,,,,,Barcelona,217,00:00:15.401,Pass,,2009/2010
,,,,,,,,,,,,,,,,,,1.9464,,,,,,,,,,,,,,,121d0a9b-4ef3-4596-91fa-967699543bae,30,,"[50.4, 55.8]",69240,0,,,,,-1.1842399,,Head,,,"[58.5, 35.9]",,High Pass,,21.485344,,,,,Derek Owusu Boateng,26684.0,,,,,Recovery,1,From Kick Off,Miguel Torres Gómez,6878.0,Right Back,2,Getafe,216,"['027cead1-19a4-48e6-b5db-47b6f391b275', 'd85a8fb5-dfd5-4d60-99f3-fa6eb6378870']",17,,,,,,,,,,,,,,,,,Getafe,216,00:00:17.136,Pass,,2009/2010
