ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,"[72.4, 63.7]",,,,,,,,,,,1.1702,,,,,,,,,,,,,89a30ec3-8afa-4dc4-aea5-b60b806e5c21,3279,,"[72.4, 63.7]",266160,86,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Sergi Roberto Carnicer,6379.0,Center Defensive Midfield,170,Barcelona,217,"['acf1a227-23c8-4173-8d1d-3315f09f706b', 'e21c8a75-a565-453e-baa4-9de3af6b3b09']",26,,,,,,,,,,,,,,,,,,Barcelona,217,00:41:26.737,Carry,,2015/2016
,,,"[70.3, 66.3]",,,,,,,,,,,0.8767,,,,,,,,,,,,,e4cb4a3b-f05c-4318-91e1-7080d3ecb332,3284,,"[70.3, 66.3]",266160,86,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Sergi Roberto Carnicer,6379.0,Center Defensive Midfield,170,Barcelona,217,"['364e5ecf-16c6-4cb7-b6ba-6813057039d2', 'b831b311-9d56-41ac-a540-3658980858f5']",30,,,,,,,,,,,,,,,,,,Barcelona,217,00:41:30.112,Carry,,2015/2016
,,,"[81.2, 72.2]",,,,,,,,,,,0.5413,,,,,,,,,,,,,1ce1aef1-be1a-44ba-92a0-9aad690e2647,3287,,"[81.2, 72.2]",266160,86,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,170,Barcelona,217,"['24c2c564-2c06-4c86-ab9c-52c1dee5497f', '6e847b7b-6ae3-4289-8372-2381c9486160']",32,,,,,,,,,,,,,,,,,,Barcelona,217,00:41:32.517,Carry,,2015/2016
,,,"[79.6, 63.1]",,,,,,,,,,,3.68608,,,,,,,,,,,,,df0cc709-1ad1-4c81-a987-04e052d94c87,3290,,"[74.1, 65.8]",266160,86,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Sergi Roberto Carnicer,6379.0,Center Defensive Midfield,170,Barcelona,217,"['0e3e71ad-9360-42dd-a07b-2e06b7de48c6', '7cf40869-ec7e-4a77-8a19-16aaeeea2d66']",34,,,,,,,,,,,,,,,,,,Barcelona,217,00:41:34.526,Carry,,2015/2016
,,,"[83.7, 72.3]",,,,,,,,,,,2.2383,,,,,,,,,,,,,9021ddaa-3294-4ba0-b33a-6aec89b8c409,3293,,"[83.7, 72.3]",266160,86,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,170,Barcelona,217,"['76d64126-c8b6-45c7-82e8-7597d6093248', 'b05d0e38-1dfc-4237-8569-6b1d7ba912da']",39,,,,,,,,,,,,,,,,,,Barcelona,217,00:41:39.780,Carry,,2015/2016
,,,"[75.4, 68.6]",,,,,,,,,,,3.476813,,,,,,,,,,,,,db2e5626-6e3d-49fa-a449-6338e00ac1a8,3296,,"[75.4, 68.6]",266160,86,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Sergi Roberto Carnicer,6379.0,Center Defensive Midfield,170,Barcelona,217,"['20091c64-bde5-4779-a8ab-3dc354d6764b', 'b6eef902-e7df-43cc-986b-b2789fda876d']",43,,,,,,,,,,,,,,,,,,Barcelona,217,00:41:43.353,Carry,,2015/2016
,,,"[46.2, 69.7]",,,,,,,,,,,0.6276,,,,,,,,,,,,,f8ec90e5-890f-4584-a06b-9026edde628a,3299,,"[46.2, 69.7]",266160,86,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Gerard Piqué Bernabéu,5213.0,Right Center Back,170,Barcelona,217,"['24ec9ee2-9d28-4683-bb49-a500b6022833', '9dd99a0c-c44c-45df-b0a8-23b75f7300f7']",48,,,,,,,,,,,,,,,,,,Barcelona,217,00:41:48.528,Carry,,2015/2016
,,,"[31.9, 53.6]",,,,,,,,,,,0.040000003,,,,,,,,,,,,,243b402d-b122-43c0-8f46-5c555a38d4af,3302,,"[31.9, 53.6]",266160,86,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Claudio Andrés Bravo Muñoz,4691.0,Goalkeeper,170,Barcelona,217,"['05024214-53b2-4e15-b193-a954ed0f842c', '74bc5fb9-81c6-4621-8f6d-be2199d5d04f']",50,,,,,,,,,,,,,,,,,,Barcelona,217,00:41:50.911,Carry,,2015/2016
,,,"[38.8, 21.2]",,,,,,,,,,,2.408956,,,,,,,,,,,,,2bcaef4e-e05c-4b01-bf13-8b649c5c1394,3305,,"[38.8, 21.2]",266160,86,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Javier Alejandro Mascherano,5506.0,Left Center Back,170,Barcelona,217,"['3899b403-aa5e-48c2-81cd-fcc135221fb7', 'a6a8f5b5-a4f3-4b9d-a506-846701ebf156']",53,,,,,,,,,,,,,,,,,,Barcelona,217,00:41:53.030,Carry,,2015/2016
,,,"[56.5, 36.1]",,,,,,,,,,,1.172323,,,,,,,,,,,,,4bda57e6-894f-450e-be2c-388b33c19146,3308,,"[54.3, 34.7]",266160,86,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Sergio Busquets i Burgos,5203.0,Right Center Midfield,170,Barcelona,217,"['0a1963a8-cdfe-40e5-adbb-e370037c3144', '82de3a2b-641b-42bb-9a87-3ab1855d7e2b']",57,,,,,,,,,,,,,,,,,,Barcelona,217,00:41:57.065,Carry,,2015/2016
