50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,3fddf19a-7d96-457f-ba74-11c446731b33,1,,,303664,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Sociedad,210,,0,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 32185, 'name': 'Alejandro Remiro Gargallo'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6605, 'name': 'Joseba Zaldúa Bengoetxea'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 6676, 'name': 'Igor Zubeldia Elorza'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 6713, 'name': 'Diego Javier Llorente Ríos'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 3498, 'name': 'Ignacio Monreal Eraso'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 20}, {'player': {'id': 24236, 'name': 'Ander Guevara Lajo'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 6582, 'name': 'Cristian Portugués Manzanera'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 7}, {'player': {'id': 8252, 'name': 'Martin Ødegaard'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 3042, 'name': 'Mikel Merino Zazón'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 6685, 'name': 'Mikel Oyarzabal Ugarte'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 10}, {'player': {'id': 8819, 'name': 'Alexander Isak'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",Real Sociedad,210,00:00:00.000,Starting XI,,2019/2020
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,3e53ec64-d741-4ca5-9059-85ce797b057d,2,,,303664,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Sociedad,210,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 6826, 'name': 'Clément Lenglet'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 8118, 'name': 'Frenkie de Jong'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 5487, 'name': 'Antoine Griezmann'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2019/2020
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ba80e845-661b-4ab6-a999-a94958cc59a2,3,,,303664,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Sociedad,210,['899f2de5-7afa-4659-80e5-b131ca4d15de'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2019/2020
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,899f2de5-7afa-4659-80e5-b131ca4d15de,4,,,303664,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Sociedad,210,['ba80e845-661b-4ab6-a999-a94958cc59a2'],0,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:00.000,Half Start,,2019/2020
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,02677782-af8d-48d3-97f4-0d2ab7c3d993,1986,,,303664,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,80,Real Sociedad,210,['76d6ab91-2031-4327-a04c-de029ef1fcb0'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2019/2020
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,76d6ab91-2031-4327-a04c-de029ef1fcb0,1987,,,303664,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,80,Real Sociedad,210,['02677782-af8d-48d3-97f4-0d2ab7c3d993'],0,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:00.000,Half Start,,2019/2020
,,,,,,,,,,,,,,,,,1.034065,,,,,,,,,,,,,cf127b82-ea9b-4500-a5a3-96ad25a0907d,5,,"[60.0, 40.0]",303664,0,,,,,-2.9889433,,Left Foot,,,,"[48.3, 38.2]",,Ground Pass,,11.837652,,,,,Sergio Busquets i Burgos,5203.0,,,,,,Kick Off,1,From Kick Off,Luis Alberto Suárez Díaz,5246.0,Center Forward,2,Barcelona,217,['f4e8bf92-d6e4-4d08-a767-6fd6ef6666ab'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.722,Pass,,2019/2020
,,,,,,,,,,,,,,,,,0.567994,,,,,,,,,,,,,bedfc130-48ec-4a76-9fdb-d2cf2c2d7039,9,,"[55.0, 45.1]",303664,0,,,,,1.4651307,,Left Foot,,,,"[55.7, 51.7]",,Ground Pass,,6.6370173,,,,,Ivan Rakitić,5470.0,,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['06da5970-77c7-42ac-bef0-554777b2982d'],4,,,,,,,,,,,,,,,,,Barcelona,217,00:00:04.977,Pass,,2019/2020
,,,,,,,,,,,,,,,,,1.427656,,,,,,,,,,,,,f90e6d0a-050e-4984-80fd-5eeccafbea76,11,,"[55.7, 51.7]",303664,0,,,,,-3.0877526,,Right Foot,,,,"[39.0, 50.8]",,Ground Pass,,16.724234,,,,,Gerard Piqué Bernabéu,5213.0,,,,,,,1,From Kick Off,Ivan Rakitić,5470.0,Right Center Midfield,2,Barcelona,217,['1654d96b-3e65-4ddd-a15c-7834e23b3618'],5,,,,,,,,,,,,,,,,,Barcelona,217,00:00:05.545,Pass,,2019/2020
,,,,,,,,,,,,,,,,,1.221961,,,,,,,,,,,,,2db9142f-7709-4e85-a8eb-53465904fa5a,13,,"[39.0, 50.8]",303664,0,,,,,-1.5806482,,Right Foot,,,,"[38.8, 30.5]",,Ground Pass,,20.300985,,,,,Clément Lenglet,6826.0,,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,['f6c3c082-1c88-4fc4-b75a-d126ac5dc894'],6,,,,,,,,,,,,,,,,,Barcelona,217,00:00:06.973,Pass,,2019/2020
