bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,0.123348,,,,,,,,,,,,,,4b55d3ef-ee87-4b4a-aa29-2e36b7ae06d0,3880,,,"[34.7, 7.9]",3773585,87,,,,-0.124354996,,Left Foot,,,,"[37.9, 7.5]",,Ground Pass,,3.224903,,Incomplete,,,,,,,,,2,From Keeper,Clément Lenglet,6826.0,Left Center Back,161,Barcelona,217,['d326eabe-45f2-4b5f-823c-023cb842088d'],3,,,,,,,,,,,,,,,,,Barcelona,217,00:42:03.981,Pass,,2020/2021
,,,,,,,,,,,,,,,,,1.7862,,,,,,,,,,,,,,ba497ade-9b2d-440f-ac80-c7a58ce0817f,3882,,,"[54.8, 0.1]",3773585,87,,,,2.4884648,,,,,,"[41.6, 10.2]",,Low Pass,,16.62077,,,,Clément Lenglet,6826.0,,,,,Throw-in,2,From Throw In,Ousmane Dembélé,5477.0,Right Defensive Midfield,162,Barcelona,217,['4cfbb292-a06c-4fc9-a03c-8da5704d2e05'],11,,,,,,,,,,,,,,,,,Barcelona,217,00:42:11.023,Pass,,2020/2021
,,,,,,,,,,,,,,,,,0.798404,,,,,,,,,,,,,,3d0e972f-35ee-46e4-8bbe-6c77fc1b355a,3885,,,"[51.0, 9.1]",3773585,87,,,,1.6378598,,Left Foot,,,,"[50.1, 22.5]",,Ground Pass,,13.43019,,,,Philippe Coutinho Correia,3501.0,,,,,,2,From Throw In,Clément Lenglet,6826.0,Left Center Back,162,Barcelona,217,['3089fc05-ddde-4262-b18b-45f4068f918a'],17,,,,,,,,,,,,,,,,,Barcelona,217,00:42:17.142,Pass,,2020/2021
,,,,,,,,,,,,,,,,,0.701933,,,,,,,,,,,,,,2635bcfa-fa3a-4f4a-8f43-e77958006937,3889,,,"[49.2, 18.7]",3773585,87,,,,-2.0176387,,Right Foot,,,,"[44.6, 9.1]",,Ground Pass,,10.645186,,,,Clément Lenglet,6826.0,,,,,,2,From Throw In,Philippe Coutinho Correia,3501.0,Left Midfield,162,Barcelona,217,"['3dab2e28-bcdc-49af-a9d6-f229646c2f26', 'e1b90274-590a-474c-b888-5c30ddc81b1c']",18,,,,,,,,,,,,,,,,,Barcelona,217,00:42:18.742,Pass,True,2020/2021
,,,,,,,,,,,,,,,,,1.030199,,,,,,,,,,,,,,cf34ee19-7802-4104-b968-5781ef91b09b,3891,,,"[43.4, 9.1]",3773585,87,,,,1.997986,,Left Foot,,,,"[37.3, 22.5]",,Ground Pass,,14.723111,,,,Gerard Piqué Bernabéu,5213.0,,,,,,2,From Throw In,Clément Lenglet,6826.0,Left Center Back,162,Barcelona,217,['9c3dce70-8fbe-455b-b034-0547bbc5c7c9'],19,,,,,,,,,,,,,,,,,Barcelona,217,00:42:19.444,Pass,,2020/2021
,,,,,,,,,,,,,,,,,1.699635,,,,,,,,,,,,,,ffb380d6-6f69-4104-9ea8-496993150b5a,3894,,,"[35.4, 26.3]",3773585,87,,,,1.3595327,,Right Foot,,,,"[44.0, 66.4]",,Ground Pass,,41.01183,,,,Sergino Dest,21881.0,,True,,,,2,From Throw In,Gerard Piqué Bernabéu,5213.0,Right Center Back,162,Barcelona,217,['7a364eb8-5650-475f-9c7d-0b1f6de844f1'],22,,,,,,,,,,,,,,,,,Barcelona,217,00:42:22.252,Pass,,2020/2021
,,,,,,,,,,,,,,,,,1.165759,,,,,,,,,,,,,,ddeed75e-75bc-46c8-a7fa-c7f02fa36823,3897,,,"[44.0, 66.4]",3773585,87,,,,-1.1071488,,Right Foot,,,,"[52.2, 50.0]",,Ground Pass,,18.335758,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,2,From Throw In,Sergino Dest,21881.0,Right Back,162,Barcelona,217,['f2d839f8-7bd0-4fd5-9d0f-d4505e567248'],24,,,,,,,,,,,,,,,,,Barcelona,217,00:42:24.515,Pass,,2020/2021
,,,,,,,,,,,,,,,,,2.483529,,,,,,,,,,,,,,b49aeec7-f03e-42b5-b663-96900832bc5b,3900,,,"[52.2, 41.5]",3773585,87,,,,-0.7061566,,Left Foot,,,,"[92.3, 7.3]",,High Pass,,52.703415,,,,Ousmane Dembélé,5477.0,,,,,,2,From Throw In,Lionel Andrés Messi Cuccittini,5503.0,Left Center Forward,162,Barcelona,217,['0d90dce9-d3a1-434a-ba3c-8e49d1ee194c'],28,,,,,,,,,,,,,,,,,Barcelona,217,00:42:28.720,Pass,,2020/2021
,,,,,,,,,,,,,,,,,0.963873,,,,,,,,,,,,,,35b41c32-4cfc-47be-a098-e13074fede6a,3908,,,"[78.0, 18.1]",3773585,87,,,,0.4048918,,Right Foot,,,,"[99.0, 27.1]",,Ground Pass,,22.847319,,,,Martin Braithwaite Christensen,4447.0,,,,,,2,From Throw In,Ousmane Dembélé,5477.0,Right Defensive Midfield,162,Barcelona,217,['ad289acf-c34a-418c-9737-4071692cda68'],38,,,,,,,,,,,,,,,,,Barcelona,217,00:42:38.510,Pass,,2020/2021
,,,,,,,,,,,,,,,,,2.641843,,,,,,,,,,,,,,fc16bf6d-3367-4b2e-bab8-87d868e73129,3911,,,"[99.0, 27.1]",3773585,87,,,,-1.0464756,,Right Foot,,,,"[108.6, 10.5]",,Ground Pass,,19.176027,,,,Frenkie de Jong,8118.0,,,,,,2,From Throw In,Martin Braithwaite Christensen,4447.0,Left Back,162,Barcelona,217,"['f1df7bb3-47bb-4455-825d-ba3b019954fc', 'f21f1751-0296-4517-88ee-67900ff11f9b']",39,,,,,,,,,,,,,,,,,Barcelona,217,00:42:39.474,Pass,True,2020/2021
