ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,1.711332,,,,,,,,,,,,,e4531fb1-1f17-43e6-8333-d8e732dd0fd1,18,,"[14.0, 43.2]",266874,0,,,,0.9680528,,Right Foot,,,,"[26.8, 61.8]",,Ground Pass,,22.57875,,,,Yeray Álvarez López,6877.0,,,,,,,1,From Kick Off,Gorka Iraizoz Moreno,6576.0,Goalkeeper,2,Athletic Club,215,['6b76f115-fe1c-44c1-9bf6-725181b2a7b3'],11,,,,,,,,,,,,,,,,Athletic Club,215,00:00:11.810,Pass,,2016/2017
,,,,,,,,,,,,,,1.0527,,,,,,,,,,,,,b30edd79-d8ef-489a-bd6e-4e512d2c54dc,21,,"[44.4, 70.5]",266874,0,,,,0.2821799,,Right Foot,,,,"[68.2, 77.4]",,Low Pass,,24.780033,,,,Íñigo Lekue Martínez,6392.0,,,,,,,1,From Kick Off,Yeray Álvarez López,6877.0,Right Center Back,2,Athletic Club,215,['b36785ea-9725-4d5b-8f68-a9ae671e9a44'],17,,,,,,,,,,,,,,,,Athletic Club,215,00:00:17.373,Pass,,2016/2017
,,,,,,,,,,,,,,0.716329,,,,,,,,,,,,,cc36266d-9160-43ab-91da-2b3cf9819e6c,24,,"[68.2, 77.4]",266874,0,,,,-1.2414702,,Right Foot,,,,"[70.9, 69.5]",,Low Pass,,8.348653,,,,Iñaki Williams Arthuer,6393.0,,,,,,,1,From Kick Off,Íñigo Lekue Martínez,6392.0,Right Wing,2,Athletic Club,215,['a1e671ff-51ac-4b37-b801-f3170680a812'],18,,,,,,,,,,,,,,,,Athletic Club,215,00:00:18.612,Pass,,2016/2017
,,,,,,,,,,,,,,1.927347,,,,,,,,,,,,,dc982429-ea70-4cf3-a940-74837eba3767,27,,"[84.4, 69.8]",266874,0,,,,0.25933173,,Right Foot,,,,"[108.9, 76.3]",,Ground Pass,,25.347584,,,,Íñigo Lekue Martínez,6392.0,,,,,,,1,From Kick Off,Iñaki Williams Arthuer,6393.0,Center Forward,2,Athletic Club,215,['4b766bb6-ddbb-46ab-ab1a-72e1226d6176'],21,,,,,,,,,,,,,,,,Athletic Club,215,00:00:21.931,Pass,,2016/2017
,,,,,,,,,,,,,,5.211223,,,,,,,,,,,,,e3d38d48-02bd-4d24-bf15-a72de01d73a4,30,,"[110.6, 76.3]",266874,0,,,,-1.5694823,,Right Foot,True,,,"[110.7, 0.2]",,High Pass,,76.10007,,Out,,,,,,True,,,,1,From Kick Off,Íñigo Lekue Martínez,6392.0,Right Wing,2,Athletic Club,215,,24,,,,,,,,,,,,,,,,Athletic Club,215,00:00:24.161,Pass,,2016/2017
,,,,,,,,,,,,,,1.955,,,,,,,,,,,,,876fb455-1de3-403e-916e-a28e1382522e,31,,"[11.6, 80.0]",266874,0,,,,-0.4084361,,,,,,"[35.4, 69.7]",,Low Pass,,25.933184,,,,Rafael Alcântara do Nascimento,6998.0,,,,,,Throw-in,1,From Throw In,Aleix Vidal Parreu,6400.0,Right Back,3,Barcelona,217,['b690a171-3a64-415e-9b2c-924342c050ef'],40,,,,,,,,,,,,,,,,Barcelona,217,00:00:40.628,Pass,,2016/2017
,,,,,,,,,,,,,,0.6605,,,,,,,,,,,,,49b5a07a-fdf4-4631-8939-debbb1591706,37,,"[21.5, 66.5]",266874,0,,,,-0.97704667,,Right Foot,,,,"[26.9, 58.5]",,Ground Pass,,9.651943,,,,André Filipe Tavares Gomes,10802.0,,,,,,Recovery,1,From Throw In,Aleix Vidal Parreu,6400.0,Right Back,3,Barcelona,217,['1eeca9df-ce4f-4a5d-8518-3d62c7b3e730'],44,,,,,,,,,,,,,,,,Barcelona,217,00:00:44.391,Pass,,2016/2017
,,,,,,,,,,,,,,0.8697,,,,,,,,,,,,,e4ce1223-4c45-44d5-b541-b01be26a0cd4,41,,"[27.3, 53.0]",266874,0,,,,-1.1769782,,Right Foot,,,,"[36.4, 31.1]",,Ground Pass,,23.715395,,,,Arda Turan,11094.0,,,,,,,1,From Throw In,André Filipe Tavares Gomes,10802.0,Center Defensive Midfield,3,Barcelona,217,"['750ceef9-ef44-4c00-afee-a02216283a22', 'b3d615a9-158c-4958-8d86-e6607ebba1f2']",46,,,,,,,,,,,,,,,,Barcelona,217,00:00:46.833,Pass,True,2016/2017
,,,,,,,,,,,,,,1.3393,,,,,,,,,,,,,4918fd12-3862-4dad-a758-1bb038cef6d7,45,,"[56.1, 5.2]",266874,0,,,,-0.14085212,,Right Foot,,,,"[69.5, 3.3]",,Ground Pass,,13.534031,,,,Jérémy Mathieu,10609.0,,,,,,,1,From Throw In,Arda Turan,11094.0,Left Center Midfield,3,Barcelona,217,['78f361d6-98f8-4296-aacb-3490292bded9'],53,,,,,,,,,,,,,,,,Barcelona,217,00:00:53.212,Pass,,2016/2017
,,,,,,,,,,,,,,1.820077,,,,,,,,,,,,,99d77163-badf-47ff-a309-4d0708bf73d8,47,,"[71.1, 2.8]",266874,0,,,,2.378747,,Left Foot,,,,"[64.3, 9.3]",,Ground Pass,,9.406913,,,,Neymar da Silva Santos Junior,4320.0,,,,,,,1,From Throw In,Jérémy Mathieu,10609.0,Left Back,3,Barcelona,217,['01413c9b-c729-43df-b997-623e378ad898'],54,,,,,,,,,,,,,,,,Barcelona,217,00:00:54.551,Pass,,2016/2017
,,,,,,,,,,,,,,2.3166,,,,,,,,,,,,,3ee903f7-1989-47c3-be55-777690b03e5f,50,,"[62.2, 13.0]",266874,0,,,,1.9161116,,Right Foot,,,,"[46.3, 57.2]",,Ground Pass,,46.972866,,,,Gerard Piqué Bernabéu,5213.0,,,True,,,,1,From Throw In,Neymar da Silva Santos Junior,4320.0,Left Wing,3,Barcelona,217,['0b336287-0045-4c1c-9d9b-27a454dfbe38'],59,,,,,,,,,,,,,,,,Barcelona,217,00:00:59.854,Pass,,2016/2017
