50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,1.108276,,,,,,,,,,,,d3abd8fc-0d88-4903-bcbf-e57f4e32d284,16,,,"[43.0, 44.6]",16023,0,,,,-2.5250773,,Right Foot,,,,"[30.3, 35.6]",,Ground Pass,,15.565667,,,,Gabriel Armando de Abreu,6746.0,,,,,,1,From Kick Off,Daniel Parejo Muñoz,6595.0,Right Defensive Midfield,2,Valencia,207,['59711709-a366-4f39-9bf5-ef75a0f7750c'],8,,,,,,,,,,,,,,,,Valencia,207,00:00:08.599,Pass,,2018/2019
,,,,,,,,,,,,,,,1.93956,,,,,,,,,,,,bf5fda84-d800-4a73-bd71-aa5f7f9fc565,19,,,"[30.3, 35.6]",16023,0,,,,1.7284514,,Right Foot,,,,"[27.2, 55.1]",,Ground Pass,,19.744873,,,,Ezequiel Marcelo Garay,6891.0,,,,,,1,From Kick Off,Gabriel Armando de Abreu,6746.0,Left Center Back,2,Valencia,207,['158ae407-4ef2-469b-b43d-109d7a67b3be'],9,,,,,,,,,,,,,,,,Valencia,207,00:00:09.836,Pass,,2018/2019
,,,,,,,,,,,,,,,2.48152,,,,,,,,,,,,30a33c6f-7616-42fc-b3fb-c2221ef0e6d8,22,,,"[42.6, 63.7]",16023,0,,,,0.19787748,,Right Foot,,,,"[82.5, 71.7]",,High Pass,,40.694103,,,Incomplete,Carlos Soler Barragán,6583.0,,,,,,1,From Kick Off,Ezequiel Marcelo Garay,6891.0,Right Center Back,2,Valencia,207,"['270ad44f-9528-4762-ad95-95f20201fbcd', '2ebc0287-35b0-4865-8937-009e56f0b099']",15,,,,,,,,,,,,,,,,Valencia,207,00:00:15.152,Pass,,2018/2019
,,,,,,,,,,,,,,,0.821669,,,,,,,,,,,,f4e4f3f8-3422-4987-b46c-5b36b283b518,25,,,"[78.6, 80.0]",16023,0,,,,-1.6579536,,,,,,"[77.7, 69.7]",,Low Pass,,10.339246,,,,Carlos Soler Barragán,6583.0,,,,,Throw-in,1,From Throw In,Cristiano Piccini,11634.0,Right Back,3,Valencia,207,['a9d530c1-1f56-4964-98b3-eea2de7d364a'],28,,,,,,,,,,,,,,,,Valencia,207,00:00:28.285,Pass,,2018/2019
,,,,,,,,,,,,,,,0.699877,,,,,,,,,,,,55ac9641-a4b4-4b37-bfd4-1f725196e76b,28,,,"[78.0, 69.7]",16023,0,,,,2.2686992,,Right Foot,,,,"[72.8, 75.9]",,Ground Pass,,8.091971,,,,Cristiano Piccini,11634.0,,,,,,1,From Throw In,Carlos Soler Barragán,6583.0,Right Midfield,3,Valencia,207,"['21acdb9b-da67-4471-bfe5-12d0878eb07b', '8c0396de-98c5-40dd-9bbb-eb8b73f6c7bc']",29,,,,,,,,,,,,,,,,Valencia,207,00:00:29.106,Pass,True,2018/2019
,,,,,,,,,,,,,,,1.013986,,,,,,,,,,,,e245ee16-06d1-45cc-871b-56ad2ffbe32b,31,,,"[66.0, 73.2]",16023,0,,,,-2.9547725,,Right Foot,,,,"[49.6, 70.1]",,Ground Pass,,16.690416,,,,Ezequiel Marcelo Garay,6891.0,,,,,,1,From Throw In,Cristiano Piccini,11634.0,Right Back,3,Valencia,207,['e2a85386-0eb4-43dd-a190-cf729765e3f4'],32,,,,,,,,,,,,,,,,Valencia,207,00:00:32.369,Pass,,2018/2019
,,,,,,,,,,,,,,,0.996978,,,,,,,,,,,,3c114cc1-93f8-4af9-9e46-0c3796242b00,34,,,"[53.3, 71.3]",16023,0,,,,-0.79095364,,Right Foot,,,,"[71.2, 53.2]",,Ground Pass,,25.456238,,,,Michy Batshuayi Tunga,3457.0,,,,,,1,From Throw In,Ezequiel Marcelo Garay,6891.0,Right Center Back,3,Valencia,207,['748d8ae7-bca0-4c77-9ab6-9b1c17ac4881'],34,,,,,,,,,,,,,,,,Valencia,207,00:00:34.577,Pass,,2018/2019
,,,,,,,,,,,,,,,1.083389,,,,,,,,,,,,00dc2858-8442-4aec-9c86-2bfd71c0a11c,36,,,"[71.2, 53.2]",16023,0,,,,-3.069429,,Right Foot,,,,"[62.9, 52.6]",,Ground Pass,,8.321658,,,,Daniel Parejo Muñoz,6595.0,,,,,,1,From Throw In,Michy Batshuayi Tunga,3457.0,Right Center Forward,3,Valencia,207,['4818fdc8-afaa-465a-9c62-3d58e0214f6c'],35,,,,,,,,,,,,,,,,Valencia,207,00:00:35.574,Pass,,2018/2019
,,,,,,,,,,,,,,,2.485575,,,,,,,,,,,,5a88522f-56e5-4b61-9942-4e8a97574184,38,,,"[62.9, 52.6]",16023,0,,,,-1.3927475,,Right Foot,,,,"[70.8, 8.7]",,Ground Pass,,44.605156,,,,José Luis Gayà Peña,6596.0,,,True,,,1,From Throw In,Daniel Parejo Muñoz,6595.0,Right Defensive Midfield,3,Valencia,207,['cfb7f278-e581-4591-bc00-3db7fb986496'],36,,,,,,,,,,,,,,,,Valencia,207,00:00:36.657,Pass,,2018/2019
,,,,,,,,,,,,,,,1.516071,,,,,,,,,,,,a51c37de-c73e-4883-8111-a7c135b47d52,41,,,"[85.6, 20.6]",16023,0,,,,-0.31455642,,Right Foot,,,,"[106.5, 13.8]",,Ground Pass,,21.9784,,,,Gonçalo Manuel Ganchinho Guedes,4367.0,,,,,,1,From Throw In,José Luis Gayà Peña,6596.0,Left Back,3,Valencia,207,['077d00c8-0136-4af8-ac0b-283e74426d84'],41,,,,,,,,,,,,,,,,Valencia,207,00:00:41.627,Pass,,2018/2019
