50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,0.870017,,,,,,,,,,,,9f56452e-892b-4bfd-8318-535b85572d1d,19,,"[22.0, 34.0]",16306,0,,,,,-1.012197,,Right Foot,,,,"[27.0, 26.0]",Low Pass,,9.433981,,,,Sergio Busquets i Burgos,5203.0,,,,,Recovery,1,Regular Play,Sergi Roberto Carnicer,6379.0,Right Back,3,Barcelona,217,"['6eb8cede-daac-437a-b2fc-8b290a175870', 'ccea642d-dcc5-4a9f-a8e4-25fe4439033a']",9,,,,,,,,,,,,,,,,,Barcelona,217,00:00:09.657,Pass,,2018/2019
,,,,,,,,,,,,,,,0.95542,,,,,,,,,,,,6d2285e6-6493-4df9-9f05-d830adb22675,22,,"[28.0, 24.0]",16306,0,,,,,-2.2455373,,Right Foot,,,,"[20.0, 14.0]",Ground Pass,,12.806249,,,,Jordi Alba Ramos,5211.0,,,,,,1,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,3,Barcelona,217,['4ad1d929-6b73-4118-947e-c6d827b0a13d'],11,,,,,,,,,,,,,,,,,Barcelona,217,00:00:11.613,Pass,,2018/2019
,,,,,,,,,,,,,,,1.083318,,,,,,,,,,,,1fad5eef-6bcd-4e58-8a1a-c0900466806a,25,,"[21.0, 15.0]",16306,0,,,,,2.6779451,,Right Foot,,,,"[9.0, 21.0]",Ground Pass,,13.416408,,,,Samuel Yves Umtiti,5492.0,,,,,,1,Regular Play,Jordi Alba Ramos,5211.0,Left Back,3,Barcelona,217,['25122e4f-719a-4613-9e79-af48aa76d4e8'],13,,,,,,,,,,,,,,,,,Barcelona,217,00:00:13.805,Pass,,2018/2019
,,,,,,,,,,,,,,,1.219657,,,,,,,,,,,,eafd4f8e-64f6-4f2b-8ab9-02f1e539af80,29,,"[7.0, 24.0]",16306,0,,,,,1.8925469,,Left Foot,,,,"[2.0, 39.0]",Ground Pass,,15.811388,,,,Jasper Cillessen,8652.0,,,,,,1,Regular Play,Samuel Yves Umtiti,5492.0,Left Center Back,3,Barcelona,217,"['3b698eae-f7bf-4ef9-bcf1-6ecf83095e09', 'b6707965-2c6b-4894-aebd-23398c801138']",15,,,,,,,,,,,,,,,,,Barcelona,217,00:00:15.721,Pass,True,2018/2019
,,,,,,,,,,,,,,,0.786918,,,,,,,,,,,,7d62b6a3-d8ea-41cd-83b7-9cd9ddcdcf2a,32,,"[9.0, 41.0]",16306,0,,,,,-0.11065722,,Right Foot,,,,"[18.0, 40.0]",Ground Pass,,9.055386,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,Regular Play,Jasper Cillessen,8652.0,Goalkeeper,3,Barcelona,217,['7f3bd9bd-2803-4fcf-845b-03a3c2b9a8f5'],20,,,,,,,,,,,,,,,,,Barcelona,217,00:00:20.604,Pass,,2018/2019
,,,,,,,,,,,,,,,1.166651,,,,,,,,,,,,ed3b81a6-e8a3-435c-aff4-25f4f01e2d22,35,,"[17.0, 40.0]",16306,0,,,,,3.1415927,,Left Foot,,,,"[7.0, 40.0]",Ground Pass,,10.0,,,,Jasper Cillessen,8652.0,,,,,,1,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,3,Barcelona,217,['2722e913-d139-4dce-aeb5-e54fd2eb24f0'],21,,,,,,,,,,,,,,,,,Barcelona,217,00:00:21.698,Pass,,2018/2019
,,,,,,,,,,,,,,,2.471136,,,,,,,,,,,,5357efc4-670f-4b7d-9179-2b029277752f,39,,"[7.0, 40.0]",16306,0,,,,,-1.6124389,,Right Foot,,,,"[6.0, 16.0]",Ground Pass,,24.020824,,,,Samuel Yves Umtiti,5492.0,,,,,,1,Regular Play,Jasper Cillessen,8652.0,Goalkeeper,3,Barcelona,217,"['c29c90c9-1ad5-4061-9018-8d20f7a9831f', 'd371d851-2c96-4501-a42f-95e5073f6c1e']",22,,,,,,,,,,,,,,,,,Barcelona,217,00:00:22.905,Pass,True,2018/2019
,,,,,,,,,,,,,,,2.6728,,,,,,,,,,,,da744164-1d73-43b8-8993-3c5518d5db89,42,,"[6.0, 14.0]",16306,0,,,,,0.0,,Left Foot,,,,"[29.0, 14.0]",High Pass,,23.0,,,,Ivan Rakitić,5470.0,,,,,,1,Regular Play,Samuel Yves Umtiti,5492.0,Left Center Back,3,Barcelona,217,['0095c3e8-18f9-42e4-aae6-02ab0c10ec99'],26,,,,,,,,,,,,,,,,,Barcelona,217,00:00:26.372,Pass,,2018/2019
,,,,,,,,,,,,,,,2.4699,,,,,,,,,,,,e1fa440c-d1bc-4b36-8397-73c2c57899e1,45,,"[27.0, 15.0]",16306,0,,,,True,0.0,,,,,,"[37.0, 15.0]",High Pass,,10.0,,Incomplete,,,,,,,,,1,Regular Play,Ivan Rakitić,5470.0,Right Center Midfield,3,Barcelona,217,"['66703028-b361-4f90-9f78-62f1878e638d', 'eda85373-4f9d-4a22-93d8-4b717a0de81d']",29,,,,,,,,,,,,,,,,,Barcelona,217,00:00:29.045,Pass,True,2018/2019
,,,,,,,,,,,,,,,2.069052,,,,,,,,,,,,66703028-b361-4f90-9f78-62f1878e638d,47,,"[84.0, 66.0]",16306,0,,,,,-0.32175055,,Head,,,,"[99.0, 61.0]",High Pass,,15.811388,,Incomplete,,Ángel Luis Rodríguez Díaz,6611.0,,,,,Recovery,1,Regular Play,Damián Nicolás Suárez Suárez,6627.0,Right Back,3,Barcelona,217,"['a25588c3-6a43-4391-ad68-1ebb618a3b2f', 'c2c5ac28-bb64-4448-bb94-ee2873a6d568', 'e1fa440c-d1bc-4b36-8397-73c2c57899e1']",31,,,,,,,,,,,,,,,,,Getafe,216,00:00:31.515,Pass,,2018/2019
,,,,,,,,,,,,,,,0.9653,,,,,,,,,,,,78d0ae19-5549-41f4-8452-42e294102408,52,,"[25.0, 19.0]",16306,0,,,,,-0.16514868,,Right Foot,,,,"[31.0, 18.0]",Ground Pass,,6.0827627,,,,Ivan Rakitić,5470.0,,,,,,1,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,3,Barcelona,217,['11f08c59-f298-4c59-ae61-dca52344547e'],34,,,,,,,,,,,,,,,,,Barcelona,217,00:00:34.771,Pass,,2018/2019
,,,,,,,,,,,,,,,2.470368,,,,,,,,,,,,ba529492-1be7-4d0a-b434-f2375b8cab89,56,,"[28.0, 21.0]",16306,0,,,,,1.59936,,Right Foot,,,,"[27.0, 56.0]",Low Pass,,35.014282,,,,Sergi Roberto Carnicer,6379.0,,,,,,1,Regular Play,Ivan Rakitić,5470.0,Right Center Midfield,3,Barcelona,217,"['bdbafff1-f4b8-4435-84ef-ee8be5f754f9', 'd5da35e1-be80-4802-8829-d3abc9d9d420']",36,,,,,,,,,,,,,,,,,Barcelona,217,00:00:36.508,Pass,True,2018/2019
,,,,,,,,,,,,,,,0.855568,,,,,,,,,,,,2d215825-93df-44df-93cf-84c80619c8bf,59,,"[55.0, 69.0]",16306,0,,,,,1.4288993,,Right Foot,,,,"[56.0, 76.0]",Ground Pass,,7.071068,,,,Malcom Filipe Silva de Oliveira,3109.0,,,,,,1,Regular Play,Sergi Roberto Carnicer,6379.0,Right Back,3,Barcelona,217,['27cfa0e1-f78d-484c-9382-5e4a46d4e5b4'],42,,,,,,,,,,,,,,,,,Barcelona,217,00:00:42.446,Pass,,2018/2019
,,,,,,,,,,,,,,,1.07523,,,,,,,,,,,,7b4eddb3-9358-4b1c-828b-4db1dfb4204b,62,,"[55.0, 77.0]",16306,0,,,,,-1.849096,,Left Foot,,,,"[51.0, 63.0]",Ground Pass,,14.56022,,,,Arturo Erasmo Vidal Pardo,8206.0,,,,,,1,Regular Play,Malcom Filipe Silva de Oliveira,3109.0,Right Wing,3,Barcelona,217,['9a6b8e35-9b59-445e-a110-9a51c02cb6f2'],43,,,,,,,,,,,,,,,,,Barcelona,217,00:00:43.381,Pass,,2018/2019
,,,,,,,,,,,,,,,1.150414,,,,,,,,,,,,896e9919-8113-4608-8319-38ca8fe73e4f,66,,"[51.0, 64.0]",16306,0,,,,,1.5707964,,Right Foot,,,,"[51.0, 76.0]",Ground Pass,,12.0,,,,Sergi Roberto Carnicer,6379.0,,,,,,1,Regular Play,Arturo Erasmo Vidal Pardo,8206.0,Left Center Midfield,3,Barcelona,217,['550af89d-7f08-4874-af91-2b28aad1d72a'],44,,,,,,,,,,,,,,,,,Barcelona,217,00:00:44.617,Pass,,2018/2019
,,,,,,,,,,,,,,,1.195518,,,,,,,,,,,,225e66f7-ff5a-4068-9fc5-734da10bef49,69,,"[51.0, 76.0]",16306,0,,,,,-2.3961732,,Left Foot,,,,"[38.0, 64.0]",Ground Pass,,17.691807,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,Regular Play,Sergi Roberto Carnicer,6379.0,Right Back,3,Barcelona,217,['2d23ec01-b90c-4b3b-811e-eb51914455b2'],45,,,,,,,,,,,,,,,,,Barcelona,217,00:00:45.847,Pass,,2018/2019
,,,,,,,,,,,,,,,0.810621,,,,,,,,,,,,e825ab30-e2e2-4e24-b46e-d206e3b8c692,72,,"[47.0, 66.0]",16306,0,,,,,1.0303768,,Right Foot,,,,"[53.0, 76.0]",Ground Pass,,11.661903,,,,Sergi Roberto Carnicer,6379.0,,,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Right Center Back,3,Barcelona,217,['5bd84f29-e088-4fc3-b637-4896f3ea1af4'],51,,,,,,,,,,,,,,,,,Barcelona,217,00:00:51.448,Pass,,2018/2019
,,,,,,,,,,,,,,,1.081762,,,,,,,,,,,,7ffd0584-ecb7-45a0-bd71-89b51aacdada,76,,"[53.0, 74.0]",16306,0,,,,,-2.896614,,Right Foot,,,,"[41.0, 71.0]",Ground Pass,,12.369317,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,Regular Play,Sergi Roberto Carnicer,6379.0,Right Back,3,Barcelona,217,['891cbb1b-66bd-436e-8535-e8508b1f308e'],54,,,,,,,,,,,,,,,,,Barcelona,217,00:00:54.115,Pass,,2018/2019
,,,,,,,,,,,,,,,1.441007,,,,,,,,,,,,390d128c-b357-48fe-977f-2f48f6ea06b2,79,,"[40.0, 63.0]",16306,0,,,,,-1.8662372,,Right Foot,,,,"[33.0, 40.0]",Ground Pass,,24.04163,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Right Center Back,3,Barcelona,217,['ff2965a4-1eb2-4cba-9322-8cb36fddb436'],55,,,,,,,,,,,,,,,,,Barcelona,217,00:00:55.976,Pass,,2018/2019
,,,,,,,,,,,,,,,2.293211,,,,,,,,,,,,6a2a839f-35c8-4856-b56f-e878cf2c50a4,82,,"[36.0, 37.0]",16306,0,,,,,-1.3182421,,Right Foot,,,,"[44.0, 6.0]",Ground Pass,,32.01562,,,,Samuel Yves Umtiti,5492.0,,,,,,1,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,3,Barcelona,217,['93de8dcd-fddc-463b-862e-2ef9e4e51053'],59,,,,,,,,,,,,,,,,,Barcelona,217,00:00:59.235,Pass,,2018/2019
,,,,,,,,,,,,,,,0.889446,,,,,,,,,,,,bf02f1c6-bcea-4c80-b52d-7688fc254992,86,,"[53.0, 7.0]",16306,1,,,,,-0.5880026,,Left Foot,,,,"[59.0, 3.0]",Ground Pass,,7.2111025,,,,Jordi Alba Ramos,5211.0,,,,,,1,Regular Play,Samuel Yves Umtiti,5492.0,Left Center Back,3,Barcelona,217,['db85e542-b3dd-4eb4-bec0-bf301cc42860'],2,,,,,,,,,,,,,,,,,Barcelona,217,00:01:02.525,Pass,,2018/2019
,,,,,,,,,,,,,,,1.7516,,,,,,,,,,,,1d78294e-a418-4bd6-8213-74461d2a0c9d,90,,"[59.0, 4.0]",16306,1,,,,,2.4592762,,Left Foot,,,,"[43.0, 17.0]",Ground Pass,,20.615528,,Incomplete,,Sergio Busquets i Burgos,5203.0,,,,,,1,Regular Play,Jordi Alba Ramos,5211.0,Left Back,3,Barcelona,217,"['4d466ff1-9be8-4696-a1b9-9ee0158d65f4', '7caff4eb-87e0-4cf5-a254-2844ded66344', 'ae6379d3-0528-48bc-a3a3-202fc4470fb7']",5,,,,,,,,,,,,,,,,,Barcelona,217,00:01:05.170,Pass,True,2018/2019
,,,,,,,,,,,,,,,0.4262,,,,,,,,,,,,8c46d738-192b-4c47-8916-c70b015563e5,97,,"[78.0, 74.0]",16306,1,,,,,-0.71883,,Right Foot,,,,"[86.0, 67.0]",Ground Pass,,10.630146,,Incomplete,,Jorge Molina Vidal,6630.0,,,,,Recovery,1,Regular Play,Dimitri Foulquier,4546.0,Right Midfield,4,Getafe,216,"['80b321c4-f0f5-40e1-8ea9-01491701b3ab', 'd7d33660-58aa-4c74-ac79-804f48d4c347']",9,,,,,,,,,,,,,,,,,Getafe,216,00:01:09.370,Pass,,2018/2019
,,,,,,,,,,,,,,,2.0731,,,,,,,,,,,,ef752ab5-1151-41a2-94f2-3618fcaffc03,100,,"[85.0, 80.0]",16306,1,,True,,,-1.849096,,,,,,"[83.0, 73.0]",Low Pass,,7.28011,,,,Dimitri Foulquier,4546.0,,,,,Throw-in,1,From Throw In,Damián Nicolás Suárez Suárez,6627.0,Right Back,5,Getafe,216,['5d81e139-15bf-4ed2-9ce4-c7a0c20f8649'],19,,,,,,,,,,,,,,,,,Getafe,216,00:01:19.186,Pass,,2018/2019
,,,,,,,,,,,,,,,1.5565,,,,,,,,,,,,364209e7-d2d8-4591-a5f1-5a23f37afa08,102,,"[83.0, 73.0]",16306,1,,True,,,0.30288488,,Right Foot,,,,"[99.0, 78.0]",Ground Pass,,16.763054,,,,Damián Nicolás Suárez Suárez,6627.0,,,,,,1,From Throw In,Dimitri Foulquier,4546.0,Right Midfield,5,Getafe,216,['69e69bad-0245-4572-a143-5a4ee509a67f'],21,,,,,,,,,,,,,,,,,Getafe,216,00:01:21.299,Pass,,2018/2019
,,,,,,,,,,,,,,,0.6989,,,,,,,,,,,,5cb0d46c-51e2-4113-b100-343afe7419c5,104,,"[100.0, 78.0]",16306,1,,,,,-0.15264933,,Right Foot,,,,"[113.0, 76.0]",Ground Pass,,13.152946,,,,Dimitri Foulquier,4546.0,,,,,,1,From Throw In,Damián Nicolás Suárez Suárez,6627.0,Right Back,5,Getafe,216,['49bc3120-fda2-4cdd-91dc-82e66e549325'],22,,,,,,,,,,,,,,,,,Getafe,216,00:01:22.896,Pass,,2018/2019
,,,,,,,,,,,,,,,0.241435,,,,,,,,,,,,5de6b02a-fddd-4924-9977-e2084b51413f,108,,"[118.0, 76.0]",16306,1,,,,,-1.5707964,,Right Foot,,,,"[118.0, 73.0]",Ground Pass,,3.0,,Incomplete,,Ángel Luis Rodríguez Díaz,6611.0,,,,,,1,From Throw In,Dimitri Foulquier,4546.0,Right Midfield,5,Getafe,216,"['b5313993-c855-43c4-800e-1b5b846aaab8', 'efbe682e-a291-43a2-a23f-eba5fab5d5f7']",25,,,,,,,,,,,,,,,,,Getafe,216,00:01:25.267,Pass,,2018/2019
,,,,,,,,,,,,,,,1.1852,,,,,,,,,,,,4275daaf-9f46-427c-844f-047f344fc346,111,,"[120.0, 80.0]",16306,1,,True,,,-2.819842,,Right Foot,,,,"[114.0, 78.0]",Ground Pass,,6.3245554,,,,Mathías Olivera Miramontes,7104.0,,,,,Corner,1,From Corner,Gaku Shibasaki,5693.0,Left Midfield,6,Getafe,216,['e057957a-13dc-4d9f-8752-3f52ed6f49a8'],39,,,,,,,,,,,,,,,,,Getafe,216,00:01:39.742,Pass,,2018/2019
,,,,,,,,,,,,,,,0.1861,,,,,,,,,,,,85554d18-3a90-4a83-b0b6-e35266daa1c2,114,,"[118.0, 79.0]",16306,1,,,,,-2.55359,,Left Foot,,,,"[115.0, 77.0]",Ground Pass,,3.6055512,,Incomplete,,Gaku Shibasaki,5693.0,,,,,,1,From Corner,Mathías Olivera Miramontes,7104.0,Left Back,6,Getafe,216,"['1513e02b-ff06-42c6-9c7e-4c06e1024cb2', '3a6455a0-a080-450b-bde8-7d026b5c34c5', '5da35464-189a-4489-9847-bc99a18cdc9f']",41,,,,,,,,,,,,,,,,,Getafe,216,00:01:41.876,Pass,True,2018/2019
