ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.9784,,,,,,,,,,,,,,,552e863d-fb5e-431e-bfc9-da306ef2bb3b,27,,"[85.2, 32.9]",69169,0,,,,True,-2.534605,,,,"[81.6, 30.4]",,High Pass,4.382921,,,,Markel Susaeta Laskurain,6390.0,,,,,,,1,From Throw In,Aritz Aduriz Zubeldia,6394.0,Center Forward,3,Athletic Club,215,"['a1519ebc-cba8-4da4-bb3d-264d39438078', 'e00c22ab-076d-4b44-b9c8-685335297649']",36,,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:36.424,Pass,True,2007/2008
,,,,,,,,,,,,,,,,3.592046,,,,,,,,,,,,,,,4196adb4-9d97-494b-99aa-1553c4399974,29,,"[81.6, 30.4]",69169,0,,,,,1.451796,,Head,,"[86.0, 67.2]",,High Pass,37.06211,,Incomplete,,Roberto Martínez Rípodas,26478.0,,,,,,,1,From Throw In,Markel Susaeta Laskurain,6390.0,Center Attacking Midfield,3,Athletic Club,215,"['915dc865-4b39-4849-8d8c-012f2ecb9583', 'cfa1d887-860d-4310-a7b5-a5028cb95c21']",37,,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:37.511,Pass,,2007/2008
,,,,,,,,,,,,,,,,1.273923,,,,,,,,,,,,,,,cfa1d887-860d-4310-a7b5-a5028cb95c21,31,,"[35.0, 13.8]",69169,0,,,,,1.0789871,,Left Foot,,"[44.0, 30.6]",,Ground Pass,19.058857,,,,Anderson Luís de Souza,19757.0,,,,,,Recovery,1,Regular Play,Eric-Sylvain Bilal Abidal,20177.0,Left Back,4,Barcelona,217,"['4196adb4-9d97-494b-99aa-1553c4399974', '4627bd81-ecf3-4201-85cf-0e98c4a4b9d0']",41,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:41.103,Pass,,2007/2008
,,,,,,,,,,,,,,,,1.017388,,,,,,,,,,,,,,,3aadaee4-4185-4d74-bae9-9a40f062e12d,34,,"[42.3, 28.5]",69169,0,,,,,-2.9816794,,Left Foot,,"[26.8, 26.0]",,Ground Pass,15.700318,,,,Oleguer Presas Renom,25873.0,,,,,,,1,Regular Play,Anderson Luís de Souza,19757.0,Left Center Midfield,4,Barcelona,217,['aea58191-4446-4059-9998-7c4385d9c932'],42,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:42.838,Pass,,2007/2008
,,,,,,,,,,,,,,,,1.487041,,,,,,,,,,,,,,,c5dc81db-7617-4c07-a1b4-e4bf52d891ba,37,,"[23.2, 26.4]",69169,0,,,,,1.5805048,,Right Foot,,"[23.0, 47.0]",,Ground Pass,20.600971,,,,Rafael Márquez Álvarez,5558.0,,,,,,,1,Regular Play,Oleguer Presas Renom,25873.0,Left Center Back,4,Barcelona,217,['bfce4fc9-1096-4f95-964b-b08c6fcfd0e1'],44,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:44.244,Pass,,2007/2008
,,,,,,,,,,,,,,,,1.453775,,,,,,,,,,,,,,,df373366-33be-487f-8077-0f6ed31c4256,40,,"[27.8, 49.3]",69169,0,,,,,-1.6044915,,Right Foot,,"[27.2, 31.5]",,Ground Pass,17.81011,,,,Oleguer Presas Renom,25873.0,,,,,,,1,Regular Play,Rafael Márquez Álvarez,5558.0,Right Center Back,4,Barcelona,217,['f2384786-2c90-4b08-8751-dee9ccce2de9'],47,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:47.432,Pass,,2007/2008
,,,,,,,,,,,,,,,,1.138366,,,,,,,,,,,,,,,81aa4633-6772-43b3-8c34-39f2cfff8c18,43,,"[54.5, 22.8]",69169,0,,,,,-2.158799,,Right Foot,,"[49.9, 15.9]",,Ground Pass,8.292768,,,,Anderson Luís de Souza,19757.0,,,,,,,1,Regular Play,Oleguer Presas Renom,25873.0,Left Center Back,4,Barcelona,217,['43904a7b-e618-4ad2-b067-889f7052a596'],57,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:57.051,Pass,,2007/2008
,,,,,,,,,,,,,,,,2.751237,,,,,,,,,,,,,,,c7433252-4dc6-4c3d-8f46-ca8c8a876859,47,,"[43.6, 15.7]",69169,0,,,,,1.5822244,,Right Foot,,"[43.0, 68.2]",,High Pass,52.50343,,,,Gianluca Zambrotta,15774.0,,,True,,,,1,Regular Play,Anderson Luís de Souza,19757.0,Left Center Midfield,4,Barcelona,217,['d8bf120c-38e6-4ab9-88c5-1bf54593da73'],59,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:59.901,Pass,,2007/2008
,,,,,,,,,,,,,,,,0.974636,,,,,,,,,,,,,,,a60d0771-3609-4e7d-b256-8cdda011fa96,50,,"[55.8, 72.2]",69169,1,,,,,-1.5319809,,Right Foot,,"[56.2, 61.9]",,Ground Pass,10.307764,,,,Xavier Hernández Creus,20131.0,,,,,,,1,Regular Play,Gianluca Zambrotta,15774.0,Right Back,4,Barcelona,217,['8435db35-5c8e-43f6-8346-5453766340f9'],4,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:04.286,Pass,,2007/2008
,,,,,,,,,,,,,,,,1.367188,,,,,,,,,,,,,,,902ef279-5ce4-4a88-a126-facaad21e935,53,,"[56.2, 61.9]",69169,1,,,,,2.021665,,Right Foot,,"[50.1, 74.5]",,Ground Pass,13.998928,,,,Gianluca Zambrotta,15774.0,,,,,,,1,Regular Play,Xavier Hernández Creus,20131.0,Right Center Midfield,4,Barcelona,217,['4d03b066-17a8-4af1-a24e-dbc7b26b2a71'],5,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:05.301,Pass,,2007/2008
